hanzi,unicode_codepoint,gif_filename
一,19968,19968.gif
丁,19969,19969.gif
七,19971,19971.gif
万,19975,19975.gif
丈,19976,19976.gif
三,19977,19977.gif
上,19978,19978.gif
下,19979,19979.gif
不,19981,19981.gif
与,19982,19982.gif
丐,19984,19984.gif
丑,19985,19985.gif
专,19987,19987.gif
且,19988,19988.gif
世,19990,19990.gif
丘,19992,19992.gif
丙,19993,19993.gif
业,19994,19994.gif
丛,19995,19995.gif
东,19996,19996.gif
丝,19997,19997.gif
丞,19998,19998.gif
丢,20002,20002.gif
两,20004,20004.gif
严,20005,20005.gif
丧,20007,20007.gif
个,20010,20010.gif
丫,20011,20011.gif
中,20013,20013.gif
丰,20016,20016.gif
串,20018,20018.gif
临,20020,20020.gif
丸,20024,20024.gif
丹,20025,20025.gif
为,20026,20026.gif
主,20027,20027.gif
丽,20029,20029.gif
举,20030,20030.gif
乃,20035,20035.gif
久,20037,20037.gif
么,20040,20040.gif
义,20041,20041.gif
之,20043,20043.gif
乌,20044,20044.gif
乍,20045,20045.gif
乎,20046,20046.gif
乏,20047,20047.gif
乐,20048,20048.gif
乒,20050,20050.gif
乓,20051,20051.gif
乔,20052,20052.gif
乖,20054,20054.gif
乘,20056,20056.gif
乙,20057,20057.gif
九,20061,20061.gif
乞,20062,20062.gif
也,20063,20063.gif
习,20064,20064.gif
乡,20065,20065.gif
书,20070,20070.gif
买,20080,20080.gif
乱,20081,20081.gif
乳,20083,20083.gif
乾,20094,20094.gif
了,20102,20102.gif
予,20104,20104.gif
争,20105,20105.gif
事,20107,20107.gif
二,20108,20108.gif
于,20110,20110.gif
亏,20111,20111.gif
云,20113,20113.gif
互,20114,20114.gif
五,20116,20116.gif
井,20117,20117.gif
亘,20120,20120.gif
亚,20122,20122.gif
些,20123,20123.gif
亟,20127,20127.gif
亡,20129,20129.gif
亢,20130,20130.gif
交,20132,20132.gif
亥,20133,20133.gif
亦,20134,20134.gif
产,20135,20135.gif
亨,20136,20136.gif
亩,20137,20137.gif
享,20139,20139.gif
京,20140,20140.gif
亭,20141,20141.gif
亮,20142,20142.gif
亲,20146,20146.gif
亵,20149,20149.gif
人,20154,20154.gif
亿,20159,20159.gif
什,20160,20160.gif
仁,20161,20161.gif
仃,20163,20163.gif
仄,20164,20164.gif
仅,20165,20165.gif
仆,20166,20166.gif
仇,20167,20167.gif
今,20170,20170.gif
介,20171,20171.gif
仍,20173,20173.gif
从,20174,20174.gif
仑,20177,20177.gif
仓,20179,20179.gif
仔,20180,20180.gif
仕,20181,20181.gif
他,20182,20182.gif
仗,20183,20183.gif
付,20184,20184.gif
仙,20185,20185.gif
仞,20190,20190.gif
仟,20191,20191.gif
仡,20193,20193.gif
代,20195,20195.gif
令,20196,20196.gif
以,20197,20197.gif
仨,20200,20200.gif
仪,20202,20202.gif
们,20204,20204.gif
仰,20208,20208.gif
仲,20210,20210.gif
件,20214,20214.gif
价,20215,20215.gif
任,20219,20219.gif
份,20221,20221.gif
仿,20223,20223.gif
企,20225,20225.gif
伉,20233,20233.gif
伊,20234,20234.gif
伍,20237,20237.gif
伎,20238,20238.gif
伏,20239,20239.gif
伐,20240,20240.gif
休,20241,20241.gif
众,20247,20247.gif
优,20248,20248.gif
伙,20249,20249.gif
会,20250,20250.gif
伞,20254,20254.gif
伟,20255,20255.gif
传,20256,20256.gif
伤,20260,20260.gif
伥,20261,20261.gif
伦,20262,20262.gif
伪,20266,20266.gif
伫,20267,20267.gif
伯,20271,20271.gif
估,20272,20272.gif
伴,20276,20276.gif
伶,20278,20278.gif
伸,20280,20280.gif
伺,20282,20282.gif
似,20284,20284.gif
伽,20285,20285.gif
佃,20291,20291.gif
但,20294,20294.gif
位,20301,20301.gif
低,20302,20302.gif
住,20303,20303.gif
佐,20304,20304.gif
佑,20305,20305.gif
体,20307,20307.gif
何,20309,20309.gif
余,20313,20313.gif
佚,20314,20314.gif
佛,20315,20315.gif
作,20316,20316.gif
佝,20317,20317.gif
佞,20318,20318.gif
你,20320,20320.gif
佣,20323,20323.gif
佩,20329,20329.gif
佬,20332,20332.gif
佯,20335,20335.gif
佰,20336,20336.gif
佳,20339,20339.gif
佶,20342,20342.gif
佻,20347,20347.gif
佼,20348,20348.gif
使,20351,20351.gif
侃,20355,20355.gif
侄,20356,20356.gif
侈,20360,20360.gif
侉,20361,20361.gif
例,20363,20363.gif
侍,20365,20365.gif
侗,20375,20375.gif
供,20379,20379.gif
依,20381,20381.gif
侠,20384,20384.gif
侣,20387,20387.gif
侥,20389,20389.gif
侦,20390,20390.gif
侧,20391,20391.gif
侨,20392,20392.gif
侩,20393,20393.gif
侮,20398,20398.gif
侯,20399,20399.gif
侵,20405,20405.gif
便,20415,20415.gif
促,20419,20419.gif
俄,20420,20420.gif
俊,20426,20426.gif
俎,20430,20430.gif
俏,20431,20431.gif
俐,20432,20432.gif
俑,20433,20433.gif
俗,20439,20439.gif
俘,20440,20440.gif
俚,20442,20442.gif
保,20445,20445.gif
信,20449,20449.gif
俨,20456,20456.gif
俩,20457,20457.gif
俪,20458,20458.gif
俭,20461,20461.gif
修,20462,20462.gif
俯,20463,20463.gif
俱,20465,20465.gif
俳,20467,20467.gif
俸,20472,20472.gif
俺,20474,20474.gif
倌,20492,20492.gif
倍,20493,20493.gif
倏,20495,20495.gif
倒,20498,20498.gif
倔,20500,20500.gif
倘,20504,20504.gif
候,20505,20505.gif
倚,20506,20506.gif
借,20511,20511.gif
倡,20513,20513.gif
倥,20517,20517.gif
倦,20518,20518.gif
倨,20520,20520.gif
倩,20521,20521.gif
倪,20522,20522.gif
倭,20525,20525.gif
债,20538,20538.gif
值,20540,20540.gif
倾,20542,20542.gif
偃,20547,20547.gif
假,20551,20551.gif
偈,20552,20552.gif
偌,20556,20556.gif
偎,20558,20558.gif
偏,20559,20559.gif
偕,20565,20565.gif
做,20570,20570.gif
停,20572,20572.gif
健,20581,20581.gif
偬,20588,20588.gif
偶,20598,20598.gif
偷,20599,20599.gif
偻,20603,20603.gif
偿,20607,20607.gif
傀,20608,20608.gif
傅,20613,20613.gif
傍,20621,20621.gif
傣,20643,20643.gif
傧,20647,20647.gif
储,20648,20648.gif
催,20652,20652.gif
傲,20658,20658.gif
傻,20667,20667.gif
像,20687,20687.gif
僚,20698,20698.gif
僧,20711,20711.gif
僭,20717,20717.gif
僵,20725,20725.gif
僻,20731,20731.gif
儆,20742,20742.gif
儒,20754,20754.gif
儡,20769,20769.gif
儿,20799,20799.gif
兀,20800,20800.gif
允,20801,20801.gif
元,20803,20803.gif
兄,20804,20804.gif
充,20805,20805.gif
兆,20806,20806.gif
先,20808,20808.gif
光,20809,20809.gif
克,20811,20811.gif
免,20813,20813.gif
兑,20817,20817.gif
兔,20820,20820.gif
党,20826,20826.gif
兜,20828,20828.gif
兢,20834,20834.gif
入,20837,20837.gif
全,20840,20840.gif
八,20843,20843.gif
公,20844,20844.gif
六,20845,20845.gif
兮,20846,20846.gif
兰,20848,20848.gif
共,20849,20849.gif
关,20851,20851.gif
兴,20852,20852.gif
兵,20853,20853.gif
其,20854,20854.gif
具,20855,20855.gif
典,20856,20856.gif
兹,20857,20857.gif
养,20859,20859.gif
兼,20860,20860.gif
兽,20861,20861.gif
冀,20864,20864.gif
内,20869,20869.gif
冈,20872,20872.gif
冉,20873,20873.gif
册,20876,20876.gif
再,20877,20877.gif
冒,20882,20882.gif
冕,20885,20885.gif
冗,20887,20887.gif
写,20889,20889.gif
军,20891,20891.gif
农,20892,20892.gif
冠,20896,20896.gif
冢,20898,20898.gif
冤,20900,20900.gif
冥,20901,20901.gif
冬,20908,20908.gif
冯,20911,20911.gif
冰,20912,20912.gif
冲,20914,20914.gif
决,20915,20915.gif
况,20917,20917.gif
冶,20918,20918.gif
冷,20919,20919.gif
冻,20923,20923.gif
冽,20925,20925.gif
净,20928,20928.gif
凄,20932,20932.gif
准,20934,20934.gif
凇,20935,20935.gif
凉,20937,20937.gif
凋,20939,20939.gif
凌,20940,20940.gif
减,20943,20943.gif
凑,20945,20945.gif
凛,20955,20955.gif
凝,20957,20957.gif
几,20960,20960.gif
凡,20961,20961.gif
凤,20964,20964.gif
凫,20971,20971.gif
凭,20973,20973.gif
凯,20975,20975.gif
凰,20976,20976.gif
凳,20979,20979.gif
凶,20982,20982.gif
凸,20984,20984.gif
凹,20985,20985.gif
出,20986,20986.gif
击,20987,20987.gif
函,20989,20989.gif
凿,20991,20991.gif
刀,20992,20992.gif
刁,20993,20993.gif
刃,20995,20995.gif
分,20998,20998.gif
切,20999,20999.gif
刊,21002,21002.gif
刍,21005,21005.gif
刎,21006,21006.gif
刑,21009,21009.gif
划,21010,21010.gif
列,21015,21015.gif
刘,21016,21016.gif
则,21017,21017.gif
刚,21018,21018.gif
创,21019,21019.gif
初,21021,21021.gif
删,21024,21024.gif
判,21028,21028.gif
刨,21032,21032.gif
利,21033,21033.gif
别,21035,21035.gif
刮,21038,21038.gif
到,21040,21040.gif
制,21046,21046.gif
刷,21047,21047.gif
券,21048,21048.gif
刹,21049,21049.gif
刺,21050,21050.gif
刻,21051,21051.gif
刽,21053,21053.gif
剁,21057,21057.gif
剂,21058,21058.gif
剃,21059,21059.gif
削,21066,21066.gif
前,21069,21069.gif
剐,21072,21072.gif
剑,21073,21073.gif
剔,21076,21076.gif
剖,21078,21078.gif
剜,21084,21084.gif
剥,21093,21093.gif
剧,21095,21095.gif
剩,21097,21097.gif
剪,21098,21098.gif
副,21103,21103.gif
割,21106,21106.gif
剽,21117,21117.gif
剿,21119,21119.gif
劁,21121,21121.gif
劈,21128,21128.gif
劐,21136,21136.gif
力,21147,21147.gif
劝,21149,21149.gif
办,21150,21150.gif
功,21151,21151.gif
加,21152,21152.gif
务,21153,21153.gif
劣,21155,21155.gif
动,21160,21160.gif
助,21161,21161.gif
努,21162,21162.gif
劫,21163,21163.gif
劬,21164,21164.gif
劭,21165,21165.gif
励,21169,21169.gif
劲,21170,21170.gif
劳,21171,21171.gif
劾,21182,21182.gif
势,21183,21183.gif
勃,21187,21187.gif
勇,21191,21191.gif
勉,21193,21193.gif
勋,21195,21195.gif
勒,21202,21202.gif
勘,21208,21208.gif
募,21215,21215.gif
勤,21220,21220.gif
勺,21242,21242.gif
勾,21246,21246.gif
勿,21247,21247.gif
匀,21248,21248.gif
包,21253,21253.gif
匆,21254,21254.gif
匈,21256,21256.gif
匕,21269,21269.gif
化,21270,21270.gif
北,21271,21271.gif
匙,21273,21273.gif
匝,21277,21277.gif
匠,21280,21280.gif
匡,21281,21281.gif
匣,21283,21283.gif
匪,21290,21290.gif
匮,21294,21294.gif
匹,21305,21305.gif
区,21306,21306.gif
医,21307,21307.gif
匾,21310,21310.gif
匿,21311,21311.gif
十,21313,21313.gif
千,21315,21315.gif
卅,21317,21317.gif
升,21319,21319.gif
午,21320,21320.gif
