rank,sn,cihui,pinyin,ref_hanzi,ref_pinyin,pos,definition,example
35001,1,风势,fēngshì,,,名,风的势头,风势变化不大
35001,2,风势,fēngshì,,,名,比喻事物发展变化的情势,看不准风势，他不会贸然行动。
35005,1,晨星,chénxīng,,,名,清晨尚未消失的星,
35005,2,晨星,chénxīng,,,名,日出前在东方出现的金星和水星,
35006,1,小儿麻痹症,xiǎo'ér mábìzhèng,,,,脊髓灰质炎的通称,
35007,1,余缺,yúquē,,,名,多余的和欠缺的,余缺互补
35007,2,余缺,yúquē,,,名,编制之内空缺的名额,填补余缺
35009,1,俏皮话,qiàopihuà,,,名,风趣幽默或有嘲讽意味的话,他爱说俏皮话逗乐儿｜遇到看不惯的事，他常会说上几句俏皮话。
35009,2,俏皮话,qiàopihuà,,,名,特指歇后语,
35010,1,立式,lìshì,,,形,物体的长度和宽度都小于高度样式的（跟“卧式”相区别）,立式衣柜｜立式锅炉
35010,2,立式,lìshì,,,形,站立着的,立式射击
35011,1,军饷,jūnxiǎng,,,名,军人的给养和薪金,
35014,1,月子,yuèzi,,,名,妇女生育后的第一个月,她正在月子里
35014,2,月子,yuèzi,,,名,产妇分娩期,她的月子是五月底。
35015,1,底本,dǐběn,,,名,留底儿的稿本,这部书的底本至今保存完好
35015,2,底本,dǐběn,,,名,校勘、翻译、刊印以及抄写所依据的本子,照着底本校对
35015,3,底本,dǐběn,,,名,做生意的本钱,小店底本有限，恕不赊欠
35017,1,街灯,jiēdēng,,,名,街道上的路灯,
35018,1,卸车,xièchē,,,动,从车上卸下装运的东西,
35018,2,卸车,xièchē,,,动,把拉车的牲口从车上解（jiě）开来,
35020,1,特快专递,tèkuài zhuāndì,,,,邮政特快专递的简称,
35021,1,不欢而散,bùhuān'érsàn,,,,不高兴地分手,二人言语不合，闹得不欢而散。
35023,1,远走高飞,yuǎnzǒu-gāofēi,,,,向远处跑，往高处飞。形容到很远的地方去,
35024,1,在所不惜,zàisuǒbùxī,,,,指决不吝惜,
35025,1,保险箱,bǎoxiǎnxiāng,,,名,形状像箱子的小型保险柜,
35025,2,保险箱,bǎoxiǎnxiāng,,,名,比喻安全可靠、无风险的地方,
35027,1,拦路虎,lánlùhǔ,,,名,原比喻拦路抢劫的强盗；现多比喻遇到的困难、障碍等,
35029,1,小老婆,xiǎolǎopo,,,名,妾；姨太太,
35030,1,转角,zhuǎnjiǎo,,,名,街巷等拐弯的地方,
35032,1,醇厚,chúnhòu,,,形,（味道）纯正浓厚,
35034,1,脱轨,tuōguǐ,,,动,车轮离开轨道；比喻言行越出常规,加强自律，谨防行为脱轨。
35035,1,吊装,diàozhuāng,,,动,建筑工程中把预制构件吊起来安装在预定的位置上,
35037,1,万全,wànquán,,,形,形容（计划、办法等）十分周密稳妥,没有万全之策
35039,1,口风,kǒufēng,,,名,从话语中透露出来的信息,事先一点儿口风也没露。
35040,1,训话,xùnhuà,,,动,上级对下属发表教导或告诫性的言辞,校长训话｜出发前团长训了一通话。
35041,1,类同,lèitóng,,,动,大致相同,图案类同｜手法类同
35043,1,命相,mìngxiàng,,,名,迷信指能够显示人的命运的相貌特征；也指生辰八字,
35046,1,去职,qùzhí,,,动,离开原来的职位,因病去职
35048,1,裙带,qúndài,,,名,系裙子的带子；比喻姻亲关系（含贬义）,靠裙带关系当了个部门经理。
35049,1,粗粮,cūliáng,,,名,一般指大米、白面以外的食粮，如玉米、高粱、小米等,粗粮细做
35050,1,抱病,bàobìng,,,动,带着病,抱病指挥战斗
35054,1,银耳,yín'ěr,,,名,真菌的一种。白色，半透明，富含胶质。可食用，也可以做药材,
35056,1,旧业,jiùyè,,,名,原先的职业,重操旧业
35056,2,旧业,jiùyè,,,名,旧日的家业,重整旧业
35058,1,担惊受怕,dānjīng-shòupà,,,,承受惊吓恐惧,
35062,1,利己主义,lìjǐ zhǔyì,,,,把个人利益放在首位，不顾他人或集体利益的思想,
35064,1,癖好,pǐhào,,,名,长期形成的对某种事物特殊而强烈的爱好,除了读书，别无癖好。
35066,1,花心,huāxīn,,,名,指对爱情不专一的心思,她不相信丈夫有花心。
35066,2,花心,huāxīn,,,形,形容对爱情不专一,这小子太花心
35069,1,立体声,lìtǐshēng,,,名,使人感到声源分布在整个空间的声音。立体声效果是通过适当组合和安排传声器、放大系统和扬声器而产生的,
35071,1,拔河,báhé,,,动,一种体育运动。人数相等的两队各执长绳的一端，同时向相反的方向用力拉，把长绳中间的标志拉过规定界线的一方获胜,
35074,1,南征北战,nánzhēng-běizhàn,,,形,形容转战各地，打过许多仗,
35075,1,至爱,zhì'ài,,,形,最喜爱的；最热爱的,至爱儿女｜至爱亲朋
35075,2,至爱,zhì'ài,,,名,最爱的人或事物,读书成为他生活的至爱。
35077,1,起拍,qǐpāi,,,动,从某一价位开始拍卖,那幅画以20万元的价格起拍。
35078,1,补过,bǔguò,,,动,补救过失,将功补过
35079,1,分身,fēnshēn,,,动,指抽出时间或精力去做另外的事情（多用于否定）,我太忙，实在不能分身。
35080,1,原装,yuánzhuāng,,,形,由原生产单位封装后，未经启封的,原装白兰地
35080,2,原装,yuánzhuāng,,,形,由原生产单位整体生产，而不是其他单位组装的,购买原装彩色电视机。
35081,1,风纪,fēngjì,,,名,作风和纪律,整肃风纪｜风纪严明
35085,1,上货,shànghuò,,,动,进货,老板上货去了
35085,2,上货,shànghuò,,,动,把货物摆上柜台,柜台空了，马上上货。
35086,1,黑奴,hēinú,,,名,黑人奴隶；欧美殖民主义者对黑种人的蔑称,
35087,1,双关,shuāngguān,,,名,修辞手法，利用语言上多义或同音关系，使字面上是一种意思，暗中隐含另一种意思。分语义双关和谐音双关两种,
35088,1,药箱,yàoxiāng,,,名,装药的箱子；特指医生出诊时携带的装有药物和简单医疗器械的小箱子,
35089,1,打理,dǎlǐ,,,动,料理；经营,夫妻都上班，家里没人打理｜打理公司业务
35091,1,重炮,zhòngpào,,,名,榴弹炮、加农炮、高射炮等重型大炮的统称,
35092,1,连翘,liánqiáo,,,名,落叶灌木，枝条中空、下垂，单叶对生，呈卵形或长椭圆形，春季开黄花。果实和果壳可以做药材。本名“连”，又名“异翘”，故称连翘,
35093,1,甲子,jiǎzǐ,,,名,古代用十天干和十二地支依次相配（如甲子、乙丑、丙寅……）共得六十组，统称甲子，用以纪日和纪年。纪年时六十年为一个轮回，也叫一个甲子,
35095,1,纪念封,jìniànfēng,,,名,邮政部门为纪念重大事件、重要人物及其他有重要意义的事物等而发行的专供集邮者收藏的特制信封。上面印有纪念性的文字和图案,
35096,1,防空洞,fángkōngdòng,,,名,为防备空袭而挖的洞,
35096,2,防空洞,fángkōngdòng,,,名,比喻能掩护坏人、坏思想的处所或事物,
35098,1,圣诞树,shèngdànshù,,,名,圣诞节用的一种装饰品，一般为杉、柏等常绿树。树上缀有彩色灯泡、蜡烛、玩具、礼品等。在家庭或集会上摆设,
35100,1,电信号,diànxìnhào,,,名,用变化的电流或电磁波发出的信号,
