rank,sn,hanzi,pinyin,ref_hanzi,ref_pinyin,pos,definition,example
5512,1,鹳,guàn,,,名,鸟，外形像鹤，也像鹭，嘴长而直，翼大尾短。善飞翔，生活在近水地区，捕食鱼、虾等。种类很多，常见的有白鹳、黑鹳两种,
5547,1,诳,kuáng,,,动,欺骗；瞒哄,诳语｜诳言
5553,1,诌,zhōu,,,动,随口编造,瞎诌｜胡诌
5561,1,缫,sāo,,,动,从泡在开水里的蚕茧中抽出丝,缫丝织绸｜先缫后织
5572,1,馕,nǎng,,,动,〈口〉尽力往嘴里塞（食物）,一下子就把包子馕进嘴里了。
5572,2,馕,náng,,,名,一种烤制的面饼，维吾尔族、哈萨克族、柯尔克孜族等多作为主食,
5608,1,滗,bì,,,动,挡住容器中泡在液体里的东西，把液体倒出,滗出一碗米汤｜药熬好了就滗出来
5609,1,戗,qiàng,,,动,支撑；顶住,墙要倒了，快拿杠子戗住。
5609,2,戗,qiàng,,,动,承受,他体质弱，戗不住。
5609,3,戗,qiāng,,,动,逆；向着相对的方向（行动）,戗风骑车费劲
5609,4,戗,qiāng,,,动,〈口〉言语冲突,两人戗了几句
5669,1,碇,dìng,,,名,船停泊时在岸上系住船身的石礅,启碇
5688,1,咝,sī,,,拟声,模拟导火线点燃、子弹在空中飞过时发出的声音等,点着的导火线咝咝地响，直冒火花。
5711,1,泅,qiú,,,动,游水,泅水｜武装泅渡
5733,1,掼,guàn,,,动,某些地区指扔或摔,掼纱帽｜掼了一个跟头
5754,1,铙,náo,,,名,古代军中的铜制打击乐器。形状像铃而较大，中间没有舌，有短柄，用锤敲击发声。行军时，用铙声制止击鼓,
5754,2,铙,náo,,,名,打击乐器。与钹形制相似，只是中间隆起部分较小，发音较低，余音较长,铜铙｜铙钹
5776,1,攮,nǎng,,,动,（用刀）刺,让人攮了一刀
5781,1,嘬,chuài,,,动,咬；大口吞食,嘬食
5781,2,嘬,zuō,,,动,用嘴吸吮；【咂】用嘴吸；呷,嘬奶嘴｜嘬手指头
5783,1,凫,fú,,,名,野鸭,
5793,1,氡,dōng,,,名,非金属元素，符号：Rn。无色无臭气体，在大气中含量极少，有放射性，是镭、钍等放射性元素蜕变形成的物质，对人体危害大。可用作γ射线源,
5854,1,锔,jú,,,名,金属元素，符号：Cm。银白色，化学性质活泼，有放射性。可用作人造卫星和宇宙飞船的热电源,
5854,2,锔,jū,,,动,用锔子连接破裂的金属、陶瓷类器物,把大缸锔一下｜锔锅｜锔碗
5871,1,煺,tuì,,,动,猪、鸡等宰杀后经滚水浸烫去掉毛,煺猪｜煺鸡毛
5888,1,籴,dí,,,动,买入（粮食）（跟“粜”相对）,籴米
5894,1,皴,cūn,,,动,（皮肤）因风吹或受冻而粗糙起皱或裂口,手皴了
5894,2,皴,cūn,,,名,〈口〉皮肤表面或褶皱中积存的老皮或泥垢,搓搓脚上的皴｜一脖子皴
5894,3,皴,cūn,,,名,皴法,
5902,1,砘,dùn,,,名,播种后用来压实松土的石制农具,石砘｜砘子
5902,2,砘,dùn,,,动,播种后用砘子压实松土,用砘子砘一砘
5944,1,镫,dèng,,,名,鞍子两旁供骑坐人脚蹬（dēng）的用具,马镫｜脚镫
5944,2,镫,dēng,,,名,古代盛熟食用的器皿,
5951,1,疔,dīng,,,名,中医指病理变化快并引起全身症状的一种毒疮。形小根深，坚硬如钉，多长在颜面和四肢末梢,
6013,5,仡佬族,gēlǎozú,,,名,我国少数民族之一。主要分布在贵州、广西、云南。,
6034,1,嗥,háo,,,动,（某些野兽）吼叫,嗥叫｜狼嗥
6047,1,礅,dūn,,,名,厚实粗大的整块石头,石礅
6081,1,耪,pǎng,,,动,用锄松土,耪地｜耪高粱
6098,1,醭,bú,,,名,醋、酱、酱油等表面生出的白霉,
6179,1,绲,gǔn,,,名,〈文〉编织的带子,绲带
6189,1,屙,ē,,,动,某些地区指排泄（大小便）,屙屎｜屙尿
6316,1,酽,yàn,,,形,（汁液）浓,喜欢喝酽茶｜把墨研得酽酽的
6317,1,劁,qiāo,,,动,骟（多用于猪）,劁猪
6336,1,飕,sōu,,,拟声,模拟风吹过的声音,凉风飕飕
6336,2,飕,sōu,,,动,风吹（使变干或变冷）,湿衣服让风飕干了。
6340,1,埝,niàn,,,名,河边或田间用来挡水的土埂,土埝｜河埝｜埝埂
6383,1,侉,kuǎ,,,形,〈口〉说话口音不纯正；跟本地语音不合,这个人说话有点侉｜侉子
6383,2,侉,kuǎ,,,形,粗笨；土气,侉大个儿｜侉里侉气
6440,1,劐,huō,,,动,〈口〉用刀剪等划开物体,用刀子把面袋劐个口子。
6440,2,劐,huō,,,,耠,
6491,1,癍,bān,,,名,皮肤生斑点的病；也指皮肤生的斑点,祛湿除癍｜润肤祛癍
6522,1,耧,lóu,,,名,开沟播种的农具。用畜力或人力牵引，人在后面扶持,
6618,1,垧,shǎng,,,量,我国北方使用的地积单位，大小各地不同，东北地区1垧一般合15市亩，西北地区一般合3市亩或5市亩,
6668,1,攉,huō,,,动,把堆在一处的煤、矿石等铲起来放到另一处或运载的车厢里,攉石渣｜攉煤机
6671,1,埯,ǎn,,,名,为点种瓜、豆等作物而挖的小土坑,
6671,2,埯,ǎn,,,动,挖小土坑点种（瓜、豆等）,埯瓜｜埯豆
6671,3,埯,ǎn,,,量,用于点种在小土坑里的瓜、豆等,几埯儿南瓜
6702,1,搌,zhǎn,,,动,（用可吸入液体的东西）擦拭、按压，除去液体,用纸搌一搌墨｜搌布
6728,1,骟,shàn,,,动,割除家畜的睾丸或卵巢,把这匹马骟了｜骟羊
6732,1,捯,dáo,,,动,两手不断替换着往回拉或绕（线、绳等）,把风筝捯下来｜捯线
6732,2,捯,dáo,,,动,顺着线索追究,这件事已经捯出头儿来了｜捯根儿
6732,3,捯,dáo,,,动,两脚倒换着急速地迈步,两条腿紧捯也跟不上前面的人。
6772,1,眍,kōu,,,动,眼窝深陷,发了两天烧，眼睛都眍进去了｜累得都眍眼了｜眍䁖
