rank,sn,cihui,pinyin,ref_hanzi,ref_pinyin,pos,definition,example
70008,1,赤忱,chìchén,,,形,十分诚挚,赤忱相待
70008,2,赤忱,chìchén,,,名,十分诚挚的心意,满怀赤忱｜奉献赤忱
70024,1,刺参,cìshēn,,,名,海参的一种。体呈圆柱形，前端口周有20个触手，背面有4—6行肉刺。再生力很强。可人工养殖,
70024,2,刺参,cìshēn,,,名,多刺灌木，小枝密生直刺，叶近圆形，边缘有带短刺和刺毛的锯齿，果实球形。根、茎可以做药材,
70045,1,慢性子,mànxìngzi,,,形,（脾气、性格）缓慢的,他是个慢性子人，你得勤催着点儿。
70045,2,慢性子,mànxìngzi,,,名,慢性子的人,我和这慢性子过不到一块儿。
70052,1,填方,tiánfāng,,,动,土建工程中回填土石方,移土填方
70052,2,填方,tiánfāng,,,名,土建工程中回填到低洼处的土石方,
70053,1,田垄,tiánlǒng,,,名,田埂,
70053,2,田垄,tiánlǒng,,,名,【垄】在耕地上培起的用来种植农作物的土埂,
70063,1,钻工,zuàngōng,,,名,操作钻床的工种,
70063,2,钻工,zuàngōng,,,名,从事钻工工作的工人,
70118,1,管界,guǎnjiè,,,名,所管辖的地区,
70118,2,管界,guǎnjiè,,,名,所管辖地区的边界,
70212,1,公私兼顾,gōngsī-jiāngù,,,,既要以国家、集体的大局为重，又要照顾好个人利益,
70212,2,公私兼顾,gōngsī-jiāngù,,,,解放初期特指对民族资本主义工商业的政策，兼顾公方（国家）和私方（资本家）的利益,公私兼顾，劳资两利。
70236,1,挥斥,huīchì,,,动,斥责；指斥,挥斥敌顽，义正词严。
70236,2,挥斥,huīchì,,,形,（意气）奔放,书生意气，挥斥方遒。
70279,1,直性子,zhíxìngzi,,,形,性情直爽,
70279,2,直性子,zhíxìngzi,,,名,性情直爽的人,他是个直性子
70333,1,出账,chūzhàng,,,动,将已经支出的款项、财物登入账簿,
70333,2,出账,chūzhàng,,,名,支出的款项,购置设备有三万元的出账。
70342,1,药饵,yào'ěr,,,名,药用的糕饼类食品,
70342,2,药饵,yào'ěr,,,名,拌上毒药的诱饵,用药饵灭鼠
70377,1,藏掖,cángyē,,,动,竭力掩藏、遮盖,这件事是藏掖不住的｜别藏藏掖掖的了
70377,2,藏掖,cángyē,,,名,藏掖的事,我把知道的都说了，绝对没有什么藏掖。
70400,1,降调,jiàngdiào,,,名,音高由高而低的声调,普通话的去声字读降调。
70400,2,降调,jiàngdiào,,,动,降职调动,因不能胜任原职，已被降调到基层。
70408,1,亮底,liàngdǐ,,,动,将内情公开,别卖关子了，快亮底吧。
70408,2,亮底,liàngdǐ,,,动,显示结果,谁是第一名，评委们很快就要亮底了。
70523,1,绵里藏针,miánlǐ-cángzhēn,,,,比喻表面柔和而内心尖刻,
70523,2,绵里藏针,miánlǐ-cángzhēn,,,,比喻外柔内刚，柔中有刚,
70558,1,吃大户,chīdàhù,,,,旧时遇到荒年，饥民合伙到富豪家吃饭或抢夺粮食,
70558,2,吃大户,chīdàhù,,,,比喻违背国家政策，向较富裕的单位或个人摊派钱款或索取财物,
70567,1,姑太太,gūtàitai,,,名,父亲的姑奶奶,
70567,2,姑太太,gūtàitai,,,名,娘家对已出嫁的长辈女子的尊称,
70572,1,哽噎,gěngyē,,,动,食物堵住食管，不能下咽,食物哽噎在咽喉中引起窒息。
70572,2,哽噎,gěngyē,,,动,哽咽,
70677,1,锻工,duàngōng,,,名,锻造金属材料的工种,锻工车间
70677,2,锻工,duàngōng,,,名,从事锻工的工人,
70686,1,提调,tídiào,,,动,指挥调度；提取调用,随时听从领导提调｜提调档案
70686,2,提调,tídiào,,,名,负责调度的人,由他担任总提调
70742,1,袭取,xíqǔ,,,动,出其不意地攻占,乘机袭取了该战略重镇。
70742,2,袭取,xíqǔ,,,动,沿用（旧的或已有的制度、经验、做法等）,不能一成不变地袭取前人的经验。
70774,1,习染,xírǎn,,,动,长期接触而染上（不良行为或嗜好）,习染上坏习气
70774,2,习染,xírǎn,,,名,坏习惯,防止产生不良的习染。
70808,1,云汉,yúnhàn,,,名,银河,相期邈云汉
70808,2,云汉,yúnhàn,,,名,云霄,豪气冲云汉
70828,1,哑嗓,yǎsǎng,,,名,发音沙哑的嗓子,
70828,2,哑嗓,yǎsǎng,,,动,嗓子沙哑,他哑嗓将近一年了。
70883,1,吆五喝六,yāowǔ-hèliù,,,,原指掷色子时的呼喊声（五、六是色子的高点，掷到者可望获胜）；泛指赌博时的喧嚣声,
70883,2,吆五喝六,yāowǔ-hèliù,,,形,形容大声喝令、盛气凌人,
70907,1,浊世,zhuóshì,,,名,〈文〉黑暗混乱的时代,
70907,2,浊世,zhuóshì,,,名,佛教指尘世,
70971,1,半中间,bànzhōngjiān,,,名,物体的中间部位,竿子从半中间断了。
70971,2,半中间,bànzhōngjiān,,,名,比喻事情进行的中间阶段,这首歌他唱到半中间就唱不下去了。
70997,1,巧劲儿,qiǎojìnr,,,名,〈口〉巧妙的方法、节省力气的手段,干这种活儿要使巧劲儿，不能使笨劲儿。
70997,2,巧劲儿,qiǎojìnr,,,名,〈口〉凑巧的事,咱们同名同姓，真是巧劲儿!
70998,1,三原色,sānyuánsè,,,名,指红、绿、蓝三种色光。它们在不同强度下可以复合成光谱中的各种色光,
70998,2,三原色,sānyuánsè,,,名,颜料或染料中指品红、黄、青三种颜色,
71020,1,编派,biānpai,,,动,夸大或捏造别人的短处,千万不要干那种编派人的缺德事儿。
71020,2,编派,biānpai,,,动,编造情节取笑（他人）,我就知道你是在编派我呢。
71026,1,调弄,tiáonòng,,,动,玩弄；戏弄,他总爱调弄人
71026,2,调弄,tiáonòng,,,动,拨弄调整（乐器）,调弄琵琶
71027,1,白饶,báiráo,,,动,无偿地附带赠送,买两件衬衣，白饶一双袜子。
71027,2,白饶,báiráo,,,动,白费,一上午都算白饶了，什么也没干成。
71041,1,宿疾,sùjí,,,名,长期没有治愈的病；老病,宿疾难治
71041,2,宿疾,sùjí,,,名,比喻长久积累的弊端,宿疾难改
71042,1,喜帖,xǐtiě,,,名,请人参加婚礼的请柬,
71042,2,喜帖,xǐtiě,,,名,旧时议定婚嫁时，男方送给女方的聘帖,
71053,1,昏话,hūnhuà,,,名,头脑不清醒时说的话；胡话,神志不清，直说昏话。
71053,2,昏话,hūnhuà,,,名,荒谬无理的话,不讲道理，净说昏话。
71062,1,翎子,língzi,,,名,清代官员礼帽上标志官品高低的孔雀翎或雉尾翎,
71062,2,翎子,língzi,,,名,戏曲中武将帽子上起装饰作用的雉尾翎,
71116,1,奢想,shēxiǎng,,,动,【奢望】过分地希望,
71116,2,奢想,shēxiǎng,,,名,【奢望】过分的希望,
71123,1,旁顾,pánggù,,,动,侧转头看旁边,旁顾无人，他才对我说了这些话。
71123,2,旁顾,pánggù,,,动,顾及其他的人和事物,专心著述，无暇旁顾。
71125,1,积食,jīshí,,,动,停食,
71125,2,积食,jīshí,,,名,滞留在胃里的食物,
71182,1,改容,gǎiróng,,,动,改变面容,
71182,2,改容,gǎiróng,,,动,改变神态,收敛怒气，改容相迎。
71183,1,斥退,chìtuì,,,动,旧指免去官职或开除学籍,
71183,2,斥退,chìtuì,,,动,命令（身边的下属或仆役等）退出,斥退左右
71222,1,缩头缩脑,suōtóu-suōnǎo,,,形,形容心虚胆怯的样子,
71222,2,缩头缩脑,suōtóu-suōnǎo,,,,比喻胆子小，怕负责任,
71283,1,贴边,tiēbiān,,,名,缝在衣服或其他织物里面边缘处的窄条,
71283,2,贴边,tiēbiān,,,动,沾边,不贴边的话
71291,1,软蛋,ruǎndàn,,,名,软外壳的禽蛋,
71291,2,软蛋,ruǎndàn,,,名,比喻懦弱无能的人,
71320,1,花线,huāxiàn,,,名,彩色的丝线,
71320,2,花线,huāxiàn,,,名,两股或三股拧在一起的包有绝缘材料的电源线,
71322,1,死信,sǐxìn,,,名,人死亡的消息,死信传来，大家万分悲痛。
71322,2,死信,sǐxìn,,,名,瞎信,
71339,1,花信,huāxìn,,,名,花期,月季的花信很长
71339,2,花信,huāxìn,,,名,指花信风,
71344,1,鼓包,gǔbāo,,,动,身体或物体上鼓起疙瘩,手背上鼓包了
71344,2,鼓包,gǔbāo,,,名,身体或物体上鼓起的疙瘩,手背上长了个鼓包。
71405,1,小钢炮,xiǎogāngpào,,,名,指小型的轻便火炮,
71405,2,小钢炮,xiǎogāngpào,,,名,比喻敢于大胆提意见的人（多指年轻人）,他是我们组里的小钢炮，说话又急又冲。
71422,1,凑份子,còufènzi,,,,每人按份额出钱，凑在一起送礼或办事,我们这儿给小刘结婚凑份子呢。
71422,2,凑份子,còufènzi,,,,〈口〉【凑热闹】添麻烦；添乱,
71469,1,贬称,biǎnchēng,,,名,含有贬义的称呼,“蛮”“夷”等是古代对兄弟民族的贬称。
71469,2,贬称,biǎnchēng,,,动,用贬义名词称呼,一些小青年贬称他为“土老帽儿”。
71495,1,塑封,sùfēng,,,动,（把照片、证件等）用塑料薄膜套起来，再用塑封机烫贴封口,塑封过的照片好保存。
71495,2,塑封,sùfēng,,,名,用塑料薄膜制成的封皮或封套,外面套着塑封
71516,1,散座,sǎnzuò,,,名,指剧场、影院中包厢以外的座位；也指饭馆中包桌、包间以外的零散座位,
71516,2,散座,sǎnzuò,,,名,旧指人力车夫拉的不固定的乘客,
71569,1,上蹿下跳,shàngcuān-xiàtiào,,,形,形容动物上下跳跃,
71569,2,上蹿下跳,shàngcuān-xiàtiào,,,,上窜下跳,
71602,1,藤编,téngbiān,,,动,用藤子编织,他擅长藤编｜藤编椅子
71602,2,藤编,téngbiān,,,名,用藤子编织的器物,这些藤编十分精巧。
71628,1,踢蹬,tīdeng,,,动,又踢又蹬,把地板踢蹬得山响。
71628,2,踢蹬,tīdeng,,,动,〈口〉折腾；受折磨,跑了一天也没办成事，真踢蹬死人了。
71628,3,踢蹬,tīdeng,,,动,〈口〉挥霍；糟蹋,把家业都踢蹬光了。
71628,4,踢蹬,tīdeng,,,动,〈口〉处理；清理,
71684,1,沾手,zhānshǒu,,,动,用手接触,水太烫了，不敢沾手。
71684,2,沾手,zhānshǒu,,,动,比喻介入某事,这件事你千万不要沾手。
71762,1,草体,cǎotǐ,,,名,草书,
71762,2,草体,cǎotǐ,,,名,拼音字母的手写体,
71803,1,斗子,dǒuzi,,,名,盛东西的斗状器具,水斗子
71803,2,斗子,dǒuzi,,,名,煤矿里装煤运煤的器具,斗子车
71826,1,吃小灶,chīxiǎozào,,,,在集体大食堂吃比较好的饭菜（跟“吃大灶”相区别）,
