rank,sn,hanzi,pinyin,ref_hanzi,ref_pinyin,pos,definition,example
5572,1,馕,nǎng,,,动,〈口〉尽力往嘴里塞（食物）,一下子就把包子馕进嘴里了。
5572,2,馕,náng,,,名,一种烤制的面饼，维吾尔族、哈萨克族、柯尔克孜族等多作为主食,
5609,1,戗,qiàng,,,动,支撑；顶住,墙要倒了，快拿杠子戗住。
5609,2,戗,qiàng,,,动,承受,他体质弱，戗不住。
5609,3,戗,qiāng,,,动,逆；向着相对的方向（行动）,戗风骑车费劲
5609,4,戗,qiāng,,,动,〈口〉言语冲突,两人戗了几句
5754,1,铙,náo,,,名,古代军中的铜制打击乐器。形状像铃而较大，中间没有舌，有短柄，用锤敲击发声。行军时，用铙声制止击鼓,
5754,2,铙,náo,,,名,打击乐器。与钹形制相似，只是中间隆起部分较小，发音较低，余音较长,铜铙｜铙钹
5781,1,嘬,chuài,,,动,咬；大口吞食,嘬食
5781,2,嘬,zuō,,,动,用嘴吸吮；【咂】用嘴吸；呷,嘬奶嘴｜嘬手指头
5854,1,锔,jú,,,名,金属元素，符号：Cm。银白色，化学性质活泼，有放射性。可用作人造卫星和宇宙飞船的热电源,
5854,2,锔,jū,,,动,用锔子连接破裂的金属、陶瓷类器物,把大缸锔一下｜锔锅｜锔碗
5894,1,皴,cūn,,,动,（皮肤）因风吹或受冻而粗糙起皱或裂口,手皴了
5894,2,皴,cūn,,,名,〈口〉皮肤表面或褶皱中积存的老皮或泥垢,搓搓脚上的皴｜一脖子皴
5894,3,皴,cūn,,,名,皴法,
5902,1,砘,dùn,,,名,播种后用来压实松土的石制农具,石砘｜砘子
5902,2,砘,dùn,,,动,播种后用砘子压实松土,用砘子砘一砘
5944,1,镫,dèng,,,名,鞍子两旁供骑坐人脚蹬（dēng）的用具,马镫｜脚镫
5944,2,镫,dēng,,,名,古代盛熟食用的器皿,
6336,1,飕,sōu,,,拟声,模拟风吹过的声音,凉风飕飕
6336,2,飕,sōu,,,动,风吹（使变干或变冷）,湿衣服让风飕干了。
6383,1,侉,kuǎ,,,形,〈口〉说话口音不纯正；跟本地语音不合,这个人说话有点侉｜侉子
6383,2,侉,kuǎ,,,形,粗笨；土气,侉大个儿｜侉里侉气
6440,1,劐,huō,,,动,〈口〉用刀剪等划开物体,用刀子把面袋劐个口子。
6440,2,劐,huō,,,,耠,
6671,1,埯,ǎn,,,名,为点种瓜、豆等作物而挖的小土坑,
6671,2,埯,ǎn,,,动,挖小土坑点种（瓜、豆等）,埯瓜｜埯豆
6671,3,埯,ǎn,,,量,用于点种在小土坑里的瓜、豆等,几埯儿南瓜
6732,1,捯,dáo,,,动,两手不断替换着往回拉或绕（线、绳等）,把风筝捯下来｜捯线
6732,2,捯,dáo,,,动,顺着线索追究,这件事已经捯出头儿来了｜捯根儿
6732,3,捯,dáo,,,动,两脚倒换着急速地迈步,两条腿紧捯也跟不上前面的人。
