rank,sn,cihui,pinyin,ref_hanzi,ref_pinyin,pos,definition,example
65006,1,银杉,yínshān,,,名,常绿乔木，树干通直，树冠塔形，叶子条形，球果卵圆形。是我国特有的稀有树种，属国家保护植物,
65008,1,凶焰,xiōngyàn,,,名,凶暴的气焰,敌人的凶焰被压下去了。
65012,1,大材小用,dàcái-xiǎoyòng,,,,大材料用在小处；比喻人才使用不当，浪费人才,
65018,1,地老天荒,dìlǎo-tiānhuāng,,,,天荒地老,
65019,1,筵宴,yányàn,,,名,筵席；宴会,
65023,1,螟虫,míngchóng,,,名,螟蛾的幼虫，种类很多。多数生活在水稻、高粱、玉米等农作物的茎秆中，吃茎秆的髓部，危害农作物,
65025,1,声辩,shēngbiàn,,,动,公开辩白,为自己声辩
65027,1,宽宥,kuānyòu,,,动,宽恕；原谅,多有冒犯，尚祈宽宥。
65028,1,拜客,bàikè,,,动,拜访亲友,父亲出门拜客去了。
65029,1,黏着,niánzhuó,,,动,粘（zhān）在一起；附着,黏着力
65031,1,蜡炬,làjù,,,名,蜡烛,
65032,1,驼色,tuósè,,,名,像骆驼毛似的浅棕色,驼色风衣
65033,1,批点,pīdiǎn,,,动,阅读时在书刊、文章上加批注和圈点,批点二十四史
65039,1,怫然,fúrán,,,形,形容生气或发怒的样子,怫然不悦｜怫然而去｜怫然作色
65040,1,银匠,yínjiang,,,名,制造金银饰品、器物的工匠,
65047,1,蟾宫,chángōng,,,名,指月亮。传说月宫中有蟾蜍，故称,
65049,1,蹲坑,dūnkēng,,,名,供蹲着排泄粪便的便坑,这个厕所只有蹲坑，没有马桶。
65049,2,蹲坑,dūnkēng,,,动,蹲守,蹲坑监控
65056,1,缮写,shànxiě,,,动,抄写,缮写公文
65057,1,毁誉参半,huǐyù-cānbàn,,,,（对某人或某事物）诽谤和赞誉的话各占一半,
65059,1,弹跳力,tántiàolì,,,名,多指脚用力蹬地后所产生的向上或向前的力量，一般以弹跳高度和远近为衡量标准,
65061,1,圣诞卡,shèngdànkǎ,,,名,送给别人祝贺圣诞节的卡片,
65069,1,团练,tuánliàn,,,名,旧时地主豪绅组织的地方武装,
65069,2,团练,tuánliàn,,,名,指团练的头目,
65072,1,弓背,gōngbèi,,,动,弯着背；驼背,弯腰弓背
65072,2,弓背,gōngbèi,,,名,弓上呈弧形的部分,
65073,1,允当,yǔndàng,,,形,妥当；得当,用词允当
65075,1,线香,xiànxiāng,,,名,用香料、木屑等制成的细长而不带棒儿的香。用于祭祀、礼佛或为室内增添香气。,
65078,1,凤仙花,fèngxiānhuā,,,名,一年生草本植物，夏季开花，花色很多。红色的花瓣可用来染指甲，花和种子可以做药材。俗称指甲花,
65080,1,高姿态,gāozītài,,,名,指在解决与他人的矛盾时表现出的严于律己、宽以待人的态度,双方都采取高姿态，问题就好解决。
65081,1,逼供信,bīgòngxìn,,,,对受审人逼供，并不经核实便将其口供作为定罪的依据,审案必须重调查，重证据，严禁逼供信。
65083,1,和事佬,héshìlǎo,,,名,指不讲原则的调解人,
65084,1,糊涂账,hútuzhàng,,,名,混乱不清的账目；也比喻搞不清楚的事情,这件事谁也说不清，成了一笔糊涂账。
65085,1,纱灯,shādēng,,,名,用薄纱做罩的灯笼,
65086,1,牙慧,yáhuì,,,名,《世说新语·文学》：“殷中军（注：殷浩）云：‘康伯未得我牙后慧。’”原指言外的意趣，后指他人已有的观点、见解和说法,拾人牙慧
65092,1,耳廓,ěrkuò,,,名,耳郭,
65099,1,虎口拔牙,hǔkǒu-báyá,,,,比喻冒极大危险去做某件事,
65100,1,拱坝,gǒngbà,,,名,修建在河谷里的拦水坝。两端与两岸岩石相连，坝身向上游方向拱出，可以承受较大的水流压力。多用混凝土或浆砌石块筑成,
65101,1,看扁,kànbiǎn,,,动,小看；看不起,别把人看扁了
65106,1,坨子,tuózi,,,名,成块、成团的东西,泥坨子
65107,1,乘方,chéngfāng,,,名,一个数自乘若干次所得的积。如8是2的3次乘方,（也说乘幂。）
65107,2,乘方,chéngfāng,,,动,一个数自乘若干次的运算。如2的3次乘方就是2自乘3次，写为23,
65109,1,坟冢,fénzhǒng,,,名,坟墓,
65110,1,浅白,qiǎnbái,,,形,浅显明白,说得很浅白
65111,1,锐眼,ruìyǎn,,,名,敏锐的眼光,锐眼识真伪
65119,1,不过尔尔,bùguò-ěr'ěr,,,,不过如此而已（第一个“尔”：如此，这样；第二个“尔”：而已）,
65120,1,蝇营狗苟,yíngyíng-gǒugǒu,,,,像苍蝇那样追脏逐臭，像狗那样苟且求安。比喻不择手段地到处钻营，追逐名利,
65123,1,胆小如鼠,dǎnxiǎo-rúshǔ,,,,胆子小得像老鼠。形容胆量极小,
65124,1,胰子,yízi,,,名,肥皂,
65124,2,胰子,yízi,,,名,猪、羊等的胰脏,
65128,1,私章,sīzhāng,,,名,刻有个人名字的印章,
65132,1,哈喇,hāla,,,形,食油或带油食品放久变质而味道不正,火腿哈喇了｜月饼有哈喇味儿
