definition_id,pinyin_id,definition_sn,pos,definition_cn,definition_en
36439,21323,1,名词,有史料可考的最早的祖先,earliest ancestor
36440,21323,2,名词,指首创某种学术、技艺或宗教的人,founder
36441,21323,3,形容词,最初的；原始的,primitive
36442,21324,1,动词,疮口或伤口长好,heal
36443,21325,1,名词,（下棋、赛球等）分不出输赢的结局,draw
36444,21326,1,形容词,沉着稳重,steady
36445,21326,2,形容词,安稳踏实,stable
36446,21327,1,,大气污染,air pollution
36447,21328,1,动词,亲自经历,personally experience
36448,21329,1,名词,居住的地址。包括所在的城镇、乡村、街道的名称和门牌号码,address
36449,21330,1,动词,把不好的或不合适的东西去掉,remove
36450,21331,1,名词,临近国界的或边远的城市,border town
36451,21332,1,名词,早春；春季的第一个月，即农历正月,early spring
36452,21333,1,动词,用物品作抵押，向当铺借高利率的钱。按约定的抵押期限，付本金和利息赎回抵押品。到期无力还钱，抵押品归当铺所有,pawn
36453,21334,1,形容词,刚正豪迈,noble and bold
36454,21334,2,形容词,盛大广阔,vast
36455,21335,1,动词,违背和触犯（法律、法规等）,violate
36456,21336,1,动词,出世；出生（一般指宗教创始人等非凡人物）,be born
36457,21337,1,名词,指内容相对独立又互有联系的三部文学作品，如巴金的《家》《春》《秋》称为“激流三部曲”；也比喻有内在联系的三件事或者事情发展的三个阶段,trilogy
36458,21338,1,名词,天主教和东正教等教徒出家隐居修行的机构。在天主教会中也指培养神职人员的宗教学校,monastery
36459,21339,1,动词,互相映衬或衬托,set each other off
36460,21340,1,动词,向后撤退；从前边撤回,retreat
36461,21341,1,名词,荒谬有害的言论或理论,heresy
36462,21342,1,名词,植物茎叶、粪便或垃圾在隔绝空气的条件下经过微生物的分解作用而产生的气体，主要成分是甲烷。可作燃料或化工原料,marsh gas
36463,21343,1,名词,整个身体；全身,whole body
36464,21344,1,动词,极其像,closely resemble
36465,21345,1,形容词,光芒闪射的样子,glittering
36466,21346,1,形容词,形容地位最高，没有能超过的,supreme
36467,21347,1,,指肆意妄为，毫无顾忌（忌惮：顾忌，畏惧）,unscrupulous
36468,21348,1,名词,正房前面两侧的房屋,wing-room
36469,21349,1,动词,围在四周坐,sit around
36470,21350,1,数词,表示一百左右的约数,about a hundred
36471,21351,1,动词,抬头看；睁眼看,raise one's eyes
36472,21352,1,名词,电风扇,electric fan
36473,21352,2,名词,旧时夏天扇（shān）风取凉的器具，布制，一端吊在梁上，靠人力拉动生风,fan
36474,21353,1,动词,紧跟在后面,tail
36475,21354,1,动词,胡乱打闹；无理取闹,act senselessly
36476,21354,2,动词,蛮干；乱来,mess around
36477,21355,1,名词,研究、阐述佛教的学问,Buddhist studies
36478,21356,1,形容词,比喻离奇古怪，不合事理,weird
36479,21356,2,动词,指死去或消亡,go to hell
36480,21357,1,动词,客套话，长时间没见面,long time no see
36481,21358,1,名词,比喻劣势或不利的位置,disadvantageous position
36482,21358,2,名词,风吹去的方向,downwind
36483,21359,1,动词,看望问候,visit
36484,21359,2,动词,伸出头察看,look out
36485,21360,1,名词,脚掌,sole
36486,21361,1,名词,荧光屏,screen
36487,21362,1,动词,使运行中的机器或运输工具减速或停止运行,brake
36488,21363,1,,各种消费支出在总消费支出中所占的比例关系,consumption structure
36489,21364,1,名词,盔和甲，古代打仗时为护身而穿戴的帽子和衣服，用金属、藤或皮革制成,armor
36490,21365,1,名词,不见于正式记载、鲜为人知的事迹,anecdote
36491,21366,1,名词,手电筒,flashlight
36492,21367,1,动词,还可以,passable
36493,21368,1,动词,用行动或钱物抵偿、弥补罪过,atone for sin
36494,21369,1,名词,哺乳动物，体形和家马相似，耳短小，鬃毛短直，尾毛长而多，体毛浅棕色，腹部为浅黄色。生活在荒漠草原地带，群居，性凶猛。产于我国甘肃、新疆、内蒙古等地，属国家保护动物,wild horse
36495,21370,1,动词,到公园或花园里游玩,visit a garden
36496,21371,1,动词,宽解安慰,console
36497,21371,2,形容词,宽松欣慰,relieved
36498,21372,1,名词,外祖父,maternal grandfather
36499,21373,1,名词,有关毒品犯罪的案件,drug case
36500,21374,1,动词,超出于,surpass
36501,21375,1,动词,交付,pay
36502,21376,1,动词,向人行礼表示道歉,apologize
36503,21377,1,名词,犹太人的民族宗教。信奉耶和华神，基督教的《旧约全书》原先就是犹太教的经典（犹太：希伯来语Yěhūdhi音译）。（也说以色列教。）,Judaism
36504,21378,1,名词,由结核杆菌造成的肺部慢性传染病。症状是低烧、咳嗽、多痰、消瘦、盗汗、咯血等。通称肺病,tuberculosis
36505,21379,1,动词,借别人钱财尚未归还；也比喻对人的承诺尚未兑现,owe a debt
36506,21379,2,名词,指所欠的债款或尚未兑现的承诺,debt
36507,21380,1,名词,动物界最高等的类群。体形左右对称，全身分头、躯干、尾3部分，有脊柱和发达的头骨，有较完善的感觉器官、运动器官和高度分化的神经系统。包括鱼类、两栖类、爬行类、鸟类和哺乳类5大类,vertebrate
36508,21381,1,动词,不敢前进；往后退,hang back
36509,21382,1,动词,暗中谋划损害别人,scheme
36510,21382,2,动词,考虑；计划,plan
36511,21382,3,动词,猜测；估计,guess
36512,21382,4,动词,计算数目,calculate
36513,21383,1,动词,因同情而做好事,do good
36514,21384,1,,不同的人说出同样的话。形容众人的说法或意见完全一致,unanimously
36515,21385,1,形容词,危险程度高的,high-risk
36516,21386,1,动词,低温贮存,refrigerate
36517,21387,1,动词,严重损害,damage
36518,21387,2,名词,引起祸害的人或事,scourge
36519,21387,3,名词,灾难；祸患,disaster
36520,21388,1,动词,阅读并钻研,study
36521,21389,1,形容词,气息微弱的样子,faint
36522,21390,1,动词,克制；抑制,restrain
