hanzi_id,hanzi,frequency_rank,pinyin_id,pinyin,pinyin_sn
55001,胳膊,5001,8701,gē bo,1
55002,风暴,5002,8702,fēng bào,1
55003,抱怨,5003,8703,bào yuàn,1
55004,验证,5004,8704,yàn zhèng,1
55005,大好,5005,8705,dà hǎo,1
55006,高考,5006,8706,gāo kǎo,1
55007,无偿,5007,8707,wú cháng,1
55008,探测,5008,8708,tàn cè,1
55010,成年人,5010,8709,chéng nián rén,1
55011,名词,5011,8710,míng cí,1
55012,卡车,5012,8711,kǎ chē,1
55013,的士,5013,8712,dī shì,1
55014,投放,5014,8713,tóu fàng,1
55015,层层,5015,8714,céng céng,1
55018,风貌,5018,8715,fēng mào,1
55020,发动机,5020,8716,fā dòng jī,1
55021,抵制,5021,8717,dǐ zhì,1
55022,面目,5022,8718,miàn mù,1
55023,集成,5023,8719,jí chéng,1
55024,验收,5024,8720,yàn shōu,1
55025,收盘,5025,8721,shōu pán,1
55026,行驶,5026,8722,xíng shǐ,1
55027,身亡,5027,8723,shēn wáng,1
55029,师生,5029,8724,shī shēng,1
55030,救济,5030,8725,jiù jì,1
55031,中学生,5031,8726,zhōng xué shēng,1
55032,丝绸,5032,8727,sī chóu,1
55034,便于,5034,8728,biàn yú,1
55035,客机,5035,8729,kè jī,1
55036,而今,5036,8730,ér jīn,1
55037,歧视,5037,8731,qí shì,1
55039,客厅,5039,8732,kè tīng,1
55041,西欧,5041,8733,xī ōu,1
55042,老爷,5042,8734,lǎo ye,1
55043,章程,5043,8735,zhāng chéng,1
55045,王子,5045,8736,wáng zǐ,1
55046,抵押,5046,8737,dǐ yā,1
55047,风云,5047,8738,fēng yún,1
55048,联手,5048,8739,lián shǒu,1
55049,国际贸易,5049,8740,guó jì mào yì,1
55050,中毒,5050,8741,zhòng dú,1
55051,再就业,5051,8742,zài jiù yè,1
55053,销毁,5053,8743,xiāo huǐ,1
55054,节省,5054,8744,jié shěng,1
55055,入手,5055,8745,rù shǒu,1
55056,举世,5056,8746,jǔ shì,1
55058,亮相,5058,8747,liàng xiàng,1
55061,推翻,5061,8748,tuī fān,1
55062,流量,5062,8749,liú liàng,1
55063,曲折,5063,8750,qū zhé,1
55065,年均,5065,8751,nián jūn,1
55066,偶尔,5066,8752,ǒu ěr,1
55067,征求,5067,8753,zhēng qiú,1
55068,纯收入,5068,8754,chún shōu rù,1
55069,味精,5069,8755,wèi jīng,1
55070,山地,5070,8756,shān dì,1
55071,施加,5071,8757,shī jiā,1
55072,处置,5072,8758,chǔ zhì,1
55073,处境,5073,8759,chǔ jìng,1
55075,经商,5075,8760,jīng shāng,1
55076,窗户,5076,8761,chuāng hu,1
55077,世界卫生组织,5077,8762,shì jiè wèi shēng zǔ zhī,1
55078,有待,5078,8763,yǒu dài,1
55080,反动,5080,8764,fǎn dòng,1
55081,部件,5081,8765,bù jiàn,1
55082,观赏,5082,8766,guān shǎng,1
55083,康复,5083,8767,kāng fù,1
55085,造型,5085,8768,zào xíng,1
55086,风情,5086,8769,fēng qíng,1
55087,使用权,5087,8770,shǐ yòng quán,1
55088,管制,5088,8771,guǎn zhì,1
55089,死者,5089,8772,sǐ zhě,1
55090,在手,5090,8773,zài shǒu,1
55091,生人,5091,8774,shēng rén,1
55092,帮忙,5092,8775,bāng máng,1
55093,公主,5093,8776,gōng zhǔ,1
55095,攻势,5095,8777,gōng shì,1
55098,年历,5098,8778,nián lì,1
55099,众生,5099,8779,zhòng shēng,1
55100,任职,5100,8780,rèn zhí,1
55101,审核,5101,8781,shěn hé,1
55102,重任,5102,8782,zhòng rèn,1
55103,颁奖,5103,8783,bān jiǎng,1
55104,护士,5104,8784,hù shi,1
55105,火车站,5105,8785,huǒ chē zhàn,1
55106,揭露,5106,8786,jiē lù,1
55107,哪怕,5107,8787,nǎ pà,1
55108,万一,5108,8788,wàn yī,1
55109,迷信,5109,8789,mí xìn,1
55110,眼镜,5110,8790,yǎn jìng,1
55111,宣称,5111,8791,xuān chēng,1
55112,崇拜,5112,8792,chóng bài,1
55113,工作组,5113,8793,gōng zuò zǔ,1
55114,突发,5114,8794,tū fā,1
55115,响应,5115,8795,xiǎng yìng,1
55117,借口,5117,8796,jiè kǒu,1
55118,回落,5118,8797,huí luò,1
55119,拿下,5119,8798,ná xià,1
55120,不法,5120,8799,bù fǎ,1
55121,租赁,5121,8800,zū lìn,1
55122,开心,5122,8801,kāi xīn,1
55123,不当,5123,8802,bù dàng,1
55124,丛书,5124,8803,cóng shū,1
55127,弟子,5127,8804,dì zǐ,1
55128,公有制,5128,8805,gōng yǒu zhì,1
55129,迅猛,5129,8806,xùn měng,1
55130,新高,5130,8807,xīn gāo,1
55131,折磨,5131,8808,zhé mó,1
55132,尽早,5132,8809,jǐn zǎo,1
55133,国运,5133,8810,guó yùn,1
55135,省份,5135,8811,shěng fèn,1
55136,流血,5136,8812,liú xuè,1
55137,游击队,5137,8813,yóu jī duì,1
55138,共享,5138,8814,gòng xiǎng,1
55139,专程,5139,8815,zhuān chéng,1
55140,违纪,5140,8816,wéi jì,1
55141,战斗机,5141,8817,zhàn dòu jī,1
55142,前线,5142,8818,qián xiàn,1
55143,审美,5143,8819,shěn měi,1
55144,值班,5144,8820,zhí bān,1
55146,浓厚,5146,8821,nóng hòu,1
55147,三代,5147,8822,sān dài,1
55148,彩色,5148,8823,cǎi sè,1
55149,中国人民解放军,5149,8824,zhōng guó rén mín jiě fàng jūn,1
55150,冒险,5150,8825,mào xiǎn,1
55151,电视机,5151,8826,diàn shì jī,1
55152,旋律,5152,8827,xuán lǜ,1
55153,以内,5153,8828,yǐ nèi,1
55154,打听,5154,8829,dǎ ting,1
55155,刊物,5155,8830,kān wù,1
55156,日后,5156,8831,rì hòu,1
55157,业者,5157,8832,yè zhě,1
55158,信息产业,5158,8833,xìn xī chǎn yè,1
55159,抽象,5159,8834,chōu xiàng,1
55160,前期,5160,8835,qián qī,1
55161,大意,5161,8836,dà yi,1
55161,大意,5161,8837,dà yì,2
55162,辩证,5162,8838,biàn zhèng,1
55163,传染病,5163,8839,chuán rǎn bìng,1
55164,传达,5164,8840,chuán dá,1
55165,力学,5165,8841,lì xué,1
55167,温柔,5167,8842,wēn róu,1
55168,生产资料,5168,8843,shēng chǎn zī liào,1
55169,辩论,5169,8844,biàn lùn,1
55170,防护,5170,8845,fáng hù,1
55172,等候,5172,8846,děng hòu,1
55173,转达,5173,8847,zhuǎn dá,1
55174,加之,5174,8848,jiā zhī,1
55176,珍惜,5176,8849,zhēn xī,1
55177,传真,5177,8850,chuán zhēn,1
55178,赤字,5178,8851,chì zì,1
55179,预定,5179,8852,yù dìng,1
55180,观光,5180,8853,guān guāng,1
55181,成品,5181,8854,chéng pǐn,1
55182,念头,5182,8855,niàn tou,1
55183,个数,5183,8856,gè shù,1
55184,总共,5184,8857,zǒng gòng,1
55185,起源,5185,8858,qǐ yuán,1
55186,糊涂,5186,8859,hú tu,1
55187,治家,5187,8860,zhì jiā,1
55189,要好,5189,8861,yào hǎo,1
55191,族权,5191,8862,zú quán,1
55192,供水,5192,8863,gōng shuǐ,1
55194,经纪,5194,8864,jīng jì,1
55195,以免,5195,8865,yǐ miǎn,1
55196,录取,5196,8866,lù qǔ,1
55197,轻重,5197,8867,qīng zhòng,1
55198,学理,5198,8868,xué lǐ,1
55199,多多,5199,8869,duō duō,1
55200,歌声,5200,8870,gē shēng,1
55201,责令,5201,8871,zé lìng,1
55202,餐厅,5202,8872,cān tīng,1
55203,演唱,5203,8873,yǎn chàng,1
55204,供求,5204,8874,gōng qiú,1
55205,召集,5205,8875,zhào jí,1
55206,手下,5206,8876,shǒu xià,1
55207,重伤,5207,8877,zhòng shāng,1
55208,不胜,5208,8878,bù shèng,1
55210,无穷,5210,8879,wú qióng,1
55211,大风,5211,8880,dà fēng,1
55212,生命力,5212,8881,shēng mìng lì,1
55214,竞技,5214,8882,jìng jì,1
55216,衷心,5216,8883,zhōng xīn,1
55217,恋爱,5217,8884,liàn ài,1
55218,撤销,5218,8885,chè xiāo,1
55219,本文,5219,8886,běn wén,1
55220,缺点,5220,8887,quē diǎn,1
55221,菜系,5221,8888,cài xì,1
55222,民办,5222,8889,mín bàn,1
55223,宴会,5223,8890,yàn huì,1
55224,事务所,5224,8891,shì wù suǒ,1
55225,挂牌,5225,8892,guà pái,1
55226,养成,5226,8893,yǎng chéng,1
55227,小事,5227,8894,xiǎo shì,1
55228,要人,5228,8895,yào rén,1
55229,物流,5229,8896,wù liú,1
55230,有期,5230,8897,yǒu qī,1
