hanzi_id,hanzi,combinations
1,的,的士｜的确｜好的
2,了,了解｜完了｜走了
3,是,是的｜不是｜是否
4,一,一个｜第一｜一样
5,在,在家｜现在｜存在
6,不,不要｜不是｜不能
7,我,我们｜我的｜自我
8,有,没有｜有人｜拥有
9,人,人民｜人们｜个人
10,这,这个｜这里｜这样
11,个,个人｜一个｜整个
12,他,他们｜他的｜其他
13,和,和平｜和谐｜和我
14,中,中国｜中间｜其中
15,来,来到｜起来｜未来
16,国,中国｜国家｜国际
17,上,上面｜上班｜上网
18,大,大家｜大学｜大小
19,们,我们｜他们｜人们
20,要,要求｜需要｜重要
21,会,会议｜学会｜不会
22,为,为了｜作为｜因为
23,就,就是｜就要｜成就
24,到,到达｜看到｜到处
25,说,说话｜说明｜小说
26,年,今年｜去年｜年轻
27,你,你们｜你的｜你好
28,也,也是｜也要｜也许
29,以,可以｜所以｜以前
30,地,地方｜地球｜土地
31,生,生活｜学生｜生命
32,时,时间｜时候｜同时
33,对,对于｜对方｜面对
34,出,出现｜出去｜出发
35,好,好的｜好看｜友好
36,能,能够｜能力｜功能
37,发,发现｜发展｜头发
38,可,可以｜可能｜可是
39,都,都是｜都有｜首都
40,子,孩子｜儿子｜子女
41,着,看着｜沿着｜跟着
42,过,过去｜经过｜超过
43,得,得到｜觉得｜记得
44,去,过去｜回去｜去年
45,家,家庭｜回家｜家人
46,下,下面｜下班｜下午
47,还,还是｜还有｜还要
48,多,多少｜很多｜多数
49,那,那个｜那里｜那么
50,里,里面｜这里｜哪里
51,学,学习｜学校｜学生
52,作,工作｜作为｜作业
53,日,日本｜日期｜生日
54,看,看见｜看书｜好看
55,经,经过｜已经｜经常
56,后,后面｜以后｜后来
57,道,道理｜知道｜道路
58,行,行动｜行为｜进行
59,成,成功｜成为｜完成
60,现,现在｜出现｜现代
61,没,没有｜没事｜没关系
62,自,自己｜自由｜自然
63,事,事情｜故事｜事业
64,天,天气｜今天｜天空
65,开,开始｜开心｜开放
66,么,什么｜怎么｜那么
67,用,使用｜有用｜用品
68,小,小孩｜小学｜小心
69,工,工作｜工人｜工厂
70,而,而且｜然而｜而是
71,她,她们｜她的｜她家
72,于,于是｜关于｜对于
73,想,想法｜想象｜想起
74,很,很好｜很快｜很多
75,起,起来｜起床｜想起
76,第,第一｜第二｜第三
77,点,一点｜重点｜地点
78,业,业务｜职业｜作业
79,方,方法｜方面｜方向
80,进,进步｜进入｜前进
81,主,主要｜主人｜主席
82,动,动作｜动物｜活动
83,与,与其｜参与｜与人为善
84,样,样子｜这样｜那样
85,月,月亮｜月份｜本月
86,法,法律｜方法｜办法
87,民,人民｜民族｜民主
88,等,等待｜等等｜等级
89,同,同学｜同样｜不同
90,把,把握｜把手｜把戏
91,面,面前｜面包｜方面
92,但,但是｜不但｜但愿
93,实,实际｜实现｜实在
94,分,分别｜分数｜部分
95,所,所以｜所有｜所在
96,心,心情｜心理｜心脏
97,新,新闻｜新鲜｜新年
98,定,一定｜决定｜安定
99,部,部分｜部门｜内部
100,本,本来｜书本｜基本
101,如,如果｜比如｜如此
102,之,之间｜之前｜之后
103,理,理解｜道理｜理由
