rank,sn,cihui,pinyin,ref_hanzi,ref_pinyin,pos,definition,example,definition_en
80002,1,吐穗,tǔ suì,,,动,稻、麦、高粱等禾本科植物长出穗,吐穗扬花,to ear (of cereal crops)
80003,1,蒜黄,suàn huáng,,,名,黄色蒜叶。大蒜在不受阳光照射并在适当的温度、湿度下培育成的蔬菜,蒜黄炒鸡蛋很美味｜蒜黄是冬季常见蔬菜,blanched garlic leaves
80011,1,乞援,qǐ yuán,,,动,乞求支援,向亲友乞援,to beg for assistance
80013,1,累次,lěi cì,,,副,表示动作行为多次重复；屡次,工作累次失误,repeatedly
80014,1,邮售,yóu shòu,,,动,通过邮递方式销售（物品）,这家书店提供邮售服务｜他通过邮售购买了很多书籍,to sell by mail
80015,1,发付,fā fù,,,动,发给；交付,把工程发付给信誉好的公司承办｜工资每月发付一次,to issue; to deliver
80023,1,发哑,fā yǎ,,,动,嗓音变得沙哑,感冒挺重，说话声音都发哑了。,to become hoarse
80024,1,优盘,yōu pán,,,名,闪存盘。因连接在电子计算机 USB 接口上使用，故称（优：英文字母U的音译）,我的优盘存了很多资料｜请把文件拷到优盘里,USB flash drive
80025,1,联奏,lián zòu,,,动,把一组乐曲串联起来，由若干不同的乐器轮流演奏或同一团队依次演奏,音乐会上有段精彩的联奏｜这首联奏由五种乐器完成,to play a medley
80032,1,厮熟,sī shú,,,形,彼此很熟悉,混得厮熟,mutually familiar
80034,1,巡哨,xún shào,,,动,巡逻侦察,今晚二班巡哨,to patrol and reconnoiter
80042,1,奋击,fèn jī,,,动,奋力攻击；奋力搏击,群起奋击,to strike fiercely
80048,1,催奶,cuī nǎi,,,动,用药物或食品促使产妇分泌较多的乳汁,喝鲫鱼汤催奶,to promote lactation
80055,1,枉驾,wǎng jià,,,动,敬词，用于称对方来访，表示委屈大驾,先生枉驾光临，深感荣幸。,your gracious visit (honorific)
80060,1,水锈,shuǐ xiù,,,名,水垢,水壶里积了厚厚的水锈｜水锈会影响热水器效率,scale (in kettles etc.)
80060,2,水锈,shuǐ xiù,,,名,器皿长期盛水留下的痕迹,茶杯上有明显的水锈｜水锈很难彻底清除,water stain
80061,1,隐疾,yǐn jí,,,名,不便向别人说的疾病,他有隐疾不愿告诉别人｜这种隐疾需要及时治疗,unmentionable disease
80066,1,拉后腿,lā hòu tuǐ,,,,比喻局部工作不力而影响全局工作的进展,这个部门总是拉后腿｜不能因为个人原因拉后腿,to hold back overall progress
80066,2,拉后腿,lā hòu tuǐ,,,,比喻利用亲情或密切的关系阻挠或牵制他人正当的行动,她总是被家庭拉后腿,to hinder someone through personal ties
80070,1,月台票,yuè tái piào,,,名,站台票,买张月台票送朋友｜月台票已停止发售,platform ticket
80074,1,围击,wéi jī,,,动,围攻,敌军被团团围击｜他们遭到猛烈围击,to besiege and attack
80077,1,丧假,sāng jià,,,名,按照规定给予居丧的人的假期,他请了三天丧假｜丧假一般不超过七天,bereavement leave
80081,1,小叶杨,xiǎo yè yáng,,,名,落叶乔木，叶子比毛白杨小，呈倒卵形或椭圆形。木材质地软，可供造纸、建筑、制造火柴等用,这片小叶杨长势很好｜小叶杨是很好的造纸原料,small-leaved poplar
80085,1,敷陈,fū chén,,,动,铺叙；详细论述,他详细敷陈了观点｜文章敷陈了历史背景,to elaborate in detail
80089,1,跑腿儿,pǎo tuǐ er,,,动,在人手下奔走忙碌做杂事,我经常帮他跑腿儿｜跑腿儿能赚些零花钱,to run errands
80094,1,潜踪,qián zōng,,,动,隐藏行踪,潜踪匿迹,to hide one's tracks
80107,1,转弯子,zhuǎn wān zi,,,,比喻改变观点,时代进步了，思想也要转弯子。,to change one's viewpoint
80107,2,转弯子,zhuàn wān zi,,,,比喻说话拐弯抹角，不直截了当,你就直接说吧，不要转弯子了。,to beat around the bush
80113,1,浮词,fú cí,,,名,不切实际或浮夸的话,浮词虚语｜改削浮词，直书其事。,empty rhetoric
80119,1,斗心眼儿,dòu xīn yǎn er,,,,耍心眼儿,他俩总爱斗心眼儿｜职场中少斗心眼儿,to scheme against each other
80120,1,阴宅,yīn zhái,,,名,迷信指坟墓,这座阴宅风水很好｜阴宅需要定期修缮,grave (superstition)
80128,1,现世报,xiàn shì bào,,,,迷信认为，做了坏事的人现世就会得到报应,他这是现世报｜作恶多端终得现世报,instant karma (superstition)
80134,1,傻劲儿,shǎ jìn er,,,名,愚笨、糊涂的样子,搞错了你还笑，看你这傻劲儿。,foolish manner
80134,2,傻劲儿,shǎ jìn er,,,名,死力气；蛮劲,不要光靠傻劲儿，得动脑子。,brute strength
80137,1,端架子,duān jià zi,,,,摆架子,他总爱端架子｜领导从不端架子,to put on airs
80144,1,土老帽儿,tǔ lǎo mào er,,,名,指不合时尚、言行和衣着土里土气的人（含讥讽意）,别穿得像个土老帽儿｜他说话像个土老帽儿,bumpkin (derogatory)
80151,1,大伯子,dà bǎi zi,,,名,丈夫的哥哥,我大伯子很照顾我｜大伯子比他大五岁,husband's elder brother
80152,1,青麻,qīng má,,,名,苘（qǐng）麻的通称,青麻可以制作绳索｜这片地里种着青麻,chingma abutilon
80156,1,跟屁虫,gēn pì chóng,,,名,称跟在别人屁股后边亦步亦趋、毫无主见的人（含轻蔑意）,他就像个跟屁虫｜别总当别人的跟屁虫,copycat (derogatory)
80166,1,啧啧称羡,zé zé chēng xiàn,,,连,声赞叹，表示羡慕,大家对他啧啧称羡｜他的成就令人啧啧称羡,to click the tongue in admiration
80168,1,见财起意,jiàn cái qǐ yì,,,,见到钱财就产生想要占有的念头,他见财起意偷了钱包｜不能见财起意做坏事,to be moved to covet by sight of wealth
80186,1,饭勺,fàn sháo,,,名,盛饭用的勺子,饭勺放在厨房｜请用饭勺盛饭,rice scoop
80187,1,后脑勺儿,hòu nǎo sháo er,,,名,脑袋后面凸起的部分。呈半球形，形似勺子，故称,他后脑勺儿很圆｜碰到后脑勺儿了,back of the head
80190,1,实心眼儿,shí xīn yǎn er,,,名,心地实在的人,他是个实心眼儿，有什么说什么。,straightforward person
80190,2,实心眼儿,shí xīn yǎn er,,,形,心地实在,他是个实心眼儿的人。,straightforward
80191,1,向隅而泣,xiàng yú ér qì,,,,面对着墙角哭泣；形容极其孤立和绝望,他独自向隅而泣｜失败后向隅而泣,to weep all alone in despair
80192,1,汗斑,hàn bān,,,名,汗液蒸发后留在衣帽等上面的盐碱斑迹,衬衫上有汗斑｜汗斑很难洗干净,sweat stain
80198,1,盔头,kuī tou,,,名,戏曲中角色所戴的各种帽子的统称。主要用来表示人物的身份，不同性别、年龄、性格的角色戴的盔头都不一样,这个盔头很精美｜演员戴着华丽的盔头,opera headdress
80200,1,螳臂当车,táng bì dāng chē,,,,螳螂举起前足妄想挡住前进的车子。比喻不自量力必然失败,你这是螳臂当车｜螳臂当车不自量力,mantis trying to stop a chariot (overambitious)
80201,1,不孚众望,bù fú zhòng wàng,,,,不能使众人信服；不能达到众人所期望的那样（孚：令人信服）,他的表现不孚众望｜这个决定不孚众望,not commanding public confidence
80203,1,反坐,fǎn zuò,,,动,古代指对诬告者按其诬告别人的罪名进行惩罚。如诬告别人杀人，就按杀人罪惩罚诬告者（坐：定罪）,诬告者被反坐定罪｜古代法律有反坐规定,to punish false accuser with their false charge
80207,1,倾动,qīng dòng,,,动,使人佩服震动,艺术团的表演倾动了全城。,to deeply impress
80223,1,贪天之功,tān tiān zhī gōng,,,,把上天所成就的功绩说成是自己的。现多指抹杀群众或他人的作用，把一切功劳归于自己,他贪天之功据为己有｜不能贪天之功,to claim credit for others' achievements
80225,1,鬼蜮伎俩,guǐ yù jì liǎng,,,,比喻用心险恶、暗中害人的手段,识破他的鬼蜮伎俩｜这些鬼蜮伎俩很阴险,devilish stratagem
80226,1,称贺,chēng hè,,,动,祝贺,欣逢寿诞，特来称贺。,to congratulate
80236,1,暗锁,àn suǒ,,,名,锁身不外露的锁，一般用钥匙才能锁上,门上装了暗锁｜暗锁比较安全,built-in lock
80237,1,偷天换日,tōu tiān huàn rì,,,,比喻暗中以假代真，掩盖事实真相，达到欺骗、蒙混的目的,他偷天换日篡改账本｜这是偷天换日的把戏,to substitute the fake for the genuine
80240,1,柳笛,liǔ dí,,,名,用嫩柳条外皮制成的哨子，吹出的声音像笛子,孩子们吹着柳笛｜柳笛声音很清脆,willow whistle
80241,1,悬灯结彩,xuán dēng jié cǎi,,,,张灯结彩,节日里悬灯结彩｜大厅悬灯结彩很热闹,to decorate with lanterns and streamers
80246,1,有闻必录,yǒu wén bì lù,,,,凡是听到的都一定记录下来,记者有闻必录｜他有闻必录的习惯,to record everything heard
80252,1,坠马,zhuì mǎ,,,动,落马,他在比赛中坠马｜将军坠马受伤,to fall from a horse
80265,1,祝告,zhù gào,,,动,祷告,她向天祝告｜在庙里祝告祈福,to pray
80267,1,实益,shí yì,,,名,实际的利益,这能带来实益｜追求实际实益,tangible benefit
80270,1,萧规曹随,xiāo guī cáo suí,,,,汉初萧何做丞相，制定律令制度，后来曹参继任丞相，完全照萧何的成规办事。比喻完全照前人的规矩工作,他萧规曹随很稳妥｜新领导萧规曹随,to follow established rules
80274,1,贡奉,gòng fèng,,,动,向朝庭或上司贡献物品；进贡,遣使贡奉,to offer tribute
80278,1,便路,biàn lù,,,名,【便道】近而方便的小路,走便路省时间,shortcut
80286,1,打小算盘,dǎ xiǎo suàn pan,,,,比喻不顾大局，只为自己或局部利益打算,他总爱打小算盘｜不能只顾打小算盘,to be calculating about petty gains
80299,1,减号,jiǎn hào,,,名,减法运算符号，即“-”,减号表示减法｜别忘了写减号,minus sign
80307,1,水中捞月,shuǐ zhōng lāo yuè,,,,海底捞月,这是水中捞月白费力｜水中捞月一场空,to fish for the moon in water (futile)
80308,1,牙轮,yá lún,,,名,齿轮,机器需要更换牙轮｜牙轮磨损严重,gear wheel
80326,1,沸反盈天,fèi fǎn yíng tiān,,,,声音像沸腾的水那样翻滚，充满空间（反：翻滚）。形容人声喧闹，乱成一片,现场沸反盈天｜市场里沸反盈天,bubbling with noise
80329,1,委决不下,wěi jué bù xià,,,,一时决定不了,他委决不下很犹豫｜这件事委决不下,unable to decide
80344,1,耍心眼儿,shuǎ xīn yǎn er,,,,耍小聪明；暗用心计,应该以诚待人，不要耍心眼儿。,to scheme
80351,1,不咎既往,bù jiù jì wǎng,,,,既往不咎,我们不咎既往｜领导不咎既往,to forgive past misdeeds
80356,1,黑板擦,hēi bǎn cā,,,名,用以擦净黑板的用具,黑板擦不见了｜用黑板擦擦黑板,blackboard eraser
80359,1,赴敌,fù dí,,,动,到战场同敌人作战,齐心赴敌,to go into battle
80362,1,和光同尘,hé guāng tóng chén,,,,《老子》五十六章：“和其光，同其尘。”意思是含敛光耀，混同尘世。后用“和光同尘”比喻随波逐流，不露锋芒的处世态度,他和光同尘很低调｜处世和光同尘,to conceal one's brilliance
80364,1,肘窝,zhǒu wō,,,名,肘关节内侧凹下去的部位,打针在肘窝进行｜肘窝部位很敏感,cubital fossa
80367,1,妖里妖气,yāo li yāo qì,,,形,形容服装奇异、神态妖冶的样子,她打扮得妖里妖气｜妖里妖气的样子,seductively dressed
80371,1,脉案,mài àn,,,名,中医在处方上写的诊断结果,医生写了脉案｜脉案记录很详细,TCM diagnosis record
80403,1,心到神知,xīn dào shén zhī,,,,迷信指诚心敬神，神便得知，不必有过多的供奉和礼拜。今多比喻对人敬重，重在心意，不必送礼或一再表白,心到神知重在诚意｜送礼不必心到神知,sincere intentions are enough
80413,1,心广体胖,xīn guǎng tǐ pán,,,,《礼记·大学》：“富润屋，德润身，心广体胖。”原意是胸襟宽阔，身体也就安泰舒适。现在多指心中无忧无虑，因而身体健壮,他心广体胖很健康｜退休后心广体胖,carefree and contented
80424,1,鼓风炉,gǔ fēng lú,,,名,装有鼓风装置的冶炼炉，用来冶炼有色金属；也指冶炼炉的鼓风装置,鼓风炉正在工作｜新建了鼓风炉,blast furnace
80428,1,吊民伐罪,diào mín fá zuì,,,,安抚受苦受难的民众，讨伐罪恶的统治者,起义军吊民伐罪｜吊民伐罪正义之举,to console the people and punish tyrants
80429,1,二一添作五,èr yī tiān zuò wǔ,,,,珠算除法的一句口诀。意思是一被二除时，在算盘的横梁下去掉一，在横梁上添个五，表示商是零点五。借指双方平分,我们二一添作五平分｜利润二一添作五,to go halves
80439,1,打把式,dǎ bǎ shi,,,,练武术,早年跟师傅打把式卖艺。,to practice martial arts
80446,1,连阴天,lián yīn tiān,,,名,连续多日的阴天,这是连阴天｜连阴天让人郁闷,prolonged overcast weather
80448,1,感光度,gǎn guāng dù,,,名,表示感光材料感光快慢的数值,调整相机感光度｜感光度设置太高,film speed
80459,1,直贡呢,zhí gòng ní,,,名,一种精致、光滑的斜纹毛织品或棉织品，质地厚实耐磨，多染成藏青色或黑色，常用来做大衣和鞋面,这件直贡呢大衣很暖和｜直贡呢质地厚实,venetian cloth
80465,1,寿筵,shòu yán,,,名,贺寿的宴席,举办隆重的寿筵｜寿筵来了很多客人,birthday banquet
80469,1,改嘴,gǎi zuǐ,,,动,改口,他马上改嘴了｜发现说错就改嘴,to change one's statement
80470,1,寿木,shòu mù,,,名,寿材,准备了上等寿木｜寿木已经做好,coffin prepared before death
80474,1,积年累月,jī nián lěi yuè,,,,经过了许多年月。形容时间很长,积年累月才完成｜积年累月的研究,over many years
80482,1,指腹为婚,zhǐ fù wéi hūn,,,,旧时一种婚姻习俗，孩子还没有出生，双方的家长就为腹中的胎儿订立婚约,他们指腹为婚｜指腹为婚的习俗,prenatal betrothal
