term,pinyin
胳膊,gēbo
风暴,fēngbào
抱怨,bàoyuàn
验证,yànzhèng
大好,dàhǎo
高考,gāokǎo
无偿,wúcháng
探测,tàncè
成年人,chéngniánrén
名词,míngcí
卡车,kǎchē
的士,dīshì
投放,tóufàng
层层,céngcéng
风貌,fēngmào
发动机,fādòngjī
抵制,dǐzhì
面目,miànmù
集成,jíchéng
验收,yànshōu
收盘,shōupán
行驶,xíngshǐ
身亡,shēnwáng
师生,shīshēng
救济,jiùjì
中学生,zhōngxuéshēng
丝绸,sīchóu
便于,biànyú
客机,kèjī
而今,érjīn
歧视,qíshì
客厅,kètīng
西欧,xī'ōu
老爷,lǎoye
章程,zhāngchéng
王子,wángzǐ
抵押,dǐyā
风云,fēngyún
联手,liánshǒu
国际贸易,guójì màoyì
中毒,zhòngdú
再就业,zàijiùyè
销毁,xiāohuǐ
节省,jiéshěng
入手,rùshǒu
举世,jǔshì
亮相,liàngxiàng
推翻,tuīfān
流量,liúliàng
曲折,qūzhé
年均,niánjūn
偶尔,ǒu'ěr
征求,zhēngqiú
纯收入,chúnshōurù
味精,wèijīng
山地,shāndì
施加,shījiā
处置,chǔzhì
处境,chǔjìng
经商,jīngshāng
窗户,chuānghu
世界卫生组织,shìjiè wèishēng zǔzhī
有待,yǒudài
反动,fǎndòng
部件,bùjiàn
观赏,guānshǎng
康复,kāngfù
造型,zàoxíng
风情,fēngqíng
使用权,shǐyòngquán
管制,guǎnzhì
死者,sǐzhě
在手,zàishǒu
生人,shēngrén
帮忙,bāngmáng
公主,gōngzhǔ
攻势,gōngshì
年历,niánlì
众生,zhòngshēng
任职,rènzhí
审核,shěnhé
重任,zhòngrèn
颁奖,bānjiǎng
护士,hùshi
火车站,huǒchēzhàn
揭露,jiēlù
哪怕,nǎpà
万一,wànyī
迷信,míxìn
眼镜,yǎnjìng
宣称,xuānchēng
崇拜,chóngbài
工作组,gōngzuòzǔ
突发,tūfā
响应,xiǎngyìng
借口,jièkǒu
回落,huíluò
拿下,náxià
不法,bùfǎ
租赁,zūlìn
开心,kāixīn
不当,bùdàng
丛书,cóngshū
弟子,dìzǐ
公有制,gōngyǒuzhì
迅猛,xùnměng
新高,xīngāo
折磨,zhémó
尽早,jǐnzǎo
国运,guóyùn
省份,shěngfèn
流血,liúxuè
游击队,yóujīduì
共享,gòngxiǎng
专程,zhuānchéng
违纪,wéijì
战斗机,zhàndòujī
前线,qiánxiàn
审美,shěnměi
值班,zhíbān
浓厚,nónghòu
三代,sāndài
彩色,cǎisè
中国人民解放军,zhōngguó rénmín jiěfàngjūn
冒险,màoxiǎn
电视机,diànshìjī
旋律,xuánlǜ
以内,yǐnèi
打听,dǎting
刊物,kānwù
日后,rìhòu
业者,yèzhě
信息产业,xìnxī chǎnyè
抽象,chōuxiàng
前期,qiánqī
大意,dàyì
大意,dàyi
辩证,biànzhèng
传染病,chuánrǎnbìng
传达,chuándá
力学,lìxué
温柔,wēnróu
生产资料,shēngchǎn zīliào
辩论,biànlùn
防护,fánghù
等候,děnghòu
转达,zhuǎndá
加之,jiāzhī
珍惜,zhēnxī
传真,chuánzhēn
赤字,chìzì
预定,yùdìng
观光,guānguāng
成品,chéngpǐn
念头,niàntou
个数,gèshù
总共,zǒnggòng
起源,qǐyuán
糊涂,hútu
治家,zhìjiā
要好,yàohǎo
族权,zúquán
供水,gōngshuǐ
经纪,jīngjì
以免,yǐmiǎn
录取,lùqǔ
轻重,qīngzhòng
学理,xuélǐ
多多,duōduō
歌声,gēshēng
责令,zélìng
餐厅,cāntīng
演唱,yǎnchàng
供求,gōngqiú
召集,zhàojí
手下,shǒuxià
重伤,zhòngshāng
不胜,bùshèng
无穷,wúqióng
大风,dàfēng
生命力,shēngmìnglì
竞技,jìngjì
衷心,zhōngxīn
恋爱,liàn'ài
撤销,chèxiāo
本文,běnwén
缺点,quēdiǎn
菜系,càixì
民办,mínbàn
宴会,yànhuì
事务所,shìwùsuǒ
挂牌,guàpái
养成,yǎngchéng
小事,xiǎoshì
要人,yàorén
物流,wùliú
有期,yǒuqī
因之,yīnzhī
跨国公司,kuàguó gōngsī
派出所,pàichūsuǒ
有为,yǒuwéi
输入,shūrù
要地,yàodì
台商,táishāng
社会效益,shèhuì xiàoyì
坚定不移,jiāndìng-bùyí
并进,bìngjìn
暂停,zàntíng
相连,xiānglián
学人,xuérén
征服,zhēngfú
演奏,yǎnzòu
邪教,xiéjiào
货运,huòyùn
强行,qiángxíng
阵容,zhènróng
金融危机,jīnróng wēijī
将近,jiāngjìn
偷偷,tōutōu
上场,shàngchǎng
衰退,shuāituì
绝望,juéwàng
会期,huìqī
雄厚,xiónghòu
果断,guǒduàn
举动,jǔdòng
无产阶级,wúchǎn jiējí
产销,chǎnxiāo
化石,huàshí
地主,dìzhǔ
自有,zìyǒu
包袱,bāofu
人头,réntóu
原定,yuándìng
消费品,xiāofèipǐn
王朝,wángcháo
经销,jīngxiāo
朝阳,cháoyáng
朝阳,zhāoyáng
通话,tōnghuà
受贿,shòuhuì
展览会,zhǎnlǎnhuì
电视剧,diànshìjù
从实,cóngshí
国力,guólì
银牌,yínpái
军用,jūnyòng
图案,tú'àn
大脑,dànǎo
内人,nèirén
行规,hángguī
防汛,fángxùn
讨厌,tǎoyàn
玫瑰,méigui
污水,wūshuǐ
诞辰,dànchén
交叉,jiāochā
多云,duōyún
鬼子,guǐzi
上月,shàngyuè
永恒,yǒnghéng
船只,chuánzhī
客场,kèchǎng
癌症,áizhèng
隐患,yǐnhuàn
水稻,shuǐdào
诱惑,yòuhuò
草地,cǎodì
何以,héyǐ
犯罪嫌疑人,fànzuì xiányírén
提取,tíqǔ
其间,qíjiān
本土,běntǔ
度假,dùjià
高手,gāoshǒu
在行,zàiháng
约合,yuēhé
华东,huádōng
齐全,qíquán
前人,qiánrén
青睐,qīnglài
