term,pinyin,cleaned_pinyin
胳膊,gēbo,gēbo
风暴,fēngbào,fēngbào
抱怨,bàoyuàn,bàoyuàn
验证,yànzhèng,yànzhèng
大好,dàhǎo,dàhǎo
高考,gāokǎo,gāokǎo
无偿,wúcháng,wúcháng
探测,tàncè,tàncè
成年人,chéngniánrén,chéngniánrén
名词,míngcí,míngcí
卡车,kǎchē,kǎchē
的士,dīshì,dīshì
投放,tóufàng,tóufàng
层层,céngcéng,céngcéng
风貌,fēngmào,fēngmào
发动机,fādòngjī,fādòngjī
抵制,dǐzhì,dǐzhì
面目,miànmù,miànmù
集成,jíchéng,jíchéng
验收,yànshōu,yànshōu
收盘,shōupán,shōupán
行驶,xíngshǐ,xíngshǐ
身亡,shēnwáng,shēnwáng
师生,shīshēng,shīshēng
救济,jiùjì,jiùjì
中学生,zhōngxuéshēng,zhōngxuéshēng
丝绸,sīchóu,sīchóu
便于,biànyú,biànyú
客机,kèjī,kèjī
而今,érjīn,érjīn
歧视,qíshì,qíshì
客厅,kètīng,kètīng
西欧,xī'ōu,xī ōu
老爷,lǎoye,lǎoye
章程,zhāngchéng,zhāngchéng
王子,wángzǐ,wángzǐ
抵押,dǐyā,dǐyā
风云,fēngyún,fēngyún
联手,liánshǒu,liánshǒu
国际贸易,guójì màoyì,guójì màoyì
中毒,zhòngdú,zhòngdú
再就业,zàijiùyè,zàijiùyè
销毁,xiāohuǐ,xiāohuǐ
节省,jiéshěng,jiéshěng
入手,rùshǒu,rùshǒu
举世,jǔshì,jǔshì
亮相,liàngxiàng,liàngxiàng
推翻,tuīfān,tuīfān
流量,liúliàng,liúliàng
曲折,qūzhé,qūzhé
年均,niánjūn,niánjūn
偶尔,ǒu'ěr,ǒu ěr
征求,zhēngqiú,zhēngqiú
纯收入,chúnshōurù,chúnshōurù
味精,wèijīng,wèijīng
山地,shāndì,shāndì
施加,shījiā,shījiā
处置,chǔzhì,chǔzhì
处境,chǔjìng,chǔjìng
经商,jīngshāng,jīngshāng
窗户,chuānghu,chuānghu
世界卫生组织,shìjiè wèishēng zǔzhī,shìjiè wèishēng zǔzhī
有待,yǒudài,yǒudài
反动,fǎndòng,fǎndòng
部件,bùjiàn,bùjiàn
观赏,guānshǎng,guānshǎng
康复,kāngfù,kāngfù
造型,zàoxíng,zàoxíng
风情,fēngqíng,fēngqíng
使用权,shǐyòngquán,shǐyòngquán
管制,guǎnzhì,guǎnzhì
死者,sǐzhě,sǐzhě
在手,zàishǒu,zàishǒu
生人,shēngrén,shēngrén
帮忙,bāngmáng,bāngmáng
公主,gōngzhǔ,gōngzhǔ
攻势,gōngshì,gōngshì
年历,niánlì,niánlì
众生,zhòngshēng,zhòngshēng
任职,rènzhí,rènzhí
审核,shěnhé,shěnhé
重任,zhòngrèn,zhòngrèn
颁奖,bānjiǎng,bānjiǎng
护士,hùshi,hùshi
火车站,huǒchēzhàn,huǒchēzhàn
揭露,jiēlù,jiēlù
哪怕,nǎpà,nǎpà
万一,wànyī,wànyī
迷信,míxìn,míxìn
眼镜,yǎnjìng,yǎnjìng
宣称,xuānchēng,xuānchēng
崇拜,chóngbài,chóngbài
工作组,gōngzuòzǔ,gōngzuòzǔ
突发,tūfā,tūfā
响应,xiǎngyìng,xiǎngyìng
借口,jièkǒu,jièkǒu
回落,huíluò,huíluò
拿下,náxià,náxià
不法,bùfǎ,bùfǎ
租赁,zūlìn,zūlìn
开心,kāixīn,kāixīn
不当,bùdàng,bùdàng
丛书,cóngshū,cóngshū
弟子,dìzǐ,dìzǐ
公有制,gōngyǒuzhì,gōngyǒuzhì
迅猛,xùnměng,xùnměng
新高,xīngāo,xīngāo
折磨,zhémó,zhémó
