term,pinyin,cleaned_pinyin,updated_pinyin
胳膊,gēbo,gēbo,gē bo
风暴,fēngbào,fēngbào,fēng bào
抱怨,bàoyuàn,bàoyuàn,bào yuàn
验证,yànzhèng,yànzhèng,yàn zhèng
大好,dàhǎo,dàhǎo,dà hǎo
高考,gāokǎo,gāokǎo,gāo kǎo
无偿,wúcháng,wúcháng,wú cháng
探测,tàncè,tàncè,tàn cè
成年人,chéngniánrén,chéngniánrén,chéng nián rén
名词,míngcí,míngcí,míng cí
卡车,kǎchē,kǎchē,kǎ chē
的士,dīshì,dīshì,dī shì
投放,tóufàng,tóufàng,tóu fàng
层层,céngcéng,céngcéng,céng céng
风貌,fēngmào,fēngmào,fēng mào
发动机,fādòngjī,fādòngjī,fā dòng jī
抵制,dǐzhì,dǐzhì,dǐ zhì
面目,miànmù,miànmù,miàn mù
集成,jíchéng,jíchéng,jí chéng
验收,yànshōu,yànshōu,yàn shōu
收盘,shōupán,shōupán,shōu pán
行驶,xíngshǐ,xíngshǐ,xíng shǐ
身亡,shēnwáng,shēnwáng,shēn wáng
师生,shīshēng,shīshēng,shī shēng
救济,jiùjì,jiùjì,jiù jì
中学生,zhōngxuéshēng,zhōngxuéshēng,zhōng xué shēng
丝绸,sīchóu,sīchóu,sī chóu
便于,biànyú,biànyú,biàn yú
客机,kèjī,kèjī,kè jī
而今,érjīn,érjīn,ér jīn
歧视,qíshì,qíshì,qí shì
客厅,kètīng,kètīng,kè tīng
西欧,xī'ōu,xī ōu,xī ōu
老爷,lǎoye,lǎoye,lǎo ye
章程,zhāngchéng,zhāngchéng,zhāng chéng
王子,wángzǐ,wángzǐ,wáng zǐ
抵押,dǐyā,dǐyā,dǐ yā
风云,fēngyún,fēngyún,fēng yún
联手,liánshǒu,liánshǒu,lián shǒu
国际贸易,guójì màoyì,guójì màoyì,guó jì mào yì
中毒,zhòngdú,zhòngdú,zhòng dú
再就业,zàijiùyè,zàijiùyè,zài jiù yè
销毁,xiāohuǐ,xiāohuǐ,xiāo huǐ
节省,jiéshěng,jiéshěng,jié shěng
入手,rùshǒu,rùshǒu,rù shǒu
举世,jǔshì,jǔshì,jǔ shì
亮相,liàngxiàng,liàngxiàng,liàng xiàng
推翻,tuīfān,tuīfān,tuī fān
流量,liúliàng,liúliàng,liú liàng
曲折,qūzhé,qūzhé,qū zhé
年均,niánjūn,niánjūn,nián jūn
偶尔,ǒu'ěr,ǒu ěr,ǒu ěr
征求,zhēngqiú,zhēngqiú,zhēng qiú
纯收入,chúnshōurù,chúnshōurù,chún shōu rù
味精,wèijīng,wèijīng,wèi jīng
山地,shāndì,shāndì,shān dì
施加,shījiā,shījiā,shī jiā
处置,chǔzhì,chǔzhì,chǔ zhì
处境,chǔjìng,chǔjìng,chǔ jìng
经商,jīngshāng,jīngshāng,jīng shāng
窗户,chuānghu,chuānghu,chuāng hu
世界卫生组织,shìjiè wèishēng zǔzhī,shìjiè wèishēng zǔzhī,shì jiè wèi shēng zǔ zhī
有待,yǒudài,yǒudài,yǒu dài
反动,fǎndòng,fǎndòng,fǎn dòng
部件,bùjiàn,bùjiàn,bù jiàn
观赏,guānshǎng,guānshǎng,guān shǎng
康复,kāngfù,kāngfù,kāng fù
造型,zàoxíng,zàoxíng,zào xíng
风情,fēngqíng,fēngqíng,fēng qíng
使用权,shǐyòngquán,shǐyòngquán,shǐ yòng quán
管制,guǎnzhì,guǎnzhì,guǎn zhì
死者,sǐzhě,sǐzhě,sǐ zhě
在手,zàishǒu,zàishǒu,zài shǒu
生人,shēngrén,shēngrén,shēng rén
帮忙,bāngmáng,bāngmáng,bāng máng
公主,gōngzhǔ,gōngzhǔ,gōng zhǔ
攻势,gōngshì,gōngshì,gōng shì
年历,niánlì,niánlì,nián lì
众生,zhòngshēng,zhòngshēng,zhòng shēng
任职,rènzhí,rènzhí,rèn zhí
审核,shěnhé,shěnhé,shěn hé
重任,zhòngrèn,zhòngrèn,zhòng rèn
颁奖,bānjiǎng,bānjiǎng,bān jiǎng
护士,hùshi,hùshi,hù shi
火车站,huǒchēzhàn,huǒchēzhàn,huǒ chē zhàn
揭露,jiēlù,jiēlù,jiē lù
哪怕,nǎpà,nǎpà,nǎ pà
万一,wànyī,wànyī,wàn yī
迷信,míxìn,míxìn,mí xìn
眼镜,yǎnjìng,yǎnjìng,yǎn jìng
宣称,xuānchēng,xuānchēng,xuān chēng
崇拜,chóngbài,chóngbài,chóng bài
工作组,gōngzuòzǔ,gōngzuòzǔ,gōng zuò zǔ
突发,tūfā,tūfā,tū fā
响应,xiǎngyìng,xiǎngyìng,xiǎng yìng
借口,jièkǒu,jièkǒu,jiè kǒu
回落,huíluò,huíluò,huí luò
拿下,náxià,náxià,ná xià
不法,bùfǎ,bùfǎ,bù fǎ
租赁,zūlìn,zūlìn,zū lìn
开心,kāixīn,kāixīn,kāi xīn
不当,bùdàng,bùdàng,bù dàng
丛书,cóngshū,cóngshū,cóng shū
弟子,dìzǐ,dìzǐ,dì zǐ
公有制,gōngyǒuzhì,gōngyǒuzhì,gōng yǒu zhì
迅猛,xùnměng,xùnměng,xùn měng
新高,xīngāo,xīngāo,xīn gāo
折磨,zhémó,zhémó,zhé mó
尽早,jǐnzǎo,jǐnzǎo,jǐn zǎo
国运,guóyùn,guóyùn,guó yùn
省份,shěngfèn,shěngfèn,shěng fèn
流血,liúxuè,liúxuè,liú xuè
游击队,yóujīduì,yóujīduì,yóu jī duì
共享,gòngxiǎng,gòngxiǎng,gòng xiǎng
专程,zhuānchéng,zhuānchéng,zhuān chéng
违纪,wéijì,wéijì,wéi jì
战斗机,zhàndòujī,zhàndòujī,zhàn dòu jī
前线,qiánxiàn,qiánxiàn,qián xiàn
审美,shěnměi,shěnměi,shěn měi
值班,zhíbān,zhíbān,zhí bān
浓厚,nónghòu,nónghòu,nóng hòu
三代,sāndài,sāndài,sān dài
彩色,cǎisè,cǎisè,cǎi sè
中国人民解放军,zhōngguó rénmín jiěfàngjūn,zhōngguó rénmín jiěfàngjūn,zhōng guó rén mín jiě fàng jūn
冒险,màoxiǎn,màoxiǎn,mào xiǎn
电视机,diànshìjī,diànshìjī,diàn shì jī
旋律,xuánlǜ,xuánlǜ,xuán lǜ
以内,yǐnèi,yǐnèi,yǐ nèi
打听,dǎting,dǎting,dǎ ting
刊物,kānwù,kānwù,kān wù
日后,rìhòu,rìhòu,rì hòu
业者,yèzhě,yèzhě,yè zhě
信息产业,xìnxī chǎnyè,xìnxī chǎnyè,xìn xī chǎn yè
抽象,chōuxiàng,chōuxiàng,chōu xiàng
前期,qiánqī,qiánqī,qián qī
大意,dàyì,dàyì,dà yì
大意,dàyi,dàyi,dà yi
辩证,biànzhèng,biànzhèng,biàn zhèng
传染病,chuánrǎnbìng,chuánrǎnbìng,chuán rǎn bìng
传达,chuándá,chuándá,chuán dá
力学,lìxué,lìxué,lì xué
温柔,wēnróu,wēnróu,wēn róu
生产资料,shēngchǎn zīliào,shēngchǎn zīliào,shēng chǎn zī liào
辩论,biànlùn,biànlùn,biàn lùn
防护,fánghù,fánghù,fáng hù
等候,děnghòu,děnghòu,děng hòu
转达,zhuǎndá,zhuǎndá,zhuǎn dá
加之,jiāzhī,jiāzhī,jiā zhī
