term,cleaned_pinyin,updated_pinyin,status
新高,xīngāo,xīn gāo,success
以内,yǐnèi,yǐ nèi,success
大脑,dànǎo,dà nǎo,success
苦难,kǔnàn,kǔ nàn,success
华南,huánán,huá nán,success
灌溉,guàngài,guàn gài,success
身高,shēngāo,shēn gāo,success
掩盖,yǎngài,yǎn gài,success
吸纳,xīnà,xī nà,success
修正案,xiūzhèng àn,xiū zhèng àn,success
兼顾,jiāngù,jiān gù,success
苦恼,kǔnǎo,kǔ nǎo,success
品格,pǐngé,pǐn gé,success
大难,dànàn,dà nàn,success
无可奈何,wúkěnàihé,wú kě nài hé,success
山谷,shāngǔ,shān gǔ,success
顽固,wángù,wán gù,success
刹那,chànà,chà nà,success
金刚,jīngāng,jīn gāng,success
反感,fǎngǎn,fǎn gǎn,success
细腻,xìnì,xì nì,success
涵盖,hángài,hán gài,success
反革命,fǎngémìng,fǎn gé mìng,success
阻挠,zǔnáo,zǔ náo,success
民歌,míngē,mín gē,success
紧跟,jǐngēn,jǐn gēn,success
机能,jīnéng,jī néng,success
大内,dànèi,dà nèi,success
着呢,zhene,zhe ne,success
千古,qiāngǔ,qiān gǔ,success
坚固,jiāngù,jiān gù,success
蛋糕,dàngāo,dàn gāo,success
避难,bìnàn,bì nàn,success
稳固,wěngù,wěn gù,success
间隔,jiàngé,jiàn gé,success
安琪儿,ānqí ér,ān qí ér,success
处女,chǔnǚ,chǔ nǚ,success
核能,hénéng,hé néng,success
虚拟,xūnǐ,xū nǐ,success
单个儿,dāngèr,dān gè er,success
疑难,yínán,yí nán,success
哪能,nǎnéng,nǎ néng,success
参股,cāngǔ,cān gǔ,success
妓女,jìnǚ,jì nǚ,success
山沟,shāngōu,shān gōu,success
比拟,bǐnǐ,bǐ nǐ,success
栏杆,lángān,lán gān,success
一刹那,yīchànà,yī chà nà,success
认购,rèngòu,rèn gòu,success
印第安人,yìndì ānrén,yìn dì ān rén,success
岂能,qǐnéng,qǐ néng,success
炼钢,liàngāng,liàn gāng,success
换个儿,huàngèr,huàn gè er,success
转告,zhuǎngào,zhuǎn gào,success
恶人,èrén,è rén,success
文稿,wéngǎo,wén gǎo,success
建构,jiàngòu,jiàn gòu,success
取而代之,qǔ érdàizhī,qǔ ér dài zhī,success
激怒,jīnù,jī nù,success
拔地而起,bádì érqǐ,bá dì ér qǐ,success
姑奶奶,gūnǎinai,gū nǎi nai,success
耽搁,dānge,dān ge,success
本该,běngāi,běn gāi,success
心甘,xīngān,xīn gān,success
环顾,huángù,huán gù,success
法人股,fǎréngǔ,fǎ rén gǔ,success
心甘情愿,xīngān qíngyuàn,xīn gān qíng yuàn,success
大西南,dàxīnán,dà xī nán,success
发怒,fānù,fā nù,success
罹难,línàn,lí nàn,success
胆固醇,dǎngùchún,dǎn gù chún,success
传感器,chuángǎnqì,chuán gǎn qì,success
反顾,fǎngù,fǎn gù,success
撰稿,zhuàngǎo,zhuàn gǎo,success
气馁,qìněi,qì něi,success
禁锢,jìngù,jìn gù,success
欢欣鼓舞,huānxīn gǔwǔ,huān xīn gǔ wǔ,success
站岗,zhàngǎng,zhàn gǎng,success
义无反顾,yìwúfǎngù,yì wú fǎn gù,success
愕然,èrán,è rán,success
山歌,shāngē,shān gē,success
胡闹,húnào,hú nào,success
责难,zénàn,zé nàn,success
第二产业,dì èr chǎnyè,dì èr chǎn yè,success
出纳,chūnà,chū nà,success
筋骨,jīngǔ,jīn gǔ,success
拘泥,jūnì,jū nì,success
热能,rènéng,rè néng,success
观感,guāngǎn,guān gǎn,success
缉拿,jīná,jī ná,success
银根,yíngēn,yín gēn,success
信息安全,xìnxī ānquán,xìn xī ān quán,success
老大难,lǎodànán,lǎo dà nán,success
发难,fānàn,fā nàn,success
胆敢,dǎngǎn,dǎn gǎn,success
大拿,dàná,dà ná,success
万古,wàngǔ,wàn gǔ,success
分隔,fēngé,fēn gé,success
电线杆,diànxiàngān,diàn xiàn gān,success
文告,wéngào,wén gào,success
西安事变,xī ān shìbiàn,xī ān shì biàn,success
嘟囔,dūnang,dū nang,success
淤泥,yūní,yū ní,success
脱胎换骨,tuōtāi huàngǔ,tuō tāi huàn gǔ,success
淑女,shūnǚ,shū nǚ,success
不绝于耳,bùjuéyú ěr,bù jué yú ěr,success
赞歌,zàngē,zàn gē,success
心安理得,xīn ān lǐdé,xīn ān lǐ dé,success
玛瑙,mǎnǎo,mǎ nǎo,success
攀高,pāngāo,pān gāo,success
心肝,xīngān,xīn gān,success
气恼,qìnǎo,qì nǎo,success
统筹兼顾,tǒngchóu jiāngù,tǒng chóu jiān gù,success
处女作,chǔnǚzuò,chǔ nǚ zuò,success
障碍物,zhàng àiwù,zhàng ài wù,success
拥政爱民,yōngzhèng àimín,yōng zhèng ài mín,success
心理障碍,xīnlǐ zhàng ài,xīn lǐ zhàng ài,success
金刚石,jīngāngshí,jīn gāng shí,success
慷慨激昂,kāngkǎi jī áng,kāng kǎi jī áng,success
亘古,gèngǔ,gèn gǔ,success
深谷,shēngǔ,shēn gǔ,success
沿革,yángé,yán gé,success
单杠,dāngàng,dān gàng,success
迷你,mínǐ,mí nǐ,success
干戈,gāngē,gān gē,success
独占鳌头,dúzhàn áotóu,dú zhàn áo tóu,success
男高音,nángāoyīn,nán gāo yīn,success
心高,xīngāo,xīn gāo,success
转岗,zhuǎngǎng,zhuǎn gǎng,success
耳熟能详,ěrshú néngxiáng,ěr shú néng xiáng,success
避难所,bìnànsuǒ,bì nàn suǒ,success
首战告捷,shǒuzhàn gàojié,shǒu zhàn gào jié,success
生儿育女,shēng ér yùnǚ,shēng ér yù nǚ,success
蓄能,xùnéng,xù néng,success
担纲,dāngāng,dān gāng,success
玉女,yùnǚ,yù nǚ,success
震感,zhèngǎn,zhèn gǎn,success
信任感,xìnrèngǎn,xìn rèn gǎn,success
急难,jínàn,jí nàn,success
忘恩负义,wàng ēn fùyì,wàn gēn fù yì,success
细嫩,xìnèn,xì nèn,success
真格的,zhēngéde,zhēn gé de,success
凑热闹,còurènao,còu rè nao,success
专稿,zhuāngǎo,zhuān gǎo,success
转干,zhuǎngàn,zhuǎn gàn,success
水涨船高,shuǐzhǎng chuángāo,shuǐ zhǎng chuán gāo,success
战鼓,zhàngǔ,zhàn gǔ,success
下女,xiànǚ,xià nǚ,success
阴沟,yīngōu,yīn gōu,success
处女地,chǔnǚdì,chǔ nǚ dì,success
申购,shēngòu,shēn gòu,success
第二职业,dì èr zhíyè,dì èr zhí yè,success
打闹,dǎnào,dǎ nào,success
弹钢琴,tángāngqín,tán gāng qín,success
剑拔弩张,jiànbá nǔzhāng,jiàn bá nǔ zhāng,success
主心骨,zhǔxīngǔ,zhǔ xīn gǔ,success
深更半夜,shēngēng bànyè,shēn gēng bàn yè,success
认股,rèngǔ,rèn gǔ,success
心花怒放,xīnhuā nùfàng,xīn huā nù fàng,success
