rank,sn,cihui,pinyin,ref_hanzi,ref_pinyin,pos,definition,example
75001,1,大漆,dàqī,,,名,生漆,
75002,1,去雄,qùxióng,,,动,把母本植物的雄花或花朵中的雄蕊去掉，以防止自花授粉而产生假杂种,
75003,1,省便,shěngbiàn,,,形,省事便捷,乘地铁上班省便
75004,1,合卺,héjǐn,,,动,古代婚礼的一种仪式，将一个匏瓜剖成两个瓢，新婚男女各执一个，用来舀酒漱口（卺：瓢）。后借指成婚,
75005,1,译配,yìpèi,,,动,把影视作品、歌曲等由一种语言翻译成另一种语言并配上音,
75006,1,窗眼,chuāngyǎn,,,名,窗格子的小孔,
75008,1,漆雕,qīdiāo,,,名,雕漆,
75011,1,厄难,ènàn,,,名,苦难；灾难,遭受厄难
75012,1,悬乎,xuánhu,,,形,不牢靠；危险,这门亲事有点儿悬乎｜单轮走钢丝真悬乎。
75013,1,称叹,chēngtàn,,,动,赞叹,这种精神令人称叹。
75016,1,宝号,bǎohào,,,名,敬词，称对方的商号,
75016,2,宝号,bǎohào,,,名,敬词，称对方的名字,
75017,1,含怨,hányuàn,,,动,心存怨恨；含恨,含怨离职
75018,1,役畜,yìchù,,,名,供耕作或运输用的牲畜。如牛、马、驴、骡等,
75019,1,路劫,lùjié,,,动,拦路打劫,
75021,1,地方民族主义,dìfāng mínzú zhǔyì,,,,多民族国家内在民族关系问题上的一种错误思想。主要表现为过分强调本民族的特殊情况和特殊利益，忽视甚至损害国家整体利益，是一种孤立、保守、排外的民族主义,
75022,1,巧辩,qiǎobiàn,,,动,巧妙地论辩；诡辩,他能说会道，善于巧辩｜挖空心思为自己的罪行巧辩。
75027,1,家鸽,jiāgē,,,名,家禽，由原鸽驯化而成。喙短，翅长大，善飞，体呈纺锤形，腿短。,
75028,1,沟堑,gōuqiàn,,,名,壕沟,
75029,1,砂型,shāxíng,,,名,浇铸金属件用的模型,
75030,1,肛瘘,gānglòu,,,名,肛管或直肠旁软组织感染、化脓、穿破后形成肛管或直肠与肛周皮肤相沟通的瘘,
75031,1,窗扉,chuāngfēi,,,名,窗扇,
75033,1,寇仇,kòuchóu,,,名,仇敌,剿灭寇仇
75038,1,打春,dǎchūn,,,名,立春。旧时在立春日鞭打衙门前的泥塑耕牛，表示春耕开始，故称,
