rank,sn,cihui,pinyin,ref_hanzi,ref_pinyin,pos,definition,example
60014,1,宠臣,chǒngchén,,,名,受宠爱的臣僚,
60031,1,嗳气,ǎiqì,,,动,横膈膜痉挛迫使胃里的气体从嘴里排出，并发出“嗝呃嗝呃”的声音。俗称打嗝儿。,
60038,1,丢丑,diūchǒu,,,动,丢脸；出丑,
60040,1,船壳,chuánké,,,名,船体表面密封的薄壳。用钢板、木板等制成。一般是单层的，潜艇及其他一些船采用双层船壳,
60059,1,埠头,bùtóu,,,名,某些地区指码头,船到埠头
60101,1,越冬作物,yuèdōng zuòwù,,,,在秋季播种，幼苗经过冬季，到第二年春夏收获的农作物,
60105,1,壁报,bìbào,,,名,把誊清了的稿子经过一定编排直接贴在墙壁上的一种非正式出版物，多在较小的范围里供内部阅读。（也说墙报。）,
60107,1,禁不起,jīnbuqǐ,,,动,经受不起,上岁数的人禁不起折腾。
60117,1,瓷实,císhi,,,形,结实；扎实,地基瓷实｜功夫瓷实
60130,1,糜子,méizi,,,名,一年生草本植物，形状像黍子，但籽实发黑而不黏。籽实也叫糜子，磨粉后可以制作食品。（也说穄（jì）子。）,
60133,1,料事如神,liàoshì-rúshén,,,,像神灵一样，猜度未来的事情非常准确,
60170,1,蚂蟥,mǎhuáng,,,名,蛭的通称,
60224,1,切题,qiètí,,,动,文章、言论的内容与题目、主旨相符合,文不切题｜这段话讲得很切题
60227,1,接驾,jiējià,,,动,古代指迎接皇帝；后泛指迎接客人（含谐谑意）,接驾来迟，请仁兄见谅!
60231,1,泥古,nìgǔ,,,动,拘泥于古代的制度、成规或说法等，而不知结合实际情况加以变通,泥古不化
60244,1,石英钟,shíyīngzhōng,,,名,用石英晶体的振荡代替普通钟摆运动的计时仪器。精确度很高,
60249,1,朝鲜文,cháoxiǎnwén,,,名,朝鲜人使用的拼音文字。我国朝鲜族也使用这种文字。创制于15世纪中叶。现有音素字母40个、元音字母21个、辅音字母19个，古称“谚文”。书写以音节为单位，行款横竖均可,
60252,1,还嘴,huánzuǐ,,,动,受到辱骂或指责后，反过来骂对方或进行辩驳,有人挖苦他，他也不还嘴。
60337,1,集藏,jícáng,,,动,收集并保藏,集藏书画精品
60344,1,置辩,zhìbiàn,,,动,争辩；申辩（多用于否定）,不容置辩｜无可置辩
60347,1,斜角,xiéjiǎo,,,名,斜向的一角,从斜角处走来
60400,1,层云,céngyún,,,名,分布均匀的低空云层。多为灰白色，呈幕状,
60404,1,薏米,yìmǐ,,,名,薏苡的种仁，白色，卵形。,
60425,1,回绕,huírào,,,动,盘曲环绕,公路在山间回绕
60465,1,黑竹,hēizhú,,,名,紫竹,
60473,1,烧杯,shāobēi,,,名,实验室中用来加热试剂或配制化学溶液的玻璃杯。杯口上有小凹口，便于倾倒液体,
60487,1,徇情,xùnqíng,,,动,为照顾私情而不讲原则,决不徇情
60525,1,同出一辙,tóngchūyīzhé,,,,如出一辙。,
60536,1,庆大霉素,qìngdàméisù,,,名,一种抗生素，对多种革兰氏阴性菌和阳性菌有抑制和杀灭作用。,
60591,1,悭吝,qiānlìn,,,形,吝啬；小气,悭吝贪婪，爱财如命
60601,1,醪糟,láozāo,,,名,某些地区指江米酒,
60609,1,卸装,xièzhuāng,,,动,演员演出后除去扮演人物时的装束和涂的脂粉、油彩等,
60626,1,吊孝,diàoxiào,,,动,吊丧,
