rank,sn,hanzi,pinyin,ref_hanzi,ref_pinyin,pos,definition,example
3582,1,柯,kē,,,名,斧头的柄,
3582,2,柯,kē,,,名,草木的枝茎,茎柯
3649,1,韦,wéi,,,名,去毛后经过熟制的兽皮,韦索
3649,2,韦,wéi,,,名,皮带；皮绳,佩韦
3703,1,辄,zhé,,,副,表示后一行为紧接着前一行为发生，相当于“就”,浅尝辄止
3703,2,辄,zhé,,,副,表示同一行为多次重复，相当于“往往” “总是”,动辄得咎
3720,1,臧,zāng,,,形,好；善,谋国不臧
3720,2,臧,zāng,,,动,褒扬；称赞,臧否人物
3726,1,曜,yào,,,名,阳光,日出有曜
3726,2,曜,yào,,,动,照耀,明月曜夜
3726,3,曜,yào,,,名,指太阳、月亮和星辰,七曜（日、月和金、木、水、火、土五星的合称）
3999,1,虞,yú,,,名,传说中上古朝代名，舜所建,
3999,2,虞,yú,,,名,周朝诸侯国名，在今山西,
3999,4,虞,yú,,,动,料想；猜度（duó）,不虞之誉
3999,5,虞,yú,,,动,忧虑；担忧,不虞匮乏
3999,6,虞,yú,,,动,欺诈,尔虞我诈
4074,1,泓,hóng,,,形,水又深又广,
4074,2,泓,hóng,,,量,用于清水，相当于“道” “片”,一泓春水
4087,1,狩,shòu,,,动,冬季打猎；泛指打猎,狩猎
4087,2,狩,shòu,,,动,帝王出外巡视,巡狩
4091,1,翮,hé,,,名,禽类羽毛基部无毛中空的部分,
4091,2,翮,hé,,,名,鸟的翅膀,振翮高飞
4176,1,璨,càn,,,名,美玉；也指玉的光泽,
4176,2,璨,càn,,,形,明亮,璨若明星
4281,1,抿,mǐn,,,动,用小刷子蘸水或油抹（头发等）,往头发上抿了点儿油｜抿子
4281,2,抿,mǐn,,,动,（嘴、翅膀等）略微闭上,抿着嘴笑｜小鸟抿了抿翅膀
4281,3,抿,mǐn,,,动,抿着嘴唇喝一点儿,抿了一口酒
4285,1,蓓,bèi,,,名,含苞未放的花朵；花骨朵儿。,蓓蕾满枝
4285,2,蓓,bèilěi,,,名,含苞未放的花朵；花骨朵儿。,蓓蕾满枝
4395,1,砥,dǐ,,,名,质地较细的磨刀石,砥石
4395,2,砥,dǐ,,,动,磨炼；修养,砥节砺行
4467,2,衿,jīn,,,名,系（jì）衣裳的带子,
4520,1,姝,shū,,,形,容貌美丽（多指女子）,容色姝丽
4520,2,姝,shū,,,名,美女,绝代名姝
4554,1,骧,xiāng,,,动,马仰头快跑,
4554,2,骧,xiāng,,,动,上仰；举起,高骧
4567,1,霏,fēi,,,形,雨雪纷飞；烟云盛多,雨雪其霏
4567,2,霏,fēi,,,动,飞散；飘洒,烟霏雨散
4641,1,翊,yì,,,名,翅膀,
4641,2,翊,yì,,,动,辅助；帮助,翊戴（辅佐拥戴）
4678,1,垤,dié,,,名,蚂蚁做窝时堆在洞口的小土堆,蚁垤
4678,2,垤,dié,,,名,小土堆,丘垤
4879,1,绋,fú,,,名,大绳,
4879,2,绋,fú,,,名,特指下葬时牵引灵柩的绳子,执绋
4887,1,棹,zhào,,,名,船桨,橹棹
4887,2,棹,zhào,,,名,指船,归棹
4888,1,庑,wǔ,,,名,正房对面和两侧的房子,东庑
4888,2,庑,wǔ,,,名,堂下四周的走廊,廊庑
4937,1,暝,míng,,,形,昏暗,大雾昼暝
4937,2,暝,míng,,,动,天黑,日欲暝
4937,3,暝,míng,,,名,黄昏,暝色
4938,1,岫,xiù,,,名,岩穴；山洞,云无心以出岫
4938,2,岫,xiù,,,名,泛指山,远岫
5007,1,陟,zhì,,,动,登，从低处走向高处,陟山
5007,2,陟,zhì,,,动,晋升,黜陟
5122,1,瀹,yuè,,,动,烹煮,瀹茗（煮茶）
5122,2,瀹,yuè,,,动,疏导（河道）,疏瀹
5128,1,曷,hé,,,代,表示疑问，相当于“何” “什么”,激昂大义，蹈死不顾，亦曷故哉?
5128,2,曷,hé,,,代,表示疑问，相当于“何日” “何时”,吾子其曷归?
5128,3,曷,hé,,,代,表示疑问或反问，相当于“为什么” “哪里”,曷足道哉?
5167,1,硎,xíng,,,名,磨刀石,砺刃于硎
5167,2,硎,xíng,,,动,磨（mó）制,
5191,1,帙,zhì,,,名,书籍或画册外面包的布套；书的卷册,卷帙浩繁
5191,2,帙,zhì,,,量,用于装套的线装书，一函为一帙,刊印千帙
5333,1,诮,qiào,,,动,责备；谴责,诮让
5333,2,诮,qiào,,,动,讥讽；嘲讽,诮骂
5357,1,饔,yōng,,,名,熟的食物；特指熟肉,饔飧不继
5357,2,饔,yōng,,,名,早饭,
5400,1,謇,jiǎn,,,形,口吃；讲话不流利,謇吃
5400,2,謇,jiǎn,,,形,正直,謇辞（正直的话）
5494,1,夤,yín,,,形,深,夤夜
5494,2,夤,yín,,,动,攀附,夤缘（攀附上升，比喻向上巴结）
