rank,sn,hanzi,pinyin,ref_hanzi,ref_pinyin,pos,definition,example
3501,1,耶,yé,,,助,〈文〉用在句末，表示疑问或反问的语气，相当于“吗” “呢”,然则何时而乐耶?
3501,3,耶,yē,,,,音译用字，用于“耶稣” “耶路撒冷”（地名，在亚洲西部）等,
3502,1,嗯,ěng,,,叹,表示不以为然或出乎意料,嗯，没有那么严重吧!｜嗯，怎么会呢!
3502,2,嗯,èng,,,叹,表示应诺,嗯，就照你说的办吧｜（在电话中）嗯，嗯，你说吧。
3502,3,嗯,éng,,,叹,表示疑问,嗯?你怎么不说话了?｜你说什么，嗯?
3503,1,咯,gē,,,,见下。,
3503,2,咯,kǎ,,,动,用力把东西从食道或气管里咳出来,把鱼刺咯出来｜咯痰｜咯血
3503,3,咯,luò,,,,音译用字，用于“吡（bǐ）咯”等,
3506,1,於,wū,,,,见下。於戏，於菟。,
3506,2,於,yū,,,名,姓,
3506,3,於,yú,,,,用于地名。如：於陵，古地名，在今山东邹平东南；於潜，旧县名，在浙江,"1960年并入临安。,"
3510,1,琛,chēn,,,名,珍宝,
3511,1,嘎,gā,,,拟声,模拟响亮而短促的声音,冰面嘎的一声裂开了。
3511,2,嘎,gǎ,,,形,脾气古怪；乖僻,这个人太嘎，跟谁也合不来。
3511,3,嘎,gǎ,,,形,调皮,嘎小子
3511,4,嘎,gá,,,,见下。,
3514,2,嗨,hāi,,,,歌词中的衬字。,嗨啦啦｜呼儿嗨哟
3514,3,嗨,hēi,,,,嘿（hēi）,
3523,1,咩,miē,,,拟声,模拟羊叫的声音,小羊咩咩地叫个不停
3525,1,邵,shào,,,名,姓,
3568,1,铂,bó,,,名,金属元素，符号 Pt。银白色，有光泽，富延展性，导热导电性能好，耐腐蚀。可制作坩埚、电极，也可用作催化剂。俗称白金,
3574,1,槟,bīn,,,名,苹果同沙果嫁接而成的果树。果实也叫槟子，比苹果小而酸,
3574,2,槟,bīng,,,名,常绿乔木，茎基部略膨大，叶长达2米，花有香味。生长在热带、亚热带。果实也叫槟榔，可以食用，也可以做药材,
3575,1,莞,guān,,,名,古书上指水葱一类的植物,
3575,2,莞,guǎn,,,,用于地名。如东莞，在广东,
3575,3,莞,wǎn,,,形〈文〉,形容微笑的样子,相顾莞尔｜莞尔一笑
3581,1,孚,fú,,,动,令人信服,深孚众望
3587,1,驿,yì,,,名,驿站（现多用于地名）,白市驿（在重庆）｜桥头驿（在湖南）
3590,1,缇,tí,,,形,橘红,缇衣｜缇幕
3594,1,珑,lóng,,,名,古人求雨时所用的玉，上面刻有龙纹。,
3601,1,镭,léi,,,名,金属元素，符号 Ra。银白色，放射性强，具有强大穿透力，并不断大量放热。用于治疗癌症；镭盐和铍粉的混合制剂可以作为中子源，用于地质勘测。,
3611,2,沌,zhuàn,,,,用于地名。如：沌河，水名；沌口、沌阳，地名。均在湖北,
3619,1,嚏,tì,,,,嚏喷,
3619,2,嚏,tìpen,,,名,喷嚏,
3627,1,咔,kā,,,拟声,模拟物体碰撞、断裂等的声音,咔的一声把门锁上了
3627,2,咔,kǎ,,,,音译用字，用于“咔叽” “咔唑”等,
3629,1,妞,niū,,,名,〈口〉女孩子；也用作对女孩子的昵称,这个妞儿长得挺俊｜大妞儿｜妞子
3631,1,腑,fǔ,,,名,中医对胃、胆、膀胱、大肠、小肠和三焦的统称,脏腑｜五脏六腑
