rank,hanzi,pinyin,mismatch_parsed,invalid_parsed,has_subdefs
5510,菔,fú,False,False,False
5539,螬,cáo,False,False,False
5541,樨,xī,False,False,False
5550,稣,sū,False,False,False
5556,橼,yuán,False,False,False
5592,跶,da,False,True,False
5595,碡,zhou,False,False,False
5619,肭,nà,False,False,False
5654,蠊,lián,False,False,False
5657,鹕,hú,False,False,False
5675,漶,huàn,False,False,False
5676,鹆,yù,False,False,False
5683,蚨,fú,False,False,False
5694,嫒,ài,False,False,False
5699,怩,ní,False,False,False
5713,倞,jìng,False,True,False
5714,猊,ní,False,True,False
5726,仃,dīng,False,False,False
5786,蜍,chú,False,False,False
5799,躅,zhú,False,False,False
5800,胝,zhī,False,False,False
5804,穸,xī,False,False,False
5826,艽,jiāo,False,False,False
5838,袢,pàn,False,False,False
5863,鹇,xián,False,True,False
5873,婳,huà,False,True,False
5890,氇,lǔ,False,False,False
5899,徨,huáng,False,False,False
5901,荬,mǎi,False,False,False
5905,蕖,qú,False,False,False
5933,偬,zǒng,False,False,False
5937,抟,tuán,False,False,False
5946,瀣,xiè,False,False,False
5962,馗,kuí,False,False,False
6006,貊,mò,False,False,False
6012,懑,mèn,False,False,False
6054,唣,zào,False,False,False
6065,莶,xiān,False,False,False
6071,匐,fú,False,False,False
6076,鸹,guā,False,False,False
6086,毹,shū,False,False,False
6088,绻,quǎn,False,False,False
6091,艋,měng,False,True,False
6095,狁,yǔn,False,False,False
6104,菪,dàng,False,False,False
6108,鸶,sī,False,False,False
6133,眬,lóng,False,False,False
6137,蝓,yú,False,True,False
6141,芨,jī,False,True,False
6154,靼,dá,False,False,False
6155,疬,lì,False,True,False
6156,饨,tún,False,True,False
6172,俜,pīng,False,False,False
6180,蠖,huò,False,False,False
6208,艟,chōng,False,True,False
6214,荙,dá,False,True,False
6223,脬,pāo,False,False,False
6224,埼,qí,False,False,False
6229,舨,bǎn,False,False,False
6257,猡,luó,False,False,False
6265,篥,lì,False,False,False
6267,蛉,líng,False,False,False
6271,铞,diào,False,False,False
6277,茛,gèn,False,True,False
6281,磲,qú,False,True,False
6283,蹓,liū,False,True,False
6290,葜,qiā,False,True,False
6295,蓣,yù,False,True,False
6297,僳,sù,False,False,False
6298,螈,yuán,False,True,False
6312,瑢,róng,False,False,False
6337,霪,yín,False,True,False
6338,栳,lǎo,False,True,False
6353,艿,nǎi,False,True,False
6410,鞨,hé,False,False,False
6430,蜴,yì,False,False,False
6436,膪,chuài,False,False,False
6468,疭,zòng,False,False,False
6492,蔹,liǎn,False,False,False
6495,鲡,lí,False,False,False
6500,槔,gāo,False,False,False
6504,屃,xì,False,False,False
6507,湲,yuán,False,False,False
6512,垯,da,False,False,False
6525,碹,xuàn,False,False,False
6537,蓠,lí,False,False,False
6542,蠃,luǒ,False,False,False
6546,觫,sù,False,False,False
6551,澼,pì,False,False,False
6577,牁,kē,False,False,False
6612,珧,yáo,False,False,False
6630,狲,sūn,False,False,False
6634,蜞,qí,False,False,False
6641,陧,niè,False,True,False
6652,玕,gān,False,False,False
6707,颃,háng,False,False,False
6719,鞡,la,False,True,False
6726,鸰,líng,False,False,False
6741,臜,zā,False,True,False
6745,筜,dāng,False,True,False
6769,铻,wú,False,True,False
6793,郚,wú,False,True,False
6794,昽,lóng,False,False,False
6795,滪,yù,False,False,False
