rank,hanzi,pinyin,mismatch_parsed,invalid_parsed,has_subdefs,raw_html
1481,莉,lì,False,True,False,"<link rel=""stylesheet"" type=""text/css"" href=""HYGF2.css""><script src='HYGF2.js'></script><x-hw>莉</x-hw><x-pr> lì</x-pr><br>见“<a href=""x-dictionary:r:000A060:com.apple.dictionary.zh_CN.SDCC#xpointer(//*[@id='000A061'])"" title=""茉"" type=""see"">茉（mò）莉</a>”<x-f>。</x-f>
"
1789,璃,lí,False,False,False,"<link rel=""stylesheet"" type=""text/css"" href=""HYGF2.css""><script src='HYGF2.js'></script><x-hw>璃</x-hw><x-pr> lí</x-pr>（*琍*瓈）
<dt>见“玻璃”<x-f>。</x-f>
"
1876,萄,táo,False,False,False,"<link rel=""stylesheet"" type=""text/css"" href=""HYGF2.css""><script src='HYGF2.js'></script><x-hw>萄</x-hw><x-pr> táo</x-pr>
<dt>见“<a href=""entry://葡萄"" type=""see"">葡（pú）萄</a>”<x-f>。</x-f>
"
1913,圾,jī,False,False,False,"<link rel=""stylesheet"" type=""text/css"" href=""HYGF2.css""><script src='HYGF2.js'></script><x-hw>圾</x-hw><x-pr> jī</x-pr>
<dt>见“<a href=""entry://垃圾"" type=""see"">垃圾</a>”<x-f>。</x-f><br><t-note><x-lb>用法说明</x-lb>统读 jī，不读 jí<x-f>。</x-f></t-note>
"
2245,斌,bīn,False,False,False,"<link rel=""stylesheet"" type=""text/css"" href=""HYGF2.css""><script src='HYGF2.js'></script><x-hw>斌</x-hw><x-pr> bīn</x-pr>
<dt>同 “<a href=""entry://彬"" type=""sameas"">彬</a>”
"
2326,谭,tán,False,False,False,"<link rel=""stylesheet"" type=""text/css"" href=""HYGF2.css""><script src='HYGF2.js'></script><x-hw>谭</x-hw><x-pr> tán</x-pr>（譚）
<dt><x-sn>①</x-sn>古同“<a href=""entry://谈"" type=""sameas"">谈</a>”<x-f>。</x-f>
<dt><x-sn>②</x-sn><sbl2>○</sbl2><x-gram>名</x-gram>姓<x-f>。</x-f></dt>
"
2509,尬,gà,False,True,False,"<link rel=""stylesheet"" type=""text/css"" href=""HYGF2.css""><script src='HYGF2.js'></script><x-hw>尬</x-hw><x-pr> gà</x-pr><br>见“<a href=""x-dictionary:r:0004889:com.apple.dictionary.zh_CN.SDCC#xpointer(//*[@id='000488B'])"" title=""尴"" type=""see"">尴（gān）尬</a>”<x-f>。</x-f>
"
2542,蓉,róng,False,False,False,"<link rel=""stylesheet"" type=""text/css"" href=""HYGF2.css""><script src='HYGF2.js'></script><x-hw>蓉</x-hw><x-pr> róng</x-pr>
<dt><x-sn>①</x-sn>见“<a href=""entry://芙蓉"" type=""see"">芙蓉</a>”<x-f>。</x-f>
<dt><x-sn>②</x-sn><sbl>→</sbl><x-gram>名</x-gram>四川成都的别称<x-f>。</x-f></dt><dd><x-ex><x-key>蓉</x-key>城</x-ex></dd>
<dt><x-sn>③</x-sn><sbl2>○</sbl2><x-g>名</x-g>瓜果、豆类煮熟晒干后磨成的粉状物，可以做糕点馅<x-er>儿</x-er><x-f>。</x-f><dd><x-ex>椰<x-key>蓉</x-key></x-ex><x-ex><x-lb> | </x-lb>莲<x-key>蓉</x-key></x-ex><x-ex><x-lb> | </x-lb>豆<x-key>蓉</x-key></x-ex></dd>
<dt><x-sn>④</x-sn><sbl2>○</sbl2><x-g>名</x-g>姓<x-f>。</x-f></dt>
"
2590,咐,fù,False,False,False,"<link rel=""stylesheet"" type=""text/css"" href=""HYGF2.css""><script src='HYGF2.js'></script><x-hw>咐</x-hw><x-pr> fù</x-pr>
<dt>见“吩咐”<x-f>。</x-f>
"
2591,匈,xiōng,False,True,False,"<link rel=""stylesheet"" type=""text/css"" href=""HYGF2.css""><script src='HYGF2.js'></script><x-hw>匈</x-hw><x-pr> xiōng</x-pr><br>古同“<a href=""entry://胸"" type=""sameas"">胸</a>”<x-f>。</x-f>
"
2631,丙,bǐng,False,False,False,"<link rel=""stylesheet"" type=""text/css"" href=""HYGF2.css""><script src='HYGF2.js'></script><x-hw>丙</x-hw><x-pr> bǐng</x-pr><br><x-gram>名</x-gram>天干的第三位，常用来表示顺序或等级的第三位<x-f>。</x-f></dt>
<dt>见“<a href=""entry://干支"" type=""see"">干支</a>”<x-f>。</x-f>
"
2819,凰,huáng,False,True,False,"<link rel=""stylesheet"" type=""text/css"" href=""HYGF2.css""><script src='HYGF2.js'></script><x-hw>凰</x-hw><x-pr> huáng</x-pr><br>见“<a href=""entry://凤凰"" type=""see"">凤凰</a>”<x-f>。</x-f>
"
2864,榄,lǎn,False,False,False,"<link rel=""stylesheet"" type=""text/css"" href=""HYGF2.css""><script src='HYGF2.js'></script><x-hw>榄</x-hw><x-pr> lǎn</x-pr>（欖）
<dt>见“<a href=""entry://橄榄"" type=""see"">橄榄</a>”<x-f>。</x-f>
"
2927,肪,fáng,False,False,False,"<link rel=""stylesheet"" type=""text/css"" href=""HYGF2.css""><script src='HYGF2.js'></script><x-hw>肪</x-hw><x-pr> fáng</x-pr>
<dt>见“<a href=""entry://脂肪"" type=""see"">脂肪</a>”<x-f>。</x-f><br><t-note><x-lb>用法说明</x-lb>统读 fáng，不读 fāng<x-f>。</x-f></t-note>
"
