main_item,ref_cihui,ref_sn,ref_sn_original,matched_value,matched_sn,definition
重生,再生,2,②,再生,2,有机体的一部分在脱落、损坏或截除后又重新生长
红线,底线,2,②,底线,2,比喻必须坚持的最低条件或限度
红线,警戒线,3,③,警戒线,3,引起警惕防备的界线
云彩,云,1,①,云,1,说
中国工农红军,红军,1,①,红军,1,中国工农红军的简称。第二次国内革命战争时期中国共产党领导的军队
爪子,爪（zhǎo）,1,①,,,NOT_FOUND
醉酒,醉,1,①,醉,1,饮酒过量而不能自持
叫唤,叫,1,①,叫,1,用较大的声音呼喊
叫唤,叫,2,②,叫,2,动物或某些器物发出声音
伤风,感冒,1,①,感冒,1,一种由病毒引起的呼吸道传染病，有鼻塞、咳嗽、打喷嚏、流涕、头痛、咽干等症状
伤风,感冒,2,②,感冒,2,患感冒
脑汁,脑筋,1,①,脑筋,1,大脑的记忆、想象、思维的能力
污秽,肮脏,1,①,,,NOT_FOUND
今朝,今天,1,①,今天,1,说话时的这一天
今朝,今天,2,②,今天,2,现在；如今
蓄积,积蓄,1,①,积蓄,1,积聚储存
骨子,骨,4,④,骨,4,物体内部起支撑作用的架子
台子,台1,1,①,,,NOT_FOUND
台子,台1,3,③,,,NOT_FOUND
侯爵,侯,1,①,侯,1,古代贵族五等爵位的第二等
希冀,希望,1,①,希望,1,盼着所想的成为现实
棒子,棒,1,①,棒,1,可以用手握持的棍子
发狂,发疯,2,②,发疯,2,对言行违反常情的夸张
施舍,施,2,②,施,2,把自己的财物送给穷人或出家人
遮蔽,遮,2,②,遮,2,一个物体挡住了另一个物体，使它不能显露
刀刃,刀口,3,③,刀口,3,比喻最重要最能发挥作用的地方
咒语,咒,3,③,咒,3,指某些宗教巫术中自称可以除灾降妖驱鬼的口诀
鬼魂,鬼,1,①,鬼,1,迷信指人死后能离开躯体而存在的灵魂
客观世界,客观,1,①,客观,1,哲学上指不依赖人的主观意识而存在的物质世界；泛指认识的一切对象（跟“主观”相区别）
号叫,号（háo）,1,①,,,NOT_FOUND
床铺,床,1,①,床,1,供人睡卧的家具
押解,押送,2,②,押送,2,（把犯人、刑事被告人或俘虏）押着送交（某处）
枪决,枪毙,1,①,枪毙,1,用枪打死（多用于执行死刑）
盖子,盖1,1,①,,,NOT_FOUND
锄头,锄,1,①,锄,1,用来间苗、除草、培土等的农具
时世,时代,1,①,时代,1,根据经济、政治、文化等状况划分的历史时期和阶段
结结巴巴,结巴,1,①,结巴,1,口吃
门道,过道,2,②,过道,2,旧式宅院大门或二门所在的小屋
门道,门路,1,①,门路,1,解决问题的途径或诀窍
不啻,不止,2,②,不止,2,超出（某一数量或范围）
水塘,水池,1,①,水池,1,蓄水的塘、小坑
前奏,前奏曲,1,①,前奏曲,1,大型器乐曲、歌剧等的序曲，是创造气氛的短小器乐曲，与整部乐曲有统一的情调，常在开幕、开场初演奏
刑事拘留,拘留,1,①,拘留,1,指刑事拘留。我国公安机关依法对现行犯或重大嫌疑分子在紧急情况下采取临时限制其人身自由的强制措施。人民检察院对某些紧急情况下的犯罪嫌疑人也可决定拘留，由公安机关执行。拘留期限一般为30日以下
跑动,跑,1,①,跑,1,走兽用爪或蹄刨地
甚或,甚至,2,②,甚至,2,连用在几个并列词语的最后一项之前，表示突出强调这一项
甚或,甚至,3,③,甚至,3,连用在复句的后一分句之前，表示强调后面的情况，前一分句用“不但”
结余,结存,2,②,结存,2,结存的钱或物
米面,米粉,1,①,米粉,1,用大米磨成的粉
边沿,边,1,①,边,1,物体的外沿部分
胡言,胡话,2,②,胡话,2,毫无根据或毫无道理的话
巡游,漫游,2,②,漫游,2,随意游览
钟点,小时,2,②,小时,2,指1小时的时间
不特,不仅,1,①,不仅,1,表示超出某一数量或范围
攀高,攀升,2,②,攀升,2,（数量等）不断上升
填充,填空,2,②,填空,2,填写试题中要求回答问题的空白处
