main_item,ref_cihui,ref_sn,ref_sn_original,matched_value,matched_sn,definition
地,地区,1,①,地区,1,某一范围的地方；较大的区域
地,地区,2,②,地区,2,我国省、自治区人民政府设立行政公署作为派出机关所管理的区域，包括若干个县、市，不是一级行政区域，原称专区。目前我国的地区大多已取消，改为省辖市
地,地方,1,①,地方,1,中央以下的各级行政区划的统称（跟“中央”相区别）
地,地方,3,③,地方,3,指军队以外的部门（跟“军队”相区别）
能,能够,1,①,能够,1,用在其他动词前，表示有能力或善于做（某事）
能,能够,2,②,能够,2,用在其他动词前，表示客观条件或情理上许可
能,能够,3,③,能够,3,用在其他动词前，表示有某种用途
多,多么,3,③,多么,3,用在疑问句中，询问程度或数量
多,多么,1,①,多么,1,用在感叹句中，表示程度很高
那,那么,3,③,那么,3,连根据前面所说的事实或假设，申说应有的结果或引出某种判断，常同“既然”、“如果”等连词配合使用
那,那个,2,②,那个,2,代用在动词、形容词前面，表示夸张
日,天,8,⑧,天,8,时间法定计量单位，地球自转一周的时间为1天，等于24小时；也指一个白天的时间
与,给,1,①,给,1,使得到
公,公公,1,①,公公,1,对丈夫的父亲的称呼
西,西天,2,②,西天,2,佛教指极乐世界
报,报纸,1,①,报纸,1,以刊登新闻为主的散页定期出版物，有日报、晨报、晚报等
特,特别,2,②,特别,2,非常；格外
题,题目,1,①,题目,1,诗文或讲演的标题
题,题目,2,②,题目,2,练习或考试中要求解答的问题
代,代理,1,①,代理,1,暂时替人负责某项事务
系,系统,1,①,系统,1,由同类事物结合成的有组织的整体
干,干燥,1,①,干燥,1,不含水分或水分极少
干,亲,6,⑥,亲,6,血缘关系最近的
气,气息,1,①,气息,1,呼吸时进出的气
路,道路,1,①,道路,1,供人或车马通行的带状地面
或,或者,2,②,或者,2,连接词、短语或分句，表示选择关系
基,基础,1,①,基础,1,建筑物的根基
计,计算,1,①,计算,1,利用已知数求得未知数
领,领口,1,①,领口,1,衣领围成的空当
命,命令,1,①,命令,1,上级对下级发出指示
命,命令,2,②,命令,2,上级对下级发出的指示
流,源,1,①,源,1,水流开始的地方（跟“流”相区别）
商,心,7,⑦,心,7,星宿名，二十八宿之一
证,证明,1,①,证明,1,用可靠的凭据来断定
影,影子,1,①,影子,1,物体等挡住光线后投射出的形象
影,影子,2,②,影子,2,物体等在镜子、水面等反射物中显现出来的形象
影,影子,3,③,影子,3,模糊的形象、迹象或印象
集,集合,3,③,集合,3,数学上指若干具有共同属性的事物的总体。简称集
价,价值,1,①,价值,1,凝结在商品中的社会必要劳动。商品价值的大小决定于生产该商品所需的社会必要劳动时间。它通过商品的交换价值表现出来
连,连接,1,①,连接,1,相互衔接
英,花,1,①,花,1,被子植物的繁殖器官，由花冠、花萼、花托、雌雄蕊群组成，有多种形状和颜色，有的有香味
约,约摸,2,②,约摸,2,表示对数量、时间的估计，相当于“大约”
较,比较,1,①,比较,1,把两种或几种同类事物加以对照以辨别其异同、高下
案,案子,1,①,案子,1,一种旧式的狭长桌子
案,案子,2,②,案子,2,泛指支起来可当桌子用的长方形木板
史,历史,1,①,历史,1,自然界和人类社会的发展过程；也指某种事物或个人的发展过程
投,投射,2,②,投射,2,（光线或视线）射向某物
