rank,sn,hanzi,pinyin,ref_hanzi,ref_pinyin,pos,definition,example
30,7,地,dì,,,名,【地区】某一范围的地方；较大的区域,世界各地｜本地｜内地
30,11,地,dì,,,名,【地区】我国省、自治区人民政府设立行政公署作为派出机关所管理的区域，包括若干个县、市，不是一级行政区域，原称专区。目前我国的地区大多已取消，改为省辖市,省地县三级领导｜地委
30,12,地,dì,,,名,【【地方】指军队以外的部门（跟“军队”相区别）,地税局｜军地两用人才
36,3,能,néng,,,动,【能够】用在其他动词前，表示有能力或善于做（某事）,
36,4,能,néng,,,动,【能够】用在其他动词前，表示客观条件或情理上许可,
36,5,能,néng,,,动,【能够】用在其他动词前，表示有某种用途,
48,7,多,duō,,,副,用在疑问句中，询问程度、数量，相当于“多么”,这孩子多大了?
48,8,多,duō,,,副,用在感叹句中，表示程度很高，相当于“多么“,这孩子多讨人喜欢!
49,5,那,nà,,,,连【那么】连根据前面所说的事实或假设，申说应有的结果或引出某种判断，常同“既然”、“如果”等连词配合使用,
49,6,那,nà,,,代,【那个】代用在动词、形容词前面，表示夸张,
53,7,日,rì,,,量,【天】时间法定计量单位，地球自转一周的时间为1天，等于24小时；也指一个白天的时间,足足行走了3日｜共计5日
83,3,与,yǔ,,,动,【给】使得到,交与本人｜与人方便
121,11,公,gōng,,,名,【公公】对丈夫的父亲的称呼,公婆
170,2,西,xī,,,名,【西天】佛教指极乐世界,撒手西去（指人死）｜一命归西
174,3,报,bào,,,名,【报纸】以刊登新闻为主的散页定期出版物，有日报、晨报、晚报等,订了两份报｜晚报｜登报｜报社
193,4,特,tè,,,副,〈口〉【特别】非常；格外,特冷｜特早｜实力特强
199,1,题,tí,,,名,【题目】诗文或讲演的标题,文不对题｜命题作文｜切（qiè）题
199,2,题,tí,,,名,【题目】练习或考试中要求解答的问题,试题｜习题
201,5,代,dài,,,动,【代理】暂时替人负责某项事务,代省长｜代主任
204,4,系,xì,,,名,【系统】由同类事物结合成的有组织的整体,水系｜语系｜嫡系
226,15,干,gān,,,形,【干燥】不含水分或水分极少（跟“湿”相对）,衣裳还没干｜干粮｜干旱
226,20,干,gān,,,,区别没有血缘或婚姻关系而拜认的（跟“【亲】血缘关系最近的相区别）,干娘｜干儿子｜干亲
249,4,气,qì,,,名,【气息】呼吸时进出的气,跑得上气不接下气｜喘气｜咽气
253,1,路,lù,,,名,【道路】供人或车马通行的带状地面；通道,开山修路｜公路｜马路｜水路｜陆路
256,3,或,huò,,,连,【或者】连接词、短语或分句，表示选择关系,或赞成，或反对，总要表个态吧｜课间，同学们或唱歌，或做游戏，玩得可开心了｜那种水果叫龙眼或桂圆，不是荔枝。
268,1,基,jī,,,名,【基础】建筑物的根基,墙基｜房基｜路基｜地基
274,1,计,jì,,,动,【计算】利用已知数求得未知数,不计其数｜计量（liàng）｜统计
320,7,领,lǐng,,,名,【领口】衣领围成的空当,圆领｜鸡心领
363,1,命,mìng,,,动,【命令】上级对下级发出指示,命人报信｜命舰队立即返航
363,2,命,mìng,,,名,【命令】上级对下级发出的指示,奉命转移｜原地待命｜唯命是从｜遵命
365,7,流,liú,,,名,指江河水离开【源】水流开始的地方（跟“流”相区别）相区别）,
368,4,商,shāng,,,名,星宿名，即【心】星宿名，二十八宿之一，二十八宿之一,
383,1,证,zhèng,,,动,【证明】用可靠的凭据来断定,你会证这道题吗?｜证实｜论证
390,1,影,yǐng,,,名,【影子】物体等挡住光线后投射出的形象,窗户上有个影儿｜形影相吊｜树影｜阴影｜皮影戏
390,2,影,yǐng,,,名,【影子】物体等在镜子、水面等反射物中显现出来的形象,倒影
390,3,影,yǐng,,,名,【影子】模糊的形象、迹象或印象,这事忘得连点影儿都没了｜这简直是没影儿的事。
405,5,集,jí,,,名,【集合】数学上指若干具有共同属性的事物的总体。简称集的简称,
418,2,价,jià,,,名,【价值】凝结在商品中的社会必要劳动。商品价值的大小决定于生产该商品所需的社会必要劳动时间。它通过商品的交换价值表现出来,等价交换
434,1,连,lián,,,动,【连接】相互衔接,根连着根｜心心相连
442,1,英,yīng,,,名,〈文〉【花】被子植物的繁殖器官，由花冠、花萼、花托、雌雄蕊群组成，有多种形状和颜色，有的有香味,残英｜落英
449,8,约,yuē,,,副,【约摸】表示对数量、时间的估计，相当于“大约”,年约七十｜亩产约700斤
486,1,较,jiào,,,动,【比较】把两种或几种同类事物加以对照以辨别其异同、高下,较劲儿｜较量
492,2,案,àn,,,名,【案子】一种旧式的狭长桌子,条案｜伏案
