rank,sn,cihui,pinyin,ref_hanzi,ref_pinyin,pos,definition,example
60025,1,好赖,hǎolài,,,名,好歹①,
60025,2,好赖,hǎolài,,,副,好歹③,
60025,3,好赖,hǎolài,,,副,好歹④,
60154,1,纤瘦,xiānshòu,,,形,纤细②,身材纤瘦
60457,1,精神头儿,jīngshentóur,,,名,精神（shen）①,电视里一有球赛，他的精神头儿就来了。
60459,1,洞箫,dòngxiāo,,,名,箫②,
60877,2,偏房,piānfáng,,,名,妾①,
60921,1,火钳,huǒqián,,,名,火剪①,
61044,1,负极,fùjí,,,名,阴极①,
61074,1,笑剧,xiàojù,,,名,闹剧①,
61117,1,补休,bǔxiū,,,动,补假②,
61202,1,小卧车,xiǎowòchē,,,名,小轿车②,
61250,1,缝子,fèngzi,,,名,缝（fèng）②,
61447,1,座子,zuòzi,,,名,座③,碑座子
62096,1,忌辰,jìchén,,,名,忌日①,
62246,1,豁子,huōzi,,,名,缺口①,箱子被老鼠啃了个豁子。
62270,1,龙须菜,lóngxūcài,,,名,江蓠②,
62331,1,艾蒿,àihāo,,,名,艾1①,
62569,1,灶头,zàotóu,,,名,灶①,
62578,1,顶岗,dǐnggǎng,,,动,顶班①,
62691,1,黄花闺女,huánghuā guīnü,,,,处女①,
62706,1,避忌,bìjì,,,动,忌讳①,无所避忌
62948,2,底版,dǐbǎn,,,名,版②,
62958,2,孽障,nièzhàng,,,名,孽种②,
62978,1,乐律,yuèlǜ,,,名,音律①,
63281,1,电度表,diàndùbiǎo,,,名,电表②,
63579,1,狮子狗,shīzigǒu,,,名,哈巴狗①,
64121,1,直溜,zhíliu,,,形,直①,这棵竹子长得挺直溜儿的。
64221,1,沫子,mòzi,,,名,沫①,水上漂着一层香皂沫子。
64262,1,耍钱,shuǎqián,,,动,赌博①,
64409,1,风瘫,fēngtān,,,动,瘫痪①,
64474,1,印刻,yìnkè,,,动,刻印③,印刻在心上
64525,1,藤子,téngzi,,,名,藤①②,
64616,2,漂游,piāoyóu,,,动,漂泊②,四海为家，到处漂游。
64716,1,上辈子,shàngbèizi,,,名,上辈①,我家上辈子几代人都在农村行医。
64880,1,横联,hénglián,,,名,横批；横幅①,
64966,1,陈酿,chénniàng,,,名,陈酒①,
64973,1,悬想,xuánxiǎng,,,动,悬念①,
