rank,sn,cihui,ref_cihui,ref_sn
50225,1,套语,套话,①
50225,1,套语,套话,②
50340,1,坯子,坯,①
50340,2,坯子,坯,③
50399,2,松松垮垮,松懈,①
50411,1,小解,小便,①
50537,1,映山红,杜鹃,②
50838,1,吞服,吞,①
50896,1,多一半,多半,①
50942,2,脚力,脚夫,①
51008,1,蒿草,蒿,①
51071,1,落英,落花,①
51130,1,罩子,罩,②
51176,1,闲言碎语,闲话,③
51365,1,偶或,偶尔,①
51378,2,法场,道场,①
51653,1,清库,清仓,①
51826,1,弦子,弦,②
51970,1,枝杈,枝,①
52212,2,雕凿,雕琢,②
52295,1,轻软,轻柔,①
52474,1,羔子,羔,②
52559,3,吊带,背带,①
52612,2,鼓词,大鼓,②
52732,1,点种,点播,①
52838,1,残生,残年,①
52924,1,风致,风韵,②
52950,1,正极,阳极,②
53226,1,编列,编排,①
53242,1,膀臂,臂膀,①
53278,1,后步,后路,②
53350,2,利齿,利口,①
53400,1,投枪,标枪,①
53458,1,鼓书,大鼓,②
53565,1,画匠,画工,①
53840,2,浸渍,浸染,②
53978,1,纳贡,进贡,①
54182,1,稀巴烂,稀烂,②
54438,2,报账,报销,①
54553,2,吞灭,吞没,②
54561,1,发神经,发疯,②
54652,1,本册,本,⑦
54707,1,灶火,灶,①
54824,2,套曲,套数,①
54828,2,缝线,缝合线,①
54856,1,岗子,岗,①
54856,2,岗子,岗,②
