rank,sn,hanzi,pinyin,ref_hanzi,ref_pinyin,pos,definition,example
30,7,地,dì,,,名,地区①,世界各地｜本地｜内地
30,11,地,dì,,,名,地区②,省地县三级领导｜地委
30,12,地,dì,,,名,地方（dìfāng）①③,地税局｜军地两用人才
36,3,能,néng,,,动,能够①,
36,4,能,néng,,,动,能够②,
36,5,能,néng,,,动,能够③,
48,7,多,duō,,,副,用在疑问句中，询问程度、数量，相当于“多么”③,这孩子多大了?
48,8,多,duō,,,副,用在感叹句中，表示程度很高，相当于“多么”①,这孩子多讨人喜欢!
49,5,那,nà,,,,连那么③,
49,6,那,nà,,,代,那个②,
53,7,日,rì,,,,⇛量天⑧,足足行走了3日｜共计5日
83,3,与,yǔ,,,动,给（gěi）①,交与本人｜与人方便
121,11,公,gōng,,,名,公公①,公婆
170,2,西,xī,,,名,西天②,撒手西去（指人死）｜一命归西
174,3,报,bào,,,名,报纸①,订了两份报｜晚报｜登报｜报社
193,4,特,tè,,,副,〈口〉特别②,特冷｜特早｜实力特强
199,1,题,tí,,,名,题目①,文不对题｜命题作文｜切（qiè）题
199,2,题,tí,,,名,题目②,试题｜习题
201,5,代,dài,,,动,代理①,代省长｜代主任
204,4,系,xì,,,名,系统①,水系｜语系｜嫡系
226,15,干,gān,,,形,干燥①（跟“湿”相对）,衣裳还没干｜干粮｜干旱
226,20,干,gān,,,,区别没有血缘或婚姻关系而拜认的（跟“亲”⑥相区别）,干娘｜干儿子｜干亲
249,4,气,qì,,,名,气息①,跑得上气不接下气｜喘气｜咽气
253,1,路,lù,,,名,道路①；通道,开山修路｜公路｜马路｜水路｜陆路
256,3,或,huò,,,连,或者②,或赞成，或反对，总要表个态吧｜课间，同学们或唱歌，或做游戏，玩得可开心了｜那种水果叫龙眼或桂圆，不是荔枝。
268,1,基,jī,,,名,基础①,墙基｜房基｜路基｜地基
274,1,计,jì,,,动,计算①,不计其数｜计量（liàng）｜统计
320,7,领,lǐng,,,名,领口①,圆领｜鸡心领
363,1,命,mìng,,,动,命令①,命人报信｜命舰队立即返航
363,2,命,mìng,,,名,命令②,奉命转移｜原地待命｜唯命是从｜遵命
365,7,流,liú,,,名,指江河水离开源头以后的部分（跟“源”①相区别）,
368,4,商,shāng,,,名,星宿名，即心⑦，二十八宿之一,
383,1,证,zhèng,,,动,证明①,你会证这道题吗?｜证实｜论证
390,1,影,yǐng,,,名,影子①,窗户上有个影儿｜形影相吊｜树影｜阴影｜皮影戏
390,2,影,yǐng,,,名,影子②,倒影
390,3,影,yǐng,,,名,影子③,这事忘得连点影儿都没了｜这简直是没影儿的事。
405,5,集,jí,,,名,集合③的简称,
418,2,价,jià,,,名,价值①,等价交换
434,1,连,lián,,,动,连接①,根连着根｜心心相连
442,1,英,yīng,,,名,〈文〉花1①,残英｜落英
449,8,约,yuē,,,副,约摸②,年约七十｜亩产约700斤
486,1,较,jiào,,,动,比较①,较劲儿｜较量
492,2,案,àn,,,名,案子①,条案｜伏案
492,3,案,àn,,,名,案子②,肉案｜白案｜案板
496,2,史,shǐ,,,名,历史①,先秦史｜发家史
497,6,投,tóu,,,动,投射②,把目光投向远方｜投影
499,1,容,róng,,,动,盛（chéng）②；包含,教室能容50人｜间不容发｜无地自容
508,5,帮,bāng,,,名,帮子②,
509,3,习,xí,,,动,习惯①,习以为常
509,5,习,xí,,,名,习惯②,相沿成习｜积习｜恶习｜习俗｜习气
561,5,环,huán,,,名,环节②,调查研究是解决问题的重要一环｜工作要一环扣一环地做。
565,4,料,liào,,,名,材料①,不缺人，只缺料｜偷工减料｜木料｜备料｜原料
565,6,料,liào,,,名,材料②③,史料｜笑料
565,9,料,liào,,,名,材料④,他不是教书的料｜这孩子是块唱戏的料。
591,6,卡,qiǎ,,,名,卡子①,发卡
600,6,土,tǔ,,,形,本国旧有的；民间的（跟“洋”⑤相区别）,土洋结合｜土专家
604,4,供,gòng,,,动,供奉①,桌上供着果品｜供佛｜供品
628,5,黄,huáng,,,形,黄色②,重拳出击，一举端掉了十几个黄窝。
647,2,舞,wǔ,,,名,舞蹈①,民族舞｜芭蕾舞
660,2,乡,xiāng,,,名,泛指城市以外的地区；农村（跟“城”③相区别）,下乡｜城乡交流
671,10,令,lìng,,,名,小令①②,十六字令｜如梦令
729,4,简,jiǎn,,,形,简单①（跟“繁”相对）,言简意赅｜简体字｜简历
730,4,玩,wán,,,动,体味②,细玩文义｜玩味
747,13,角,jué,,,名,角色①,你扮演什么角儿?｜主角｜配角
747,14,角,jué,,,名,行当②,旦角｜丑角
767,1,姐,jiě,,,名,姐姐①,三姐｜姐妹｜堂姐
767,2,姐,jiě,,,名,姐姐②,表姐
819,2,拍,pāi,,,名,拍子①,球拍｜苍蝇拍
819,3,拍,pāi,,,名,拍子②,二分之一拍｜合拍
823,1,套,tào,,,名,套子①,手套｜椅套
823,5,套,tào,,,名,套子②,棉花套｜被套
823,7,套,tào,,,名,套子③,老一套｜俗套｜客套
845,8,编,biān,,,名,编制③,超编｜编外人员
866,1,左,zuǒ,,,名,面向南时靠东的一侧（跟“右”①相区别）,往左拐｜左顾右盼｜左边｜左手
883,1,嘴,zuǐ,,,名,口①的通称,把嘴张开｜乐得合不上嘴儿
912,2,退,tuì,,,动,退出①,从领导岗位上退下来｜退场
915,1,忘,wàng,,,动,忘记①,这是前几年的事，我早忘了｜永远忘不了｜遗忘
915,2,忘,wàng,,,动,忘记②,今天忘带笔了｜这事别忘了告诉你妈。
923,1,测,cè,,,动,测量（liáng）①,测一测河水的深度｜勘测
957,5,洋,yáng,,,,⇛形现代化的（跟“土”⑥相区别）,土洋结合｜她穿得很洋
969,3,弹,tán,,,动,弹射①,用弹（dàn）弓弹鸟。
984,1,混,hùn,,,动,混合①,枪声和喊叫声混成一片｜混同
1062,1,映,yìng,,,动,照①,朝霞映红了天际｜映照
1116,1,予,yǔ,,,动,给（gěi）①,予以协助｜免予处分｜授予
1132,8,禁,jìn,,,动,禁锢②,监禁｜囚禁｜禁闭
1170,6,挑,tiǎo,,,动,挑花①,在手绢上挑出图案。
1170,8,挑,tiāo,,,名,挑子①,挑挑儿卖菜的
1176,1,镜,jìng,,,名,镜子①,铜镜｜穿衣镜｜明镜
1223,4,圈,quān,,,名,圈子①,在文件上画个圈儿｜坐成一圈儿｜圆圈
1223,5,圈,quān,,,名,圈子③,话说得出圈儿了｜文化圈
1229,3,忽,hū,,,副,忽而②,忽大忽小｜忽走忽停
1258,3,距,jù,,,名,距离②,行（háng）距｜差距
1263,4,仪,yí,,,名,仪表①,仪容｜威仪
1263,5,仪,yí,,,名,仪器；仪表②,半圆仪｜浑天仪
1308,4,扎,zhā,,,动,刺①,鞋底太厚，要使劲扎｜扎手｜扎针
1382,1,尾,wěi,,,名,尾巴①,虎头蛇尾｜马尾松
1397,1,黎,lí,,,形,〈文〉黑①,
1482,2,磨,mó,,,动,摩擦①,鞋底磨破了｜手上磨出茧子｜磨墨
1514,4,尖,jiān,,,名,尖子②,冒尖儿｜拔尖儿
1551,6,扣,kòu,,,,量折（zhé）⑥,打八扣（减到原价的80%）｜九五
