rank,sn,hanzi,ref_cihui,ref_sn
30,7,地,地区,①
30,11,地,地区,②
30,12,地,地方,①
30,12,地,地方,③
36,3,能,能够,①
36,4,能,能够,②
36,5,能,能够,③
48,7,多,多么,③
48,8,多,多么,①
49,5,那,那么,③
49,6,那,那个,②
53,7,日,天,⑧
83,3,与,给,①
121,11,公,公公,①
170,2,西,西天,②
174,3,报,报纸,①
193,4,特,特别,②
199,1,题,题目,①
199,2,题,题目,②
201,5,代,代理,①
204,4,系,系统,①
226,15,干,干燥,①
226,20,干,亲,⑥
249,4,气,气息,①
253,1,路,道路,①
256,3,或,或者,②
268,1,基,基础,①
274,1,计,计算,①
320,7,领,领口,①
363,1,命,命令,①
363,2,命,命令,②
365,7,流,源,①
368,4,商,心,⑦
383,1,证,证明,①
390,1,影,影子,①
390,2,影,影子,②
390,3,影,影子,③
405,5,集,集合,③
418,2,价,价值,①
434,1,连,连接,①
442,1,英,花,①
449,8,约,约摸,②
486,1,较,比较,①
492,2,案,案子,①
492,3,案,案子,②
496,2,史,历史,①
497,6,投,投射,②
499,1,容,盛,②
509,3,习,习惯,①
509,5,习,习惯,②
561,5,环,环节,②
565,4,料,材料,①
565,6,料,材料,②
565,6,料,材料,③
565,9,料,材料,④
591,6,卡,卡子,①
600,6,土,洋,⑤
604,4,供,供奉,①
628,5,黄,黄色,②
647,2,舞,舞蹈,①
660,2,乡,城,③
671,10,令,小令,①
671,10,令,小令,②
729,4,简,繁,①
730,4,玩,体味,②
747,13,角,角色,①
747,14,角,行当,②
767,1,姐,姐姐,①
767,2,姐,姐姐,②
819,2,拍,拍子,①
819,3,拍,拍子,②
823,1,套,套子,①
823,5,套,套子,②
823,7,套,套子,③
845,8,编,编制,③
866,1,左,右,①
883,1,嘴,口,①
912,2,退,退出,①
915,1,忘,忘记,①
915,2,忘,忘记,②
923,1,测,测量,①
957,5,洋,土,⑥
969,3,弹,弹射,①
984,1,混,混合,①
1062,1,映,照,①
1116,1,予,给,①
1132,8,禁,禁锢,②
1170,6,挑,挑花,①
1170,8,挑,挑子,①
1176,1,镜,镜子,①
1223,4,圈,圈子,①
1223,5,圈,圈子,③
1229,3,忽,忽而,②
1258,3,距,距离,②
1263,4,仪,仪表,①
1263,5,仪,仪表,②
1308,4,扎,刺,①
1382,1,尾,尾巴,①
1397,1,黎,黑,①
1482,2,磨,摩擦,①
1514,4,尖,尖子,②
1551,6,扣,折,⑥
1589,3,抬,抬杠,②
1611,1,塑,塑造,①
1653,3,截,段,②
1673,1,荷,莲,①
1700,1,盒,盒子,①
1714,1,耕,耕地,①
1741,3,纠,纠缠,①
1751,1,赤,红,①
1756,1,链,链子,①
1839,4,摊,摊子,①
1879,6,垂,接近,①
1882,7,阁,内阁,②
1911,1,兆,预兆,②
1911,2,兆,预兆,①
1963,2,奈,奈何,②
2042,5,浑,满,⑥
2092,1,齿,牙,①
2103,1,翼,翅,①
2274,2,抄,抄袭,①
2322,1,玄,黑,①
2322,4,玄,玄虚,①
2367,3,钉,钉子,①
2394,2,贿,贿赂,①
2394,3,贿,贿赂,②
2413,1,沾,浸湿,①
2453,1,媳,媳妇,①
2453,2,媳,媳妇,②
2650,1,柄,把,①
2694,5,杠,杠杠,①
2835,1,苟,苟且,①
2835,3,苟,苟且,③
2953,1,剿,抄袭,①
2953,1,剿,抄袭,②
2966,1,皂,黑,①
2982,5,绷,绷子,①
3082,5,岔,岔子,②
3105,1,辫,辫子,①
3172,1,黔,黑,①
3187,2,茧,茧子,②
3235,3,刨,刨床,②
3318,2,幌,幌子,①
3392,2,梆,梆子,①
3455,1,蛀,蛀虫,①
3467,1,讹,错误,①
3467,2,讹,错误,②
