rank,sn,cihui,pinyin,ref_hanzi,ref_pinyin,pos,definition,example,new_sn
35001,1,风势,fēngshì,,,名,风的势头,风势变化不大,1
35001,2,风势,fēngshì,,,名,比喻事物发展变化的情势,看不准风势，他不会贸然行动。,2
35005,1,晨星,chénxīng,,,名,清晨尚未消失的星,,1
35005,2,晨星,chénxīng,,,名,日出前在东方出现的金星和水星,,2
35007,1,余缺,yúquē,,,名,多余的和欠缺的,余缺互补,1
35007,2,余缺,yúquē,,,名,编制之内空缺的名额,填补余缺,2
35009,1,俏皮话,qiàopihuà,,,名,风趣幽默或有嘲讽意味的话,他爱说俏皮话逗乐儿｜遇到看不惯的事，他常会说上几句俏皮话。,1
35009,2,俏皮话,qiàopihuà,,,名,特指歇后语,,2
35010,1,立式,lìshì,,,形,物体的长度和宽度都小于高度样式的（跟“卧式”相区别）,立式衣柜｜立式锅炉,1
35010,2,立式,lìshì,,,形,站立着的,立式射击,2
35014,1,月子,yuèzi,,,名,妇女生育后的第一个月,她正在月子里,1
35014,2,月子,yuèzi,,,名,产妇分娩期,她的月子是五月底。,2
35015,2,底本,dǐběn,,,名,校勘、翻译、刊印以及抄写所依据的本子,照着底本校对,1
35015,1,底本,dǐběn,,,名,留底儿的稿本,这部书的底本至今保存完好,2
35015,3,底本,dǐběn,,,名,做生意的本钱,小店底本有限，恕不赊欠,3
35018,1,卸车,xièchē,,,动,从车上卸下装运的东西,,1
35018,2,卸车,xièchē,,,动,把拉车的牲口从车上解（jiě）开来,,2
35025,1,保险箱,bǎoxiǎnxiāng,,,名,形状像箱子的小型保险柜,,1
35025,2,保险箱,bǎoxiǎnxiāng,,,名,比喻安全可靠、无风险的地方,,2
35056,1,旧业,jiùyè,,,名,原先的职业,重操旧业,1
35056,2,旧业,jiùyè,,,名,旧日的家业,重整旧业,2
35066,2,花心,huāxīn,,,形,形容对爱情不专一,这小子太花心,1
35066,1,花心,huāxīn,,,名,指对爱情不专一的心思,她不相信丈夫有花心。,2
35075,2,至爱,zhì'ài,,,名,最爱的人或事物,读书成为他生活的至爱。,1
