rank,origin_sn,new_sn
40033,1,1
40033,2,2
40033,3,3
40070,1,1
40070,2,2
40081,1,1
40081,2,2
40090,1,1
40090,2,2
40138,1,2
40138,2,1
40151,1,1
40151,2,2
40158,1,1
40158,2,2
40160,1,2
40160,2,1
40181,1,1
40181,2,2
40200,1,1
40200,2,2
40202,1,1
40202,2,2
40213,1,1
40213,2,2
40219,1,2
40219,2,1
40222,1,1
40222,2,2
40232,1,1
40232,2,2
40238,1,1
40238,2,2
40261,1,1
40261,2,2
40269,1,1
40269,2,2
40283,2,1
40283,1,2
40291,1,2
40291,2,1
40323,1,1
40323,2,2
40341,1,1
40341,2,2
40346,1,1
40346,2,2
40348,1,1
40348,2,2
40353,1,1
40353,2,4
40353,3,2
40353,4,3
40356,1,2
40356,2,1
40366,1,1
40366,2,2
40392,1,2
40392,2,1
40400,2,1
40400,1,2
40412,1,2
40412,2,1
40414,1,1
40414,2,2
40421,1,2
40421,2,1
40441,1,1
40441,2,2
40441,3,3
40453,1,1
40453,2,2
40454,1,1
40454,2,2
40455,1,1
40455,2,2
40460,1,1
40460,2,3
40460,3,2
40467,1,2
40467,2,1
40490,1,1
40490,2,2
40497,1,3
40497,2,2
40497,3,1
40497,3,1
40497,2,2
40497,1,3
40511,1,1
40511,2,2
40511,3,3
40511,4,4
40511,1,1
40511,2,2
40511,3,3
40511,4,4
40521,1,1
40521,2,2
40525,1,2
40525,2,1
40526,1,2
40526,2,1
40526,3,3
40531,1,2
40531,2,1
40536,1,2
40536,2,1
40539,2,1
40539,1,2
40566,1,1
40566,2,2
40567,1,1
40567,2,2
40567,3,3
40567,1,1
40567,2,2
40567,3,3
40588,1,1
40588,2,2
40588,1,1
40588,2,2
40597,1,1
40597,2,2
40599,1,1
40599,2,2
40602,1,3
40602,2,1
40602,3,2
40609,1,1
40609,2,2
40612,1,3
40612,2,1
40612,3,4
40612,4,2
40613,1,1
40613,3,2
40613,2,3
40616,1,1
40616,2,2
- id=40635,zici=工读,pinyin=gōngdú
40635,1,1
40635,2,2
40635,1,1
40635,2,2
40648,1,1
40648,2,2
40686,1,1
40686,2,2
40686,1,1
40686,2,2
40698,1,2
40698,2,1
40698,3,3
40710,1,2
40710,2,1
40731,1,2
40731,2,1
40768,2,1
40768,1,2
40773,2,1
40773,1,2
40777,1,1
40777,2,2
40782,1,3
40782,2,2
40782,3,1
40782,4,4
40798,1,1
40798,2,2
40806,1,1
40806,2,2
40833,1,2
40833,2,1
40872,1,2
40872,2,1
40894,1,2
40894,2,3
40894,3,1
40904,1,3
40904,2,2
40904,3,1
40908,1,2
40908,2,1
40912,1,2
40912,2,1
40913,1,2
40913,2,1
40916,1,1
40916,2,2
40942,1,1
40942,2,2
40952,1,1
40952,2,2
40959,1,1
40959,2,2
40966,1,2
40966,2,1
40969,1,1
40969,2,2
40973,1,2
40973,2,1
40981,1,1
40981,2,2
40983,1,1
40983,2,2
40992,1,1
40992,2,2
40993,1,1
40993,2,3
40993,3,2
41028,1,2
41028,2,1
41061,1,1
41061,2,2
41080,1,2
41080,2,1
41084,1,2
41084,2,1
41087,1,2
41087,2,1
41095,1,2
41095,2,1
41097,1,2
41097,2,1
41117,1,2
41117,2,1
41119,2,1
41119,1,2
41126,1,1
41126,2,2
41132,1,2
41132,2,1
41138,1,1
41138,2,3
41138,3,2
41140,1,1
41140,2,2
41151,1,1
41151,2,2
41166,1,1
41166,2,2
41168,1,1
41168,2,2
41168,1,1
41168,2,2
41203,1,2
41203,2,1
41239,1,2
41239,2,1
41245,1,1
41245,2,2
41248,1,1
41248,2,2
41264,1,2
41264,2,1
41277,1,1
41277,2,3
41277,3,2
41359,1,1
41359,2,2
41361,1,1
41361,2,2
41367,1,1
41367,2,2
41373,1,1
41373,2,2
41383,1,1
41383,2,2
41404,1,1
41404,2,2
41410,1,1
41410,2,2
41410,3,3
41421,1,1
41421,2,2
41434,2,1
41434,1,2
41466,1,1
41466,2,2
41472,2,1
41472,1,2
41502,1,1
41502,2,2
41509,1,1
41509,2,2
41513,1,1
41513,2,2
41513,1,1
41513,2,2
41530,1,1
41530,2,2
41534,1,1
41534,2,2
41542,2,1
41542,1,2
41550,1,1
41550,2,2
41577,1,1
41577,2,2
41577,3,3
41591,2,1
41591,1,2
41598,1,1
41598,2,2
41613,2,1
41613,3,2
41613,1,3
41634,1,1
41634,2,2
41650,1,1
41650,2,2
41684,1,1
41684,2,2
41698,1,3
41698,2,2
41698,3,1
41725,1,1
41725,2,2
41727,1,1
41727,2,2
41730,1,1
41730,2,2
41771,1,1
41771,2,2
41790,1,1
41790,2,2
41791,1,2
41791,2,1
41794,1,2
41794,2,1
41805,1,1
41805,2,2
41836,1,2
41836,2,1
41851,1,2
41851,2,1
41856,1,2
41856,2,1
41865,1,1
41865,2,2
41868,1,1
41868,2,2
41868,3,3
41889,1,1
41889,2,3
41889,3,2
41889,4,4
41902,1,2
41902,2,1
41903,1,1
41903,2,2
41909,2,1
41909,1,2
41911,1,2
41911,2,1
41917,1,1
41917,2,2
41944,1,1
41944,2,2
41962,1,2
41962,2,1
41978,1,1
41978,2,2
41994,1,1
41994,2,2
42002,1,1
42002,2,2
42036,1,2
42036,2,1
42041,1,1
42041,2,2
42048,1,2
42048,2,1
42051,1,1
42051,2,2
42052,1,2
42052,2,1
42054,1,1
42054,2,2
42079,1,1
42079,2,2
42081,1,1
42081,2,2
42096,1,1
42096,2,2
42120,1,2
42120,2,1
42130,2,1
42130,1,2
42132,1,2
42132,2,1
42145,1,3
42145,2,2
42145,3,1
42145,4,4
- 这是将“中频”作为**无线电波段划分**中的一个术语（属于中波频段附近），但在标准ITU频段划分中，300–3000 kHz 实际上被称为**中频（MF,Medium Frequency）**，虽然术语一致，但中文语境下“中频”更多指超外差结构中的**中频信号（IF,Intermediate Frequency）**，而非频段名称。
42147,1,1
42147,2,2
42149,1,1
42149,2,2
42162,1,3
42162,2,1
42162,3,2
42163,1,1
42163,2,2
42188,1,2
42188,2,1
42213,1,2
42213,2,1
42214,1,2
42214,2,1
42221,1,2
42221,2,1
42239,1,1
42239,2,2
42246,1,2
42246,2,1
42254,1,2
42254,2,1
42267,2,1
42267,1,2
42274,1,1
42274,2,2
42276,1,2
42276,2,1
42285,1,1
42285,2,2
42314,1,1
42314,2,2
42321,1,2
42321,2,3
42321,3,1
42367,1,2
42367,2,1
42367,3,3
42378,1,1
42378,2,2
42380,1,2
42380,2,1
42390,1,2
42390,2,1
42391,1,1
42391,2,2
42396,1,2
42396,2,1
42396,1,2
42396,2,1
42452,1,2
42452,2,1
42456,1,2
42456,2,1
42461,2,1
42461,1,2
42469,1,1
42469,2,2
42486,1,1
42486,2,2
42487,1,1
42487,2,2
42489,1,1
42489,2,2
42497,1,1
42497,2,2
42510,1,1
42510,2,2
42513,1,1
42513,2,2
42519,1,1
42519,2,2
42530,1,2
42530,2,1
42547,1,2
42547,2,1
42556,1,1
42556,2,2
- “不留活口”约 1,200,000 条结果 → 明显更多
42558,1,1
42558,2,2
42558,3,3
42558,1,1
42558,2,2
42558,3,3
42563,1,1
42563,2,2
42572,1,2
42572,2,1
42579,1,1
42579,2,2
42615,1,1
42615,2,2
42634,1,2
42634,2,1
42637,1,1
42637,2,2
42667,1,1
42667,2,2
42668,1,1
42668,2,2
42688,1,3
42688,2,2
42688,3,1
