rank,origin_sn,new_sn
5572,2,1
5572,1,2
1. **qiāng,动,逆；向着相对的方向（行动）** → 最常见，如“戗风而行”，是基础动词用法，排第1。
2. **qiāng,动,言语冲突** → 口语中常见，“两人戗了几句”，是引申义，较活跃，排第2。
3. **qiàng,动,支撑；顶住** → 具体动作，虽不泛用但有明确场景，排第3。
4. **qiàng,动,承受** → 抽象且使用较少，“体质弱，戗不住”略显生僻，排第4。
5609,3,1
5609,4,2
5609,1,3
5609,2,4
5609,3,1
5609,4,2
5609,1,3
5609,2,4
5754,1,2
5754,2,1
5781,1,2
5781,2,1
5854,1,2
5854,2,1
5894,1,1
5894,2,2
5894,3,3
5902,1,1
5902,2,2
5944,1,1
5944,2,2
6336,1,1
6336,2,2
6383,1,1
6383,2,2
6440,1,1
6440,2,2
6671,1,2
6671,2,1
6671,3,3
6732,1,1
6732,2,3
6732,3,2
