rank,cihui,pinyin,ref_hanzi,ref_pinyin,pos,definition,example
35001,风势,fēngshì,,,名,风的势头,风势 变化不大
35001,风势,fēngshì,,,名,比喻事物发展变化的情势,看不准 风势 ，他不会贸然行动 。
35003,画法,huàfǎ,,,名,绘画的技法,画法 细腻
35003,画法,huàfǎ,,,名,绘画的技法,画法 不同，风格各异 。
35003,画法,huàfǎ,,,名,画图形的方法,这张鸟瞰图的 画法 不对 。
35005,晨星,chénxīng,,,名,清晨尚未消失的星,
35005,晨星,chénxīng,,,名,日出前在东方出现的金星和水星,
35006,小儿麻痹症,xiǎo'ér mábìzhèng,,,,脊髓灰质炎的通称,
35007,余缺,yúquē,,,名,多余的和欠缺的,余缺 互补
35007,余缺,yúquē,,,名,编制之内空缺的名额,填补 余缺
35009,俏皮话,qiàopihuà,,,名,风趣幽默或有嘲讽意味的话,他爱说 俏皮话 逗乐 儿
35009,俏皮话,qiàopihuà,,,名,风趣幽默或有嘲讽意味的话,遇到看不惯的事，他常会说上几句 俏皮话 。
35009,俏皮话,qiàopihuà,,,名,特指歇后语,
35010,立式,lìshì,,,区别,物体的长度和宽度都小于高度样式的（跟“卧式”相区别）,立式 衣柜
35010,立式,lìshì,,,区别,物体的长度和宽度都小于高度样式的（跟“卧式”相区别）,立式 锅炉
35010,立式,lìshì,,,,区别站立着的,立式 射击
35011,军饷,jūnxiǎng,,,名,军人的给养和薪金,
35014,月子,yuèzi,,,名,妇女生育后的第一个月,她正在 月子 里
35014,月子,yuèzi,,,名,产妇分娩期,她的 月子 是五月底 。
35015,底本,dǐběn,,,名,留底 儿 的稿本 这部书的 底本 至今保存完好 校勘、翻译、刊印以及抄写所依据的本子 照着 底本 校对 做生意的本钱 小店 底本 有限，恕不赊欠,
35017,街灯,jiēdēng,,,名,街道上的路灯,
35018,卸车,xièchē,,,动,从车上卸下装运的东西,
35018,卸车,xièchē,,,动,把拉车的牲口从车上解（jiě）开来,
35020,特快专递,tèkuài zhuāndì,,,,邮政特快专递的简称,
35021,不欢而散,bùhuān'érsàn,,,,不高兴地分手,二人言语不合，闹得 不欢而散 。
35022,价格体系,jiàgé tǐxì,,,,国民经济中各种价格所形成的系统及其相互关系的总和。它体现着各种价格之间及价格构成的各因素之间的内在有机联系,
35023,远走高飞,yuǎnzǒu-gāofēi,,,,向远处跑，往高处飞。形容到很远的地方去,
35024,在所不惜,zàisuǒbùxī,,,,指决不吝惜,
35025,保险箱,bǎoxiǎnxiāng,,,名,形状像箱子的小型保险柜,
35025,保险箱,bǎoxiǎnxiāng,,,名,比喻安全可靠、无风险的地方,
35027,拦路虎,lánlùhǔ,,,名,原比喻拦路抢劫的强盗；现多比喻遇到的困难、障碍等,
35029,小老婆,xiǎolǎopo,,,名,妾；姨太太,
35030,转角,zhuǎnjiǎo,,,名,街巷等拐弯的地方,
35032,醇厚,chúnhòu,,,形,（味道）纯正浓厚,
35033,超限,chāoxiàn,,,动,超过限度；特指车辆装载超过限度,载重量 超限 容易引发交通事故 。
35034,脱轨,tuōguǐ,,,动,车轮离开轨道；比喻言行越出常规,加强自律，谨防行为 脱轨 。
35035,吊装,diàozhuāng,,,动,建筑工程中把预制构件吊起来安装在预定的位置上,
35037,万全,wànquán,,,形,形容（计划、办法等）十分周密稳妥,没有 万全 之策
35039,口风,kǒufēng,,,名,从话语中透露出来的信息,事先一点 儿 口风 也没露 。
35040,训话,xùnhuà,,,动,上级对下属发表教导或告诫性的言辞,校长 训话
35040,训话,xùnhuà,,,动,上级对下属发表教导或告诫性的言辞,出发前团长训了一通话 。
35041,类同,lèitóng,,,动,大致相同,图案 类同
35041,类同,lèitóng,,,动,大致相同,手法 类同
35043,命相,mìngxiàng,,,名,迷信指能够显示人的命运的相貌特征；也指生辰八字,
35046,去职,qùzhí,,,动,离开原来的职位,因病 去职
35047,见机,jiànjī,,,动,看当时的情况、机会等（选择做法）,见机 迅速拉开车门
35047,见机,jiànjī,,,动,看当时的情况、机会等（选择做法）,见机 而为
35048,裙带,qúndài,,,名,系裙子的带子；比喻姻亲关系（含贬义）,靠 裙带 关系当了个部门经理 。
35049,粗粮,cūliáng,,,名,一般指大米、白面以外的食粮，如玉米、高粱、小米等,粗粮 细做
35050,抱病,bàobìng,,,动,带着病,抱病 指挥战斗
