rank,sn,cihui,pinyin,ref_hanzi,ref_pinyin,pos,definition,example
10002,1,骆驼,luòtuo,,,名,哺乳动物，颈长，身体高大，毛褐色，四肢细长，蹄扁平，背上有一或两个驼峰，耐饥渴高温。性温驯，能负重在沙漠中长途行走，号称“沙漠之舟”,
10003,1,诗句,shījù,,,名,诗歌中的句子；借指诗歌作品,
10004,1,平行,píngxíng,,,动,同一平面内的两条直线永不相交，称这两条直线互相平行；两个平面之间或一条直线与一个平面之间永不相交，也称为互相平行,
10004,2,平行,píngxíng,,,形,同时发生的,多种经济成分平行发展。
10004,3,平行,píngxíng,,,形,等级相同、互不隶属的,县级市和县是平行的｜平行单位
10004,4,平行,píngxíng,,,动,（公文）发向平级,该文件平行于10个部委。
10006,1,政治权利,zhèngzhì quánlì,,,,我国现行法律指公民依法参加国家政治生活的权利，是公民基本权利的重要组成部分。如选举权和被选举权，言论、出版、集会、结社、游行、示威自由的权利，担任国家机关职务的权利，担任国有公司、企事业单位和人民团体领导职务的权利,
10007,1,变相,biànxiàng,,,形,指形式变了而实质没变的（多指不好的事）,变相涨价｜变相走私
10009,1,千古,qiāngǔ,,,名,久远的年代,千古流传｜千古罪人
10009,2,千古,qiāngǔ,,,动,婉词，多用于挽联、花圈等的上款，意为永别,
10010,1,必不可少,bìbùkěshǎo,,,,一定不能缺少,
10011,1,多极,duōjí,,,形,多元的；多方面并存的,世界正在走向多极｜多极社会
10012,1,支行,zhīháng,,,名,银行系统在分行下设立的独立营业部门,工商银行支行
10013,1,起事,qǐshì,,,动,发动武装起义,秦朝末年，陈涉率先起事。
10014,1,牧场,mùchǎng,,,名,放牧牲畜的草场,
10014,2,牧场,mùchǎng,,,名,以牧养牲畜为主的企业单位,
10015,1,眼珠,yǎnzhū,,,名,眼球①,
10016,1,娘子,niángzǐ,,,名,旧时对中青年已婚女子的尊称（多见于早期白话，②同）,
10016,2,娘子,niángzǐ,,,名,〈口〉指妻子,
10017,1,抉择,juézé,,,动,选定；选择,两条路由你抉择｜顽抗还是投降，必须马上抉择。
10018,1,败坏,bàihuài,,,动,损坏（风气、声誉等）,败坏社会风气｜败坏名誉
10018,2,败坏,bàihuài,,,形,（道德、品行等）极坏；十分恶劣,道德败坏
10020,1,音乐家,yīnyuèjiā,,,名,从事音乐工作，并获得较高成就的人,
10021,1,难民营,nànmínyíng,,,名,专门收容难民，供他们暂时生活的处所,
10022,1,解放战争,jiěfàng zhànzhēng,,,,被压迫的阶级或民族为获得解放而进行的战争；特指我国第三次国内革命战争,
10025,1,体改,tǐgǎi,,,动,体制改革的简称,
10026,1,低谷,dīgǔ,,,名,低洼的谷地,
10026,2,低谷,dīgǔ,,,名,比喻不兴旺的状态；最低点,经济走出了低谷
10028,1,城堡,chéngbǎo,,,名,有围墙便于防守的小城,
10029,1,造价,zàojià,,,名,制造或建造所需的费用,这栋楼房造价很高｜工程造价
10030,1,疯牛病,fēngniúbìng,,,名,牛海绵状脑病的俗称。一种潜伏期很长的慢性传染病，多见于成年牛。症状为四肢僵硬、体重下降、惊恐等。可传染给人。20世纪80年代中期首先在英国发现,
10031,1,紧要,jǐnyào,,,形,紧急重要,紧要任务｜紧要环节
10032,1,本行,běnháng,,,名,长期从事的已经熟悉的行业,他调动后还是干他的本行。
10032,2,本行,běnháng,,,名,自己所从事的工作,三句话不离本行
10033,1,聘用,pìnyòng,,,动,聘请使用,聘用管理人才
10034,1,怀有,huáiyǒu,,,动,内心存有,怀有善良愿望
10036,1,难说,nánshuō,,,动,有所顾虑，有话而不便说出,事已至此，难说也要说。
10036,2,难说,nánshuō,,,动,说不准,到底是怎么回事，很难说。
10037,1,单边,dānbiān,,,区别,由单独一方参加的,单边行动
10037,2,单边,dānbiān,,,名,图案四周勾的单线边框,
10038,1,好听,hǎotīng,,,形,（声音）听起来让人舒服、愉快,轻音乐好听｜唱得非常好听
10038,2,好听,hǎotīng,,,形,（话语）听起来让人舒服、满意,好听的话未必中肯｜话是挺好听的，就是不照办。
10038,3,好听,hǎotīng,,,形,光彩，体面,这是家丑，传扬出去不好听。
10039,1,收缩,shōusuō,,,动,（物体）缩小或缩短,心脏收缩时输出血液。
10039,2,收缩,shōusuō,,,动,紧缩；由分散变为集中,收缩战线
10040,1,口服,kǒufú,,,动,嘴上说信服,口服心不服
10040,2,口服,kǒufú,,,动,把药物吃进去,
10041,1,抚摸,fǔmō,,,动,用手轻轻地接触并慢慢地来回移动,抚摸着白鸽光滑的羽毛。
10042,1,地名,dìmíng,,,名,城市、乡镇、街道、村落等各个地方的专有名称,
10044,1,长老,zhǎnglǎo,,,名,旧指年岁大的人,
10044,2,长老,zhǎnglǎo,,,名,对住持僧或年长僧人的尊称,
10044,3,长老,zhǎnglǎo,,,名,基督教某些教派中协助牧师管理教务的人,
10045,1,紧迫感,jǐnpògǎn,,,名,紧张和急迫的感觉或意识,要增强工作的责任心和紧迫感。
