rank,sn,hanzi,pinyin,ref_hanzi,ref_pinyin,pos,definition,example
3501,1,耶,yé,,,助,〈文〉用在句末，表示疑问或反问的语气，相当于“吗” “呢”,然则何时而乐耶?
3502,1,嗯,éng,,,叹,〈口〉 表示疑问,嗯?你怎么不说话了?｜你说什么，嗯?
3503,1,咯,kǎ,,,动,用力把东西从食道或气管里咳出来,把鱼刺咯出来｜咯痰｜咯血
3503,2,咯,luò,,,,音译用字，用于“吡（bǐ）咯”等,
3505,1,噢,ō,,,叹,表示知道,噢，明白了!
3506,1,於,yū,,,名,姓,
3506,2,於,yú,,,,"用于地名。如：於陵，古地名，在今山东邹平东南；於潜，旧县名，在浙江,1960年并入临安",
3508,1,暨,jì,,,动,〈文〉到；至,自古暨今
3508,2,暨,jì,,,连,连接并列的名词或名词性短语，相当于“和” “与” “及”,竣工典礼暨庆功大会。
3509,1,噶,gá,,,,音译用字，用于“噶伦”（原西藏地方政府的主要官员）、“噶厦”（gáxià，原西藏地方政府）、“萨噶达瓦节”（藏族地区纪念释迦牟尼诞辰的节日）等,
3512,1,瑶,yáo,,,名,美玉,琼瑶｜瑶琴（镶玉的琴）。
3512,2,瑶,yáo,,,形,美好的,瑶函（对别人书信的尊称）｜瑶浆（美酒）
3513,1,酶,méi,,,名,生物体的细胞分泌的具有催化能力的蛋白质，可以促进体内的氧化作用、消化作用、发酵等，如蛋白酶、淀粉酶、凝血酶等。酶制剂广泛应用于食品、皮革、纺织、石油等工业以及医药卫生等方面,
3514,1,嗨,hāi,,,,歌词中的衬字,嗨啦啦｜呼儿嗨哟
3515,1,廖,liào,,,名,姓,
3516,1,佬,lǎo,,,名,称成年男人（有时含轻蔑意）,大佬｜阔佬
3517,1,噗,pū,,,拟声,模拟气或水喷出来的声音,噗的一下吹灭了蜡烛｜泉水噗噗往上冒
3518,1,婷,tíng,,,名,姓,
3520,1,尹,yǐn,,,名,古代官名，一般为一地的长官,京兆尹｜令尹｜府尹｜道尹
3520,2,尹,yǐn,,,名,姓,
3521,1,霖,lín,,,名,〈文〉 久下不停的雨,霖雨｜甘霖
3522,1,裔,yì,,,名,〈文〉衣服边,
3522,2,裔,yì,,,名,〈文〉边缘；边远的地方,四裔｜边裔
3522,3,裔,yì,,,名,后代,后裔｜华裔
3524,1,眸,móu,,,名,〈文〉 眼珠；泛指眼睛,回眸一笑｜明眸皓齿｜凝眸
3526,1,睿,ruì,,,形,眼光深远；通达,聪明睿智
3527,1,铀,yóu,,,名,金属元素，符号U。银白色，有放射性，化学性质活泼。是最基本的核燃料，可用来产生原子能，制造原子弹、建造原子反应堆和核电站,
3528,1,郅,zhì,,,副,〈文〉极；最,郅治（最太平）｜郅隆（极昌盛）
3528,2,郅,zhì,,,名,姓,
3529,1,萃,cuì,,,动,汇集,荟萃
3529,2,萃,cuì,,,名,指聚集在一起的人或物,出类拔萃
3530,1,噬,shì,,,动,〈文〉 咬,噬脐莫及｜噬啮｜吞噬｜反噬
3531,1,嘘,shī,,,叹,表示制止说话或驱赶家禽,嘘!别说话｜嘘，回窝里去!
3531,2,嘘,xū,,,动,从嘴里慢慢地吐气,嘘了一口气
3531,3,嘘,xū,,,动,〈文〉叹气,仰天而嘘
3531,4,嘘,xū,,,拟,声模拟撮口吐气的声音，多用于表示制止,嘘!别说话
3531,5,嘘,xū,,,动,蒸汽或热力接触物体引起变化,让蒸汽嘘了｜放炉子上嘘一嘘
3532,1,嘟,dū,,,拟声,模拟某些发声器发出的声音,哨子吹得嘟嘟响
3532,2,嘟,dū,,,动,〈口〉（嘴巴）向前撅着,小孩儿嘟起小嘴生气了。
3533,1,祛,qū,,,动,祛除,祛暑｜祛痰
3534,1,俞,yú,,,名,姓,
3535,1,郝,hǎo,,,名,姓,
3536,1,烯,xī,,,名,有机化合物的一类，分子中含碳-碳双键结构而具有不饱和性。如乙烯,
3537,1,嗷,áo,,,,见下。 嗷嗷 嗷嗷待哺,
3538,1,镖,biāo,,,名,旧时一种投掷用的暗器，形状像长矛的头,飞镖
3538,2,镖,biāo,,,名,旧时指由镖局替别人护送的财物,保镖
3539,1,憬,jǐng,,,动,〈文〉 觉悟；醒悟,
3540,1,逍,xiāo,,,,见下。 逍遥 逍遥法外,
3541,1,晤,wù,,,动,相遇；见面,来访未晤｜晤面｜晤谈｜会晤
3542,1,湛,zhàn,,,形,（学识、技术等）精深,精湛｜深湛
3542,2,湛,zhàn,,,形,清澈,湛清
3542,3,湛,zhàn,,,名,姓,
3543,1,奎,kuí,,,名,星宿名，二十八宿之一,
3543,2,奎,kuí,,,名,姓,
3544,1,噜,lū,噜苏,lūsū,形,啰唆,
3545,1,娅,yà,,,名,〈文〉 连襟,姻娅
3546,1,坞,wù,,,名,〈文〉 防守用的小城堡,结坞自守
3546,2,坞,wù,,,名,山坳；泛指四面高而中央低的地方,山坞｜花坞｜村坞
3546,3,坞,wù,,,名,停船的港湾；建在水边的修造船只的场所,船坞
3547,1,涅,niè,,,名,涅石,
3547,2,涅,niè,,,动,染黑,
3548,1,狄,dí,,,名,我国古代北方的一个民族；泛指古代北方各民族,
3548,2,狄,dí,,,名,姓,
3549,1,龚,gōng,,,名,姓,
3550,1,孢,bāo,,,,见下。 孢子 孢子植物,
3551,1,瑜,yú,,,名,玉的光彩。常用来比喻优点（跟“瑕”相区别）,瑕不掩瑜
3551,2,瑜,yú,,,名,姓,
3552,1,婊,biǎo,婊子,biǎozi,名,妓女（多用作骂人的话）,
3553,1,癫,diān,,,形,神经错乱；精神失常,癫狂｜疯癫｜疯疯癫癫
3554,1,襄,xiāng,,,动,帮助；协助,襄办｜襄理｜襄助
3555,1,甬,yǒng,,,名,甬江，水名，在浙江东北部，流经宁波,
3555,2,甬,yǒng,,,名,宁波的别称,沪杭甬
3556,1,龋,qǔ,,,动,牙齿被腐蚀而形成空洞或残缺,龋齿
3557,1,咚,dōng,,,拟声,模拟重物落下或击鼓、敲门等的声音,咚的一声跳下墙头｜鼓敲得咚咚响｜咚咚的敲门声
3558,1,鑫,xīn,,,形,〈文〉 财源兴盛（多用于商号名、人名）,
3559,1,酰,xiān,,,名,指酰基,硫酰｜乙酰
3560,1,孜,zī,,,,见下。 孜然 孜孜,
3561,1,钡,bèi,,,名,金属元素，符号 Ba。银白色，有延展性，易氧化。可用作去氧剂，也用于制造合金、焰火等,
3562,1,璇,xuán,,,名,〈文〉 美玉,
3563,1,雯,wén,,,名,〈文〉花纹状的云彩,
3563,2,雯,wén,,,名,姓,
3564,1,钛,tài,,,名,金属元素，符号 Ti。银灰色，质硬而轻，延展性强，熔点较高，耐腐蚀。可用来制造特种合金钢,
3565,1,跻,jī,,,动,上升；登上,跻于富强之列｜跻升｜跻身
3566,1,妍,yán,,,形,〈文〉 美；美好（跟“媸”相对）,不辨妍媸（chī）｜百花争妍
3567,1,阜,fù,,,名,土山；山,
3567,2,阜,fù,,,形,盛多；丰厚,物阜民丰｜民康物阜
3569,1,诠,quán,,,动,〈文〉 解释；详细说明（道理等） 诠 释 | 诠 注 | 诠 说 道理；事理 真 诠,
3570,1,肽,tài,,,名,有机化合物，由一个氨基酸分子中的氨基与另一氨基酸分子中的羧基缩合脱水而成,
3571,1,梓,zǐ,,,名,梓树，落叶乔木，开黄白色花。木材轻软耐朽，可制作家具、乐器或作建筑材料；皮和种子可以做药材,
3571,2,梓,zǐ,,,名,〈文〉故乡的代称,乡梓｜桑梓
3571,3,梓,zǐ,,,动,〈文〉刻版；刻版印刷。以梓木为最好的刻版材料，故称,付梓｜梓行（xíng）。
3572,1,札,zhá,,,名,古代写字用的小木片,笔札
3572,2,札,zhá,,,名,书信,书札｜信札｜手札
3572,3,札,zhá,,,名,旧时的一种公文,奏札｜札子
3572,4,札,zhá,,,名,笔记,札记
3575,1,莞,guǎn,,,,用于地名。如东莞，在广东,
3575,2,莞,wǎn,莞尔,wǎn'ěr,,形容微笑的样子,相顾莞尔｜莞尔一笑
3576,1,淖,nào,,,名,〈文〉 烂泥；泥沼,泥淖
3577,1,驭,yù,,,动,驱使车马,驭手｜驾驭
3577,2,驭,yù,,,动,控制；支配,以简驭繁
3578,1,镍,niè,,,名,金属元素，符号 Ni。银白色，质坚韧，有磁性和良好的延展性，在空气中不氧化。用于电镀及制造不锈钢和其他各种精密合金；也用于制造蓄电池和硬币等,
3579,1,樊,fán,,,名,〈文〉篱笆,樊篱
3579,2,樊,fán,,,名,姓,
3580,1,膳,shàn,,,名,饭食,用膳｜膳费｜膳食
3582,1,柯,kē,,,名,〈文〉 斧头的柄 草木的枝茎 茎 柯 姓,
3583,1,镯,zhuó,,,名,镯子,手镯｜脚镯｜玉镯
3584,1,颌,hé,,,名,由骨头和肌肉组织构成的口腔的上部和下部。上部称上颌，下部称下颌,上颌｜下颌
3585,1,莎,shā,,,,用于地名、人名。如莎车（chē），在新疆,
3585,2,莎,shā,,,名,姓,
3585,3,莎,suō,莎草,suōcǎo,名,香附子,
3586,1,嫣,yān,,,形,女子容貌美好,嫣然一笑
3586,2,嫣,yān,,,形,颜色鲜艳,姹紫嫣红
3588,1,峪,yù,,,名,山谷（多用于地名）,峪口｜慕田峪（在北京）｜嘉峪关（在甘肃）。
3589,1,釜,fǔ,,,名,古代一种用来蒸煮食物的炊具，铜制或陶制，小口大腹，无足,釜底抽薪｜破釜沉舟
3589,2,釜,fǔ,,,名,古代一种量器，容量为六斗四升,
3591,1,搐,chù,,,动,（肌肉）不自主地收缩,抽搐｜搐动
3592,1,忡,chōng,,,形,形容忧愁不安,
3593,1,抉,jué,,,动,〈文〉挖出；剜出,抉目
3593,2,抉,jué,,,动,挑选,抉择
3595,1,柚,yòu,,,名,常绿乔木，叶子大而厚；叶翼大，呈心脏形。开白花。果实也叫柚，圆形或梨形，皮黄色或橙色，是常见水果。花、叶、果皮均可提制芳香油。通称柚子,
3595,2,柚,yóu,柚木,yóumù,名,落叶大乔木，叶大，卵形或椭圆形，背面密布灰黄色星状毛，花白色，有香味，核果略呈球形。木材暗褐色，坚硬耐久，纹理美观，适宜造车、船、桥梁、家具等,
3596,1,毋,wú,,,副,〈文〉表示禁止或劝阻，相当于“不要” “不可”,临财毋苟得，临难毋苟免｜宁缺毋滥
3596,2,毋,wú,,,名,姓,
3597,1,媲,pì,,,动,比得上,媲美
3598,1,妾,qiè,,,名,旧时男子除正妻以外另娶的女子,一妻一妾｜纳妾
3598,2,妾,qiè,,,名,古时女子的谦称,妾身
3599,1,麓,lù,,,名,山脚,山麓｜天山南麓
3600,1,邃,suì,,,形,（空间、时间）深远,深邃的峡谷
3600,2,邃,suì,,,形,（学问或理论）精深,精邃
3602,1,霆,tíng,,,名,迅急而猛烈的雷,雷霆
3603,1,瞥,piē,,,动,目光很快地掠过,瞥了他一眼｜瞥见｜一瞥
3604,1,忏,chàn,,,动,为所犯的过失而悔恨,忏悔
3604,2,忏,chàn,,,动,僧人或道士代人忏悔,拜忏
3604,3,忏,chàn,,,名,僧人或道士代人忏悔时所念的经文。如《玉皇忏》,
3605,1,懿,yì,,,形,〈文〉 （德行等）美好,懿德｜懿行
3606,1,篆,zhuàn,,,名,篆书,真草隶篆｜大篆｜小篆
3606,2,篆,zhuàn,,,动,〈文〉用篆字书写,篆额
3606,3,篆,zhuàn,,,名,〈文〉指印章或名字,接篆（接印）｜台篆（对别人名字的敬称）。
3607,1,锂,lǐ,,,名,金属元素，符号 Li。银白色，是最轻的金属，化学性质活泼。在原子能工业中有重要用途,
3608,1,惬,qiè,,,形,心里满足；畅快,惬心｜惬意
3608,2,惬,qiè,,,形,〈文〉恰当,词惬意当
3609,1,韬,tāo,,,名,〈文〉 弓套或剑套 隐藏 韬 光养晦 | 韬 声匿迹 用兵的谋略 韬 略 ,
3611,1,沌,zhuàn,,,,用于地名。如：沌河，水名；沌口、沌阳，地名。均在湖北,
3613,1,挛,luán,,,动,（手脚）弯曲不能伸开,挛缩｜痉挛｜拘挛
3614,1,戮,lù,,,动,杀,杀戮
3615,1,陇,lǒng,,,名,陇山，山名，在甘肃和陕西交界的地方,
3615,2,陇,lǒng,,,名,甘肃的别称,陇海铁路｜陇西高原
3616,1,渎,dú,,,名,〈文〉 沟渠,沟渎
3616,2,渎,dú,,,动,侮慢；对人不尊敬,亵渎｜渎犯｜渎职
3617,1,嗣,sì,,,动,〈文〉继承；接续,嗣国｜嗣位
3617,2,嗣,sì,,,名,继承人；子孙后代,后嗣｜子嗣
3618,1,焖,mèn,,,动,烹调方法，把食物放在锅里，加少量的水，扣紧锅盖，用文火慢煮，使物熟汤干,焖扁豆｜黄焖鸡翅
3620,1,甄,zhēn,,,动,考察；鉴别,甄审｜甄别
3620,2,甄,zhēn,,,名,姓,
3622,1,榻,tà,,,名,狭长的矮床；泛指床,竹榻｜卧榻｜病榻
3623,1,亵,xiè,,,动,〈文〉不庄重地亲近,亵宠
3623,2,亵,xiè,,,形,轻慢不恭,亵渎｜亵慢
3623,3,亵,xiè,,,形,淫秽的,亵语｜猥亵
3624,1,锭,dìng,,,名,旧时作货币用的浇铸成形的金块、银块,金锭｜银锭
3624,2,锭,dìng,,,名,锭状的东西（多指金属或药物）,钢锭｜铝锭｜至宝锭（中成药名）。
3624,3,锭,dìng,,,,量用于锭状物,一锭银子｜两锭墨
3624,4,锭,dìng,,,名,纺纱机上绕纱的机件,纱锭
3625,1,炙,zhì,,,动,烤,炙手可热
3625,2,炙,zhì,,,名,烤熟的肉食,脍炙人口｜残羹冷炙
