rank,cihui,pinyin,raw_html
70085,书名号,shūmínghào,"<link rel=""stylesheet"" type=""text/css"" href=""HYGF2.css""><script src='HYGF2.js'></script><x-hw>书名号</x-hw><x-pr> shūmínghào</x-pr>
<dt><x-gram>名</x-gram>标点符号，形式有双书名号和单书名号两种。双书名号横排为“《 》”，直排为“<img src=""data:image/png;base64,iVBORw0KGgoAAAANSUhEUgAAADUAAABHCAMAAACQ0v+IAAAAGXRFWHRTb2Z0d2FyZQBBZG9iZSBJbWFnZVJlYWR5ccllPAAAAAlQTFRFAAAA////////c3ilYwAAAAN0Uk5T//8A18oNQQAAAPFJREFUeNrsl8kOwyAQQ635/49uqzQSEbZn6aUHOCWQFxbD4EGIgncJ2agZw8ExkoNkloecuj/9UJKDZK5WzoHOx1Y9KLUArBoJw9ugmO1lbYdmzATB+ucqL1W6G8OFZszIrxHqWYtVgl1hpUhDZWyUPxpc5ew4bRz8ZlIq15hU5QJ376goFqpyjZORLUMPdahDHeqvKQwCYidgs1u7xdQviKUDaIvl7i9nzdxdmXPCfVmOegBmUhJ7GMYQcQZUZfxqzZp/DM+EVNkxTuXM92YqY6Cy8/PT3GGcp0xzoscua+RfBUOrI9sgr/xyOhy8BBgAVy8WawRieN0AAAAASUVORK5CYII="" class=""gi num""/>”；单书名号横排为“〈 〉”，直排为“<img src=""data:image/png;base64,iVBORw0KGgoAAAANSUhEUgAAAEcAAABPCAMAAACOPShAAAAAGXRFWHRTb2Z0d2FyZQBBZG9iZSBJbWFnZVJlYWR5ccllPAAAAAlQTFRFAAAA////////c3ilYwAAAAN0Uk5T//8A18oNQQAAAPxJREFUeNrs2MEOAjEIRdEX/v+jjWNi1GnhQlm4YLbTHqlpmYIseHQ9Fg5DTAyJIIASZnxIYElEUhTLb2g55zYtWp4YU3F2M1xJlhjsvFW4IvZaiWg8STllO0p0RUFMygWz3xfpYNZ5QCXlHr+KzHPm5zScYIK/qY6kU5Q1pUwm2SHzguzQwN+dccYZZ5xxxhlnnL9wuu4/l9N0Hzu9IDbdWKUWSKuruE6Q74q/VhS8908hIq2cRGPFq7/KdaVW54JDXn2KpahehhKo34GE+xJBN4Q7zo9m+i2gAVTqR4k2YtiOrfbH1qml0K/LVtUJ5+y7Aw8dPZTRqIcAAwAhryXt0tfBwQAAAABJRU5ErkJggg=="" class=""gi num""/>”。古籍或某些文史著作中的书名号可用浪线（~~~~~~~）<x-f>。</x-f>
"
70299,奢糜,shēmí,"<link rel=""stylesheet"" type=""text/css"" href=""HYGF2.css""><script src='HYGF2.js'></script><x-hw>奢糜</x-hw><x-pr> shēmí</x-pr>
<dt>现在规范词形写作“<a href=""entry://奢靡"" type=""normalized"">奢靡</a>”<x-f>。</x-f>
"
70447,挤牙膏,jǐyágāo,"<link rel=""stylesheet"" type=""text/css"" href=""HYGF2.css""><script src='HYGF2.js'></script><x-hw>挤牙膏</x-hw><x-pr> jǐyágāo</x-pr>
<dt>比喻交代问题不痛快，像挤牙膏似的挤一点<x-er>儿</x-er>出一点<x-er>儿</x-er><x-f>。</x-f><dd><x-ex>有话就痛痛快快地说，不要<x-key>挤牙膏</x-key><x-f>。</x-f></x-ex></dd>
"
70474,小孩子家,xiǎoháizijia,"<link rel=""stylesheet"" type=""text/css"" href=""HYGF2.css""><script src='HYGF2.js'></script><x-hw>小孩子家</x-hw><x-pr> xiǎoháizijia</x-pr>〈口〉
<dt><x-gram>名</x-gram>小孩<x-er>儿</x-er>①（含轻蔑意）<x-f>。</x-f><dd><x-ex>一个<x-key>小孩子家</x-key>，打听那么多干什么?</x-ex></dd>
"
70566,小小子,xiǎoxiǎozi,"<link rel=""stylesheet"" type=""text/css"" href=""HYGF2.css""><script src='HYGF2.js'></script><x-hw>小小子</x-hw><x-pr> xiǎoxiǎozi</x-pr>〈口〉
<dt><x-gram>名</x-gram>对幼小男孩<x-er>儿</x-er>的昵称<x-f>。</x-f>
"
70615,爆肚儿,bàodǔr,"<link rel=""stylesheet"" type=""text/css"" href=""HYGF2.css""><script src='HYGF2.js'></script><x-hw>爆肚<x-er>儿</x-er></x-hw><x-pr> bàodǔr</x-pr>
<dt><x-gram>名</x-gram>一种食品。把牛或羊的肚<x-er>儿</x-er>（胃）切成片或丝放在滚水里略煮捞出，蘸佐料吃<x-f>。</x-f><t-note><x-lb>用法说明</x-lb>“肚<x-er>儿</x-er>”这里不读 dùr<x-f>。</x-f></t-note>
"
70621,傻帽儿,shǎmàor,"<link rel=""stylesheet"" type=""text/css"" href=""HYGF2.css""><script src='HYGF2.js'></script><x-hw>傻帽<x-er>儿</x-er></x-hw><x-pr> shǎmàor</x-pr>〈口〉
<dt><x-gram>名</x-gram>讥讽见识少、心眼<x-er>儿</x-er>实、脑子简单的人<x-f>。</x-f>
"
70701,糖包,tángbāo,"<link rel=""stylesheet"" type=""text/css"" href=""HYGF2.css""><script src='HYGF2.js'></script><x-hw>糖包</x-hw><x-pr> tángbāo</x-pr>
<dt><x-gram>名</x-gram>带糖馅<x-er>儿</x-er>的包子<x-f>。</x-f>
"
70708,钉耙,dīngpá,"<link rel=""stylesheet"" type=""text/css"" href=""HYGF2.css""><script src='HYGF2.js'></script><x-hw>钉耙</x-hw><x-pr> dīngpá</x-pr>
<dt><x-gram>名</x-gram>安有铁钉齿的耙子。用于打碎土块<x-er>儿</x-er>、平整土地等<x-f>。</x-f>（也说钉齿耙<x-f>。</x-f>）
"
70878,反切,fǎnqiè,"<link rel=""stylesheet"" type=""text/css"" href=""HYGF2.css""><script src='HYGF2.js'></script><x-hw>反切</x-hw><x-pr> fǎnqiè</x-pr>
<dt><x-gram>动</x-gram>我国传统的注音方法，用两个字的音拼合出另一个字的音，上字取声母，下字取韵母和声调。如用“多贡”反切，即取“多”的声母d，“贡”的韵母和声调 òng，就能拼合成“栋”的读音 dòng<x-f>。</x-f></dt>（也说切或反<x-f>。</x-f>）
"
