rank,sn,hanzi,pinyin,ref_hanzi,ref_pinyin,pos,definition,example
5530,1,唛,mài,,,名,英语 mark 音译 ，某些地区指进出口货物的包装上所做的标记，内容包括批号、件号、抵运港口、目的地、收货人、生产国名及地名、合同号码、货名、数量等；也指商标,
5594,1,踟,chí,,,,见下。 踟躇 踟蹰,
5652,1,颛,zhuān,,,,见下。 颛孙 颛顼,
5692,1,鹁,bó,,,,见下。 鹁鸽 鹁鸪,
5743,1,狷,juàn,,,形,〈文〉急躁；偏激 狷 急 耿直 狷 直,
5828,1,蒟,jǔ,,,,见下。 蒟酱 蒟蒻,
5880,1,蚍,pí,,,,见下。 蚍蜉 蚍蜉撼树,
5935,1,胼,pián,,,,见下。 胼手胝足 胼胝 胼胝体,
6001,1,珐,fà,,,,见下。 珐琅 珐琅质,
6008,1,醵,jù,,,动,〈文〉凑钱聚饮 共 醵 为筵 凑钱；集资 醵 资八千,
6029,1,畛,zhěn,,,名,〈文〉田间小路 界限 畛 域,
6052,1,圬,wū,,,名,〈文〉抹（mǒ）子 抹（mò）平或粉刷 粪土之墙，不可 圬 也,
6115,1,戬,jiǎn,,,动,〈文〉除掉；消灭 福；吉祥 人生大 戬,
6130,2,镘,màn,,,名,镘 儿 ，金属钱币上没有币名的一面。有币名的一面叫“字 儿 ”,
6176,1,眚,shěng,,,动,〈文〉眼球上长白翳 目 眚 眼花 过失 不以一 眚 掩大德,
6191,1,眇,miǎo,,,动,〈文〉本指一只眼睛失明；后也指两只眼睛失明 目 眇 耳聋 小；微小 眇 然一粟,
6197,1,曈,tóng,,,,见下。 曈昽 曈曈,
6245,1,虼,gè,,,,见下。 虼螂 虼蚤,
6263,1,耨,nòu,,,名,〈文〉除草用的农具，形状像锄 除草 深耕细 耨,
6282,1,怛,dá,,,形,〈文〉痛苦；忧伤 惨 怛 惊恐；畏惧,
6288,1,墀,chí,,,名,〈文〉台阶上的地面 阶 墀 泛指台阶 丹 墀,
6299,1,圉,yǔ,,,动,〈文〉养马 圉 人（负责养马的人） 养马的地方 圈（juàn） 圉,
6350,1,菹,zū,,,名,〈文〉酸菜 切碎（菜、肉） 菹 醢（hǎi）（古代把人剁成肉酱的酷刑）,
6388,1,氘,dāo,,,名,氢的同位素之一，符号D或21H。它的原子核（氘核）能参与多种热核反应 （也说重氢 ）,
6422,1,氚,chuān,,,名,氢的同位素之一，符号T或31H，质量数为3。自然界中存量极小，有放射性，主要用于热核反应 （也说超重氢 ）,
6442,1,楗,jiàn,,,名,〈文〉竖着插在门闩上防止左右滑动的木棍 河工在堤岸所竖的桩柱，它的作用是把埽（sào）固定住；篱笆的桩柱 修缮堤 楗,
6446,1,絷,zhí,,,动,〈文〉拴住马脚 捆；绑 絷 足 拘禁 幽 絷 用来拴住或绊住马腿的绳子,
6451,1,庀,pǐ,,,动,〈文〉准备 鸠工 庀 料（聚集工匠，准备材料） 办理；治理,
6457,1,瘌,là,,,,见下。 瘌痢 瘌痢头,
6482,1,媵,yìng,,,动,〈文〉陪送女儿出嫁 以 媵 秦穆姬 陪嫁的人 以宫中善歌讴者为 媵 妾,
6510,1,孥,nú,,,名,〈文〉儿女 妻 孥 妻子和儿女 刑不及 孥,
6538,1,屣,sóng,,,名,〈口〉精液 讽刺人性格懦弱 这家伙真,
6545,1,扃,jiōng,,,名,〈文〉从外面关门用的门闩、门环等 门 关门；上闩,
6569,1,掎,jǐ,,,动,〈文〉拖住；拉住 牵制 成 掎 角之势,
6572,1,耰,yōu,,,名,〈文〉农具，形状像木槌，用来碎土平地 播种以后用耰平土盖种 耰 而不辍,
6595,1,铚,zhì,,,名,〈文〉短镰刀 用镰刀割（谷物） 铚 艾（zhìyì，收割）,
6674,1,怃,wǔ,,,动,〈文〉爱抚 失意 怃 然,
6679,1,泚,cǐ,,,形,〈文〉（水）清澈 出汗 （用笔）蘸墨 泚 笔,
6686,1,瘭,biāo,瘭疽,biāojū,名,手指肚 儿 或脚趾肚 儿 红肿化脓、剧烈疼痛的病症,
6687,1,眢,yuān,,,形,〈文〉眼睛干瘪失明 目 眢 血裂 枯干无水 眢 井,
6717,1,铗,jiá,,,名,〈文〉夹东西的钳形金属工具 剑；剑柄 长 铗,
6755,1,锧,zhì,,,名,〈文〉铁砧 腰斩犯人所用刑具的垫座 斧 锧,
