parent_category,item,item_rank
成语,实事求是,3219
成语,艰苦奋斗,4188
成语,千方百计,4588
成语,前所未有,4697
成语,引人注目,4781
成语,坚定不移,5242
成语,全心全意,5566
成语,丰富多彩,6313
成语,成千上万,6730
成语,当务之急,7053
成语,一如既往,7348
成语,因地制宜,7586
成语,不正之风,7619
成语,脱颖而出,7680
成语,全力以赴,7715
成语,不知不觉,7837
成语,坚持不懈,7871
成语,不可思议,7881
成语,卓有成效,7918
成语,无可奈何,8052
成语,供不应求,8289
成语,莫名其妙,8374
成语,众所周知,8416
成语,独立自主,8511
成语,举世瞩目,8694
成语,理所当然,9088
成语,大吃一惊,9126
成语,千家万户,9191
成语,行之有效,9249
成语,小心翼翼,9343
成语,举足轻重,9420
成语,四面八方,9443
成语,想方设法,9610
成语,自力更生,9891
成语,源远流长,9988
成语,有识之士,10194
成语,显而易见,10248
成语,名副其实,10580
成语,出人意料,10635
成语,得天独厚,10679
成语,与众不同,10818
成语,自言自语,10933
成语,日新月异,10996
成语,可想而知,11134
成语,不以为然,11145
成语,弄虚作假,11149
成语,来之不易,11156
成语,见义勇为,11164
成语,不约而同,11188
成语,应运而生,11276
成语,情不自禁,11278
成语,排忧解难,11665
成语,大街小巷,11693
成语,齐心协力,12143
成语,不由自主,12185
成语,名列前茅,12251
成语,自然而然,12260
成语,后顾之忧,12406
成语,错综复杂,12409
成语,兴高采烈,12440
成语,形形色色,12540
成语,一动不动,12555
成语,不知所措,12646
成语,突如其来,12655
成语,家喻户晓,12663
成语,一模一样,12693
成语,惊心动魄,12767
成语,无家可归,12850
成语,层出不穷,12962
成语,一席之地,12988
成语,安居乐业,13035
成语,多种多样,13082
成语,千千万万,13122
成语,讨价还价,13151
成语,所作所为,13235
成语,独一无二,13240
成语,微不足道,13266
成语,难以置信,13345
成语,长治久安,13444
成语,息息相关,13633
成语,发扬光大,13704
成语,一无所知,13790
成语,力所能及,13837
成语,再接再厉,13948
成语,脚踏实地,14045
成语,无能为力,14046
成语,轰轰烈烈,14090
成语,突飞猛进,14091
成语,自强不息,14223
成语,势在必行,14254
成语,轻而易举,14296
成语,玩忽职守,14365
成语,刻不容缓,14531
成语,一丝不苟,14542
成语,优胜劣汰,14604
成语,炎黄子孙,14641
成语,理直气壮,14648
成语,五花八门,14661
成语,刮目相看,14680
成语,任重道远,14746
成语,琳琅满目,14789
成语,难能可贵,14793
成语,紧锣密鼓,14841
成语,古今中外,14889
成语,义不容辞,14894
成语,目瞪口呆,14936
成语,求同存异,14962
成语,迫在眉睫,14978
成语,相辅相成,15022
成语,循序渐进,15065
成语,不折不扣,15066
成语,耐人寻味,15113
成语,世世代代,15123
成语,忧心忡忡,15148
成语,默默无闻,15191
成语,自始至终,15192
成语,无动于衷,15273
成语,迫不及待,15294
成语,一心一意,15298
成语,取而代之,15348
成语,家家户户,15367
成语,必由之路,15405
成语,鲜为人知,15474
成语,乱七八糟,15489
成语,繁荣昌盛,15505
成语,异军突起,15518
成语,日日夜夜,15550
成语,不言而喻,15557
成语,尽如人意,15612
成语,当家作主,15640
成语,不遗余力,15662
成语,拔地而起,15680
成语,如愿以偿,15718
成语,身体力行,15748
成语,栩栩如生,15770
成语,眼花缭乱,15835
成语,淋漓尽致,15876
成语,直截了当,15910
成语,耳目一新,15958
成语,触目惊心,15964
成语,生机勃勃,15973
成语,总而言之,15976
成语,不败之地,15994
成语,德才兼备,16018
成语,风风雨雨,16063
成语,以身作则,16067
成语,聚精会神,16101
成语,后来居上,16118
成语,兢兢业业,16128
成语,此起彼伏,16168
成语,史无前例,16231
成语,无济于事,16272
成语,建功立业,16283
成语,方兴未艾,16399
成语,比比皆是,16402
成语,有条不紊,16432
成语,有朝一日,16503
成语,随心所欲,16517
成语,一目了然,16518
成语,掉以轻心,16558
成语,断断续续,16623
成语,争先恐后,16624
成语,翻天覆地,16642
成语,有声有色,16659
成语,不动声色,16711
成语,挺身而出,16807
成语,风云变幻,16810
成语,继往开来,16844
成语,纷至沓来,16853
成语,记忆犹新,16924
成语,一举一动,16946
成语,热泪盈眶,16960
成语,旗帜鲜明,16961
成语,视而不见,16973
成语,雨后春笋,17007
成语,万无一失,17008
成语,同心同德,17103
成语,有目共睹,17106
成语,大势所趋,17108
成语,新陈代谢,17152
成语,根深蒂固,17195
成语,一本正经,17207
成语,久而久之,17229
成语,博大精深,17244
成语,喜闻乐见,17307
成语,国计民生,17350
成语,与日俱增,17372
成语,应有尽有,17418
成语,欢聚一堂,17421
成语,全神贯注,17422
成语,急功近利,17513
成语,一视同仁,17518
成语,恍然大悟,17545
成语,雪上加霜,17580
成语,廉洁奉公,17607
成语,密密麻麻,17622
成语,屡见不鲜,17658
成语,心甘情愿,17684
成语,一帆风顺,17760
成语,大起大落,17797
成语,束手无策,17809
成语,胡说八道,17839
成语,诸如此类,17841
成语,相提并论,17842
成语,先发制人,17971
成语,语重心长,17972
成语,力不从心,18032
成语,心满意足,18057
成语,顺理成章,18064
成语,座无虚席,18065
成语,漫不经心,18115
成语,五彩缤纷,18150
成语,不屈不挠,18191
成语,大有可为,18195
成语,背道而驰,18354
成语,当之无愧,18367
成语,梦寐以求,18396
成语,呕心沥血,18429
成语,别开生面,18430
成语,不堪设想,18432
成语,持之以恒,18468
成语,悬而未决,18475
