root_category,root_sn,parent_category,parent_sn,category,sn,item,item_rank
宇宙·地球,1,宇宙,1,宇宙(名),1,世界,00019
宇宙·地球,1,宇宙,1,宇宙(名),1,时间,00075
宇宙·地球,1,宇宙,1,宇宙(名),1,空间,01159
宇宙·地球,1,宇宙,1,宇宙(名),1,宇宙,02775
宇宙·地球,1,宇宙,1,宇宙(名),1,太空,03637
宇宙·地球,1,宇宙,1,宇宙(名),1,万物,07246
宇宙·地球,1,宇宙,1,宇宙(名),1,自然界,08185
宇宙·地球,1,宇宙,1,宇宙(名),1,万象,10111
宇宙·地球,1,宇宙,1,宇宙(名),1,混沌,18063
宇宙·地球,1,宇宙,1,宇宙(名),1,乾坤,18675
宇宙·地球,1,宇宙,1,宇宙(名),1,造化,20143
宇宙·地球,1,宇宙,1,宇宙(名),1,六合,25404
宇宙·地球,1,宇宙,1,宇宙(名),1,宇宙空间,31802
宇宙·地球,1,宇宙,1,天文(名),2,天文,04065
宇宙·地球,1,宇宙,1,天文(名),2,天文学,08114
宇宙·地球,1,宇宙,1,天文(名),2,天体,11268
宇宙·地球,1,宇宙,1,天文(名),2,天文台,15044
宇宙·地球,1,宇宙,1,天文(名),2,光年,19341
宇宙·地球,1,宇宙,1,天文(名),2,天象,28715
宇宙·地球,1,宇宙,1,天文(名),2,天球,45743
宇宙·地球,1,宇宙,1,天文(名),2,观象台,52608
宇宙·地球,1,宇宙,1,天文(名),2,浑天仪,66046
宇宙·地球,1,宇宙,1,天文(名),2,浑仪,72466
宇宙·地球,1,宇宙,1,天文(名),2,天象仪,78097
宇宙·地球,1,宇宙,1,天文(名),2,浑象,79407
宇宙·地球,1,宇宙,1,天文(名),2,天球仪,86657
宇宙·地球,1,宇宙,1,天(名),3,天,00064
宇宙·地球,1,宇宙,1,天(名),3,空,00458
宇宙·地球,1,宇宙,1,天(名),3,天上,01347
宇宙·地球,1,宇宙,1,天(名),3,空中,01718
宇宙·地球,1,宇宙,1,天(名),3,天空,02966
宇宙·地球,1,宇宙,1,天(名),3,霄,03179
宇宙·地球,1,宇宙,1,天(名),3,上空,04040
宇宙·地球,1,宇宙,1,天(名),3,高空,08715
宇宙·地球,1,宇宙,1,天(名),3,青天,17787
宇宙·地球,1,宇宙,1,天(名),3,星空,19465
宇宙·地球,1,宇宙,1,天(名),3,九天,20244
宇宙·地球,1,宇宙,1,天(名),3,长空,22153
宇宙·地球,1,宇宙,1,天(名),3,晴空,23589
宇宙·地球,1,宇宙,1,天(名),3,苍天,23753
宇宙·地球,1,宇宙,1,天(名),3,云霄,23851
宇宙·地球,1,宇宙,1,天(名),3,苍穹,29079
宇宙·地球,1,宇宙,1,天(名),3,上苍,30459
宇宙·地球,1,宇宙,1,天(名),3,天幕,33704
宇宙·地球,1,宇宙,1,天(名),3,天宇,33744
宇宙·地球,1,宇宙,1,天(名),3,碧空,40329
宇宙·地球,1,宇宙,1,天(名),3,天穹,47056
宇宙·地球,1,宇宙,1,天(名),3,玉宇,53766
宇宙·地球,1,宇宙,1,天(名),3,霄汉,58581
宇宙·地球,1,宇宙,1,天(名),3,碧落,61925
宇宙·地球,1,宇宙,1,天(名),3,空际,71280
宇宙·地球,1,宇宙,1,太阳系·行星·卫星(名),4,地球,01678
宇宙·地球,1,宇宙,1,太阳系·行星·卫星(名),4,卫星,01931
宇宙·地球,1,宇宙,1,太阳系·行星·卫星(名),4,明星,02601
宇宙·地球,1,宇宙,1,太阳系·行星·卫星(名),4,行星,06872
宇宙·地球,1,宇宙,1,太阳系·行星·卫星(名),4,火星,07372
宇宙·地球,1,宇宙,1,太阳系·行星·卫星(名),4,金星,10912
宇宙·地球,1,宇宙,1,太阳系·行星·卫星(名),4,太阳系,13580
宇宙·地球,1,宇宙,1,太阳系·行星·卫星(名),4,木星,17298
宇宙·地球,1,宇宙,1,太阳系·行星·卫星(名),4,光环,18539
宇宙·地球,1,宇宙,1,太阳系·行星·卫星(名),4,小行星,20541
宇宙·地球,1,宇宙,1,太阳系·行星·卫星(名),4,启明,21900
宇宙·地球,1,宇宙,1,太阳系·行星·卫星(名),4,水星,28963
宇宙·地球,1,宇宙,1,太阳系·行星·卫星(名),4,土星,30114
宇宙·地球,1,宇宙,1,太阳系·行星·卫星(名),4,晨星,35005
宇宙·地球,1,宇宙,1,太阳系·行星·卫星(名),4,长庚,35222
宇宙·地球,1,宇宙,1,太阳系·行星·卫星(名),4,大行星,40666
宇宙·地球,1,宇宙,1,太阳系·行星·卫星(名),4,冥王星,42210
宇宙·地球,1,宇宙,1,太阳系·行星·卫星(名),4,海王星,42951
宇宙·地球,1,宇宙,1,太阳系·行星·卫星(名),4,天王星,51707
宇宙·地球,1,宇宙,1,太阳系·行星·卫星(名),4,岁星,71983
宇宙·地球,1,宇宙,1,太阳系·行星·卫星(名),4,辰星,75053
宇宙·地球,1,宇宙,1,太阳系·行星·卫星(名),4,荧惑,78502
宇宙·地球,1,宇宙,1,太阳系·行星·卫星(名),4,太白星,83276
宇宙·地球,1,宇宙,1,太阳系·行星·卫星(名),4,昏星,85358
宇宙·地球,1,宇宙,1,太阳(名),5,日,00053
宇宙·地球,1,宇宙,1,太阳(名),5,阳,00669
宇宙·地球,1,宇宙,1,太阳(名),5,太阳,01275
宇宙·地球,1,宇宙,1,太阳(名),5,朝阳,05275
宇宙·地球,1,宇宙,1,太阳(名),5,夕阳,09322
宇宙·地球,1,宇宙,1,太阳(名),5,烈日,12607
宇宙·地球,1,宇宙,1,太阳(名),5,朝日,15389
宇宙·地球,1,宇宙,1,太阳(名),5,落日,20117
宇宙·地球,1,宇宙,1,太阳(名),5,日头,25014
宇宙·地球,1,宇宙,1,太阳(名),5,旭日,28609
宇宙·地球,1,宇宙,1,太阳(名),5,斜阳,36728
宇宙·地球,1,宇宙,1,太阳(名),5,色球,39279
宇宙·地球,1,宇宙,1,太阳(名),5,光球,47274
宇宙·地球,1,宇宙,1,太阳(名),5,太阳黑子,47617
宇宙·地球,1,宇宙,1,太阳(名),5,耀斑,48818
宇宙·地球,1,宇宙,1,太阳(名),5,残阳,50439
宇宙·地球,1,宇宙,1,太阳(名),5,光斑,53279
宇宙·地球,1,宇宙,1,太阳(名),5,日冕,56072
宇宙·地球,1,宇宙,1,太阳(名),5,金乌,76582
宇宙·地球,1,宇宙,1,太阳(名),5,日珥,79998
宇宙·地球,1,宇宙,1,月球(名),6,月,00085
宇宙·地球,1,宇宙,1,月球(名),6,月亮,05597
宇宙·地球,1,宇宙,1,月球(名),6,月球,11648
宇宙·地球,1,宇宙,1,月球(名),6,太阴,36353
宇宙·地球,1,宇宙,1,月球(名),6,月轮,43403
宇宙·地球,1,宇宙,1,月球(名),6,玉兔,53407
宇宙·地球,1,宇宙,1,月球(名),6,婵娟,55279
宇宙·地球,1,宇宙,1,月球(名),6,月宫,56378
宇宙·地球,1,宇宙,1,月球(名),6,蟾宫,65047
宇宙·地球,1,宇宙,1,月球(名),6,冰轮,80205
宇宙·地球,1,宇宙,1,月相(名),7,望,00348
宇宙·地球,1,宇宙,1,月相(名),7,朔,03966
宇宙·地球,1,宇宙,1,月相(名),7,新月,07426
宇宙·地球,1,宇宙,1,月相(名),7,月牙,24837
宇宙·地球,1,宇宙,1,月相(名),7,月相,28326
宇宙·地球,1,宇宙,1,月相(名),7,望月,38912
宇宙·地球,1,宇宙,1,月相(名),7,上弦,49967
宇宙·地球,1,宇宙,1,月相(名),7,下弦,61689
宇宙·地球,1,宇宙,1,日食·月食(名),8,全食,32296
