root_category,root_sn,parent_category,parent_sn,category,sn,item,item_rank
宇宙·地球,1,宇宙,1,宇宙(名),1,世界,19
宇宙·地球,1,宇宙,1,宇宙(名),1,时间,75
宇宙·地球,1,宇宙,1,宇宙(名),1,空间,1159
宇宙·地球,1,宇宙,1,宇宙(名),1,宇宙,2775
宇宙·地球,1,宇宙,1,宇宙(名),1,太空,3637
宇宙·地球,1,宇宙,1,宇宙(名),1,万物,7246
宇宙·地球,1,宇宙,1,宇宙(名),1,自然界,8185
宇宙·地球,1,宇宙,1,宇宙(名),1,万象,10111
宇宙·地球,1,宇宙,1,宇宙(名),1,混沌,18063
宇宙·地球,1,宇宙,1,宇宙(名),1,乾坤,18675
宇宙·地球,1,宇宙,1,宇宙(名),1,造化,20143
宇宙·地球,1,宇宙,1,宇宙(名),1,六合,25404
宇宙·地球,1,宇宙,1,宇宙(名),1,宇宙空间,31802
宇宙·地球,1,宇宙,1,天文(名),2,天文,4065
宇宙·地球,1,宇宙,1,天文(名),2,天体,11268
宇宙·地球,1,宇宙,1,天文(名),2,天文台,15044
宇宙·地球,1,宇宙,1,天文(名),2,光年,19341
宇宙·地球,1,宇宙,1,天文(名),2,天象,28715
宇宙·地球,1,宇宙,1,天文(名),2,天球,45743
宇宙·地球,1,宇宙,1,天文(名),2,观象台,52608
宇宙·地球,1,宇宙,1,天(名),3,天,64
宇宙·地球,1,宇宙,1,天(名),3,空,458
宇宙·地球,1,宇宙,1,天(名),3,天上,1347
宇宙·地球,1,宇宙,1,天(名),3,空中,1718
宇宙·地球,1,宇宙,1,天(名),3,天空,2966
宇宙·地球,1,宇宙,1,天(名),3,霄,3179
宇宙·地球,1,宇宙,1,天(名),3,上空,4040
宇宙·地球,1,宇宙,1,天(名),3,高空,8715
宇宙·地球,1,宇宙,1,天(名),3,青天,17787
宇宙·地球,1,宇宙,1,天(名),3,星空,19465
宇宙·地球,1,宇宙,1,天(名),3,九天,20244
宇宙·地球,1,宇宙,1,天(名),3,长空,22153
宇宙·地球,1,宇宙,1,天(名),3,晴空,23589
宇宙·地球,1,宇宙,1,天(名),3,苍天,23753
宇宙·地球,1,宇宙,1,天(名),3,云霄,23851
宇宙·地球,1,宇宙,1,天(名),3,苍穹,29079
宇宙·地球,1,宇宙,1,天(名),3,上苍,30459
宇宙·地球,1,宇宙,1,天(名),3,天幕,33704
宇宙·地球,1,宇宙,1,天(名),3,天宇,33744
宇宙·地球,1,宇宙,1,天(名),3,碧空,40329
宇宙·地球,1,宇宙,1,天(名),3,天穹,47056
宇宙·地球,1,宇宙,1,天(名),3,霄汉,58581
宇宙·地球,1,宇宙,1,天(名),3,空际,71280
宇宙·地球,1,宇宙,1,太阳系·行星·卫星(名),4,地球,1678
宇宙·地球,1,宇宙,1,太阳系·行星·卫星(名),4,卫星,1931
宇宙·地球,1,宇宙,1,太阳系·行星·卫星(名),4,明星,2601
宇宙·地球,1,宇宙,1,太阳系·行星·卫星(名),4,行星,6872
宇宙·地球,1,宇宙,1,太阳系·行星·卫星(名),4,火星,7372
宇宙·地球,1,宇宙,1,太阳系·行星·卫星(名),4,金星,10912
宇宙·地球,1,宇宙,1,太阳系·行星·卫星(名),4,太阳系,13580
宇宙·地球,1,宇宙,1,太阳系·行星·卫星(名),4,木星,17298
宇宙·地球,1,宇宙,1,太阳系·行星·卫星(名),4,光环,18539
宇宙·地球,1,宇宙,1,太阳系·行星·卫星(名),4,小行星,20541
宇宙·地球,1,宇宙,1,太阳系·行星·卫星(名),4,水星,28963
宇宙·地球,1,宇宙,1,太阳系·行星·卫星(名),4,土星,30114
宇宙·地球,1,宇宙,1,太阳系·行星·卫星(名),4,晨星,35005
宇宙·地球,1,宇宙,1,太阳系·行星·卫星(名),4,大行星,40666
宇宙·地球,1,宇宙,1,太阳系·行星·卫星(名),4,冥王星,42210
宇宙·地球,1,宇宙,1,太阳系·行星·卫星(名),4,海王星,42951
宇宙·地球,1,宇宙,1,太阳系·行星·卫星(名),4,天王星,51707
宇宙·地球,1,宇宙,1,太阳系·行星·卫星(名),4,太白星,83276
宇宙·地球,1,宇宙,1,太阳(名),5,日,53
宇宙·地球,1,宇宙,1,太阳(名),5,阳,669
宇宙·地球,1,宇宙,1,太阳(名),5,太阳,1275
宇宙·地球,1,宇宙,1,太阳(名),5,朝阳,5275
宇宙·地球,1,宇宙,1,太阳(名),5,夕阳,9322
宇宙·地球,1,宇宙,1,太阳(名),5,烈日,12607
宇宙·地球,1,宇宙,1,太阳(名),5,朝日,15389
宇宙·地球,1,宇宙,1,太阳(名),5,落日,20117
宇宙·地球,1,宇宙,1,太阳(名),5,日头,25014
宇宙·地球,1,宇宙,1,太阳(名),5,旭日,28609
宇宙·地球,1,宇宙,1,太阳(名),5,斜阳,36728
宇宙·地球,1,宇宙,1,太阳(名),5,耀斑,48818
宇宙·地球,1,宇宙,1,太阳(名),5,残阳,50439
宇宙·地球,1,宇宙,1,太阳(名),5,光斑,53279
宇宙·地球,1,宇宙,1,月球(名),6,月,85
宇宙·地球,1,宇宙,1,月球(名),6,月亮,5597
宇宙·地球,1,宇宙,1,月球(名),6,月球,11648
宇宙·地球,1,宇宙,1,月球(名),6,太阴,36353
宇宙·地球,1,宇宙,1,月球(名),6,月轮,43403
宇宙·地球,1,宇宙,1,月球(名),6,玉兔,53407
宇宙·地球,1,宇宙,1,月球(名),6,婵娟,55279
宇宙·地球,1,宇宙,1,月球(名),6,月宫,56378
宇宙·地球,1,宇宙,1,月球(名),6,蟾宫,65047
宇宙·地球,1,宇宙,1,月相(名),7,望,348
宇宙·地球,1,宇宙,1,月相(名),7,新月,7426
宇宙·地球,1,宇宙,1,月相(名),7,月牙,24837
宇宙·地球,1,宇宙,1,月相(名),7,月相,28326
宇宙·地球,1,宇宙,1,月相(名),7,望月,38912
宇宙·地球,1,宇宙,1,月相(名),7,上弦,49967
宇宙·地球,1,宇宙,1,月相(名),7,下弦,61689
宇宙·地球,1,宇宙,1,日食·月食(名),8,全食,32296
宇宙·地球,1,宇宙,1,日食·月食(名),8,日食,33795
宇宙·地球,1,宇宙,1,日食·月食(名),8,生光,36831
宇宙·地球,1,宇宙,1,日食·月食(名),8,月食,38207
宇宙·地球,1,宇宙,1,日食·月食(名),8,偏食,41836
宇宙·地球,1,宇宙,1,彗星·流星·陨星(名),9,流星,15141
宇宙·地球,1,宇宙,1,彗星·流星·陨星(名),9,彗星,16206
宇宙·地球,1,宇宙,1,彗星·流星·陨星(名),9,流星雨,41451
宇宙·地球,1,宇宙,1,彗星·流星·陨星(名),9,陨星,53208
宇宙·地球,1,宇宙,1,彗星·流星·陨星(名),9,扫帚星,61548
宇宙·地球,1,宇宙,1,天体运行(动、名),10,合,150
宇宙·地球,1,宇宙,1,天体运行(动、名),10,冲,829
宇宙·地球,1,宇宙,1,天体运行(动、名),10,运行,1103
宇宙·地球,1,宇宙,1,天体运行(动、名),10,运转,4139
宇宙·地球,1,宇宙,1,天体运行(动、名),10,自转,24086
宇宙·地球,1,宇宙,1,天体运行(动、名),10,黄道,27496
宇宙·地球,1,宇宙,1,天体运行(动、名),10,公转,40529
宇宙·地球,1,宇宙,1,星(一般)(名),11,星,510
宇宙·地球,1,宇宙,1,星(一般)(名),11,星星,6990
宇宙·地球,1,宇宙,1,星(一般)(名),11,星球,11473
宇宙·地球,1,宇宙,1,星(一般)(名),11,星辰,18095
宇宙·地球,1,宇宙,1,星(一般)(名),11,星际,23133
宇宙·地球,1,宇宙,1,星(一般)(名),11,星体,26517
宇宙·地球,1,宇宙,1,星(一般)(名),11,星斗,31826
宇宙·地球,1,宇宙,1,星(一般)(名),11,星象,46226
宇宙·地球,1,宇宙,1,恒星(名),12,恒星,12545
宇宙·地球,1,宇宙,1,恒星(名),12,新星,13365
宇宙·地球,1,宇宙,1,恒星(名),12,巨星,15341
宇宙·地球,1,宇宙,1,恒星(名),12,北辰,34253
宇宙·地球,1,宇宙,1,恒星(名),12,北极星,43989
宇宙·地球,1,宇宙,1,恒星(名),12,天狼星,47461
宇宙·地球,1,宇宙,1,恒星(名),12,织女星,54869
宇宙·地球,1,宇宙,1,星座(名),13,宿,1491
宇宙·地球,1,宇宙,1,星座(名),13,三星,7657
宇宙·地球,1,宇宙,1,星座(名),13,星座,18070
宇宙·地球,1,宇宙,1,星座(名),13,玄武,26306
宇宙·地球,1,宇宙,1,星座(名),13,白虎,27713
宇宙·地球,1,宇宙,1,星座(名),13,朱雀,35651
宇宙·地球,1,宇宙,1,星座(名),13,北斗星,47377
宇宙·地球,1,宇宙,1,星座(名),13,苍龙,52452
宇宙·地球,1,宇宙,1,星团·星云·星系(名),14,银河,8499
宇宙·地球,1,宇宙,1,星团·星云·星系(名),14,星系,13211
宇宙·地球,1,宇宙,1,星团·星云·星系(名),14,天河,16742
宇宙·地球,1,宇宙,1,星团·星云·星系(名),14,星云,17744
宇宙·地球,1,宇宙,1,星团·星云·星系(名),14,银河系,24260
宇宙·地球,1,宇宙,1,星团·星云·星系(名),14,星团,51643
宇宙·地球,1,宇宙,1,星团·星云·星系(名),14,云汉,70808
宇宙·地球,1,光·色,2,光(一般)(名),1,光,356
宇宙·地球,1,光·色,2,光(一般)(名),1,埃,1325
宇宙·地球,1,光·色,2,光(一般)(名),1,光明,2284
宇宙·地球,1,光·色,2,光(一般)(名),1,光辉,3717
宇宙·地球,1,光·色,2,光(一般)(名),1,光芒,5551
宇宙·地球,1,光·色,2,光(一般)(名),1,光线,7979
宇宙·地球,1,光·色,2,光(一般)(名),1,光耀,10261
宇宙·地球,1,光·色,2,光(一般)(名),1,光泽,11420
宇宙·地球,1,光·色,2,光(一般)(名),1,光华,14341
宇宙·地球,1,光·色,2,光(一般)(名),1,烛光,16828
宇宙·地球,1,光·色,2,光(一般)(名),1,亮光,17369
宇宙·地球,1,光·色,2,光(一般)(名),1,紫外线,17610
宇宙·地球,1,光·色,2,光(一般)(名),1,光速,21525
宇宙·地球,1,光·色,2,光(一般)(名),1,光谱,22000
宇宙·地球,1,光·色,2,光(一般)(名),1,红外线,22981
宇宙·地球,1,光·色,2,光(一般)(名),1,光源,24433
宇宙·地球,1,光·色,2,光(一般)(名),1,光束,24524
宇宙·地球,1,光·色,2,光(一般)(名),1,色光,25511
宇宙·地球,1,光·色,2,光(一般)(名),1,反光,26608
宇宙·地球,1,光·色,2,光(一般)(名),1,光波,33872
宇宙·地球,1,光·色,2,光(一般)(名),1,光能,35245
宇宙·地球,1,光·色,2,光(一般)(名),1,可见光,36690
宇宙·地球,1,光·色,2,光(一般)(名),1,极光,39606
宇宙·地球,1,光·色,2,光(一般)(名),1,光焰,42857
宇宙·地球,1,光·色,2,明亮(形),2,明,130
宇宙·地球,1,光·色,2,明亮(形),2,光,356
宇宙·地球,1,光·色,2,明亮(形),2,亮,752
宇宙·地球,1,光·色,2,明亮(形),2,朗,1375
宇宙·地球,1,光·色,2,明亮(形),2,辉煌,1944
宇宙·地球,1,光·色,2,明亮(形),2,光明,2284
宇宙·地球,1,光·色,2,明亮(形),2,烁,2800
宇宙·地球,1,光·色,2,明亮(形),2,灿烂,3994
宇宙·地球,1,光·色,2,明亮(形),2,明亮,5532
宇宙·地球,1,光·色,2,明亮(形),2,耀眼,9284
宇宙·地球,1,光·色,2,明亮(形),2,明朗,9555
宇宙·地球,1,光·色,2,明亮(形),2,光亮,10922
宇宙·地球,1,光·色,2,明亮(形),2,晶莹,13071
宇宙·地球,1,光·色,2,明亮(形),2,通明,17873
宇宙·地球,1,光·色,2,明亮(形),2,熠熠,18575
宇宙·地球,1,光·色,2,明亮(形),2,刺眼,25271
宇宙·地球,1,光·色,2,明亮(形),2,雪亮,26791
宇宙·地球,1,光·色,2,明亮(形),2,亮晶晶,29355
宇宙·地球,1,光·色,2,明亮(形),2,透亮,31155
宇宙·地球,1,光·色,2,明亮(形),2,明晃晃,32641
宇宙·地球,1,光·色,2,明亮(形),2,亮堂,34318
宇宙·地球,1,光·色,2,明亮(形),2,通亮,55705
宇宙·地球,1,光·色,2,明亮(形),2,豁亮,55795
宇宙·地球,1,光·色,2,昏暗(形),3,黑,594
宇宙·地球,1,光·色,2,昏暗(形),3,暗,1089
宇宙·地球,1,光·色,2,昏暗(形),3,昏,1757
宇宙·地球,1,光·色,2,昏暗(形),3,黑暗,2565
宇宙·地球,1,光·色,2,昏暗(形),3,黯然,12427
宇宙·地球,1,光·色,2,昏暗(形),3,昏暗,13244
宇宙·地球,1,光·色,2,昏暗(形),3,暗淡,14259
宇宙·地球,1,光·色,2,昏暗(形),3,黝黑,18455
宇宙·地球,1,光·色,2,昏暗(形),3,幽幽,21091
宇宙·地球,1,光·色,2,昏暗(形),3,惨淡,22209
宇宙·地球,1,光·色,2,昏暗(形),3,幽暗,22972
宇宙·地球,1,光·色,2,昏暗(形),3,昏沉,24052
宇宙·地球,1,光·色,2,昏暗(形),3,黑洞洞,32965
宇宙·地球,1,光·色,2,昏暗(形),3,黑黝黝,34383
宇宙·地球,1,光·色,2,昏暗(形),3,昏黑,47753
宇宙·地球,1,光·色,2,昏暗(形),3,黑咕隆咚,59963
宇宙·地球,1,光·色,2,昏暗(形),3,黑黢黢,63609
宇宙·地球,1,光·色,2,天色(名),4,天色,11204
宇宙·地球,1,光·色,2,天色(名),4,暮色,18044
宇宙·地球,1,光·色,2,天色(名),4,天光,28931
宇宙·地球,1,光·色,2,天色(名),4,曙色,52580
宇宙·地球,1,光·色,2,天色(名),4,鱼肚白,53703
宇宙·地球,1,光·色,2,日光(名),5,阳光,1991
宇宙·地球,1,光·色,2,日光(名),5,旭,2582
宇宙·地球,1,光·色,2,日光(名),5,曙光,7961
宇宙·地球,1,光·色,2,日光(名),5,日光,10209
宇宙·地球,1,光·色,2,日光(名),5,日照,15402
宇宙·地球,1,光·色,2,日光(名),5,晨曦,19345
宇宙·地球,1,光·色,2,日光(名),5,晨光,23867
宇宙·地球,1,光·色,2,日光(名),5,骄阳,24333
宇宙·地球,1,光·色,2,日光(名),5,春晖,34485
宇宙·地球,1,光·色,2,日光(名),5,朝晖,39494
宇宙·地球,1,光·色,2,日光(名),5,夕照,40089
宇宙·地球,1,光·色,2,日光(名),5,残照,59964
宇宙·地球,1,光·色,2,关于日光(形),6,炎炎,23672
宇宙·地球,1,光·色,2,关于日光(形),6,熹微,56805
宇宙·地球,1,光·色,2,月光·星光(名、形),7,皓,3143
宇宙·地球,1,光·色,2,月光·星光(名、形),7,月光,7287
宇宙·地球,1,光·色,2,月光·星光(名、形),7,清明,9607
宇宙·地球,1,光·色,2,月光·星光(名、形),7,星火,9785
宇宙·地球,1,光·色,2,月光·星光(名、形),7,星光,11246
宇宙·地球,1,光·色,2,月光·星光(名、形),7,耿耿,16357
宇宙·地球,1,光·色,2,月光·星光(名、形),7,月色,21591
宇宙·地球,1,光·色,2,月光·星光(名、形),7,皎洁,33952
宇宙·地球,1,光·色,2,月光·星光(名、形),7,月华,34144
宇宙·地球,1,光·色,2,月光·星光(名、形),7,煌煌,42451
宇宙·地球,1,光·色,2,月光·星光(名、形),7,皎皎,60361
宇宙·地球,1,光·色,2,日晕·月晕(名),8,晕,2030
宇宙·地球,1,光·色,2,日晕·月晕(名),8,风圈,67289
宇宙·地球,1,光·色,2,日晕·月晕(名),8,月晕,72098
宇宙·地球,1,光·色,2,日晕·月晕(名),8,日晕,80854
宇宙·地球,1,光·色,2,照射·闪耀(动),9,照,467
宇宙·地球,1,光·色,2,照射·闪耀(动),9,射,929
宇宙·地球,1,光·色,2,照射·闪耀(动),9,映,1062
宇宙·地球,1,光·色,2,照射·闪耀(动),9,闪,1320
宇宙·地球,1,光·色,2,照射·闪耀(动),9,耀,1805
宇宙·地球,1,光·色,2,照射·闪耀(动),9,炫,2730
宇宙·地球,1,光·色,2,照射·闪耀(动),9,闪烁,6009
宇宙·地球,1,光·色,2,照射·闪耀(动),9,放射,6299
宇宙·地球,1,光·色,2,照射·闪耀(动),9,闪闪,7081
宇宙·地球,1,光·色,2,照射·闪耀(动),9,焕发,7364
宇宙·地球,1,光·色,2,照射·闪耀(动),9,闪光,7758
宇宙·地球,1,光·色,2,照射·闪耀(动),9,照射,11417
宇宙·地球,1,光·色,2,照射·闪耀(动),9,照耀,11469
宇宙·地球,1,光·色,2,照射·闪耀(动),9,闪耀,11944
宇宙·地球,1,光·色,2,照射·闪耀(动),9,炫耀,12877
宇宙·地球,1,光·色,2,照射·闪耀(动),9,辉映,15015
宇宙·地球,1,光·色,2,照射·闪耀(动),9,投影,19288
宇宙·地球,1,光·色,2,照射·闪耀(动),9,投射,19351
宇宙·地球,1,光·色,2,照射·闪耀(动),9,映照,20293
宇宙·地球,1,光·色,2,照射·闪耀(动),9,倾泻,24207
宇宙·地球,1,光·色,2,照射·闪耀(动),9,映射,34505
宇宙·地球,1,光·色,2,照射·闪耀(动),9,流泻,41173
宇宙·地球,1,光·色,2,照射·闪耀(动),9,闪射,46866
宇宙·地球,1,光·色,2,照射·闪耀(动),9,斜射,50793
宇宙·地球,1,光·色,2,反射·折射(动),10,反射,9359
