root_category,root_sn,parent_category,parent_sn,category,sn,item,item_rank
宇宙·地球,1,光·色,2,色(一般)(名),13,色,328
宇宙·地球,1,光·色,2,色(一般)(名),13,彩,943
宇宙·地球,1,光·色,2,色(一般)(名),13,颜,1526
宇宙·地球,1,光·色,2,色(一般)(名),13,色彩,2118
宇宙·地球,1,光·色,2,色(一般)(名),13,颜色,2850
宇宙·地球,1,光·色,2,色(一般)(名),13,光彩,4686
宇宙·地球,1,光·色,2,色(一般)(名),13,彩色,5148
宇宙·地球,1,光·色,2,色(一般)(名),13,本色,8996
宇宙·地球,1,光·色,2,色(一般)(名),13,色泽,10750
宇宙·地球,1,光·色,2,色(一般)(名),13,色素,16698
宇宙·地球,1,光·色,2,色(一般)(名),13,正色,28341
宇宙·地球,1,光·色,2,色(一般)(名),13,原色,44610
宇宙·地球,1,光·色,2,色(一般)(名),13,色差,56063
宇宙·地球,1,光·色,2,红(形),14,红,513
宇宙·地球,1,光·色,2,红(形),14,粉,1174
宇宙·地球,1,光·色,2,红(形),14,朱,1204
宇宙·地球,1,光·色,2,红(形),14,丹,1269
宇宙·地球,1,光·色,2,红(形),14,赤,1751
宇宙·地球,1,光·色,2,红(形),14,彤,3066
宇宙·地球,1,光·色,2,红(形),14,大红,7874
宇宙·地球,1,光·色,2,红(形),14,通红,10913
宇宙·地球,1,光·色,2,红(形),14,鲜红,11949
宇宙·地球,1,光·色,2,红(形),14,粉红,12160
宇宙·地球,1,光·色,2,红(形),14,火红,19882
宇宙·地球,1,光·色,2,红(形),14,血红,20326
宇宙·地球,1,光·色,2,红(形),14,紫红,20964
宇宙·地球,1,光·色,2,红(形),14,朱红,27907
宇宙·地球,1,光·色,2,红(形),14,桃红,29907
宇宙·地球,1,光·色,2,红(形),14,绯红,30955
宇宙·地球,1,光·色,2,红(形),14,嫣红,31740
宇宙·地球,1,光·色,2,红(形),14,殷红,32854
宇宙·地球,1,光·色,2,红(形),14,橘红,37310
宇宙·地球,1,光·色,2,红(形),14,猩红,37428
宇宙·地球,1,光·色,2,红(形),14,枣红,39181
宇宙·地球,1,光·色,2,红(形),14,红彤彤,40657
宇宙·地球,1,光·色,2,红(形),14,桃色,40773
宇宙·地球,1,光·色,2,红(形),14,赤红,44079
宇宙·地球,1,光·色,2,红(形),14,红扑扑,44803
宇宙·地球,1,光·色,2,红(形),14,红艳艳,44975
宇宙·地球,1,光·色,2,红(形),14,杏红,48679
宇宙·地球,1,光·色,2,红(形),14,肉色,49545
宇宙·地球,1,光·色,2,红(形),14,水红,52051
宇宙·地球,1,光·色,2,红(形),14,品红,58646
宇宙·地球,1,光·色,2,红(形),14,肉红,63627
宇宙·地球,1,光·色,2,红(形),14,银红,74225
宇宙·地球,1,光·色,2,黄·橙(形),15,金,264
宇宙·地球,1,光·色,2,黄·橙(形),15,黄,628
宇宙·地球,1,光·色,2,黄·橙(形),15,橙,2925
宇宙·地球,1,光·色,2,黄·橙(形),15,金黄,7808
宇宙·地球,1,光·色,2,黄·橙(形),15,昏黄,31347
宇宙·地球,1,光·色,2,黄·橙(形),15,枯黄,32678
宇宙·地球,1,光·色,2,黄·橙(形),15,焦黄,32924
宇宙·地球,1,光·色,2,黄·橙(形),15,橙黄,34439
宇宙·地球,1,光·色,2,黄·橙(形),15,米黄,39410
宇宙·地球,1,光·色,2,黄·橙(形),15,蜡黄,40528
宇宙·地球,1,光·色,2,黄·橙(形),15,米色,41136
宇宙·地球,1,光·色,2,黄·橙(形),15,土黄,42921
宇宙·地球,1,光·色,2,黄·橙(形),15,鹅黄,43352
宇宙·地球,1,光·色,2,黄·橙(形),15,杏黄,46785
宇宙·地球,1,光·色,2,黄·橙(形),15,黄澄澄,47778
宇宙·地球,1,光·色,2,黄·橙(形),15,嫩黄,51698
宇宙·地球,1,光·色,2,黄·橙(形),15,黄灿灿,52870
宇宙·地球,1,光·色,2,黄·橙(形),15,苍黄,56010
宇宙·地球,1,光·色,2,黄·橙(形),15,橘黄,56705
宇宙·地球,1,光·色,2,黄·橙(形),15,蜜色,62554
宇宙·地球,1,光·色,2,绿·青(形),16,青,521
宇宙·地球,1,光·色,2,绿·青(形),16,绿,1017
宇宙·地球,1,光·色,2,绿·青(形),16,苍,2116
宇宙·地球,1,光·色,2,绿·青(形),16,翠,2194
宇宙·地球,1,光·色,2,绿·青(形),16,碧,2196
宇宙·地球,1,光·色,2,绿·青(形),16,葱,2332
宇宙·地球,1,光·色,2,绿·青(形),16,沧,2577
宇宙·地球,1,光·色,2,绿·青(形),16,碧绿,18344
宇宙·地球,1,光·色,2,绿·青(形),16,翠绿,19228
宇宙·地球,1,光·色,2,绿·青(形),16,铁青,24502
宇宙·地球,1,光·色,2,绿·青(形),16,青翠,27120
宇宙·地球,1,光·色,2,绿·青(形),16,绿油油,29533
宇宙·地球,1,光·色,2,绿·青(形),16,墨绿,29677
宇宙·地球,1,光·色,2,绿·青(形),16,苍翠,31340
宇宙·地球,1,光·色,2,绿·青(形),16,嫩绿,33461
