root_category,root_sn,parent_category,parent_sn,category,sn,item,item_rank
宇宙·地球,1,光·色,2,黄·橙(形),15,金,264
宇宙·地球,1,光·色,2,白·灰(形),19,白,308
宇宙·地球,1,光·色,2,色(一般)(名),13,色,328
宇宙·地球,1,光·色,2,红(形),14,红,513
宇宙·地球,1,光·色,2,绿·青(形),16,青,521
宇宙·地球,1,光·色,2,黑(形),20,青,521
宇宙·地球,1,光·色,2,黑(形),20,黑,594
宇宙·地球,1,光·色,2,黄·橙(形),15,黄,628
宇宙·地球,1,光·色,2,色(一般)(名),13,彩,943
宇宙·地球,1,光·色,2,绿·青(形),16,绿,1017
宇宙·地球,1,光·色,2,红(形),14,粉,1174
宇宙·地球,1,光·色,2,蓝·靛(形),17,蓝,1195
宇宙·地球,1,光·色,2,红(形),14,朱,1204
宇宙·地球,1,光·色,2,红(形),14,丹,1269
宇宙·地球,1,光·色,2,白·灰(形),19,灰,1415
宇宙·地球,1,光·色,2,色(一般)(名),13,颜,1526
宇宙·地球,1,光·色,2,紫·赭·褐(形、名),18,紫,1618
宇宙·地球,1,光·色,2,红(形),14,赤,1751
宇宙·地球,1,光·色,2,绿·青(形),16,苍,2116
宇宙·地球,1,光·色,2,色(一般)(名),13,色彩,2118
宇宙·地球,1,光·色,2,绿·青(形),16,翠,2194
宇宙·地球,1,光·色,2,绿·青(形),16,碧,2196
宇宙·地球,1,光·色,2,黑(形),20,玄,2322
宇宙·地球,1,光·色,2,紫·赭·褐(形、名),18,褐,2832
宇宙·地球,1,光·色,2,色(一般)(名),13,颜色,2850
宇宙·地球,1,光·色,2,黄·橙(形),15,橙,2925
宇宙·地球,1,光·色,2,红(形),14,彤,3066
宇宙·地球,1,光·色,2,色(一般)(名),13,光彩,4686
宇宙·地球,1,光·色,2,色(一般)(名),13,彩色,5148
宇宙·地球,1,光·色,2,白·灰(形),19,苍白,5734
宇宙·地球,1,光·色,2,黄·橙(形),15,金黄,7808
宇宙·地球,1,光·色,2,红(形),14,大红,7874
宇宙·地球,1,光·色,2,色(一般)(名),13,本色,8996
宇宙·地球,1,光·色,2,黑(形),20,漆黑,9792
宇宙·地球,1,光·色,2,白·灰(形),19,洁白,9983
宇宙·地球,1,光·色,2,五彩(名、形),21,五彩,10052
宇宙·地球,1,光·色,2,白·灰(形),19,雪白,10591
宇宙·地球,1,光·色,2,色(一般)(名),13,色泽,10750
宇宙·地球,1,光·色,2,红(形),14,通红,10913
宇宙·地球,1,光·色,2,红(形),14,鲜红,11949
宇宙·地球,1,光·色,2,红(形),14,粉红,12160
宇宙·地球,1,光·色,2,紫·赭·褐(形、名),18,棕色,14508
宇宙·地球,1,光·色,2,变色(动),26,变色,14974
宇宙·地球,1,光·色,2,白·灰(形),19,灰白,15475
宇宙·地球,1,光·色,2,五彩(名、形),21,斑斓,16026
宇宙·地球,1,光·色,2,黑(形),20,乌黑,16271
宇宙·地球,1,光·色,2,色(一般)(名),13,色素,16698
宇宙·地球,1,光·色,2,五彩(名、形),21,五彩缤纷,18150
宇宙·地球,1,光·色,2,绿·青(形),16,碧绿,18344
宇宙·地球,1,光·色,2,黑(形),20,黝黑,18455
宇宙·地球,1,光·色,2,五彩(名、形),21,五颜六色,18669
宇宙·地球,1,光·色,2,绿·青(形),16,翠绿,19228
宇宙·地球,1,光·色,2,红(形),14,火红,19882
宇宙·地球,1,光·色,2,白·灰(形),19,惨白,19889
宇宙·地球,1,光·色,2,红(形),14,血红,20326
宇宙·地球,1,光·色,2,红(形),14,紫红,20964
宇宙·地球,1,光·色,2,紫·赭·褐(形、名),18,紫红,20964
宇宙·地球,1,光·色,2,白·灰(形),19,银白,21964
宇宙·地球,1,光·色,2,(颜色)暗淡(形),23,灰暗,22106
宇宙·地球,1,光·色,2,五彩(名、形),21,斑驳,22112
宇宙·地球,1,光·色,2,五彩(名、形),21,五色,22999
宇宙·地球,1,光·色,2,五彩(名、形),21,五光十色,23448
宇宙·地球,1,光·色,2,绿·青(形),16,铁青,24502
宇宙·地球,1,光·色,2,蓝·靛(形),17,湛蓝,26072
宇宙·地球,1,光·色,2,蓝·靛(形),17,天蓝,26103
宇宙·地球,1,光·色,2,绿·青(形),16,青翠,27120
宇宙·地球,1,光·色,2,五彩(名、形),21,花花绿绿,27805
宇宙·地球,1,光·色,2,红(形),14,朱红,27907
宇宙·地球,1,光·色,2,绿·青(形),16,绿油油,29533
宇宙·地球,1,光·色,2,绿·青(形),16,墨绿,29677
宇宙·地球,1,光·色,2,红(形),14,桃红,29907
宇宙·地球,1,光·色,2,蓝·靛(形),17,葱白,30401
宇宙·地球,1,光·色,2,白·灰(形),19,银灰,30416
宇宙·地球,1,光·色,2,红(形),14,绯红,30955
宇宙·地球,1,光·色,2,绿·青(形),16,苍翠,31340
宇宙·地球,1,光·色,2,黄·橙(形),15,昏黄,31347
宇宙·地球,1,光·色,2,红(形),14,嫣红,31740
宇宙·地球,1,光·色,2,黑(形),20,天青,32661
宇宙·地球,1,光·色,2,黄·橙(形),15,枯黄,32678
宇宙·地球,1,光·色,2,红(形),14,殷红,32854
宇宙·地球,1,光·色,2,黄·橙(形),15,焦黄,32924
宇宙·地球,1,光·色,2,绿·青(形),16,嫩绿,33461
宇宙·地球,1,光·色,2,绿·青(形),16,草绿,34008
宇宙·地球,1,光·色,2,黄·橙(形),15,橙黄,34439
宇宙·地球,1,光·色,2,绿·青(形),16,青葱,34498
宇宙·地球,1,光·色,2,白·灰(形),19,煞白,35128
宇宙·地球,1,光·色,2,绿·青(形),16,青绿,35900
宇宙·地球,1,光·色,2,蓝·靛(形),17,藏青,36423
宇宙·地球,1,光·色,2,红(形),14,橘红,37310
宇宙·地球,1,光·色,2,红(形),14,猩红,37428
宇宙·地球,1,光·色,2,绿·青(形),16,葱绿,38462
宇宙·地球,1,光·色,2,红(形),14,枣红,39181
宇宙·地球,1,光·色,2,黄·橙(形),15,米黄,39410
宇宙·地球,1,光·色,2,黑(形),20,焦黑,39917
宇宙·地球,1,光·色,2,黄·橙(形),15,蜡黄,40528
宇宙·地球,1,光·色,2,红(形),14,红彤彤,40657
宇宙·地球,1,光·色,2,黄·橙(形),15,米色,41136
宇宙·地球,1,光·色,2,紫·赭·褐(形、名),18,古铜色,41882
宇宙·地球,1,光·色,2,黄·橙(形),15,土黄,42921
宇宙·地球,1,光·色,2,黄·橙(形),15,鹅黄,43352
宇宙·地球,1,光·色,2,红(形),14,赤红,44079
宇宙·地球,1,光·色,2,色(一般)(名),13,原色,44610
宇宙·地球,1,光·色,2,红(形),14,红扑扑,44803
宇宙·地球,1,光·色,2,红(形),14,红艳艳,44975
宇宙·地球,1,光·色,2,黄·橙(形),15,杏黄,46785
宇宙·地球,1,光·色,2,绿·青(形),16,水绿,47507
宇宙·地球,1,光·色,2,黄·橙(形),15,黄澄澄,47778
宇宙·地球,1,光·色,2,红(形),14,杏红,48679
宇宙·地球,1,光·色,2,红(形),14,肉色,49545
宇宙·地球,1,光·色,2,黄·橙(形),15,嫩黄,51698
宇宙·地球,1,光·色,2,蓝·靛(形),17,宝蓝,51925
宇宙·地球,1,光·色,2,红(形),14,水红,52051
宇宙·地球,1,光·色,2,黄·橙(形),15,黄灿灿,52870
宇宙·地球,1,光·色,2,紫·赭·褐(形、名),18,雪青,55562
宇宙·地球,1,光·色,2,黄·橙(形),15,苍黄,56010
宇宙·地球,1,光·色,2,色(一般)(名),13,色差,56063
宇宙·地球,1,光·色,2,黄·橙(形),15,橘黄,56705
宇宙·地球,1,光·色,2,变色(动),26,脱色,57307
宇宙·地球,1,光·色,2,红(形),14,品红,58646
宇宙·地球,1,光·色,2,紫·赭·褐(形、名),18,酱色,59343
宇宙·地球,1,光·色,2,黑(形),20,黑油油,62282
宇宙·地球,1,光·色,2,黄·橙(形),15,蜜色,62554
宇宙·地球,1,光·色,2,黑(形),20,黑黢黢,63609
宇宙·地球,1,光·色,2,红(形),14,肉红,63627
宇宙·地球,1,光·色,2,紫·赭·褐(形、名),18,驼色,65032
宇宙·地球,1,光·色,2,绿·青(形),16,蛋青,67584
宇宙·地球,1,光·色,2,绿·青(形),16,豆绿,67663
宇宙·地球,1,光·色,2,绿·青(形),16,绿莹莹,68064
宇宙·地球,1,光·色,2,紫·赭·褐(形、名),18,茶褐色,69192
宇宙·地球,1,光·色,2,蓝·靛(形),17,藏蓝,69626
宇宙·地球,1,光·色,2,变色(动),26,掉色,69675
宇宙·地球,1,光·色,2,黑(形),20,黑不溜秋,69699
宇宙·地球,1,光·色,2,绿·青(形),16,绿茸茸,71390
宇宙·地球,1,光·色,2,紫·赭·褐(形、名),18,绛紫,71790
宇宙·地球,1,光·色,2,黑(形),20,乌油油,72500
宇宙·地球,1,光·色,2,红(形),14,银红,74225
宇宙·地球,1,光·色,2,绿·青(形),16,豆青,75063
宇宙·地球,1,光·色,2,白·灰(形),19,藕色,75076
宇宙·地球,1,光·色,2,绿·青(形),16,湖色,75499
宇宙·地球,1,光·色,2,黑(形),20,黢黑,77419
宇宙·地球,1,光·色,2,绿·青(形),16,碧油油,83154
宇宙·地球,1,光·色,2,黑(形),20,玄青,84022
