parent_category,root_category,leaf_category_count,total_items
医疗·药物,人体·医药·卫生,30,304
生病·伤残,人体·医药·卫生,29,263
疾病,人体·医药·卫生,20,174
卫生,人体·医药·卫生,18,160
一般身体状况,人体·医药·卫生,22,220
体态·容貌,人体·医药·卫生,17,213
人体(一般),人体·医药·卫生,11,155
各系统器官,人体·医药·卫生,16,144
躯干和四肢,人体·医药·卫生,14,122
头部·面部,人体·医药·卫生,9,120
社会关系,人类·社会,47,507
社交,人类·社会,45,500
生活·境遇,人类·社会,46,467
人,人类·社会,29,329
性爱·婚姻·家庭,人类·社会,36,301
人群·社会,人类·社会,22,204
社会状况,人类·社会,17,167
时间,宇宙·地球,33,437
计时,宇宙·地球,20,290
光·色,宇宙·地球,26,334
气象,宇宙·地球,27,276
工业,工业·科技,36,243
机器·设备·工具,工业·科技,25,188
科学·技术,工业·科技,32,185
阅读·写作,思想·语言·信息,51,498
信息·通信·新闻,思想·语言·信息,44,350
书籍·出版,思想·语言·信息,36,310
情感,感觉·情感·性格·行为,75,1032
性格,感觉·情感·性格·行为,49,550
表情,感觉·情感·性格·行为,26,232
心理·感觉,感觉·情感·性格·行为,28,227
政治,政治·法律·军事,37,344
军事,政治·法律·军事,29,311
武器·装备,政治·法律·军事,23,241
法律(一般),政治·法律·军事,9,116
公安,政治·法律·军事,9,74
学校·教学,教育·文化·艺术·体育,50,338
戏剧·电影,教育·文化·艺术·体育,38,330
音乐·舞蹈,教育·文化·艺术·体育,28,259
文学,教育·文化·艺术·体育,27,253
体育,教育·文化·艺术·体育,29,233
美术·摄影,教育·文化·艺术·体育,24,194
娱乐·游戏,教育·文化·艺术·体育,14,96
文化,教育·文化·艺术·体育,14,85
教育,教育·文化·艺术·体育,8,66
数目·数量,数量,31,361
常用量词,数量,5,173
计量,数量,14,145
数学,数量,30,162
运动,物质·物体,40,503
形状,物质·物体,46,436
物品(一般),物质·物体,22,188
电·电器,物质·物体,16,104
各类植物,生命·生物,16,310
植物(一般),生命·生物,15,180
哺乳动物,生命·生物,13,113
鸟类,生命·生物,10,63
动物(一般),生命·生物,8,55
鱼类·其他水生动物,生命·生物,10,49
昆虫,生命·生物,7,43
爬行动物·两栖动物,生命·生物,4,25
商业,经济·商业·职业,49,431
财务·会计,经济·商业·职业,32,239
职业,经济·商业·职业,24,217
金融,经济·商业·职业,26,196
经济(一般),经济·商业·职业,23,117
行动,行动·交通运输,38,391
移动,行动·交通运输,23,254
地方·场所,行动·交通运输,30,223
陆运,行动·交通运输,29,174
旅行,行动·交通运输,19,168
航运,行动·交通运输,23,167
道路,行动·交通运输,15,120
运输,行动·交通运输,9,65
财产,饮食·衣服·居住·财产,36,386
食物,饮食·衣服·居住·财产,31,283
家用器物,饮食·衣服·居住·财产,21,231
建筑物·建筑,饮食·衣服·居住·财产,24,223
衣服,饮食·衣服·居住·财产,28,212
饮食(一般),饮食·衣服·居住·财产,24,206
住宅·庭院·园林,饮食·衣服·居住·财产,20,149
饮食处所·用具,饮食·衣服·居住·财产,20,127
穿戴用品,饮食·衣服·居住·财产,10,96
饮料,饮食·衣服·居住·财产,12,67
