id,topic,hanzi,frequency_rank
4916,数字,一,4
4917,数字,三,124
4918,数字,十,129
4919,数字,二,168
4920,数字,万,227
4921,数字,四,242
4922,数字,五,292
4923,数字,百,378
4924,数字,八,484
4925,数字,九,511
4926,数字,六,514
4927,数字,千,540
4928,数字,七,595
4929,数字,多少,640
4930,数字,亿,662
4931,数字,陆,1021
4932,数字,零,1192
4933,数字,伍,1206
4934,数字,拾,1885
4935,数字,兆,1911
4936,数字,肆,2466
4937,数字,贰,3436
4938,数字,壹,3478
4939,数字,叁,3480
4940,数字,玖,3487
4941,数字,捌,3498
4942,数字,柒,3500
4943,数字,佰,4206
4944,数字,仟,4851
4945,数学,根,406
4946,数学,统计,432
4947,数学,有限,451
4948,数学,面积,629
4949,数学,平均,647
4950,数学,计算,723
4951,数学,平方,873
4952,数学,数字,1029
4953,数学,比例,1200
4954,数学,百分,1269
4955,数学,指数,1651
4956,数学,三角,2028
4957,数学,等于,2417
4958,数学,组合,2547
4959,数学,百分点,2721
4960,数学,无限,2732
4961,数学,立方,2921
4962,数学,期望,2958
4963,数学,增长率,3221
4964,数学,不等,3437
4965,数学,积分,3500
4966,数学,计数,3974
4967,数学,大于,4355
4968,数学,幂,4416
4969,数学,无穷,5210
4970,数学,精确,5426
4971,数学,排列,5497
4972,数学,万分,5788
4973,数学,方程,5854
4974,数学,分解,6132
4975,数学,递增,6650
4976,数学,直径,6690
4977,数学,总和,6846
4978,数学,分数,7522
4979,数学,频率,7739
4980,数学,几何,8426
4981,数学,极限,8720
4982,数学,体积,8738
4983,数学,单调,9128
4984,数学,系数,9254
4985,数学,比率,9460
4986,数学,区间,9538
4987,数学,定量,9688
4988,数学,编号,9749
4989,数学,函数,9986
4990,数学,近似,10285
4991,数学,序列,10322
4992,数学,概率,10536
4993,数学,加倍,11222
4994,数学,小于,11502
4995,数学,参数,11987
4996,数学,精度,12098
4997,数学,线性,12287
4998,数学,坐标,12575
4999,数学,基数,13012
5000,数学,算盘,13892
5001,数学,收敛,13988
5002,数学,变量,13992
5003,数学,倒数,15031
5004,数学,运算,15220
5005,数学,误差,16045
5006,数学,半径,17434
5007,数学,代数,18622
5008,数学,递减,19260
5009,数学,小数,19780
5010,数学,算术,21107
5011,数学,微分,21245
5012,数学,百分比,21905
5013,数学,加减,22320
5014,数学,方根,22507
5015,数学,平均数,22619
5016,数学,序号,23551
5017,数学,发散,24200
5018,数学,期望值,24863
5019,数学,整数,24910
5020,数学,周长,26066
5021,数学,减半,26442
5022,数学,开方,26550
5023,数学,退位,30286
5024,数学,向量,30964
5025,数学,底数,32549
5026,数学,倍数,33157
5027,数学,数列,33253
5028,数学,峰值,33541
5029,数学,复数,34405
5030,数学,实数,36004
5031,数学,负数,36981
5032,数学,约数,38334
5033,数学,合数,39222
5034,数学,零头,39623
5035,数学,进位,42491
5036,数学,不等式,43755
5037,数学,比例尺,45077
5038,数学,正数,46869
5039,数学,下界,46899
5040,数学,数量级,47034
5041,数学,奇数,47138
5042,数学,偶数,47264
5043,数学,常量,49988
5044,数学,二进制,51158
5045,数学,标量,53614
5046,数学,通分,54811
5047,数学,正比例,54854
5048,数学,圆周率,55165
5049,数学,序数,56219
5050,数学,横坐标,56969
5051,数学,虚数,57689
5052,数学,百分率,60952
5053,数学,乘方,65107
5054,数学,十进制,65137
5055,数学,反比例,65511
5056,数学,四舍五入,66223
5057,数学,零数,70086
5058,时间日期,年,26
5059,时间日期,已经,30
5060,时间日期,时,32
5061,时间日期,目前,32
5062,时间日期,现在,41
5063,时间日期,今年,49
5064,时间日期,同时,50
5065,时间日期,日,53
5066,时间日期,今天,59
5067,时间日期,天,64
5068,时间日期,月,85
5069,时间日期,分,94
5070,时间日期,去年,111
5071,时间日期,现代,181
5072,时间日期,过去,183
5073,时间日期,之后,214
5074,时间日期,世纪,241
5075,时间日期,以后,281
5076,时间日期,当时,298
5077,时间日期,期间,339
5078,时间日期,长期,413
5079,时间日期,时期,415
5080,时间日期,年代,421
5081,时间日期,周,426
5082,时间日期,时代,453
5083,时间日期,小时,486
5084,时间日期,下午,501
5085,时间日期,未来,548
5086,时间日期,以前,639
5087,时间日期,之前,685
5088,时间日期,上午,696
5089,时间日期,立即,706
5090,时间日期,晚上,832
5091,时间日期,月份,872
5092,时间日期,曾经,880
5093,时间日期,始终,909
5094,时间日期,年底,925
5095,时间日期,永远,959
5096,时间日期,那时,1028
5097,时间日期,即将,1035
5098,时间日期,刚刚,1085
5099,时间日期,明年,1104
5100,时间日期,马上,1147
5101,时间日期,一会儿,1264
5102,时间日期,年初,1326
5103,时间日期,秒,1329
5104,时间日期,星期,1376
5105,时间日期,昨天,1378
5106,时间日期,明天,1399
5107,时间日期,立刻,1509
5108,时间日期,时刻,1523
5109,时间日期,将来,1532
5110,时间日期,古代,1555
5111,时间日期,月底,1609
5112,时间日期,早已,1630
5113,时间日期,当代,1704
5114,时间日期,季度,1739
5115,时间日期,春节,1744
5116,时间日期,百年,1764
5117,时间日期,刚才,1921
5118,时间日期,随时,2070
5119,时间日期,凌晨,2242
5120,时间日期,月中,2248
5121,时间日期,月初,2289
5122,时间日期,节日,2470
5123,时间日期,中午,2525
5124,时间日期,早晨,2568
5125,时间日期,短期,2848
5126,时间日期,近代,2882
5127,时间日期,初期,2884
5128,时间日期,期限,2892
5129,时间日期,日期,2899
5130,时间日期,早期,3071
5131,时间日期,夏天,3154
5132,时间日期,白天,3161
5133,时间日期,春天,3204
5134,时间日期,季节,3211
5135,时间日期,公元,3312
5136,时间日期,早上,3327
5137,时间日期,中旬,3416
5138,时间日期,半天,3508
5139,时间日期,新年,3522
5140,时间日期,此刻,3526
5141,时间日期,周期,3535
5142,时间日期,冬季,3594
5143,时间日期,日出,3759
5144,时间日期,冬天,3870
5145,时间日期,中期,3935
5146,时间日期,生日,3945
5147,时间日期,永久,4021
5148,时间日期,周末,4092
5149,时间日期,瞬间,4116
5150,时间日期,后期,4131
5151,时间日期,夏季,4193
5152,时间日期,世纪末,4240
5153,时间日期,清晨,4348
5154,时间日期,将要,4370
5155,时间日期,日程,4683
5156,时间日期,下旬,4705
5157,时间日期,整天,4747
5158,时间日期,年头,4789
5159,时间日期,片刻,4829
5160,时间日期,傍晚,4872
5161,时间日期,深夜,4907
5162,时间日期,短暂,4964
5163,时间日期,年历,5098
5164,时间日期,前期,5160
5165,时间日期,上月,5297
5166,时间日期,半夜,5606
5167,时间日期,秋天,5638
5168,时间日期,圣诞,5729
5169,时间日期,前年,5931
5170,时间日期,黄昏,6352
5171,时间日期,假期,6473
5172,时间日期,黎明,6521
5173,时间日期,春季,6541
5174,时间日期,年末,6890
5175,时间日期,秋季,7052
5176,时间日期,元旦,7069
5177,时间日期,当下,7151
5178,时间日期,快要,7368
5179,时间日期,大年,7642
5180,时间日期,黑夜,7662
5181,时间日期,计时,8192
5182,时间日期,月末,8231
5183,时间日期,刹那,8480
5184,时间日期,时间表,8684
5185,时间日期,北京时间,8695
5186,时间日期,上旬,8791
5187,时间日期,年终,8868
5188,时间日期,午夜,8952
5189,时间日期,后天,9512
5190,时间日期,晚期,9746
5191,时间日期,子时,9768
5192,时间日期,纪念日,9816
5193,时间日期,星期日,10138
5194,时间日期,农历,10173
5195,时间日期,除夕,10499
5196,时间日期,下月,10874
5197,时间日期,间隔,11073
5198,时间日期,末期,11127
5199,时间日期,工作日,11192
5200,时间日期,前天,11422
5201,时间日期,迟早,11528
5202,时间日期,年份,12339
5203,时间日期,来年,12389
5204,时间日期,远古,13504
5205,时间日期,日落,13764
5206,时间日期,纪元,13882
5207,时间日期,午后,14234
5208,时间日期,跨度,15003
5209,时间日期,时辰,15137
5210,时间日期,即刻,15326
5211,时间日期,史前,15481
5212,时间日期,报时,16227
5213,时间日期,朝代,16537
5214,时间日期,午时,16648
5215,时间日期,中秋节,17603
5216,时间日期,元宵,17615
5217,时间日期,正午,17926
5218,时间日期,望日,18387
5219,时间日期,整夜,18479
5220,时间日期,岁末,18984
5221,时间日期,时钟,19600
5222,时间日期,拂晓,21302
5223,时间日期,教师节,21906
5224,时间日期,劳动节,21989
5225,时间日期,儿童节,22051
5226,时间日期,小年,22395
5227,时间日期,子夜,22443
5228,时间日期,时差,23333
5229,时间日期,日历,23356
5230,时间日期,后年,23605
5231,时间日期,清明节,23615
5232,时间日期,复活节,24001
5233,时间日期,节气,25283
5234,时间日期,端午节,26381
5235,时间日期,时间差,27123
5236,时间日期,半日,27956
5237,时间日期,元宵节,28078
5238,时间日期,午前,28459
5239,时间日期,晌午,28804
5240,时间日期,冬至,30032
5241,时间日期,平年,30047
5242,时间日期,时长,30168
5243,时间日期,闹钟,30262
5244,时间日期,阴历,31366
5245,时间日期,母亲节,33765
5246,时间日期,世界时,33958
5247,时间日期,阳历,36195
5248,时间日期,小月,36240
5249,时间日期,时刻表,36401
5250,时间日期,破晓,36663
5251,时间日期,重阳节,37216
5252,时间日期,生物钟,37393
5253,时间日期,春分,37458
5254,时间日期,秋分,37461
5255,时间日期,感恩节,37998
5256,时间日期,立春,38451
5257,时间日期,公历,39107
5258,时间日期,立冬,39796
5259,时间日期,大月,40990
5260,时间日期,立秋,42062
5261,时间日期,夏至,42151
