parent_category,item,item_rank
HSK1,的,1
HSK1,中国,1
HSK1,了,2
HSK1,是,3
HSK1,一,4
HSK1,我们,4
HSK1,在,5
HSK1,不,6
HSK1,我,7
HSK1,有,8
HSK1,工作,8
HSK1,人,9
HSK1,这,10
HSK1,个,11
HSK1,他,12
HSK1,和,13
HSK1,来,15
HSK1,上,17
HSK1,大,18
HSK1,北京,20
HSK1,会,21
HSK1,什么,22
HSK1,年,26
HSK1,你,27
HSK1,好,35
HSK1,能,36
HSK1,都,39
HSK1,现在,41
HSK1,去,44
HSK1,家,45
HSK1,下,46
HSK1,多,48
HSK1,那,49
HSK1,里,50
HSK1,日,53
HSK1,看,54
HSK1,今天,59
HSK1,没,61
HSK1,开,65
HSK1,小,68
HSK1,她,71
HSK1,想,73
HSK1,很,74
HSK1,点,77
HSK1,月,85
HSK1,时候,94
HSK1,本,100
HSK1,些,110
HSK1,三,124
HSK1,做,126
HSK1,十,129
HSK1,回,146
HSK1,二,168
HSK1,水,175
HSK1,怎么,186
HSK1,太,205
HSK1,学生,216
HSK1,爱,220
HSK1,几,240
HSK1,四,242
HSK1,听,250
HSK1,少,257
HSK1,先生,266
HSK1,呢,279
HSK1,书,281
HSK1,五,292
HSK1,吃,293
HSK1,东西,293
HSK1,学习,318
HSK1,住,327
HSK1,叫,329
HSK1,吗,338
HSK1,请,370
HSK1,电视,372
HSK1,钱,376
HSK1,学校,376
HSK1,认识,398
HSK1,字,413
HSK1,朋友,429
HSK1,谁,459
HSK1,写,469
HSK1,八,484
HSK1,买,489
HSK1,热,498
HSK1,下午,501
HSK1,九,511
HSK1,六,514
HSK1,哪,526
HSK1,医院,535
HSK1,岁,541
HSK1,坐,553
HSK1,七,595
HSK1,多少,640
HSK1,读,646
HSK1,喜欢,663
HSK1,上午,696
HSK1,看见,710
HSK1,飞机,712
HSK1,块,727
HSK1,高兴,729
HSK1,喝,755
HSK1,冷,800
HSK1,儿子,851
HSK1,菜,917
HSK1,电影,984
HSK1,说话,1005
HSK1,狗,1030
HSK1,女儿,1070
HSK1,医生,1137
HSK1,茶,1188
HSK1,零,1192
HSK1,名字,1205
HSK1,老师,1249
HSK1,天气,1288
HSK1,猫,1332
HSK1,电脑,1336
HSK1,妈妈,1371
HSK1,星期,1376
HSK1,昨天,1378
HSK1,明天,1399
HSK1,小姐,1484
HSK1,衣服,1497
HSK1,后面,1588
HSK1,喂,1622
HSK1,同学,1625
HSK1,前面,1658
HSK1,漂亮,1970
HSK1,爸爸,2060
HSK1,怎么样,2312
HSK1,商店,2498
HSK1,中午,2525
HSK1,谢谢,2544
HSK1,汉语,3031
HSK1,桌子,3453
HSK1,睡觉,3569
HSK1,水果,3653
HSK1,椅子,4162
HSK1,对不起,4425
HSK1,苹果,4455
HSK1,火车站,5105
HSK1,再见,5952
HSK1,没关系,9100
HSK1,饭馆,11191
HSK1,杯子,11671
HSK1,米饭,14737
HSK2,问题,12
HSK2,要,20
HSK2,为,22
HSK2,就,23
HSK2,公司,23
HSK2,到,24
HSK2,可以,25
HSK2,也,28
HSK2,已经,30
HSK2,第一,31
HSK2,出,34
HSK2,着,41
HSK2,得,43
HSK2,还,47
HSK2,开始,52
HSK2,因为,54
HSK2,可能,70
HSK2,时间,75
HSK2,进,80
HSK2,但是,86
HSK2,知道,88
HSK2,新,97
HSK2,从,107
HSK2,长,108
HSK2,希望,108
HSK2,给,109
HSK2,去年,111
HSK2,两,112
HSK2,高,115
HSK2,最,123
HSK2,问,131
HSK2,次,141
HSK2,真,143
HSK2,正在,146
HSK2,外,148
HSK2,别,157
HSK2,所以,162
HSK2,让,166
HSK2,介绍,173
HSK2,元,176
HSK2,走,178
HSK2,向,179
HSK2,比,183
HSK2,再,185
HSK2,它,192
HSK2,题,199
HSK2,非常,218
HSK2,门,219
HSK2,一起,230
HSK2,快,245
HSK2,运动,245
HSK2,路,253
HSK2,孩子,253
HSK2,件,273
HSK2,吧,278
HSK2,准备,297
HSK2,完,302
HSK2,白,308
HSK2,大家,308
HSK2,每,315
HSK2,张,319
HSK2,觉得,322
HSK2,找,334
HSK2,告诉,338
HSK2,旅游,347
HSK2,帮助,356
HSK2,近,360
HSK2,百,378
HSK2,笑,393
HSK2,离,411
HSK2,事情,443
HSK2,远,457
HSK2,号,468
HSK2,小时,486
HSK2,红,513
HSK2,千,540
HSK2,送,563
HSK2,错,575
HSK2,欢迎,593
HSK2,黑,594
HSK2,回答,614
HSK2,眼睛,621
HSK2,您,639
HSK2,穿,652
HSK2,票,715
HSK2,玩,730
HSK2,药,734
HSK2,忙,771
HSK2,卖,781
HSK2,女人,793
HSK2,身体,808
HSK2,晚上,832
HSK2,课,849
HSK2,船,880
HSK2,鱼,894
HSK2,意思,904
HSK2,慢,907
HSK2,贵,926
HSK2,机场,965
HSK2,雪,966
HSK2,懂,972
HSK2,洗,1019
HSK2,累,1061
HSK2,公斤,1175
HSK2,阴,1218
HSK2,报纸,1231
HSK2,男人,1243
HSK2,姓,1260
HSK2,妻子,1286
HSK2,丈夫,1530
HSK2,晴,1621
HSK2,房间,1804
HSK2,踢,1825
HSK2,休息,1854
HSK2,考试,2023
HSK2,旁边,2138
HSK2,快乐,2337
HSK2,游泳,2367
HSK2,自行车,2542
HSK2,颜色,2850
HSK2,手机,2891
HSK2,哥哥,3262
HSK2,早上,3327
HSK2,上班,3475
HSK2,便宜,3530
HSK2,姐姐,3543
HSK2,弟弟,3595
HSK2,妹妹,3891
HSK2,生日,3945
HSK2,咖啡,3951
HSK2,公共汽车,5530
HSK2,教室,6002
HSK2,牛奶,6819
HSK2,跳舞,6867
HSK2,唱歌,6992
HSK2,生病,7198
HSK2,手表,7211
HSK2,服务员,7560
HSK2,起床,7637
HSK2,西瓜,8842
HSK2,左边,8988
HSK2,右边,9084
HSK2,跑步,14521
HSK3,国家,5
HSK3,自己,16
HSK3,世界,19
HSK3,地,30
HSK3,重要,36
HSK3,认为,37
HSK3,表示,44
HSK3,关系,53
HSK3,主要,57
HSK3,要求,66
HSK3,用,67
HSK3,举行,69
HSK3,会议,71
HSK3,如果,77
HSK3,文化,79
HSK3,把,90
HSK3,提高,90
HSK3,参加,91
HSK3,历史,92
HSK3,分,94
HSK3,需要,102
HSK3,地方,110
HSK3,只,113
HSK3,还是,113
HSK3,种,116
HSK3,必须,116
HSK3,关,117
HSK3,为了,117
HSK3,影响,118
HSK3,发现,119
HSK3,出现,122
HSK3,决定,123
HSK3,而且,124
HSK3,解决,128
HSK3,被,133
HSK3,特别,136
HSK3,又,140
HSK3,一定,141
HSK3,其他,143
HSK3,城市,145
HSK3,根据,148
HSK3,作用,152
HSK3,环境,154
HSK3,比赛,155
