category,root_category,parent_category,total_items
个体量词(量),数量,常用量词,83
礼貌用语(形、动等),人类·社会,社交,59
集合量词(量),数量,常用量词,52
鬼神·妖·魔(名),宗教·民间信仰,民间信仰,49
夫妻(名),人类·社会,家族,49
快乐(形),感觉·情感·性格·行为,情感,47
花卉·观赏植物(名),生命·生物,各类植物,46
树木(名),生命·生物,各类植物,43
骄傲(形),感觉·情感·性格·行为,性格,43
神·佛·上帝(名),宗教·民间信仰,宗教,42
非常·多么(副),事情·情状(一般),程度·范围·可能,40
穷(形),饮食·衣服·居住·财产,财产,39
认识·理解(动),思想·语言·信息,认识·知识·能力,39
基数词(数),数量,数目·数量,38
果树·水果(名),生命·生物,各类植物,38
蔬菜(名),生命·生物,各类植物,35
好看(形),感觉·情感·性格·行为,情感,35
年(名),宇宙·地球,计时,34
地方剧种(名),教育·文化·艺术·体育,戏剧·电影,34
意见(名),思想·语言·信息,思想·思维,34
教徒·信徒(名),宗教·民间信仰,宗教,34
报纸·刊物(名),思想·语言·信息,信息·通信·新闻,33
粮食·谷物(名),生命·生物,各类植物,33
地球(名),宇宙·地球,地球,33
多(形),数量,数目·数量,32
红(形),宇宙·地球,光·色,32
其他计量单位名称(量),数量,计量,32
杀害(动),政治·法律·军事,罪行·刑罚,32
好(形),事情·情状(一般),情形·状况,32
季(名),宇宙·地球,计时,32
悲哀(形),感觉·情感·性格·行为,情感,32
农民(名),农业,农业(一般),32
美貌(形),人体·医药·卫生,体态·容貌,31
灾祸(名),人类·社会,生活·境遇,31
家用灯具(名),饮食·衣服·居住·财产,家用器物,31
各部骨骼(名),人体·医药·卫生,人体(一般),31
欺骗(动),感觉·情感·性格·行为,行为·态度,31
计划·打算(动),思想·语言·信息,思想·思维,31
皮肤病(名),人体·医药·卫生,疾病,30
躲避·隐藏(动),行动·交通运输,行动,30
药用植物(名),生命·生物,各类植物,30
商品·货物(名),经济·商业·职业,商业,30
害怕(动),感觉·情感·性格·行为,情感,30
惊慌(形),感觉·情感·性格·行为,情感,30
父母(名),人类·社会,家族,30
买(动),经济·商业·职业,商业,30
轻视(动),感觉·情感·性格·行为,情感,29
凶恶(形),感觉·情感·性格·行为,性格,29
时间长(形、副),宇宙·地球,时间,29
停止(动),行动·交通运输,行动,29
法(一般)(名),政治·法律·军事,法律(一般),29
卧具(名),饮食·衣服·居住·财产,家用器物,29
调动·派遣(动),政治·法律·军事,行政,29
表示语气(助),思想·语言·信息,常用虚词,28
处罚·惩办(动),政治·法律·军事,诉讼·审判·检察,28
绿·青(形),宇宙·地球,光·色,28
逮捕·捕捉(动),政治·法律·军事,公安,28
显现·预示(动),事情·情状(一般),发展·变化,28
叫·喊(动),思想·语言·信息,言语(一般),28
防御(动),政治·法律·军事,战争,28
使用·利用(动),事情·情状(一般),做事,28
军种·兵种(名),政治·法律·军事,军事,28
角色(名),教育·文化·艺术·体育,戏剧·电影,27
仆人·仆从(名),人类·社会,地位·品类,27
讥讽·嘲笑(动),思想·语言·信息,言语(各种方式),27
田地·农田(名),农业,农业(一般),27
机件(名),工业·科技,机器·设备·工具,27
日(名),宇宙·地球,计时,27
得到·接受(动),饮食·衣服·居住·财产,财产,27
责备(动),思想·语言·信息,言语(各种方式),27
疲劳·无力(形、动),人体·医药·卫生,一般身体状况,27
相同(形),事情·情状(一般),关联·异同,27
圣贤·君子(名),人类·社会,地位·品类,27
像·如同(动),事情·情状(一般),关联·异同,27
坏(形),事情·情状(一般),情形·状况,27
成立·创立(动),事情·情状(一般),做事,26
节日(名),宇宙·地球,计时,26
合适(形),事情·情状(一般),情形·状况,26
叙述(动),思想·语言·信息,言语(各种方式),26
名声(名),人类·社会,地位·品类,26
时代(名),宇宙·地球,时间,26
广阔·狭隘(形),宇宙·地球,陆地,26
怒(动),感觉·情感·性格·行为,情感,26
宗教建筑(名),宗教·民间信仰,宗教,26
消失(动),事情·情状(一般),发展·变化,26
缝纫(动),饮食·衣服·居住·财产,衣服制作·衣料,26
手段(名),事情·情状(一般),因果·过程,26
温和·柔顺(形),感觉·情感·性格·行为,性格,26
取消·废止·免除(动),事情·情状(一般),限制·破坏,25
白·灰(形),宇宙·地球,光·色,25
云·雾(名),宇宙·地球,气象,25
牛·羊·猪·兔(名 ),生命·生物,哺乳动物,25
谄媚·奉承(动),感觉·情感·性格·行为,行为·态度,25
叛变·通敌(动),政治·法律·军事,政治,25
药物(一般)(名),人体·医药·卫生,医疗·药物,25
变更·改换(动),事情·情状(一般),发展·变化,25
按·压·磨·撑(动),工业·科技,劳作·制造,25
想念(动),思想·语言·信息,思想·思维,25
说话(一般)(动),思想·语言·信息,言语(一般),25
