parent_category,root_category,leaf_category_count,total_items
情形·状况,事情·情状(一般),77,799
程度·范围·可能,事情·情状(一般),48,615
做事,事情·情状(一般),47,573
因果·过程,事情·情状(一般),34,400
发展·变化,事情·情状(一般),28,365
关联·异同,事情·情状(一般),29,334
限制·破坏,事情·情状(一般),24,281
成功·失败,事情·情状(一般),22,236
事情(一般),事情·情状(一般),25,233
医疗·药物,人体·医药·卫生,30,304
生病·伤残,人体·医药·卫生,29,263
一般身体状况,人体·医药·卫生,22,220
体态·容貌,人体·医药·卫生,17,213
疾病,人体·医药·卫生,20,174
卫生,人体·医药·卫生,18,160
人体(一般),人体·医药·卫生,11,155
各系统器官,人体·医药·卫生,16,144
人体动作(一般),人体·医药·卫生,13,142
躯干和四肢,人体·医药·卫生,14,122
头部·面部,人体·医药·卫生,9,120
分泌·排泄,人体·医药·卫生,9,75
社会关系,人类·社会,47,507
社交,人类·社会,45,500
生活·境遇,人类·社会,46,467
地位·品类,人类·社会,42,409
家族,人类·社会,31,386
人,人类·社会,29,329
出生·养育·丧葬,人类·社会,36,321
性爱·婚姻·家庭,人类·社会,36,301
人群·社会,人类·社会,22,204
社会状况,人类·社会,17,167
种植业,农业,38,294
农业(一般),农业,17,142
畜牧业,农业,12,71
水利,农业,8,66
养蚕·养蜂·打猎,农业,8,41
渔业,农业,7,34
林业,农业,5,33
时间,宇宙·地球,33,437
光·色,宇宙·地球,26,334
计时,宇宙·地球,20,290
气象,宇宙·地球,27,276
海洋·河流,宇宙·地球,28,237
陆地,宇宙·地球,26,224
宇宙,宇宙·地球,14,138
声,宇宙·地球,9,86
地球,宇宙·地球,10,83
方位,宇宙·地球,6,76
宗教,宗教·民间信仰,32,307
民间信仰,宗教·民间信仰,8,95
劳作·制造,工业·科技,36,413
工业,工业·科技,36,243
机器·设备·工具,工业·科技,25,188
科学·技术,工业·科技,32,185
言语(各种方式),思想·语言·信息,53,630
思想·思维,思想·语言·信息,49,568
言语(一般),思想·语言·信息,63,528
阅读·写作,思想·语言·信息,51,498
认识·知识·能力,思想·语言·信息,34,419
信息·通信·新闻,思想·语言·信息,44,350
书籍·出版,思想·语言·信息,36,310
语言·语法,思想·语言·信息,36,284
常用虚词,思想·语言·信息,22,262
行为·态度,感觉·情感·性格·行为,103,1126
情感,感觉·情感·性格·行为,75,1032
性格,感觉·情感·性格·行为,49,550
欲望·意愿,感觉·情感·性格·行为,22,241
表情,感觉·情感·性格·行为,26,232
心理·感觉,感觉·情感·性格·行为,28,227
战争,政治·法律·军事,66,718
行政,政治·法律·军事,40,477
罪行·刑罚,政治·法律·军事,46,465
国家·政府,政治·法律·军事,37,368
政治,政治·法律·军事,37,344
军事,政治·法律·军事,29,311
诉讼·审判·检察,政治·法律·军事,26,259
武器·装备,政治·法律·军事,23,241
法律(一般),政治·法律·军事,9,116
公安,政治·法律·军事,9,74
外交,政治·法律·军事,7,70
学校·教学,教育·文化·艺术·体育,50,338
戏剧·电影,教育·文化·艺术·体育,38,330
音乐·舞蹈,教育·文化·艺术·体育,28,259
文学,教育·文化·艺术·体育,27,253
体育,教育·文化·艺术·体育,29,233
美术·摄影,教育·文化·艺术·体育,24,194
娱乐·游戏,教育·文化·艺术·体育,14,96
文化,教育·文化·艺术·体育,14,85
教育,教育·文化·艺术·体育,8,66
曲艺·杂技,教育·文化·艺术·体育,8,46
数目·数量,数量,31,361
常用量词,数量,5,173
数学,数量,30,162
计量,数量,14,145
运动,物质·物体,40,503
形状,物质·物体,46,436
各种物质、物资,物质·物体,48,378
性质,物质·物体,28,326
变化,物质·物体,24,234
物品(一般),物质·物体,22,188
电·电器,物质·物体,16,104
物质·物体(一般),物质·物体,16,74
各类植物,生命·生物,16,310
植物(一般),生命·生物,15,180
动物形体、活动,生命·生物,17,133
生命·生物,生命·生物,18,122
哺乳动物,生命·生物,13,113
鸟类,生命·生物,10,63
动物(一般),生命·生物,8,55
鱼类·其他水生动物,生命·生物,10,49
昆虫,生命·生物,7,43
爬行动物·两栖动物,生命·生物,4,25
微生物,生命·生物,4,10
其他低等动物,生命·生物,6,9
商业,经济·商业·职业,49,431
财务·会计,经济·商业·职业,32,239
职业,经济·商业·职业,24,217
金融,经济·商业·职业,26,196
经济(一般),经济·商业·职业,23,117
财政,经济·商业·职业,11,84
对外贸易,经济·商业·职业,6,25
统计,经济·商业·职业,4,14
行动,行动·交通运输,38,391
移动,行动·交通运输,23,254
地方·场所,行动·交通运输,30,223
陆运,行动·交通运输,29,174
旅行,行动·交通运输,19,168
航运,行动·交通运输,23,167
道路,行动·交通运输,15,120
运输,行动·交通运输,9,65
航空·航天,行动·交通运输,8,42
财产,饮食·衣服·居住·财产,36,386
食物,饮食·衣服·居住·财产,31,283
家用器物,饮食·衣服·居住·财产,21,231
建筑物·建筑,饮食·衣服·居住·财产,24,223
衣服,饮食·衣服·居住·财产,28,212
饮食(一般),饮食·衣服·居住·财产,24,206
衣服制作·衣料,饮食·衣服·居住·财产,18,160
住宅·庭院·园林,饮食·衣服·居住·财产,20,149
食物制作·质量,饮食·衣服·居住·财产,19,146
饮食处所·用具,饮食·衣服·居住·财产,20,127
穿戴用品,饮食·衣服·居住·财产,10,96
饮料,饮食·衣服·居住·财产,12,67
烟·毒品,饮食·衣服·居住·财产,7,39
