parent_category,item,item_rank
颜色,金,264
颜色,白,308
颜色,色,328
颜色,红,513
颜色,青,521
颜色,黑,594
颜色,黄,628
颜色,彩,943
颜色,绿,1017
颜色,粉,1174
颜色,蓝,1195
颜色,朱,1204
颜色,丹,1269
颜色,灰,1415
颜色,颜,1526
颜色,紫,1618
颜色,赤,1751
颜色,苍,2116
颜色,色彩,2118
颜色,翠,2194
颜色,碧,2196
颜色,玄,2322
颜色,褐,2832
颜色,颜色,2850
颜色,橙,2925
颜色,彤,3066
颜色,光彩,4686
颜色,彩色,5148
颜色,苍白,5734
颜色,金黄,7808
颜色,大红,7874
颜色,本色,8996
颜色,漆黑,9792
颜色,洁白,9983
颜色,五彩,10052
颜色,雪白,10591
颜色,色泽,10750
颜色,通红,10913
颜色,鲜红,11949
颜色,粉红,12160
颜色,棕色,14508
颜色,变色,14974
颜色,灰白,15475
颜色,斑斓,16026
颜色,乌黑,16271
颜色,色素,16698
颜色,五彩缤纷,18150
颜色,碧绿,18344
颜色,黝黑,18455
颜色,五颜六色,18669
颜色,翠绿,19228
颜色,火红,19882
颜色,惨白,19889
颜色,血红,20326
颜色,紫红,20964
颜色,银白,21964
颜色,灰暗,22106
颜色,斑驳,22112
颜色,五色,22999
颜色,五光十色,23448
颜色,铁青,24502
颜色,湛蓝,26072
颜色,天蓝,26103
颜色,青翠,27120
颜色,花花绿绿,27805
颜色,朱红,27907
颜色,绿油油,29533
颜色,墨绿,29677
颜色,桃红,29907
颜色,葱白,30401
颜色,银灰,30416
颜色,绯红,30955
颜色,苍翠,31340
颜色,昏黄,31347
颜色,嫣红,31740
颜色,天青,32661
颜色,枯黄,32678
颜色,殷红,32854
颜色,焦黄,32924
颜色,嫩绿,33461
颜色,草绿,34008
颜色,橙黄,34439
颜色,青葱,34498
颜色,煞白,35128
颜色,青绿,35900
颜色,藏青,36423
颜色,橘红,37310
颜色,猩红,37428
颜色,葱绿,38462
颜色,枣红,39181
颜色,米黄,39410
颜色,焦黑,39917
颜色,蜡黄,40528
颜色,红彤彤,40657
颜色,米色,41136
颜色,古铜色,41882
颜色,土黄,42921
颜色,鹅黄,43352
颜色,赤红,44079
颜色,原色,44610
颜色,红扑扑,44803
颜色,红艳艳,44975
颜色,杏黄,46785
颜色,水绿,47507
颜色,黄澄澄,47778
颜色,杏红,48679
颜色,肉色,49545
