hanzi_id,hanzi,frequency_rank,pinyin_id,pinyin,pinyin_sn
1,的,1,1,de,1
1,的,1,2,dí,2
1,的,1,3,dì,3
1,的,1,4,dī,4
2,了,2,5,le,1
2,了,2,6,liǎo,2
3,是,3,7,shì,1
4,一,4,8,yī,1
5,在,5,9,zài,1
6,不,6,10,bù,1
7,我,7,11,wǒ,1
8,有,8,12,yǒu,1
9,人,9,13,rén,1
10,这,10,14,zhè,1
11,个,11,15,gè,1
12,他,12,16,tā,1
13,和,13,17,hé,1
13,和,13,18,huò,2
13,和,13,19,huó,3
13,和,13,20,hè,4
13,和,13,21,hú,5
14,中,14,22,zhōng,1
14,中,14,23,zhòng,2
15,来,15,24,lái,1
16,国,16,25,guó,1
17,上,17,26,shàng,1
17,上,17,27,shang,2
17,上,17,28,shǎng,3
18,大,18,29,dà,1
19,们,19,30,men,1
19,们,19,31,mén,2
20,要,20,32,yào,1
20,要,20,33,yāo,2
21,会,21,34,huì,1
21,会,21,35,kuài,2
22,为,22,36,wéi,1
22,为,22,37,wèi,2
23,就,23,38,jiù,1
24,到,24,39,dào,1
25,说,25,40,shuō,1
25,说,25,41,shuì,2
26,年,26,42,nián,1
27,你,27,43,nǐ,1
28,也,28,44,yě,1
29,以,29,45,yǐ,1
30,地,30,46,de,1
30,地,30,47,dì,2
31,生,31,48,shēng,1
32,时,32,49,shí,1
33,对,33,50,duì,1
34,出,34,51,chū,1
35,好,35,52,hǎo,1
35,好,35,53,hào,2
36,能,36,54,néng,1
37,发,37,55,fā,1
37,发,37,56,fà,2
38,可,38,57,kě,1
38,可,38,58,kè,2
39,都,39,59,dōu,1
39,都,39,60,dū,2
40,子,40,61,zǐ,1
40,子,40,62,zi,2
41,着,41,63,zhe,1
41,着,41,64,zháo,2
41,着,41,65,zhuó,3
41,着,41,66,zhāo,4
42,过,42,67,guò,1
42,过,42,68,guo,2
43,得,43,69,de,1
43,得,43,70,dé,2
43,得,43,71,děi,3
44,去,44,72,qù,1
45,家,45,73,jiā,1
45,家,45,74,jia,2
46,下,46,75,xià,1
46,下,46,76,xia,2
47,还,47,77,hái,1
47,还,47,78,huán,2
47,还,47,79,xuán,3
48,多,48,80,duō,1
49,那,49,81,nà,1
50,里,50,82,lǐ,1
50,里,50,83,li,2
51,学,51,84,xué,1
52,作,52,85,zuò,1
52,作,52,86,zuō,2
53,日,53,87,rì,1
54,看,54,88,kàn,1
54,看,54,89,kān,2
55,经,55,90,jīng,1
55,经,55,91,jìng,2
56,后,56,92,hòu,1
57,道,57,93,dào,1
58,行,58,94,xíng,1
58,行,58,95,háng,2
59,成,59,96,chéng,1
60,现,60,97,xiàn,1
61,没,61,98,méi,1
61,没,61,99,mò,2
62,自,62,100,zì,1
63,事,63,101,shì,1
64,天,64,102,tiān,1
65,开,65,103,kāi,1
66,么,66,104,me,1
67,用,67,105,yòng,1
68,小,68,106,xiǎo,1
69,工,69,107,gōng,1
70,而,70,108,ér,1
71,她,71,109,tā,1
72,于,72,110,yú,1
73,想,73,111,xiǎng,1
74,很,74,112,hěn,1
75,起,75,113,qǐ,1
76,第,76,114,dì,1
77,点,77,115,diǎn,1
78,业,78,116,yè,1
79,方,79,117,fāng,1
80,进,80,118,jìn,1
81,主,81,119,zhǔ,1
82,动,82,120,dòng,1
83,与,83,121,yǔ,1
83,与,83,122,yù,2
84,样,84,123,yàng,1
85,月,85,124,yuè,1
86,法,86,125,fǎ,1
87,民,87,126,mín,1
88,等,88,127,děng,1
89,同,89,128,tóng,1
90,把,90,129,bǎ,1
90,把,90,130,bà,2
91,面,91,131,miàn,1
92,但,92,132,dàn,1
93,实,93,133,shí,1
94,分,94,134,fēn,1
94,分,94,135,fèn,2
95,所,95,136,suǒ,1
96,心,96,137,xīn,1
97,新,97,138,xīn,1
98,定,98,139,dìng,1
99,部,99,140,bù,1
100,本,100,141,běn,1
101,如,101,142,rú,1
102,之,102,143,zhī,1
103,理,103,144,lǐ,1
104,全,104,145,quán,1
105,然,105,146,rán,1
106,前,106,147,qián,1
107,从,107,148,cóng,1
108,长,108,149,cháng,1
108,长,108,150,zhǎng,2
109,给,109,151,gěi,1
109,给,109,152,jǐ,2
110,些,110,153,xiē,1
111,当,111,154,dāng,1
111,当,111,155,dàng,2
112,两,112,156,liǎng,1
113,只,113,157,zhǐ,1
113,只,113,158,zhī,2
114,意,114,159,yì,1
115,高,115,160,gāo,1
116,种,116,161,zhòng,1
116,种,116,162,zhǒng,2
117,关,117,163,guān,1
118,力,118,164,lì,1
119,将,119,165,jiāng,1
119,将,119,166,jiàng,2
119,将,119,167,qiāng,3
120,者,120,168,zhě,1
121,公,121,169,gōng,1
122,重,122,170,zhòng,1
122,重,122,171,chóng,2
123,最,123,172,zuì,1
124,三,124,173,sān,1
125,产,125,174,chǎn,1
126,做,126,175,zuò,1
127,知,127,176,zhī,1
128,市,128,177,shì,1
129,十,129,178,shí,1
130,明,130,179,míng,1
131,问,131,180,wèn,1
132,情,132,181,qíng,1
133,被,133,182,bèi,1
134,电,134,183,diàn,1
135,因,135,184,yīn,1
136,加,136,185,jiā,1
137,其,137,186,qí,1
137,其,137,187,jī,2
138,体,138,188,tǐ,1
138,体,138,189,tī,2
139,文,139,190,wén,1
140,又,140,191,yòu,1
141,次,141,192,cì,1
142,机,142,193,jī,1
143,真,143,194,zhēn,1
145,间,145,195,jiān,1
145,间,145,196,jiàn,2
146,回,146,197,huí,1
147,政,147,198,zhèng,1
148,外,148,199,wài,1
149,话,149,200,huà,1
150,合,150,201,hé,1
150,合,150,202,gě,2
151,已,151,203,yǐ,1
152,手,152,204,shǒu,1
153,化,153,205,huà,1
154,正,154,206,zhèng,1
154,正,154,207,zhēng,2
155,展,155,208,zhǎn,1
156,建,156,209,jiàn,1
157,别,157,210,bié,1
157,别,157,211,biè,2
158,果,158,212,guǒ,1
159,儿,159,213,ér,1
160,老,160,214,lǎo,1
161,见,161,215,jiàn,1
161,见,161,216,xiàn,2
162,表,162,217,biǎo,1
163,美,163,218,měi,1
164,名,164,219,míng,1
165,社,165,220,shè,1
166,让,166,221,ràng,1
167,无,167,222,wú,1
168,二,168,223,èr,1
169,制,169,224,zhì,1
170,西,170,225,xī,1
171,内,171,226,nèi,1
172,场,172,227,chǎng,1
172,场,172,228,cháng,2
173,员,173,229,yuán,1
173,员,173,230,yún,2
174,报,174,231,bào,1
175,水,175,232,shuǐ,1
176,元,176,233,yuán,1
177,应,177,234,yīng,1
177,应,177,235,yìng,2
178,走,178,236,zǒu,1
179,向,179,237,xiàng,1
180,女,180,238,nǚ,1
181,头,181,239,tóu,1
181,头,181,240,tou,2
182,性,182,241,xìng,1
183,比,183,242,bǐ,1
184,相,184,243,xiāng,1
184,相,184,244,xiàng,2
185,再,185,245,zài,1
186,利,186,246,lì,1
187,教,187,247,jiāo,1
187,教,187,248,jiào,2
188,活,188,249,huó,1
189,打,189,250,dǎ,1
189,打,189,251,dá,2
190,位,190,252,wèi,1
191,并,191,253,bìng,1
191,并,191,254,bīng,2
192,它,192,255,tā,1
193,特,193,256,tè,1
194,车,194,257,chē,1
194,车,194,258,jū,2
195,各,195,259,gè,1
195,各,195,260,gě,2
196,先,196,261,xiān,1
197,使,197,262,shǐ,1
198,己,198,263,jǐ,1
199,题,199,264,tí,1
200,由,200,265,yóu,1
201,代,201,266,dài,1
202,该,202,267,gāi,1
203,记,203,268,jì,1
204,系,204,269,jì,1
204,系,204,270,xì,2
205,太,205,271,tài,1
206,物,206,272,wù,1
207,总,207,273,zǒng,1
208,区,208,274,qū,1
209,度,209,275,dù,1
209,度,209,276,duó,2
210,提,210,277,tí,1
211,通,211,278,tōng,1
211,通,211,279,tòng,2
212,东,212,280,dōng,1
213,平,213,281,píng,1
214,常,214,282,cháng,1
215,信,215,283,xìn,1
216,此,216,284,cǐ,1
217,感,217,285,gǎn,1
218,今,218,286,jīn,1
219,门,219,287,mén,1
220,爱,220,288,ài,1
221,解,221,289,jiě,1
221,解,221,290,jiè,2
221,解,221,291,xiè,3
222,入,222,292,rù,1
223,安,223,293,ān,1
224,资,224,294,zī,1
225,保,225,295,bǎo,1
226,干,226,296,gān,1
226,干,226,297,gàn,2
227,万,227,298,wàn,1
228,认,228,299,rèn,1
229,结,229,300,jié,1
229,结,229,301,jiē,2
230,及,230,302,jí,1
231,身,231,303,shēn,1
232,更,232,304,gèng,1
232,更,232,305,gēng,2
233,义,233,306,yì,1
234,任,234,307,rèn,1
234,任,234,308,rén,2
235,放,235,309,fàng,1
236,北,236,310,běi,1
237,才,237,311,cái,1
238,目,238,312,mù,1
239,务,239,313,wù,1
240,几,240,314,jǐ,1
240,几,240,315,jī,2
241,海,241,316,hǎi,1
242,四,242,317,sì,1
243,品,243,318,pǐn,1
244,世,244,319,shì,1
245,快,245,320,kuài,1
246,斯,246,321,sī,1
247,立,247,322,lì,1
248,济,248,323,jì,1
248,济,248,324,jǐ,2
249,气,249,325,qì,1
250,听,250,326,tīng,1
251,期,251,327,qī,1
252,设,252,328,shè,1
253,路,253,329,lù,1
254,科,254,330,kē,1
255,强,255,331,qiáng,1
255,强,255,332,qiǎng,2
255,强,255,333,jiàng,3
256,或,256,334,huò,1
257,少,257,335,shǎo,1
257,少,257,336,shào,2
258,管,258,337,guǎn,1
259,告,259,338,gào,1
260,原,260,339,yuán,1
261,量,261,340,liàng,1
261,量,261,341,liáng,2
262,思,262,342,sī,1
263,队,263,343,duì,1
264,金,264,344,jīn,1
265,受,265,345,shòu,1
266,口,266,346,kǒu,1
267,接,267,347,jiē,1
268,基,268,348,jī,1
269,像,269,349,xiàng,1
270,啊,270,350,a,1
270,啊,270,351,à,2
270,啊,270,352,ā,3
270,啊,270,353,á,4
270,啊,270,354,ǎ,5
271,军,271,355,jūn,1
272,处,272,356,chǔ,1
272,处,272,357,chù,2
273,件,273,358,jiàn,1
274,计,274,359,jì,1
275,直,275,360,zhí,1
276,变,276,361,biàn,1
277,论,277,362,lùn,1
277,论,277,363,lún,2
278,吧,278,364,ba,1
278,吧,278,365,bā,2
279,呢,279,366,ne,1
279,呢,279,367,ní,2
279,呢,279,368,nī,3
280,候,280,369,hòu,1
281,书,281,370,shū,1
282,决,282,371,jué,1
283,农,283,372,nóng,1
284,组,284,373,zǔ,1
285,觉,285,374,jiào,1
285,觉,285,375,jué,2
286,改,286,376,gǎi,1
287,克,287,377,kè,1
288,党,288,378,dǎng,1
289,交,289,379,jiāo,1
290,术,290,380,shù,1
291,山,291,381,shān,1
292,五,292,382,wǔ,1
293,吃,293,383,chī,1
294,带,294,384,dài,1
295,办,295,385,bàn,1
296,战,296,386,zhàn,1
297,条,297,387,tiáo,1
298,统,298,388,tǒng,1
299,死,299,389,sǐ,1
300,华,300,390,huá,1
300,华,300,391,huà,2
301,非,301,392,fēi,1
302,完,302,393,wán,1
303,程,303,394,chéng,1
304,马,304,395,mǎ,1
305,导,305,396,dǎo,1
306,界,306,397,jiè,1
307,难,307,398,nán,1
307,难,307,399,nàn,2
308,白,308,400,bái,1
309,共,309,401,gòng,1
310,许,310,402,xǔ,1
311,求,311,403,qiú,1
312,治,312,404,zhì,1
313,据,313,405,jù,1
314,收,314,406,shōu,1
315,每,315,407,měi,1
316,形,316,408,xíng,1
317,象,317,409,xiàng,1
318,数,318,410,shǔ,1
318,数,318,411,shù,2
318,数,318,412,shuò,3
318,数,318,413,cù,4
319,张,319,414,zhāng,1
320,领,320,415,lǐng,1
321,至,321,416,zhì,1
322,持,322,417,chí,1
323,指,323,418,zhǐ,1
324,边,324,419,biān,1
325,院,325,420,yuàn,1
326,反,326,421,fǎn,1
327,住,327,422,zhù,1
328,色,328,423,sè,1
329,叫,329,424,jiào,1
330,达,330,425,dá,1
331,联,331,426,lián,1
332,需,332,427,xū,1
333,南,333,428,nán,1
334,找,334,429,zhǎo,1
335,声,335,430,shēng,1
336,委,336,431,wěi,1
336,委,336,432,wēi,2
337,运,337,433,yùn,1
338,吗,338,434,ma,1
338,吗,338,435,má,2
338,吗,338,436,mǎ,3
339,神,339,437,shén,1
340,京,340,438,jīng,1
341,何,341,439,hé,1
342,司,342,440,sī,1
343,尔,343,441,ěr,1
344,式,344,442,shì,1
345,级,345,443,jí,1
346,议,346,444,yì,1
347,拉,347,445,lā,1
347,拉,347,446,lá,2
347,拉,347,447,là,3
348,望,348,448,wàng,1
349,风,349,449,fēng,1
350,亲,350,450,qīn,1
351,必,351,451,bì,1
352,调,352,452,diào,1
352,调,352,453,tiáo,2
353,怎,353,454,zěn,1
354,技,354,455,jì,1
355,跟,355,456,gēn,1
356,光,356,457,guāng,1
357,友,357,458,yǒu,1
358,服,358,459,fú,1
358,服,358,460,fù,2
359,企,359,461,qǐ,1
360,近,360,462,jìn,1
361,取,361,463,qǔ,1
362,却,362,464,què,1
363,命,363,465,mìng,1
364,确,364,466,què,1
365,流,365,467,liú,1
366,师,366,468,shī,1
367,始,367,469,shǐ,1
368,商,368,470,shāng,1
369,观,369,471,guān,1
369,观,369,472,guàn,2
370,请,370,473,qǐng,1
371,质,371,474,zhì,1
372,德,372,475,dé,1
373,规,373,476,guī,1
374,步,374,477,bù,1
375,格,375,478,gé,1
376,钱,376,479,qián,1
377,清,377,480,qīng,1
378,百,378,481,bǎi,1
379,识,379,482,shí,1
379,识,379,483,zhì,2
380,传,380,484,chuán,1
380,传,380,485,zhuàn,2
381,眼,381,486,yǎn,1
382,城,382,487,chéng,1
383,证,383,488,zhèng,1
384,造,384,489,zào,1
385,育,385,490,yù,1
386,省,386,491,shěng,1
386,省,386,492,xǐng,2
387,广,387,493,guǎng,1
388,单,388,494,dān,1
388,单,388,495,chán,2
389,台,389,496,tái,1
389,台,389,497,tāi,2
390,影,390,498,yǐng,1
391,则,391,499,zé,1
392,转,392,500,zhuǎn,1
392,转,392,501,zhuàn,2
392,转,392,502,zhuǎi,3
393,笑,393,503,xiào,1
394,际,394,504,jì,1
395,选,395,505,xuǎn,1
396,增,396,506,zēng,1
397,深,397,507,shēn,1
398,准,398,508,zhǔn,1
399,精,399,509,jīng,1
400,乐,400,510,lè,1
400,乐,400,511,yuè,2
401,谈,401,512,tán,1
402,花,402,513,huā,1
403,查,403,514,chá,1
404,孩,404,515,hái,1
405,集,405,516,jí,1
406,根,406,517,gēn,1
407,晚,407,518,wǎn,1
408,士,408,519,shì,1
409,切,409,520,qiē,1
409,切,409,521,qiè,2
410,网,410,522,wǎng,1
411,离,411,523,lí,1
