rank,sn,cihui,pinyin,ref_hanzi,ref_pinyin,pos,definition,example
4,1,我们,wǒmen,,,代,“我”的复数形式，称包括自己在内的若干人。,我们那口子挺会心疼人的。｜这就是我们要提出的问题。
4,2,我们,wǒmen,,,代,代指“我”,
4,3,我们,wǒmen,,,代,含有亲昵色彩，用于口语。,我们那口子挺会心疼人的。
4,4,我们,wǒmen,,,代,含委婉语气，多用于报告或论文中。,这就是我们要提出的问题。
4,5,我们,wǒmen,,,代,代指“你们”或“你”，含亲切意味。,同志们，我们一定要注意安全。
22,1,什么,shénme,,,代,指事物或人,你叫什么名字?｜她是你的什么人?｜你有什么事?
22,2,什么,shénme,,,代,表示疑问,你叫什么名字?｜她是你的什么人?｜你有什么事?
22,3,什么,shénme,,,代,表示不确定的事物,随便吃点儿什么｜外面好像有什么声音｜我没有什么不放心的。
22,4,什么,shénme,,,代,用在“都” “也”前，表示在所说的范围内没有例外,金刚石比什么金属都硬｜什么困难也吓不倒我们。
22,5,什么,shénme,,,代,两个“什么”连用，表示前者决定后者,有什么就吃什么｜你要什么样的鞋，我就给你买什么样的。
22,6,什么,shénme,,,代,表示惊讶,什么!都8点了?
22,7,什么,shénme,,,代,表示不同意、不满意或不以为然,看什么电视，还不快做功课｜嚷什么!大家都睡了｜这是什么玩意儿!
22,8,什么,shénme,,,代,用在并列成分前，表示列举不尽,什么花呀，草呀，种了一院子。
50,1,同时,tóngshí,,,名,相同的时间；同一个时候,她在做饭的同时，还背诵英语单词。
50,2,同时,tóngshí,,,动,在同一时间,这两家公司的起步几乎同时｜两人抢答并不同时。
50,3,同时,tóngshí,,,连,连接两个分句、句子或段落，表示并列关系,个子长高了，同时性格也更开朗了。
50,4,同时,tóngshí,,,连,连接两个分句、句子或段落，表示递进关系，相当于“并且”,秦兵马俑是中国艺术殿堂中的瑰宝，同时也是世界艺术宝库中的珍品。
327,1,下来,xiàlái,,,动,指位置向说话人这边变换,刚从楼上下来
327,2,下来,xiàlái,,,动,从高处来,刚从楼上下来
327,3,下来,xiàlái,,,动,从上级部门来,从省里下来的领导
327,4,下来,xiàlái,,,动,从前方来,从火线上下来
327,5,下来,xiàlái,,,动,轮换过来,他下来就该轮到你了
327,6,下来,xiàlái,,,动,农作物成熟并收获,谷子快下来了
327,7,下来,xiàlái,,,动,表示一段时间终结,一年下来，盈余不少
327,8,下来,xiàlái,,,动,用在动词后，表示动作、行为向着说话人的位置或动作的持续、完成,沿着河边走下来｜从历史上传下来
327,9,下来,xiàlái,,,动,用在形容词后，表示某种状态开始出现并会继续发展,教室刚刚安静下来｜车速慢了下来
351,1,或者,huòzhě,,,副,或许；也许,你快进屋看看，或者她还没走。
351,2,或者,huòzhě,,,连,连接词、短语或分句。表示选择关系,这个会或者老赵去或者小吴去，都可以。
351,3,或者,huòzhě,,,连,连接词、短语或分句。表示几种情况同时发生或交替发生,许多人在广场上或者照相，或者放风筝，或者散步。
351,4,或者,huòzhě,,,连,连接词、短语或分句。表示等同关系,我们都叫他老李或者李老头儿。
624,1,下去,xiàqù,,,动,指离开说话人所在的位置,楼下有人喊，你快下去。
624,2,下去,xiàqù,,,动,到低处去,楼下有人喊，你快下去。
624,3,下去,xiàqù,,,动,到下级或基层去,派人下去调查此事。
624,4,下去,xiàqù,,,动,到后方去,二排下去，三排上来。
624,5,下去,xiàqù,,,动,下面轮到,下去就是你了
624,6,下去,xiàqù,,,动,表示事物从有到无,肿块下去了
624,7,下去,xiàqù,,,动,用在动词后,砖掉下去了｜把这些文件发下去。
624,8,下去,xiàqù,,,动,表示动作由高到低；由上到下等,砖掉下去了｜把这些文件发下去。
624,9,下去,xiàqù,,,动,表示动作继续进行,你接着讲下去
624,10,下去,xiàqù,,,动,表示某种状态已经存在并将继续发展,人一天天瘦下去怎么得了!
