rank,sn,hanzi,pinyin,ref_hanzi,ref_pinyin,pos,definition,example
1,1,的,de,,,助,用在作定语的词或短语后面,我的书｜镀金的首饰｜幸福的童年
1,2,的,de,,,助,表示对中心语的领属关系，对事物的性质、属性、范围等加以限定,我的书｜镀金的首饰｜幸福的童年
1,3,的,de,,,助,表示对中心语加以描写,蓝蓝的天｜愁眉苦脸的样子
1,4,的,de,,,助,用在名词、动词或形容词后面，构成名词性的“的”字结构,北京的、上海的都来了｜有大的、小的、中不溜儿的｜说的比的唱的还好听。
1,5,的,de,,,助,用在句末，表示肯定的语气或已然的语气,你这样做是行不通的｜老王什么时候走的?
1,6,的,de,,,助,用在某些句子的动词和宾语之间，强调动作的施事者、受事者或时间、地点、方式等,主任签的字｜回来坐的飞机｜他昨天夜里犯的病｜我在上海念的中学。
1,7,的,dī,,,名,的士,打的
1,8,的,dì,,,名,箭靶的中心,众矢之的｜有的放矢｜一语破的｜目的
1,9,的,dí,,,形,确实；实在,的证（确凿的证据）｜的确
3,1,是,shì,,,代,〈文〉表示近指，相当于“这” “这个” “这样”,是可忍，孰不可忍!｜如是
3,2,是,shì,,,代,〈文〉复指前置宾语,唯利是图｜唯才是举
3,3,是,shì,,,动,联系两种事物。表示等同、归类或领属,《红楼梦》的作者是曹雪芹｜李白是唐朝人｜这本书是我的
3,4,是,shì,,,动,联系两种事物。表示解释或描述,人家是丰年，我们是歉年｜刘老师是近视眼
3,5,是,shì,,,动,联系两种事物。跟“的”构成“是……的”格式，表示强调,他的手艺是很高超的｜我是不会干这种事的。
3,6,是,shì,,,动,联系两种事物。表示存在,沿街是一排商店｜屋子里全是人
3,7,是,shì,,,动,联系相同的两个词语。连用两次这样的格式，表示不含糊、够标准或两种事物不能混淆,这姑娘打扮得多漂亮，头是头，脚是脚｜丁是丁，卯是卯｜说是说，做是做
3,8,是,shì,,,动,联系相同的两个词语。单用这种格式，表示强调事物的客观性,不懂就是不懂，不要装懂｜事实总是事实
3,9,是,shì,,,动,联系相同的两个词语。单用这种格式，表示让步，含有“虽然”的意思,朋友是朋友，原则还得坚持｜东西好是好，就是太贵。
3,10,是,shì,,,动,联系相同的两个词语。联系两个相同的数量结构，用在动词后，含有“算作”的意思，表示不考虑其他,走一步是一步｜给多少是多少
3,11,是,shì,,,动,用于名词前，含有“适合”的意思,你来得正是时候｜这柜子放得不是地方。
3,12,是,shì,,,动,用于名词前，含有“凡是”的意思,是学生就应该好好学习｜是活儿他都肯干
3,13,是,shì,,,动,用于形容词或动词性的谓语前，“是”重读，表示坚决肯定，含有“的确” “实在”的意思,这间房子是太小｜他见解是高明｜我是有事，不是偷懒。
3,14,是,shì,,,动,用于句首，加重语气,是父母把我们养育大的｜是下雨了，我不骗你。
3,15,是,shì,,,动,用于选择问句、是非问句或反问句,你是喝啤酒，还是喝白酒?｜他是走了不是?｜他不是来了吗?
3,16,是,shì,,,形,正确（跟“非”相对）,你说得是｜一无是处｜似是而非｜你要检点一些才是。
3,17,是,shì,,,名,指正确的论断或肯定的结论,实事求是｜莫衷一是｜各行其是
3,18,是,shì,,,动,〈文〉认为正确；肯定,是古非今｜深是其言
3,19,是,shì,,,动,表示肯定或答应（常单用）,是，我明白｜是，我马上就办
3,20,是,shì,,,名,姓,
6,1,不,bù,,,副,用在动词、形容词、名词或个别副词之前，表示否定,不走｜不吃｜不漂亮｜不太好｜不一定
6,2,不,bù,,,副,用在相同的动词或形容词之间，构成反复问句,走不走?｜漂亮不漂亮?
6,3,不,bù,,,副,用在相同的动词、形容词或名词之间（前面加“什么”），表示不在乎或不相干,什么谢不谢的，别提这个｜什么难不难，只要下工夫就不难｜什么山区不山区，去哪都行
6,4,不,bù,,,副,分别用在两个意思相近或相对的单音节动词、形容词或名词前，表示“如果不……就不……” “既不……也不……”，或表示处于中间状态,不见不散｜不言不语｜不多不少｜不男不女
