definition_id,hanzi,pinyin,pos,definition_cn,example_cn
111,的,dì,名词,箭靶的中心部位,我们的目的是为了更好地服务大家。
121,的,dí,形容词,表示真实或确实,这位老者的言行举止都透露着的的确确的智慧。
131,的,de,助词,用于定语之后，表示修饰关系,军队必须要有铁的纪律才能打胜仗。
132,的,de,助词,构成名词性结构，相当于名词短语,桌子上摆着红的、黄的、绿的各种颜色的水果。
133,的,de,助词,用于谓语动词后，强调动作的执行者或相关要素,谁买的这本书？
134,的,de,助词,用于陈述句末尾，表示肯定语气,你放心，这件事我一定会帮你解决的。
135,的,de,助词,用于同类词或词组后，表示列举未尽,破铜烂铁的，他捡来一大筐，准备卖掉换钱。
136,的,de,助词,用于两个数量词之间,这间屋子是五米的三米，合十五平方米，足够一个人居住。
231,一,yī,数词,数字1，最小的正整数。,他只用了一分钟就解出了这道复杂的数学题。
232,一,yī,形容词,相同的；没有区别的。,对待所有学生应该一视同仁，不分彼此。
233,一,yī,形容词,另外的；不同的。,番茄一名西红柿，是一种非常常见的蔬菜。
234,一,yī,形容词,全部的；整个的。,这个村庄整个一冬都被大雪覆盖。
235,一,yī,形容词,专心致志的；不分散的。,他一心一意地专注于自己的事业。
236,一,yī,副词,表示动作短暂或尝试性。,走了一天路，我们决定歇一歇再继续前进。
237,一,yī,副词,用于动词前，表示先做某个动作。,他一跳跳了过去，轻松越过了那道障碍。
238,一,yī,连词,表示条件关系，相当于“如果”。,一失足成千古恨，他后悔自己当初的选择。
239,一,yī,助词,用于加强语气。,他的进步一何速也，令人刮目相看。
240,一,yī,名词,中国民族音乐音阶上的一级，乐谱上用作记音符号，相当于简谱的'1'。,这首曲子以“宫商角徵羽”五音为基础，一音一调都恰到好处。
311,是,shì,形容词,正确的,这个人一无是处，做什么都不成功。
312,是,shì,动词,赞同某种观点,有些人总是喜欢是古非今，认为过去的一切都比现在好。
313,是,shì,其他,表示肯定的回答,是，我知道这件事情的来龙去脉。
314,是,shì,名词,姓氏,是先生是我们学校的校长，大家都非常尊敬他。
315,是,shì,代词,指示代词，指代当前事物,如是，我便不再多问了。
316,是,shì,动词,表示两者相同或后者说明前者属性,这本书是我最喜欢的生日礼物，因为它充满了知识。
317,是,shì,动词,用于分类说明,这张桌子是石头的，看起来非常坚固耐用。
318,是,shì,动词,表示主语的状态,他是一片好心，总是愿意帮助别人。
319,是,shì,动词,表示某处存在某物,村子前面是一片水田，每到夏天都会种满绿油油的稻谷。
320,是,shì,动词,强调不同事物的区别,去年是去年，今年是今年，你当年年一个样哪！时间在变，你也应该有所改变。
321,是,shì,动词,表示让步关系,诗是好诗，就是长了点，读起来需要耐心。
322,是,shì,其他,用于强调语气,是谁告诉你的？这个问题让我很好奇。
323,是,shì,其他,表示全部或每一个,是有利于群众的事情他都肯干，这种精神值得我们学习。
324,是,shì,助词,用于名词前，表示‘合适’或‘恰当’,他想的很是路，总能找到解决问题的办法。
325,是,shì,助词,用于选择问句、是非问句或反问句中,你是吃米饭是吃面？今天咱们就来个简单的选择吧。
326,是,shì,副词,（需重读）表示强烈肯定，意为‘的确、实在’,我打听清楚了，他那天是没去，这让我松了一口气。
421,不,bù,副词,用于动词、形容词前表示否定,不去就不去吧，反正也没什么重要的事情。
422,不,bù,形容词,加在名词前构成形容词,不法行为必须受到法律的严惩，这样才能维护社会的公平正义。
423,不,bù,副词,单独使用表示否定回答,他知道吗？——不，他不知道。这件事还是不要告诉他比较好。
424,不,bù,助词,方言中用于句末表示疑问,他现在身体好不？如果不好，我们应该去看看他。
425,不,bù,副词,表示动作不可能完成,拿不动就别勉强了，我们可以找别人帮忙。
426,不,bù,副词,重复使用表示不在乎,什么累不累的，有工作就得做，这才是负责任的态度。
427,不,bù,连词,与'就'连用表示选择,晚上他不是看书，就是写文章，生活过得非常充实。
428,不,bù,副词,方言中表示'不用',不谢，这是我应该做的，大家都是朋友嘛。
511,了,le,助词,表示动作完成的助词,这个小组受到了表扬，因为他们的表现非常出色。
512,了,le,助词,表示情况变化的句末助词,天突然阴沉下来，不一会儿就下雨了。
521,了,liǎo,动词,完成或结束,这件事情终于了结，大家都松了一口气。
522,了,liǎo,动词,表示可能性的动词补语,这点小事你一定办得了，我相信你的能力。
523,了,liǎo,副词,完全（否定）,这两件事情完全了不相涉，不能混为一谈。
524,了,liǎo,动词,理解或知晓,听了他的解释，我心里顿时了然，不再纠结。
611,在,zài,动词,存在；活着,虽然他已经离开了，但他的精神永在我们心中。
612,在,zài,动词,表示人或事物所处的位置,我今天晚上不在厂里，有事可以打电话找我。
613,在,zài,动词,停留于某处,他目前在职，工作非常忙碌。
614,在,zài,动词,属于或加入某个组织,作为一名党员，他始终牢记自己在党旗下的誓言。
615,在,zài,动词,取决于；关键在于,事在人为，只要努力，总会有希望。
616,在,zài,动词,与“所”连用表示强调,为了完成任务，即使困难重重，他也表示在所不辞。
617,在,zài,介词,表示时间、地点或范围,这件事情发生在去年，至今让人记忆犹新。
618,在,zài,副词,表示动作正在进行,风在刮，雨在下，这样的天气让人感到格外寒冷。
721,有,yǒu,动词,拥有或持有,我有《鲁迅全集》，可以借给你阅读。
722,有,yǒu,动词,表示某物存在,屋里有十来个人，正在热烈地讨论着什么。
723,有,yǒu,动词,用于比较或估计,这条河的水有一丈多深，非常危险。
724,有,yǒu,动词,表示事件发生或出现,他有病了，所以今天没能来参加会议。
725,有,yǒu,动词,表示数量多或程度大,这位老师非常有学问，学生们都很敬佩他。
726,有,yǒu,动词,泛指某些人或事物,有一天他来了，带来了许多有趣的故事。
727,有,yǒu,动词,表示部分人或事物,"有人性子急,有人性子慢，这是很常见的性格差异。"
728,有,yǒu,动词,用于礼貌用语中,有劳您帮忙处理一下这个问题。
729,有,yǒu,前缀,用于某些朝代名称前,有夏这个季节总是让人感到炎热难耐。
811,人,rén,名词,能制造和使用工具的高等动物,男人通常被认为应该更加坚强和果断。
812,人,rén,名词,泛指所有人,这次活动要求人手一册，确保每个人都能参与其中。
813,人,rén,名词,成年个体,经过多年的努力，他终于长大成人。
814,人,rén,名词,特定类别的人群,工人是社会建设的重要力量。
815,人,rén,代词,除自己外的其他人,做人不能人云亦云，要有自己的独立思考。
816,人,rén,名词,人的品性、性格或名声,他的行为让家人感到非常丢人。
817,人,rén,名词,人的身体状况或意识状态,这两天人不大舒服，可能是感冒了。
818,人,rén,名词,人力资源或人才,公司里人浮于事的现象导致效率低下。
911,这,zhè,代词,指示较近的人或事物,这本杂志的内容非常丰富，涵盖了多个领域。
912,这,zhè,代词,指当前的时间,他这才知道运动的好处，决定以后每天坚持锻炼。
921,这,zhèi,代词,“这”的口语发音,这孩子从小就特别聪明，学什么都很快。
1011,上,shǎng,名词,上声的发音,在汉语的四声中，上声的调值是先降后升。
1021,上,shàng,动词,从低处向高处移动,他们费了好大的劲才爬上山顶。
1022,上,shàng,动词,达到预期目标,出门前记得锁上门，以免发生意外。
1023,上,shàng,动词,动作开始并持续,自从她爱上了农村，便决定在那里定居下来。
1031,上,shang,助词,表示物体表面的方位,她的脸上洋溢着幸福的笑容。
1032,上,shang,助词,表示在某个范围内,他在会上提出了一个重要的建议。
1033,上,shang,助词,表示某个方面,组织上已经对这件事情做出了明确的安排。
1034,上,shàng,形容词,处于较高位置,这本书的上部主要讲述了主人公的童年生活。
1035,上,shàng,形容词,质量或等级较高,这是一份上等的茶叶，香气扑鼻。
1036,上,shàng,形容词,时间或顺序在前,请把书的上卷拿给我，我要查阅其中的内容。
1037,上,shàng,名词,古代对帝王的称呼,皇帝颁布了一道上谕。
1038,上,shàng,动词,朝向上方,公司要求所有员工必须按时上缴工作报告。
1039,上,shàng,动词,由低处升至高处,周末我们一起去上山采蘑菇。
1040,上,shàng,动词,前往某地,今天天气很好，我打算上街买些水果。
1041,上,shàng,动词,提交给上级,他决定上书给有关部门反映问题。
1042,上,shàng,动词,向前进,老张快上，投篮！这是一个关键的得分机会。
1043,上,shàng,动词,登台表演或出场,这一场戏，你应该从左边的旁门上，这样更符合剧情安排。
1044,上,shàng,动词,将饭菜等摆放到桌上,服务员，请给我们上饭，我们都饿了。
1045,上,shàng,动词,补充或增加,船员们正在为船只上水做准备。
1046,上,shàng,动词,安装或固定物品,士兵们接到命令后迅速上刺刀，准备冲锋。
1047,上,shàng,动词,涂;搽,孩子们正在用彩笔给画上颜色。
1048,上,shàng,动词,登载,这件事已经上报给领导，等待进一步指示。
1049,上,shàng,动词,旋紧或拧紧,他每天都会在清晨练习上弦，以保持弓箭的状态。
1050,上,shàng,动词,开始工作或学习,明天我要早起上班，所以今晚得早点休息。
1051,上,shàng,动词,达到（一定数量或程度）,这次活动吸引了上百人参加，场面非常热闹。
1052,上,shàng,名词,汉语四声中的第三声,平上去入是古代汉语四声的基本分类。
1053,上,shàng,名词,中国民族音乐音阶上的一级，乐谱上用做记音符号，相当于简谱的‘1’。,在民族音乐中，'上'这个音阶相当于简谱中的'1'。
1111,大,dài,名词,同“大”（dà），用于特定词语,这位医生是一位经验丰富的大夫，擅长治疗各种疾病。
1121,大,dà,形容词,体积、规模等超过一般标准,这栋房子大得惊人，足足有五百平方米。
1122,大,dà,名词,物体的大小程度,那间房子有这间两个大，显得格外宽敞。
1123,大,dà,形容词,程度深,墙上挂着一幅大红的中国结。
1124,大,dà,副词,用于“不”后表示程度轻,他性格内向，不大爱说话。
1125,大,dà,形容词,排行第一的,他是家里的老大，承担了很多责任。
1126,大,dà,名词,成年人,一家大小都围坐在餐桌旁吃饭。
1127,大,dà,形容词,敬辞，指对方相关事物,请问尊姓大名？
1128,大,dà,形容词,用于强调时令或节日,大清早他就出门锻炼了。
1129,大,dà,名词,姓氏,大先生是我们学校最受尊敬的老教授。
1130,大,dà,名词,父亲,俺大叫我来看看你，有没有需要帮忙的地方。
1131,大,dà,名词,伯父或叔父,三大是一个劳动英雄，大家都很敬佩他。
1211,来,lái,动词,用于动词后，表示动作朝向说话人所在的方向,把锄头拿来，我要去田里干活了。
1212,来,lái,动词,用于动词后，表示动作的结果或估计,他信笔写来，一幅优美的书法作品就完成了。
1213,来,lái,动词,从别处移动至说话人所在位置（与“去”相对）,明天我表哥要从上海来北京参加我的婚礼。
1214,来,lái,动词,（问题、事件等）出现；发生,问题来了，我们该如何解决呢？
1215,来,lái,动词,代替具体动词，表示进行某个动作,他做事总是胡来，让人很头疼。
1216,来,lái,动词,与“得”或“不”连用，表示可能性,他们俩很谈得来，经常一起聊天。
1217,来,lái,动词,用于动词前，表示将要做某事,你来念一遍这篇文章，看看有没有读错的地方。
1218,来,lái,动词,用于动词后，表示来做某事的目的,我们贺喜来了，祝你们新婚快乐！
1219,来,lái,动词,连接两个动词结构，前者表示方式，后者表示目的,他摘了一个荷叶来当雨伞，真是聪明。
1220,来,lái,动词,用于句末，表示过去发生的事情,这话我多会儿说来？我已经记不清了。
1221,来,lái,形容词,即将到来的；下一个的,来年春天，我们计划种更多的花。
1222,来,lái,副词,从过去延续到现在,他从来不说谎，是个值得信赖的人。
1223,来,lái,助词,用于数字后表示大概数量,这次出差大概需要十来天。
1224,来,lái,助词,用于列举原因或论点,"他这次进城,一来是汇报工作,二来是修理机器,三来是采购图书。"
1225,来,lái,名词,姓氏,来教授是我们学校最受学生欢迎的老师之一。
1226,来,lái,助词,用作民歌、俗语中的衬字,正月里来是新春，家家户户都忙着准备过年。
1311,和,hè,动词,和谐地跟着唱,这首曲子曲高和寡，能欣赏的人不多。
1312,和,hè,动词,依照他人诗词的题材和体裁创作,他写了一首诗，朋友奉和一首。
1321,和,hú,动词,麻将中完成牌型获胜,爷爷今天手气特别好，已经连和了三把麻将。
1331,和,huó,动词,将粉末与液体混合揉捏,她正在厨房和面，准备包饺子。
1341,和,huò,动词,混合粉末或加水稀释,中医正在和药，为病人配制中药。
1351,和,hé,形容词,温和不激烈,他的性格非常温和，大家都喜欢和他相处。
1352,和,hé,形容词,相处融洽,在困难时期，我们需要和衷共济，共同渡过难关。
1353,和,hé,动词,结束战争或争执,两国经过谈判最终达成讲和协议。
1354,和,hé,动词,比赛不分胜负,这场比赛双方实力相当，最终以和棋告终。
1355,和,hé,名词,姓氏,和老师是我们班最受欢迎的老师之一。
1356,和,hé,动词,连带,他把事情的来龙去脉和盘托出，毫无隐瞒。
1357,和,hé,介词,表示关联或比较,他和大家讲他过去的经历，大家都听得津津有味。
1358,和,hé,连词,表示并列关系,工人和农民都是国家的主人，他们的贡献不可忽视。
1359,和,hé,名词,数学加法运算的结果,这道数学题的和是25，你能算出两个加数吗？
1360,和,hé,量词,洗涤或煎药的次数,这件衣裳已经洗了三和，还是没有洗干净。
1361,和,hé,名词,日本的简称,她穿着一件漂亮的和服，吸引了众人的目光。
1411,我,wǒ,代词,第一人称代词，指自己。,我今天早上忘记带书包了，真是粗心。
1412,我,wǒ,代词,指代自身。,自我意识的觉醒让他更加清楚自己的目标。
1521,个,gè,量词,量词，用于没有专用量词的名词（部分名词也可用此量词替代专用量词）,篮子里有三个苹果，看起来都很新鲜。
1522,个,gè,形容词,单独的,这个问题的答案需要你独立思考。
1523,个,gè,量词,量词“些”的后缀,那些个花儿开得真漂亮，吸引了许多蜜蜂。
1524,个,gè,助词,方言中加在“昨儿、今儿、明儿”等时间词后面，表示“某日里”的意思,明儿个咱们一起去公园玩吧！
1611,中,zhōng,名词,中心位置，与四周等距,中央电视台每天都会播放许多精彩的节目。
1612,中,zhōng,名词,中国的简称,中文是世界上使用人数最多的语言之一。
1613,中,zhōng,名词,在某个范围或内部,家中有一个温馨的客厅，全家人经常在那里聚会。
1614,中,zhōng,形容词,两端之间的位置,他不小心伤到了自己的中指，现在还有些疼痛。
1615,中,zhōng,形容词,等级在两端之间的,中农在农村改革中发挥了重要作用。
1616,中,zhōng,形容词,不偏不倚的,孔子提倡中庸之道，认为这是处理问题的最佳方式。
1617,中,zhōng,名词,中间人，调解者,他正在作中，试图完成那幅画。
1618,中,zhōng,动词,适合，符合,这个工具非常中用，能解决很多实际问题。
1619,中,zhōng,形容词,成;行;好,中不中？如果不行的话，我们再想其他办法。
1620,中,zhōng,助词,动词后助词，表示持续状态,列车在运行中，乘客们都在安静地休息。
1621,中,zhòng,动词,正对上;恰好合上,经过投票，他成功中选为学生会主席。
1622,中,zhòng,动词,遭受，受到,由于误食了有毒的食物，他不幸中毒了。
1711,地,dì,名词,地球或其外壳,天地之间充满了无尽的奥秘，等待人们去探索。
1712,地,dì,名词,与海洋相对的陆地,地面湿滑，请大家小心行走以免摔倒。
1713,地,dì,名词,可耕种或使用的土地,荒地上长满了杂草，显得格外荒凉。
1719,地,dì,名词,具体的位置或场所,我们的目的地是北京。
1720,地,dì,名词,社会或团体中的层级位置,易地以处，或许会有不同的感受。
1721,地,dì,名词,境况或程度,置之死地而后生，这是兵法中的重要策略。
1723,地,dì,名词,用于表示距离的量词,从这里到市中心大约有二十里地。
1724,地,de,助词,构成状语的助词,她轻轻地关上门，生怕吵醒了正在睡觉的孩子。
1811,为,wèi,动词,帮助或保护,为吕氏者右袒，为刘氏者左袒。
1812,为,wèi,介词,替某人做某事,我为你庆幸，你终于摆脱了困境。
1813,为,wèi,介词,表示目的,为大家的健康干杯。
1814,为,wèi,介词,对某人或某事,不足为外人道。
1815,为,wèi,连词,表示原因,为何他会做出这样的决定？
1821,为,wéi,动词,做某事,事在人为，境由心造。
1822,为,wéi,动词,担任某种角色,选他为代表。
1823,为,wéi,动词,变成某种状态,一分为二地看待问题有助于找到解决办法。
1824,为,wéi,动词,表示等同,十寸为一尺。
1825,为,wéi,介词,被（用于被动语态）,这种艺术形式为广大人民所喜闻乐见。
1826,为,wéi,助词,用于疑问句,何以家为（要家干什么）？
1827,为,wéi,助词,构成程度副词,听到这个消息，他大为高兴。
1828,为,wéi,助词,加强语气,这个问题极为重要。
1911,他,tā,代词,指代男性第三人称,他是我们班上最勤奋的学生，每天总是第一个到教室。
1912,他,tā,代词,用于动词和数量词之间,他打算睡他一觉，好好休息一下。
1913,他,tā,代词,指其他方面或地方,他已经早已他去，不知所踪。
1914,他,tā,形容词,其他的或另外的,他人的东西我们不能随便拿。
2011,生,shēng,动词,生育后代。,大多数哺乳动物都是胎生的。
2012,生,shēng,动词,生长或发育。,这棵树已经在这里生根多年了。
2013,生,shēng,动词,生存或活着（与死相对）。,医生们竭尽全力，希望病人能够起死回生。
2014,生,shēng,名词,维持生活的途径或方式。,为了谋生，他不得不四处奔波。
2015,生,shēng,名词,生命的存在。,在这场事故中，有三人不幸丧生。
2016,生,shēng,名词,一生的经历或事迹。,他们发誓要一生一世在一起。
2017,生,shēng,形容词,具有生命力的或活的。,生物多样性是地球的重要特征之一。
2018,生,shēng,动词,产生或发生。,昨天开始，他就一直在生病。
2019,生,shēng,动词,点燃柴或煤等燃料。,冬天的时候，我们需要生火取暖。
2020,生,shēng,名词,姓氏。,生教授是我国著名的物理学家，曾获得多项国际大奖。
2021,生,shēng,形容词,果实未成熟（与熟相对）。,这些生柿子还需要放一段时间才能吃。
2022,生,shēng,形容词,食物未煮熟或煮得不够。,这碗夹生饭让人难以下咽。
2023,生,shēng,形容词,未经加工或提炼的。,这种药材需要使用生石膏来制作。
2024,生,shēng,形容词,不熟悉或不熟练。,他是一个生人，大家对他还不太熟悉。
2025,生,shēng,形容词,生硬或不自然。,他生拉硬拽地把朋友拖到了聚会现场。
2026,生,shēng,副词,用于少数表示感情或感觉的词前，表示程度高。,生怕错过最后一班车，他跑得飞快。
2027,生,shēng,名词,学习者或学生。,师生之间的关系应该建立在互相尊重的基础上。
2028,生,shēng,名词,旧时对读书人的称呼。,他是一个书生，满腹经纶却不懂人情世故。
2029,生,shēng,名词,戏曲中的男性角色，分为老生、小生、武生等。,这位医生非常专业，大家都很信任他。
2030,生,shēng,名词,用于某些表示职业的名词后缀,医生的责任是救死扶伤。
2031,生,shēng,助词,用于某些副词的后缀，如“好生”“怎生”等,他好生劝了半天，终于说服了固执的父亲。
2111,要,yāo,动词,请求,老师对学生提出了明确的要求。
2112,要,yāo,动词,强迫,他用要挟的方式试图让对方妥协。
2114,要,yāo,名词,姓氏,要先生是我们公司新来的财务总监。
2121,要,yào,形容词,重要的,这是文章的主要内容。
2122,要,yào,名词,要点,这份文件是会议的纲要。
2123,要,yào,动词,希望得到;希望保持,他要一个口琴作为生日礼物。
2124,要,yào,动词,索取,他今天去要账，希望能收回欠款。
2125,要,yào,动词,请求,她要我替她写信给远方的朋友。
2126,要,yào,动词,意愿,他要学游泳，以便在夏天可以和朋友一起去河边玩。
2127,要,yào,动词,必须,路很滑，大家要小心！以免摔倒受伤。
2128,要,yào,动词,需要,我做件上衣要多少布？请帮我估算一下。
2129,要,yào,动词,将要,我们要参加劳动竞赛了，大家都非常兴奋。
2130,要,yào,动词,用于比较,夏天屋子里太热，树阴底下要凉快得多，所以我们都喜欢待在那里。
2131,要,yào,连词,如果,明天要下雨，我就不去了，改天再约吧。
2132,要,yào,连词,或者,要就去打球，要就去溜冰，别再犹豫了，时间不等人。
2211,们,men,助词,用于代词或指人名词后表示复数,我们一起去公园散步。
2311,以,yǐ,介词,使用...手段,这场战役以少胜多，成为军事史上的经典案例。
2312,以,yǐ,介词,根据...标准,请大家按照座位表以次就座。
2313,以,yǐ,介词,由于...原因,何以知之？是因为他亲眼目睹了整个过程。
2314,以,yǐ,介词,为了...目的,通过学习，我们可以以广视听，增长见识。
2315,以,yǐ,介词,在...时间,中华人民共和国以1949年10月1日宣告成立，这一天被定为国庆节。
2316,以,yǐ,连词,连接词（同‘而’）,"城高以厚,地广以深。"
2317,以,yǐ,介词,构成方位词表示界限,我以前从未去过北京。
2411,到,dào,动词,抵达某地或达到某种程度,这个项目已经到期了。
2412,到,dào,动词,前往某地,周末我们计划到郊外去野餐。
2413,到,dào,动词,用作动词补语，表示动作完成或有结果,我看到远处有一只小鸟在飞翔。
2414,到,dào,形容词,考虑周全，细致,他想得很到位，考虑到了每一个细节。
2415,到,dào,名词,姓氏,到先生是我们公司的资深顾问，经验丰富。
2511,国,guó,名词,主权政治实体,国内的经济发展迅速。
2512,国,guó,形容词,国家层面的,国徽象征着国家的尊严和权威。
2513,国,guó,名词,国家级的,这位医生是全国闻名的国手。
2514,国,guó,名词,指国家，特指中国,国产的产品质量有了很大提升。
2515,国,guó,名词,姓氏,国先生是我们公司新聘请的财务总监。
2611,时,shí,名词,较长的一段时间,古时的人们靠天吃饭。
2612,时,shí,名词,规定的时间,按时上班是对员工的基本要求。
2613,时,shí,名词,季节,一年有四时：春夏秋冬。
2614,时,shí,名词,当前；现在,时下流行简约风格的装修。
2615,时,shí,名词,时尚；潮流,她的穿着非常入时，总是引领潮流。
2616,时,shí,名词,计时单位,卯时是一天中的早晨五点到七点。
2617,时,shí,名词,机会；时机,失时不候，机会一旦错过就很难再遇到。
2618,时,shí,副词,时常；有时,他时时提醒自己要努力学习。
2619,时,shí,副词,时而…时而…,这场雨时断时续地下了一整天。
2620,时,shí,名词,动词的时态,在英语中，动词的过去时通常要加-ed后缀。
2621,时,shí,名词,姓氏,时教授在学术界的声望非常高。
2711,就,jiù,动词,接近或靠近某物或某人,为了团队的和谐，他选择迁就别人的意见。
2712,就,jiù,动词,开始从事某项工作或活动,所有人员已经就位，准备开始行动。
2713,就,jiù,动词,遭受或承受某种待遇,敌军被我方包围后就歼。
2714,就,jiù,动词,完成或确定某事,他的努力终于得到了成就。
2715,就,jiù,副词,利用当前的便利条件,既然顺路，就便帮你把东西带过去。
2716,就,jiù,动词,将菜肴与主食或酒搭配食用,花生仁儿就酒，越喝越有。
2717,就,jiù,介词,表示动作涉及的对象或范围,他们就这个问题进行了讨论。
2718,就,jiù,副词,表示立即或在短时间内,你别急，我就来。
2719,就,jiù,副词,表示事情发生或结束得早,他十五岁就参加革命了。
2720,就,jiù,副词,表示前后事件紧密相连,有什么想法，想起来就说。
2721,就,jiù,副词,表示在特定条件下自然发生的情况,只要用功，就能学好。
2722,就,jiù,副词,表示数量、次数或能力上的对比优势,你们两个小组一共才十个人，我们一个小组就十个人。
2723,就,jiù,副词,用于相同成分之间，表示容忍,大点儿就大点儿吧，买下算了。
2724,就,jiù,副词,表示原本或早已如此,街道本来就不宽，每逢集市更显得拥挤了。
2725,就,jiù,副词,仅仅或只,以前就他一个人知道，现在大家都知道了。
2726,就,jiù,副词,表示坚决的态度,我就不信我学不会。
