hanzi,pinyin,pos,definition_id,origin_definition_cn,definition_cn,origin_definition_en,definition_en
一,yī,数词,231,"数目,最小的正整数。",数字1，最小的正整数。,one; the smallest positive integer,one
一,yī,形容词,232,同一,相同的；没有区别的。,same,same
一,yī,形容词,233,另一,另外的；不同的。,also; otherwise,another
一,yī,形容词,234,全;满,全部的；整个的。,whole; all; throughout,whole
一,yī,形容词,235,专一,专心致志的；不分散的。,concentrated; wholehearted,focused
一,yī,副词,236,"表示动作是一次,或表示动作是短暂的,或表示动作是试试的",表示动作短暂或尝试性。,"[used to indicate that an action occurs just once or lasts for a short time, or is being attempted]",briefly
一,yī,副词,237,"用在动词或动量词前面,表示先做某个动作(下文说明动作结果)",用于动词前，表示先做某个动作。,[used before a verb or a verbal measure to indicate an action to be followed by a result],firstly
一,yī,连词,238,一旦;一经,表示条件关系，相当于“如果”。,once; as soon as,once
一,yī,助词,239,用在某些词前加强语气,用于加强语气。,[used before certain words for emphasis],emphasis
一,yī,名词,240,中国民族音乐音阶上的一级，乐谱上用作记音符号，相当于简谱的'1'。,中国民族音乐音阶上的一级，乐谱上用作记音符号，相当于简谱的'1'。,"note in the traditional Chinese musical scale, corresponding to  in numbered musical notation",musical note
一丝不苟,yī sī bù gǒu,形容词,1001311,"形容办事认真,连最细微的地方也不马虎。",形容做事非常认真，连细节都不放过。,not be the least bit negligent; be scrupulous about every detail; be conscientious and meticulous,meticulous
一举两得,yī jǔ liǎng dé,形容词,1001111,"做一件事情,得到两种收获",做一件事得到双重好处。,gain two ends at once; kill two birds with one stone,double gain
一会儿,yī huì r,名词,2000027,表示短暂的时间,很短的时间。,a short while,moment
一共,yī gòng,副词,606111,表示合在一起,总计；全部加起来。,altogether; in all; all told,total
一再,yī zài,副词,999511,一次又一次,多次；反复。,time and again; again and again; repeatedly,repeatedly
一切,yī qiè,形容词,658611,全部的,所有的；全部的。,all; every,all
一切,yī qiè,名词,658612,全部的事物,全部事物。,everything; all,everything
一向,yī xiàng,名词,999411,过去的某一段时期,过去的某段时间。,earlier on; lately,past
一向,yī xiàng,副词,999412,表示从过去到现在,从过去到现在一直如此。,[indicating a period from the past to the present] always; consistently,always
一如既往,yī rú jì wǎng,形容词,1001211,完全跟过去一样。,完全和过去一样。,just as in the past; as before; as always,as always
一定,yī dìng,形容词,606011,规定的;确定的,确定的；固定的。,fixed; specified; certain; regular,fixed
一定,yī dìng,形容词,606012,固定不变;必然,必然的；不变的。,surely; necessarily,inevitable
一定,yī dìng,副词,606013,表示坚决或确定;必定,必定；肯定。,must; certainly,certainly
一定,yī dìng,形容词,606014,特定的,特定的；某种的。,given; particular; certain,specific
一定,yī dìng,形容词,606015,相当的,适当的；相当的。,proper; fair; due,proper
一帆风顺,yī fān fēng shùn,形容词,1001011,"非常顺利,毫无挫折。",比喻事情进行得非常顺利。,plain sailing; smooth sailing,smooth
一度,yī dù,名词,999011,一次;一阵,一次；一回。,once,once
一度,yī dù,副词,999012,有过一次,曾经有过一次。,on one occasion; for a time,once
一律,yī lǜ,形容词,999211,一个样子;相同,完全相同；没有差别。,same; alike; uniform,identical
一律,yī lǜ,形容词,999212,"适用于全体,无例外",全部；没有例外。,all; without exception,uniformly
一撮毛,yī zuǒ máo,名词,2060506,比喻极少数的人或物,比喻数量极少。,a tiny amount; very few people or things,few
一旦,yī dàn,名词,776611,一天之间(形容时间短),很短的时间。,in a single day; in a very short time,short time
一旦,yī dàn,连词,776612,"不确定的时间词,表示有一天",表示不确定的某一天。,one day,someday
一样,yī yàng,形容词,606211,同样;没有差别,完全相同；没有区别。,same; alike; make no difference; as ... as ...,same
一沓纸,yī dá zhǐ,名词,2060523,叠在一起的纸张,一叠纸张。,stack of papers,stack
一流,yī liú,名词,998211,同一类;一类,同一类别。,a kind; the same kind,category
一流,yī liú,形容词,998212,第一等,最高等级的；最好的。,of the best quality; first-class; first-rate; top-notch,top
一目了然,yī mù liǎo rán,形容词,999311,一眼就能看清楚。,一眼就能看明白。,be clear at a glance,clear
一直,yī zhí,副词,606811,表示顺着一个方向不变,沿着一个方向不改变。,[indicating one direction] straight,straight
一直,yī zhí,副词,606812,表示动作始终不间断或状态始终不变,持续不断；始终如一。,[indicating an uninterrupted action or a constant state],continuously
一直,yī zhí,副词,606813,强调所指的范围,强调范围的完整性。,[referring to the given limits] all the way,entirely
一致,yī zhì,形容词,776811,没有分歧,完全相同；没有分歧。,showing no difference; identical; unanimous; consistent,unanimous
一致,yī zhì,副词,776812,一同;一齐,同时；一起。,together,together
一般,yī bān,形容词,606611,一样;同样,相同的；没有差别的。,same as; just like,same
一般,yī bān,名词,606612,一种,一种类型。,sort; kind,kind
一般,yī bān,形容词,606613,普通;通常,普通的；常见的。,general; ordinary; common,ordinary
一贯,yī guàn,形容词,999111,"(思想、作风等)一向如此,从未改变",始终如一；从未改变。,"(of thinking, style, etc.) consistent; persistent; all along",consistent
一起,yī qǐ,名词,578211,同一个处所,同一个地方。,in the same place,same place
一起,yī qǐ,副词,578212,一同,一同；共同。,together; in company,together
一起,yī qǐ,副词,578213,一共,总计；全部。,altogether; in all,total
一路,yī lù,名词,776711,在整个行程中;沿路,在整个行程中；沿途,all the way; throughout the journey,all the way
一路,yī lù,形容词,776712,同一类,同一类别或类型,"of the same kind, type, category or sort",same category
一路,yī lù,副词,776713,一起(来、去、走),一同（行进）,go the same way; take the same route,together
一路,yī lù,副词,776714,一个劲儿; 一直,方言中指持续不断,continuously; persistently,continuously
一辈子,yī bèi zi,名词,776511,一生。,从出生到死亡的整个时期,all one's life; throughout one's life; as long as one lives; a lifetime,lifetime
一边,yī biān,名词,606711,东西的一面;事情的一方面,物体或事物的一个侧面,one side; side,one side
一边,yī biān,名词,606712,旁边,附近的位置,beside,beside
一边,yī biān,副词,606713,表示一个动作跟另一个动作同时进行。,两个动作同时进行,at the same time; simultaneously,simultaneously
一边,yī biān,形容词,606714,同样,方言中指没有差别,the same; same as,identical
丁,zhēng,拟声词,113611,[丁丁]形容伐木、下棋、弹琴等声音,模拟伐木等声音的拟声词,"sound of chopping wood, playing chess, plucking strings (of a musical instrument, etc.)",onomatopoeia for chopping sounds
丁,dīng,名词,113621,成年男子,达到成年年龄的男子,grown man,adult male
丁,dīng,名词,113622,指人口,家庭或国家的人口,population,population
丁,dīng,名词,113623,称从事某些职业的人,特定职业的从业人员,person engaged in a certain occupation,professional
丁,dīng,名词,113624,(Dīng)姓。,中文姓氏之一,a surname,a surname
丁,dīng,名词,113625,天干的第四位。,天干中的第四位,4th of the 10 Heavenly Stems,4th Heavenly Stem
丁,dīng,动词,113627,遭逢;碰到,遇到或面临,meet with; run into; encounter; confront,encounter
七,qī,数词,48411,六加一后所得。,数字6加1的结果,seven; or six plus one;,seven
七,qī,名词,48412,"人死后每隔七天祭奠一次,直到第四十九天为止,共分七个‘七’。",旧时丧葬习俗中的七日祭,7th-day mourning period; Chinese custom to hold a memorial service on every 7th day following a person's death until the 49th day,7-day mourning
万,mò,名词,39611,[万俟](Mòqí)姓。,复姓“万俟”,a surname,compound surname
万,wàn,数词,39621,十个千。,数字10的千倍,ten thousand,ten thousand
万,wàn,形容词,39622,形容很多,数量极多,large number,myriad
万,wàn,副词,39623,极;很;绝对,程度极深,absolutely; under all circumstances,absolutely
万,wàn,名词,39624,(Wàn)姓。,中文姓氏之一,a surname,a surname
万一,wàn yī,名词,763111,"万分之一,表示极小的一部分",极小概率的部分,one in ten thousand; extremely small part,one ten-thousandth
万一,wàn yī,名词,763112,指可能性极小的意外变化,极可能发生的意外,eventuality; in case,contingency
万一,wàn yī,连词,763113,表示可能性极小的假设(用于不如意的事,用于假设极小概率事件,used for an unfavourable thing,in case
万俟,ò qí,名词,2060043,中国的一个复姓,中国的一个复姓,a Chinese compound surname,Chinese surname
