definition_id,pinyin_id,definition_sn,definition_cn,definition_en,definition_img,ref_pinyin_id,pos
111,11,1,箭靶的中心部位,bull's-eye,,,名词
121,12,1,表示真实或确实,truly; really,,,形容词
131,13,1,用于定语之后，表示修饰关系,[used after an attribute],,,助词
132,13,2,构成名词性结构，相当于名词短语,"[used at the end of a nominal structure, equivalent to a noun phrase]",,,助词
133,13,3,用于谓语动词后，强调动作的执行者或相关要素,"[used between a verb and its object for emphasis of the subject, time, venue, way, etc. of an action]",,,助词
134,13,4,用于陈述句末尾，表示肯定语气,[used at the end of a statement to indicate certainty],,,助词
135,13,5,用于同类词或词组后，表示列举未尽,[used after words or phrases belonging to the same part of speech to imply further enumeration],,,助词
136,13,6,用于两个数量词之间,[used between two numerals],,,助词
231,23,1,数字1，最小的正整数。,one,,,数词
232,23,2,相同的；没有区别的。,same,,,形容词
233,23,3,另外的；不同的。,another,,,形容词
234,23,4,全部的；整个的。,whole,,,形容词
235,23,5,专心致志的；不分散的。,focused,,,形容词
236,23,6,表示动作短暂或尝试性。,briefly,,,副词
237,23,7,用于动词前，表示先做某个动作。,firstly,,,副词
238,23,8,表示条件关系，相当于“如果”。,once,,,连词
239,23,9,用于加强语气。,emphasis,,,助词
240,23,10,中国民族音乐音阶上的一级，乐谱上用作记音符号，相当于简谱的'1'。,musical note,,,名词
311,31,1,正确的,correct,,,形容词
312,31,2,赞同某种观点,approve,,,动词
313,31,3,表示肯定的回答,yes,,,其他
314,31,4,姓氏,a surname,,,名词
315,31,5,指示代词，指代当前事物,this,,,代词
316,31,6,表示两者相同或后者说明前者属性,be,,,动词
317,31,7,用于分类说明,indicate category,,,动词
318,31,8,表示主语的状态,indicate state,,,动词
319,31,9,表示某处存在某物,exist,,,动词
320,31,10,强调不同事物的区别,distinguish,,,动词
321,31,11,表示让步关系,concede,,,动词
322,31,12,用于强调语气,emphasize,,,其他
323,31,13,表示全部或每一个,all,,,其他
324,31,14,用于名词前，表示‘合适’或‘恰当’,[used before a noun] be just right,,,助词
325,31,15,用于选择问句、是非问句或反问句中,"[used in alternative, yes/no, or rhetorical questions]",,,助词
326,31,16,（需重读）表示强烈肯定，意为‘的确、实在’,[emphatic] really; truly,,,副词
421,42,1,用于动词、形容词前表示否定,not,,,副词
422,42,2,加在名词前构成形容词,non-,,,形容词
423,42,3,单独使用表示否定回答,no,,,副词
424,42,4,方言中用于句末表示疑问,[question particle],,,助词
425,42,5,表示动作不可能完成,cannot,,,副词
426,42,6,重复使用表示不在乎,no matter,,,副词
427,42,7,与'就'连用表示选择,either...or,,,连词
428,42,8,方言中表示'不用',need not,,,副词
511,51,1,表示动作完成的助词,[perfective particle],,,助词
512,51,2,表示情况变化的句末助词,[change-of-state particle],,,助词
521,52,1,完成或结束,complete,,,动词
522,52,2,表示可能性的动词补语,[potential complement],,,动词
523,52,3,完全（否定）,not at all,,,副词
524,52,4,理解或知晓,understand,,,动词
611,61,1,存在；活着,exist; be alive,,,动词
612,61,2,表示人或事物所处的位置,be at; be in,,,动词
613,61,3,停留于某处,remain,,,动词
614,61,4,属于或加入某个组织,belong to; join,,,动词
615,61,5,取决于；关键在于,lie in; depend on,,,动词
616,61,6,与“所”连用表示强调,used with 所 for emphasis,,,动词
617,61,7,表示时间、地点或范围,indicating time/place/scope,,,介词
618,61,8,表示动作正在进行,indicating ongoing action,,,副词
721,72,1,拥有或持有,have,,,动词
722,72,2,表示某物存在,exist,,,动词
723,72,3,用于比较或估计,compare,,,动词
724,72,4,表示事件发生或出现,occur,,,动词
725,72,5,表示数量多或程度大,much,,,动词
726,72,6,泛指某些人或事物,some,,,动词
727,72,7,表示部分人或事物,part,,,动词
728,72,8,用于礼貌用语中,polite,,,动词
729,72,9,用于某些朝代名称前,dynasty,,,前缀
811,81,1,能制造和使用工具的高等动物,human,,,名词
812,81,2,泛指所有人,everyone,,,名词
813,81,3,成年个体,adult,,,名词
814,81,4,特定类别的人群,people,,,名词
815,81,5,除自己外的其他人,others,,,代词
816,81,6,人的品性、性格或名声,character,,,名词
817,81,7,人的身体状况或意识状态,health,,,名词
818,81,8,人力资源或人才,manpower,,,名词
911,91,1,指示较近的人或事物,this,,,代词
912,91,2,指当前的时间,now,,,代词
921,92,1,“这”的口语发音,spoken form of 这,,,代词
1011,101,1,上声的发音,rising tone,,,名词
1021,102,1,从低处向高处移动,ascend,,,动词
1022,102,2,达到预期目标,achieve,,,动词
