definition_id,hanzi,pinyin,pos,definition_1,definition_2,better
231,一,yī,数词,"数目,最小的正整数。",数字1，最小的正整数。,2
232,一,yī,形容词,同一,相同的；没有区别的。,2
233,一,yī,形容词,另一,另外的；不同的。,2
234,一,yī,形容词,全;满,全部的；整个的。,2
235,一,yī,形容词,专一,专心致志的；不分散的。,2
236,一,yī,副词,"表示动作是一次,或表示动作是短暂的,或表示动作是试试的",表示动作短暂或尝试性。,2
237,一,yī,副词,"用在动词或动量词前面,表示先做某个动作(下文说明动作结果)",用于动词前，表示先做某个动作。,2
238,一,yī,连词,一旦;一经,表示条件关系，相当于“如果”。,2
239,一,yī,助词,用在某些词前加强语气,用于加强语气。,2
240,一,yī,名词,中国民族音乐音阶上的一级，乐谱上用作记音符号，相当于简谱的'1'。,中国民族音乐音阶上的一级，乐谱上用作记音符号，相当于简谱的'1'。,1
1001311,一丝不苟,yī sī bù gǒu,形容词,"形容办事认真,连最细微的地方也不马虎。",形容做事非常认真，连细节都不放过。,2
1001111,一举两得,yī jǔ liǎng dé,形容词,"做一件事情,得到两种收获",做一件事得到双重好处。,2
2000027,一会儿,yī huì r,名词,表示短暂的时间,很短的时间。,2
606111,一共,yī gòng,副词,表示合在一起,总计；全部加起来。,2
999511,一再,yī zài,副词,一次又一次,多次；反复。,2
658611,一切,yī qiè,形容词,全部的,所有的；全部的。,2
658612,一切,yī qiè,名词,全部的事物,全部事物。,2
999411,一向,yī xiàng,名词,过去的某一段时期,过去的某段时间。,2
999412,一向,yī xiàng,副词,表示从过去到现在,从过去到现在一直如此。,2
1001211,一如既往,yī rú jì wǎng,形容词,完全跟过去一样。,完全和过去一样。,2
606011,一定,yī dìng,形容词,规定的;确定的,确定的；固定的。,2
606012,一定,yī dìng,形容词,固定不变;必然,必然的；不变的。,2
606013,一定,yī dìng,副词,表示坚决或确定;必定,必定；肯定。,2
606014,一定,yī dìng,形容词,特定的,特定的；某种的。,2
606015,一定,yī dìng,形容词,相当的,适当的；相当的。,2
1001011,一帆风顺,yī fān fēng shùn,形容词,"非常顺利,毫无挫折。",比喻事情进行得非常顺利。,2
999011,一度,yī dù,名词,一次;一阵,一次；一回。,2
999012,一度,yī dù,副词,有过一次,曾经有过一次。,2
999211,一律,yī lǜ,形容词,一个样子;相同,完全相同；没有差别。,2
999212,一律,yī lǜ,形容词,"适用于全体,无例外",全部；没有例外。,2
2060506,一撮毛,yī zuǒ máo,名词,比喻极少数的人或物,比喻数量极少。,2
776611,一旦,yī dàn,名词,一天之间(形容时间短),很短的时间。,2
776612,一旦,yī dàn,连词,"不确定的时间词,表示有一天",表示不确定的某一天。,2
606211,一样,yī yàng,形容词,同样;没有差别,完全相同；没有区别。,2
2060523,一沓纸,yī dá zhǐ,名词,叠在一起的纸张,一叠纸张。,2
998211,一流,yī liú,名词,同一类;一类,同一类别。,2
998212,一流,yī liú,形容词,第一等,最高等级的；最好的。,2
999311,一目了然,yī mù liǎo rán,形容词,一眼就能看清楚。,一眼就能看明白。,2
606811,一直,yī zhí,副词,表示顺着一个方向不变,沿着一个方向不改变。,2
606812,一直,yī zhí,副词,表示动作始终不间断或状态始终不变,持续不断；始终如一。,2
606813,一直,yī zhí,副词,强调所指的范围,强调范围的完整性。,2
776811,一致,yī zhì,形容词,没有分歧,完全相同；没有分歧。,2
776812,一致,yī zhì,副词,一同;一齐,同时；一起。,2
606611,一般,yī bān,形容词,一样;同样,相同的；没有差别的。,2
606612,一般,yī bān,名词,一种,一种类型。,2
606613,一般,yī bān,形容词,普通;通常,普通的；常见的。,2
999111,一贯,yī guàn,形容词,"(思想、作风等)一向如此,从未改变",始终如一；从未改变。,2
578211,一起,yī qǐ,名词,同一个处所,同一个地方。,2
578212,一起,yī qǐ,副词,一同,一同；共同。,2
578213,一起,yī qǐ,副词,一共,总计；全部。,2
776711,一路,yī lù,名词,在整个行程中;沿路,在整个行程中；沿途,2
776712,一路,yī lù,形容词,同一类,同一类别或类型,2
776713,一路,yī lù,副词,一起(来、去、走),一同（行进）,2
776714,一路,yī lù,副词,一个劲儿; 一直,方言中指持续不断,2
776511,一辈子,yī bèi zi,名词,一生。,从出生到死亡的整个时期,2
606711,一边,yī biān,名词,东西的一面;事情的一方面,物体或事物的一个侧面,2
606712,一边,yī biān,名词,旁边,附近的位置,2
606713,一边,yī biān,副词,表示一个动作跟另一个动作同时进行。,两个动作同时进行,2
606714,一边,yī biān,形容词,同样,方言中指没有差别,2
113611,丁,zhēng,拟声词,[丁丁]形容伐木、下棋、弹琴等声音,模拟伐木等声音的拟声词,2
113621,丁,dīng,名词,成年男子,达到成年年龄的男子,2
113622,丁,dīng,名词,指人口,家庭或国家的人口,2
113623,丁,dīng,名词,称从事某些职业的人,特定职业的从业人员,2
113624,丁,dīng,名词,(Dīng)姓。,中文姓氏之一,2
113625,丁,dīng,名词,天干的第四位。,天干中的第四位,2
113627,丁,dīng,动词,遭逢;碰到,遇到或面临,2
48411,七,qī,数词,六加一后所得。,数字6加1的结果,2
48412,七,qī,名词,"人死后每隔七天祭奠一次,直到第四十九天为止,共分七个‘七’。",旧时丧葬习俗中的七日祭,2
39611,万,mò,名词,[万俟](Mòqí)姓。,复姓“万俟”,2
39621,万,wàn,数词,十个千。,数字10的千倍,2
39622,万,wàn,形容词,形容很多,数量极多,2
39623,万,wàn,副词,极;很;绝对,程度极深,2
39624,万,wàn,名词,(Wàn)姓。,中文姓氏之一,2
763111,万一,wàn yī,名词,"万分之一,表示极小的一部分",极小概率的部分,2
763112,万一,wàn yī,名词,指可能性极小的意外变化,极可能发生的意外,2
763113,万一,wàn yī,连词,表示可能性极小的假设(用于不如意的事,用于假设极小概率事件,2
2060043,万俟,ò qí,名词,中国的一个复姓,中国的一个复姓,2
973011,万分,wàn fēn,副词,非常;极其,程度非常高,2
136211,丈,zhàng,名词,"长度单位,10尺等于1丈,10丈等于1引。",十尺为一丈的长度单位,2
136212,丈,zhàng,动词,丈量(土地),测量土地面积,2
136213,丈,zhàng,名词,对老年男子的尊称,对老年男性的敬称,2
136214,丈,zhàng,名词,丈夫(用于某些亲戚的尊称,丈夫的尊称,2
579611,丈夫,zhàng fu,名词,"男女两人结婚后,男子是女子的丈夫。",婚姻关系中的男性配偶,2
579621,丈夫,zhàng fū,名词,成年男子,成年男性,2
11711,三,sān,数词,"数目,二加一后所得。",数字2加1的结果,2
11712,三,sān,形容词,表示多数或多次,表示多次或多数,2
944411,三角,sān jiǎo,名词,三角学的简称。,三角学的简称,2
944412,三角,sān jiǎo,名词,形状像三角形的东西,具有三条边的图形,2
1011,上,shǎng,名词,指上声，上（shàng）的又音。,上声的发音,2
1021,上,shàng,动词,表示由低处向高处,从低处向高处移动,2
1022,上,shàng,动词,表示有了结果或达到目的,达到预期目标,2
1023,上,shàng,动词,表示开始并继续,动作开始并持续,2
1034,上,shàng,形容词,位置在高处的,处于较高位置,2
1035,上,shàng,形容词,等级或品质高的,质量或等级较高,2
1036,上,shàng,形容词,次序或时间在前的,时间或顺序在前,2
1037,上,shàng,名词,指皇帝,古代对帝王的称呼,2
1038,上,shàng,动词,向上面,朝向上方,2
1039,上,shàng,动词,由低处到高处,由低处升至高处,2
1040,上,shàng,动词,到;去(某个地方),前往某地,2
1041,上,shàng,动词,向上级呈递,提交给上级,2
1042,上,shàng,动词,向前进,向前进,1
1043,上,shàng,动词,出场,登台表演或出场,2
1044,上,shàng,动词,把饭菜等端上桌子,将饭菜等摆放到桌上,2
1045,上,shàng,动词,添补;增加,补充或增加,2
1046,上,shàng,动词,把一件东西安装在另一件东西上;把一件东西的两部分安装在一起,安装或固定物品,2
1047,上,shàng,动词,涂;搽,涂;搽,1
1048,上,shàng,动词,登载,登载,1
1049,上,shàng,动词,拧紧,旋紧或拧紧,2
1050,上,shàng,动词,到规定时间开始工作或学习等,开始工作或学习,2
1051,上,shàng,动词,达到;够(一定数量或程度),达到（一定数量或程度）,2
1052,上,shàng,名词,(又shǎng)四声之一;上声,汉语四声中的第三声,2
1053,上,shàng,名词,"中国民族音乐音阶上的一级,乐谱上用做记音符号,相当于简谱的‘1’。",中国民族音乐音阶上的一级，乐谱上用做记音符号，相当于简谱的‘1’。,1
1031,上,shang,助词,"用在名词后,表示在物体的表面",表示物体表面的方位,2
1032,上,shang,助词,"用在名词后,表示在某种事物的范围以内",表示在某个范围内,2
1033,上,shang,助词,"用在名词后,表示某一方面",表示某个方面,2
946111,上任,shàng rèn,动词,指官吏就职,官员正式就职,2
946112,上任,shàng rèn,名词,称前一任的官吏。,前任官员,2
560611,上午,shàng wǔ,名词,"指半夜十二点到正午十二点的一段时间,一般也指清晨到正午十二点的一段时间。",午夜至正午的时间段，通常指清晨到中午,2
748211,上当,shàng dàng,动词,受骗吃亏。,因受骗而遭受损失,2
946311,上游,shàng yóu,名词,河流接近发源地的部分。,河流接近源头的部分,2
946312,上游,shàng yóu,名词,先进,比喻领先的地位,2
2060342,上班,shàng bān,动词,在规定时间去工作,按时开始工作,2
946211,上瘾,shàng yǐn,动词,爱好某种事物而成为癖好,对某事物形成强烈依赖,2
946011,上级,shàng jí,名词,同一组织系统中等级较高的组织或人员,组织系统中级别更高的机构或人员,2
600011,上网,shàng wǎng,动词,as opposed to‘log off’})。,连接互联网获取信息,2
2000193,上进心,shàng jìn xīn,名词,追求进步的心态,积极进取的心态,2
4611,下,xià,动词,表示由高处到低处,从高处向低处移动,2
4612,下,xià,动词,"表示有空间,能容纳",有足够的容纳空间,2
4613,下,xià,动词,表示动作的完成或结果,表示动作的完成,2
