definition_id,hanzi,pinyin,pos,definition_cn,example_1,example_2,DS,QW
132,的,de,助词,构成名词性结构，相当于名词短语,这是我的书，那才是你的笔记本。,桌子上摆着红的、黄的、绿的各种颜色的水果。,1,2
134,的,de,助词,用于陈述句末尾，表示肯定语气,这件事我知道的很清楚。,你放心，这件事我一定会帮你解决的。,1,2
135,的,de,助词,用于同类词或词组后，表示列举未尽,破铜烂铁的，他捡来一大筐，准备卖掉换钱。,超市里卖的水果有苹果的、香蕉的、橙子的，种类很丰富。,1,2
136,的,de,助词,用于两个数量词之间,这间屋子是五米的三米，合十五平方米，足够一个人居住。,这个箱子长一米的、宽半米的，正好能放进后备箱。,1,2
233,一,yī,形容词,另外的；不同的。,番茄一名西红柿，是一种非常常见的蔬菜。,这个故事有两个版本，一个说的是真相，另一个则是虚构的。,1,2
237,一,yī,副词,用于动词前，表示先做某个动作。,他一跳跳了过去，轻松越过了那道障碍。,他一说出口，就意识到自己不该泄露这个秘密。,1,2
238,一,yī,连词,表示条件关系，相当于“如果”。,一失足成千古恨，他后悔自己当初的选择。,他一听到这个消息，立刻放下手头的工作赶了过去。,1,2
311,是,shì,形容词,正确的,这个人一无是处，做什么都不成功。,他的回答完全正确，老师满意地点了点头。,1,2
320,是,shì,动词,强调不同事物的区别,去年是去年，今年是今年，你当年年一个样哪！时间在变，你也应该有所改变。,你是你，我是我，我们虽然认识，但性格完全不同。,1,2
321,是,shì,动词,表示让步关系,诗是好诗，就是长了点，读起来需要耐心。,这件衣服贵是贵，但质量确实非常好，值得购买。,1,2
322,是,shì,其他,用于强调语气,是谁告诉你的？这个问题让我很好奇。,是哪个小朋友把玩具丢在地上没有收拾？,1,2
323,是,shì,其他,表示全部或每一个,是有利于群众的事情他都肯干，这种精神值得我们学习。,是学生就应该好好学习，珍惜每一分每一秒的时间。,1,2
422,不,bù,形容词,加在名词前构成形容词,不法行为必须受到法律的严惩，这样才能维护社会的公平正义。,这个房间的布局很不合理，家具摆放得乱七八糟。,1,2
426,不,bù,副词,重复使用表示不在乎,什么累不累的，有工作就得做，这才是负责任的态度。,什么困难不困难的，只要大家一起努力，总能解决的。,1,2
427,不,bù,连词,与'就'连用表示选择,晚上他不是看书，就是写文章，生活过得非常充实。,周末不是去爬山，就是去看电影，总要选一个活动。,1,2
428,不,bù,副词,方言中表示'不用',不谢，这是我应该做的，大家都是朋友嘛。,您太客气了，不送不送，我自己走就行。,1,2
521,了,liǎo,动词,完成或结束,这件事情终于了结，大家都松了一口气。,这项工程终于了结了，大家都松了一口气。,1,2
522,了,liǎo,动词,表示可能性的动词补语,这点小事你一定办得了，我相信你的能力。,这么复杂的数学题，我实在做不了，需要请教老师。,1,2
523,了,liǎo,副词,完全（否定）,这两件事情完全了不相涉，不能混为一谈。,他对这件事毫不知情，了无兴趣参与讨论。,1,2
