hanzi_id,pinyin_id,hanzi,pinyin,hsk_level,frequency_rank,pinyin_sn
1,13,的,de,1,1,1
1,11,的,dì,1,1,2
1,12,的,dí,1,1,3
2,23,一,yī,1,2,1
2,21,一,yí,1,2,2
2,22,一,yì,1,2,3
3,56281,我们,wǒ men,1,3,1
4,31,是,shì,1,4,1
5,42,不,bù,1,5,1
5,41,不,bú,1,5,2
6,55491,工作,gōng zuò,1,6,1
7,51,了,le,1,7,1
7,52,了,liǎo,1,7,2
8,61,在,zài,1,8,1
9,72,有,yǒu,1,9,1
9,71,有,yòu,1,9,2
10,200039,中国,zhōng guó,1,10,1
11,81,人,rén,1,11,1
12,91,这,zhè,1,12,1
12,92,这,zhèi,1,12,2
13,56091,什么,shén me,1,13,1
14,102,上,shàng,1,14,1
14,101,上,shǎng,1,14,2
14,103,上,shang,1,14,3
15,112,大,dà,1,15,1
15,111,大,dài,1,15,2
16,56341,现在,xiàn zài,1,16,1
17,121,来,lái,1,17,1
18,135,和,hé,1,18,1
18,131,和,hè,1,18,2
18,132,和,hú,1,18,3
18,133,和,huó,1,18,4
18,134,和,huò,1,18,5
19,141,我,wǒ,1,19,1
20,152,个,gè,1,20,1
20,151,个,gě,1,20,2
21,191,他,tā,1,21,1
22,55621,今天,jīn tiān,1,22,1
23,56111,时候,shí hou,1,23,1
24,56421,学生,xué sheng,1,24,1
25,56431,学习,xué xí,1,25,1
26,200032,打电话,dǎ diàn huà,1,26,1
27,56551,怎么样,zěn me yàng,1,27,1
28,55401,对不起,duì bu qǐ,1,28,1
29,200029,北京,běi jīng,1,29,1
30,200031,出租车,chū zū chē,1,30,1
31,55801,没关系,méi guān xi,1,31,1
32,200035,火车站,huǒ chē zhàn,1,32,1
33,200030,不客气,bù kè qi,1,33,1
34,302,会,huì,1,34,1
34,301,会,kuài,1,34,2
35,56301,喜欢,xǐ huan,1,35,1
36,56541,怎么,zěn me,1,36,1
37,381,能,néng,1,37,1
