definition_id,pinyin_id,ref_hanzi,ref_pinyin,definition_sn,pos,definition_cn
64165,44826,,,1,动词,脸上露出高兴的神情
64166,44827,,,1,动词,借贷或买卖双方债务债权或钱款货物已结清
64167,44828,,,1,动词,鉴赏
64168,44829,,,1,名词,子孙
64169,44830,,,1,动词,用欺诈手段使人上当受骗
64170,44831,,,1,名词,杆秤的主要组成部分，多用木杆或金属杆做成，上面镶有秤星
64171,44832,,,1,名词,租赁的价格
64172,44833,,,1,动词,跟别人结怨，使成为自己的敌人
64173,44834,,,1,名词,铅字印刷时浇铸铅版的纸质模子。用特制的纸在排好的铅版上压制而成
64174,44835,,,1,名词,借指美女
64175,44835,,,2,名词,妇女搽脸的白粉和描眉的青黑色颜料
64176,44836,,,1,名词,包票
64177,44837,,,1,,模样、形态奇怪（含贬义）
64178,44838,,,1,,刚结婚安乐、美满（燕：通“宴”，安乐；尔：文言虚词，多用在形容词后，表示情态）。现多作为对新婚者的贺词
64179,44839,,,1,,原指龙在云中，东露一鳞，西露半爪，使人难见全貌。比喻事物的零星片断
64180,44840,,,1,,初露锋芒
64181,44841,,,1,,《孟子·滕文公上》：“为富不仁矣，为仁不富矣。”后用“为富不仁”指靠不正当手段发财的人是不会讲仁义的
64182,44842,,,1,形容词,形容故作姿态，卖弄风情
64183,44843,,,1,,既不是亲属，也不是老朋友（故：老朋友）。指彼此没有关系
64184,44844,,,1,,指人到了极端艰难困苦、无路可走的时候，就会被迫寻求出路，力求改变现状
64185,44845,,,1,,脸上露出为难的神色
64186,44846,,,1,,比喻自己不露面而是借助或利用别人去害人
64187,44847,,,1,,两种对立的事物既互相排斥，又在一定条件下互相统一
64188,44848,,,1,形容词,形容文章或言论分析透彻，切中要害（鞭辟：剖析；里：里面）
64189,44849,,,1,,有几进院子的宽大住宅
64190,44850,,,1,名词,家母
64191,44851,,,1,动词,死者家属或亲戚以穿孝服、佩黑纱等方式表示对死者的哀悼
64192,44852,,,1,名词,以人、畜粪便为主要原料经过发酵制成的农家肥料
64193,44853,,,1,动词,指用色相供人取乐来挣钱
64194,44854,,,1,形容词,一种视力功能缺陷，看远处清楚，看近处模糊
64195,44854,,,2,动词,朝远处看
64196,44854,,,3,形容词,比喻目光远大
64197,44855,,,1,名词,秋季发生的河水暴涨现象
64198,44856,,,1,名词,微不足道的小事
