rank,cihui
70001,漫延
70002,下劲
70003,各有所好
70004,起墙
70005,抽冷子
70006,耻骨
70007,戏目
70008,赤忱
70009,赤县
70010,如堕五里雾中
70011,习服
70012,起圈
70013,瞅空
70014,凡庸
70015,山核桃
70016,误听
70017,怃然
70018,棉蚜
70019,犯颜
70020,掉书袋
70021,方奇
70022,喔唷
70023,吹拍
70024,刺参
70025,寸阴
70026,积分学
70027,胡以
70028,电位差
70029,错谬
70030,妲己
70031,托情
70032,咪唑
70033,岱岳
70034,后魏
70035,图谶
70036,党锢
70037,碘化银
70038,镶嵌画
70039,欢喜若狂
70040,刀俎
70041,统货
70042,低凹
70043,侯门
70044,红教
70045,慢性子
70046,低弱
70047,遣兴
70048,地漏
70049,点焊
70050,桥桩
70051,递条子
70052,填方
70053,田垄
70054,畜圈
70055,草寇
70056,荤食
70057,香亭
70058,嫂夫人
70059,泰定
70060,严羽
70061,自疚
70062,浅露
70063,钻工
70064,荣荣
70065,拱棚
70066,踏脚石
70067,丹皮尔
70068,女伶
70069,肉脯
70070,被卧
70071,石敬瑭
70072,断狱
70073,江田
70074,轧钢机
70075,端子
70076,柳风
70077,粟子
70078,静肃
70079,番红花
70080,自料
70081,主粮
70082,鱼雁
70083,伪经
70084,打包票
70085,书名号
70086,零数
70087,摈斥
70088,震骇
70089,无奈何
70090,膏剂
70091,象脚鼓
70092,赌头
70093,牵记
70094,诸夏
70095,宿夜
70096,庄毅
70097,按例
70098,心皮
70099,枸橼
70100,投壶
70101,卖弄风骚
70102,访旧
70103,犄角旮旯
70104,贝子
70105,吊兰
70106,寿酒
70107,缨帽
70108,枕芯
70109,如坐春风
70110,兰玉
70111,上妆
70112,内侵
70113,果料
70114,於菟
70115,善友
70116,葬身鱼腹
70117,倾耳
70118,管界
70119,砧木
70120,棉条
70121,医学心理学
70122,借壳
70123,面访
70124,真金不怕火
70125,隔世之感
70126,挂单
70127,瞎聊
70128,脚踩两只船
70129,器识
70130,于氏
70131,函询
70132,宽贷
70133,舍间
70134,器宇
70135,后稷
70136,荦荦
70137,边音
70138,利息所得税
70139,不期然而然
70140,新瓶装旧酒
70141,软水
70142,胰液
70143,满勤
70144,嘀哒
70145,苟且偷安
70146,亚历山德拉
70147,骨力
70148,依葫芦画瓢
70149,白鹿洞书院
70150,苟全性命
70151,河南坠子
70152,奥茨
70153,显卡
70154,仰人鼻息
70155,落拓不羁
70156,一言半语
70157,前晌
70158,宰制
70159,五马分尸
70160,缂丝
70161,名器
70162,把弄
70163,孤弱
70164,蠡测
70165,塞擦音
70166,丘逢甲
70167,骨鲠在喉
70168,远亲近邻
70169,陈天华
70170,拘票
70171,蠹鱼
70172,考纳斯
70173,空肠
70174,连鬓胡子
70175,绵白糖
70176,罗马大学
70177,跳梁小丑
70178,质谱仪
70179,通川
70180,次声波
70181,阴丹士林
70182,雪里送炭
70183,看家本事
70184,大名府
70185,放鹰
70186,知书达礼
70187,流盼
70188,余荫
70189,化合价
70190,俭约
70191,直根
70192,逢山开路
70193,揭锅
70194,冲澡
70195,平乱
70196,海苔
70197,嗟来之食
70198,凶徒
70199,下得去
70200,长生久视
70201,劫盗
70202,正规战
70203,史思明
70204,送旧迎新
70205,连衫裙
70206,发现权
70207,生徒
70208,栎木
70209,表面张力
70210,国将不国
70211,牵牛星
70212,公私兼顾
70213,面包圈
70214,志怪小说
70215,尊大人
70216,莆仙戏
70217,游泳裤
70218,狗尾草
70219,哈得孙
70220,遏阻
70221,彩墨画
70222,落地式
70223,强行军
70224,七十二变
70225,黎元洪
70226,调级
70227,鞍马劳顿
70228,养汉
70229,一朝天子一朝臣
70230,自卖自夸
70231,预分
70232,电子词典
70233,扁嘴
70234,袅袅婷婷
70235,阴阳人
70236,挥斥
70237,旧章
70238,麦精
70239,课代表
70240,飞短流长
70241,滑旱冰
70242,鹪鹩
70243,桃符
70244,跑江湖
70245,桥接
70246,吴会
70247,课间操
70248,汤火
70249,碾坊
70250,飞蛾扑火
70251,猪狗不如
70252,灵妙
70253,波斯菊
70254,花香鸟语
70255,跑码头
70256,羧基
70257,批拨
70258,坐怀不乱
70259,平淡无味
70260,绿色标志
70261,混混儿
70262,气胸
70263,减压阀
70264,大烟鬼
70265,工役
70266,铁甲舰
70267,丧亡
70268,褥垫
70269,垂髫
70270,不足为据
70271,译载
70272,邀宠
70273,脂肪瘤
70274,教会法
70275,横眉立目
70276,咸和
70277,吞蚀
70278,郁垒
70279,直性子
70280,调速器
70281,顿开茅塞
70282,周复
70283,开口笑
70284,穿云破雾
70285,功令
70286,揖让
70287,余兵
70288,渔人之利
70289,西畴
70290,生而知之
70291,心搏
70292,酒筵
70293,散兵线
70294,赵万里
70295,躲懒
70296,托病
70297,暗事
70298,贪贿
70299,奢糜
70300,玄色
70301,斯蒂文斯
70302,守望相助
70303,船桅
70304,火伤
70305,敲骨吸髓
70306,裙裤
70307,罢演
70308,慵倦
70309,銮驾
70310,单叶
70311,赵太爷
70312,凉丝丝
70313,娇娘
70314,梅朵
70315,池座
70316,隐函数
70317,水漫金山
70318,案牍
70319,湿乎乎
70320,礼服呢
70321,挛缩
70322,讽谏
70323,敦睦
70324,感恩图报
70325,害眼
70326,银本位
70327,水银泻地
70328,平方根
70329,返祖现象
70330,同蒲铁路
70331,西番莲
70332,量尺寸
70333,出账
70334,中元节
70335,冲浪板
70336,情深义重
70337,称钱
70338,露富
70339,富厚
70340,皇协军
70341,护卫艇
70342,药饵
70343,防除
70344,大泽乡
70345,砚石
70346,宝石婚
70347,宋体字
70348,牛头山
70349,拖腔
70350,牛扒
70351,夹注
70352,坐天下
70353,电警棍
70354,密函
70355,努比亚
70356,红马甲
70357,打照面
70358,杜利特尔
70359,立卷
70360,不名一文
70361,午餐肉
70362,石坊
70363,鸿文
70364,李家峡水电站
70365,不知老之将至
70366,参谒
70367,太岁头上动土
70368,毛瑟
70369,正朔
70370,僮仆
70371,邮汇
70372,独异
70373,签押
70374,凸面
70375,请援
70376,汀州
70377,藏掖
70378,忠君爱国
70379,提词
70380,承欢
70381,呵叱
70382,龙超
70383,吃准
70384,芬香
70385,披戴
70386,镜花水月
70387,破罐破摔
70388,四方八面
70389,眼观六路，耳听八方
70390,拙见
70391,脊索动物
70392,慈幼
70393,心如死灰
70394,贬责
70395,噶伦
70396,驼鹿
70397,明瓦
70398,松球
70399,走棋
