rank,cihui,pinyin,mismatch_parsed,invalid_parsed,has_subdefs,raw_html
60001,敬称,jìngchēng,False,False,False,"<link rel=""stylesheet"" type=""text/css"" href=""HYGF2.css""><script src='HYGF2.js'></script><x-hw>敬称</x-hw><x-pr> jìngchēng</x-pr>
<dt><x-sn>①</x-sn><x-gram>动</x-gram>尊敬地称呼<x-f>。</x-f></dt><dd><x-ex>古人<x-key>敬称</x-key>梅、兰、竹、菊为“四君子”<x-f>。</x-f></x-ex></dd>
<dt><x-sn>②</x-sn><x-g>名</x-g> 尊敬的称呼<x-f>。</x-f></dt><dd><x-ex>“孔子”是对孔丘的<x-key>敬称</x-key><x-f>。</x-f></x-ex></dd>
"
60002,出摊儿,chūtānr,False,False,False,"<link rel=""stylesheet"" type=""text/css"" href=""HYGF2.css""><script src='HYGF2.js'></script><x-hw>出摊<x-er>儿</x-er></x-hw><x-pr> chūtānr</x-pr>
<dt><x-gram>动</x-gram>摆出摊<x-er>儿</x-er>卖货<x-f>。</x-f><dd><x-ex>天刚亮就<x-key>出摊儿</x-key></x-ex></dd>
"
60003,宠辱不惊,chǒngrǔ-bùjīng,False,False,False,"<link rel=""stylesheet"" type=""text/css"" href=""HYGF2.css""><script src='HYGF2.js'></script><x-hw>宠辱不惊</x-hw><x-pr> chǒngrǔ-bùjīng</x-pr>
<dt>无论得宠还是受辱都不动心。形容把得失置之度外<x-f>。</x-f></dt>
"
60005,闲空,xiánkòng,False,False,False,"<link rel=""stylesheet"" type=""text/css"" href=""HYGF2.css""><script src='HYGF2.js'></script><x-hw>闲空</x-hw><x-pr> xiánkòng</x-pr>
<dt><x-gram>名</x-gram>空闲时间<x-f>。</x-f></dt><dd><x-ex>每天忙得一点<x-er>儿</x-er><x-key>闲空</x-key>都没有</x-ex><x-ex><x-lb> | </x-lb>有了<x-key>闲空</x-key>，咱们去看场电影<x-f>。</x-f></x-ex></dd>
"
60007,寒来暑往,hánlái-shǔwǎng,False,False,False,"<link rel=""stylesheet"" type=""text/css"" href=""HYGF2.css""><script src='HYGF2.js'></script><x-hw>寒来暑往</x-hw><x-pr> hánlái-shǔwǎng</x-pr>
<dt>热天已去，冷天到来。指四季更替，岁月流逝<x-f>。</x-f></dt>
"
60010,采蜜,cǎimì,False,False,False,"<link rel=""stylesheet"" type=""text/css"" href=""HYGF2.css""><script src='HYGF2.js'></script><x-hw>采蜜</x-hw><x-pr> cǎimì</x-pr>
<dt><x-sn>①</x-sn><x-gram>动</x-gram>蜜蜂采集花蜜<x-f>。</x-f></dt>
<dt><x-sn>②</x-sn><x-g>动</x-g> 从蜜蜂蜂巢里采集蜂蜜<x-f>。</x-f></dt>
"
60012,不虞,bùyú,False,False,False,"<link rel=""stylesheet"" type=""text/css"" href=""HYGF2.css""><script src='HYGF2.js'></script><x-hw>不虞</x-hw><x-pr> bùyú</x-pr>〈文〉
<dt><x-sn>①</x-sn><x-gram>动</x-gram>没有料想到<x-f>。</x-f></dt><dd><x-ex><x-key>不虞</x-key>之誉</x-ex><x-ex><x-lb> | </x-lb><x-key>不虞</x-key>中途遇雨，耽误归期<x-f>。</x-f></x-ex></dd>
<dt><x-sn>②</x-sn><x-g>名</x-g> 没有料想到的事情<x-f>。</x-f></dt><dd><x-ex>有备无患，以防<x-key>不虞</x-key><x-f>。</x-f></x-ex></dd>
"
60013,完全小学,wánquán xiǎoxué,False,False,False,"<link rel=""stylesheet"" type=""text/css"" href=""HYGF2.css""><script src='HYGF2.js'></script><x-hw>完全小学</x-hw><x-pr> wánquán xiǎoxué</x-pr>
<dt>指设置有一至六各个年级的小学。简称完小<x-f>。</x-f></dt>
"
60014,宠臣,chǒngchén,False,True,False,"<link rel=""stylesheet"" type=""text/css"" href=""HYGF2.css""><script src='HYGF2.js'></script><x-hw>宠臣</x-hw><x-pr> chǒngchén</x-pr><br><x-gram>名</x-gram>受宠爱的臣僚<x-f>。</x-f></dt>
"
60015,有色眼镜,yǒusè yǎnjìng,False,False,False,"<link rel=""stylesheet"" type=""text/css"" href=""HYGF2.css""><script src='HYGF2.js'></script><x-hw>有色眼镜</x-hw><x-pr> yǒusè yǎnjìng</x-pr>
<dt>比喻看问题时的成见或偏见<x-f>。</x-f></dt><dd><x-ex>戴着<x-key>有色眼镜</x-key>看人，不可能看得正确<x-f>。</x-f></x-ex></dd>
"
60019,洞天福地,dòngtiān-fúdì,False,False,False,"<link rel=""stylesheet"" type=""text/css"" href=""HYGF2.css""><script src='HYGF2.js'></script><x-hw>洞天福地</x-hw><x-pr> dòngtiān-fúdì</x-pr>
<dt>道教指神仙居住的地方；泛指非常清幽的名山胜地<x-f>。</x-f></dt>
"
60020,王水,wángshuǐ,False,False,False,"<link rel=""stylesheet"" type=""text/css"" href=""HYGF2.css""><script src='HYGF2.js'></script><x-hw>王水</x-hw><x-pr> wángshuǐ</x-pr>
<dt><x-gram>名</x-gram>一份浓硝酸和三份浓盐酸的混合液。腐蚀性极强，可以溶解黄金等金属。冶金工业中用作溶剂<x-f>。</x-f></dt>
"
60021,风压,fēngyā,False,False,False,"<link rel=""stylesheet"" type=""text/css"" href=""HYGF2.css""><script src='HYGF2.js'></script><x-hw>风压</x-hw><x-pr> fēngyā</x-pr>
<dt><x-gram>名</x-gram>风垂直作用于物体表面的压强。是建筑工程上需要掌握的数据<x-f>。</x-f></dt>
"
