rank,cihui,pinyin,ref_hanzi,ref_pinyin,pos,definition,example
20001,始祖,shǐzǔ,,,名,有史料可考的最早的祖先,
20001,始祖,shǐzǔ,,,名,指首创某种学术、技艺或宗教的人,释迦牟尼是佛教的 始祖 。
20001,始祖,shǐzǔ,,,,区别最初的；原始的,始祖 鸟
20001,始祖,shǐzǔ,,,,区别最初的；原始的,始祖 文化
20002,愈合,yùhé,,,动,疮口或伤口长好,
20003,和局,héjú,,,名,（下棋、赛球等）分不出输赢的结局,下成了 和局
20003,和局,héjú,,,名,（下棋、赛球等）分不出输赢的结局,以 和局 结束
20004,沉稳,chénwěn,,,形,沉着稳重,办事 沉稳
20004,沉稳,chénwěn,,,形,沉着稳重,沉稳 持重
20004,沉稳,chénwěn,,,形,安稳踏实,作风 沉稳
20006,空气污染,kōngqì wūrǎn,,,,大气污染,
20007,亲历,qīnlì,,,动,亲自经历,亲历 其事
20008,住址,zhùzhǐ,,,名,居住的地址。包括所在的城镇、乡村、街道的名称和门牌号码,
20011,边城,biānchéng,,,名,临近国界的或边远的城市,
20012,初春,chūchūn,,,名,早春；春季的第一个月，即农历正月,
20013,典当,diǎndàng,,,动,用物品作抵押，向当铺借高利率的钱。按约定的抵押期限，付本金和利息赎回抵押品。到期无力还钱，抵押品归当铺所有,
20014,浩然,hàorán,,,形,盛大广阔,水势 浩然
20014,浩然,hàorán,,,形,刚正豪迈,浩然 之气
20016,降生,jiàngshēng,,,动,出世；出生（一般指宗教创始人等非凡人物）,耶稣 降生
20019,三部曲,sānbùqǔ,,,名,指内容相对独立又互有联系的三部文学作品，如巴金的《家》《春》《秋》称为“激流三部曲”；也比喻有内在联系的三件事或者事情发展的三个阶段,
20020,修道院,xiūdàoyuàn,,,名,天主教和东正教等教徒出家隐居修行的机构。在天主教会中也指培养神职人员的宗教学校,
20023,相映,xiāngyìng,,,动,互相映衬或衬托,珠联璧合， 相映 生辉
20023,相映,xiāngyìng,,,动,互相映衬或衬托,相映 成趣
20024,后撤,hòuchè,,,动,向后撤退；从前边撤回,后撤 30公里
20024,后撤,hòuchè,,,动,向后撤退；从前边撤回,部队要立即 后撤
20025,邪说,xiéshuō,,,名,荒谬有害的言论或理论,歪理 邪说
20027,周身,zhōushēn,,,名,整个身体；全身,周身 发痒
20029,酷似,kùsì,,,动,极其像,二人相貌 酷似
20030,光闪闪,guāngshǎnshǎn,,,形,光芒闪射的样子,光闪闪 的奖章
20032,至高无上,zhìgāo-wúshàng,,,,形容地位最高，没有能超过的,
20033,肆无忌惮,sìwújìdàn,,,,指肆意妄为，毫无顾忌（忌惮：顾忌，畏惧）,
20035,围坐,wéizuò,,,动,围在四周坐,围坐 在老师周围
20036,百十,bǎishí,,,数,表示一百左右的约数,百十 户人家
20036,百十,bǎishí,,,数,表示一百左右的约数,百十 里地
20037,举目,jǔmù,,,动,抬头看；睁眼看,举目 四望
20037,举目,jǔmù,,,动,抬头看；睁眼看,举目 无亲
20038,风扇,fēngshàn,,,名,旧时夏天扇（shān）风取凉的器具，布制，一端吊在梁上，靠人力拉动生风,
20038,风扇,fēngshàn,,,名,电风扇,
20039,尾随,wěisuí,,,动,紧跟在后面,保镖 尾随 其后
20040,胡闹,húnào,,,动,胡乱打闹；无理取闹,要听从劝导，别在这里 胡闹 了 。
20040,胡闹,húnào,,,动,蛮干；乱来,自己不懂，偏要拆掉彩电重装，简直是 胡闹 。
20041,佛学,fóxué,,,名,研究、阐述佛教的学问,
20042,见鬼,jiànguǐ,,,形,比喻离奇古怪，不合事理,笔掉到地上就找不着了，真 见鬼 !
20042,见鬼,jiànguǐ,,,动,指死去或消亡,让这些丑恶现象 见鬼 去吧!
20043,久违,jiǔwéi,,,动,客套话，长时间没见面,久违 了，一向可好?
20044,下风,xiàfēng,,,名,风吹去的方向,
20044,下风,xiàfēng,,,名,比喻劣势或不利的位置,客队处于 下风
20045,探视,tànshì,,,动,看望问候,到医院 探视 病人
20045,探视,tànshì,,,动,伸出头察看,不时向门外 探视
20046,脚底,jiǎodǐ,,,名,脚掌,
20047,视屏,shìpíng,,,名,荧光屏,
20051,消费结构,xiāofèi jiégòu,,,,各种消费支出在总消费支出中所占的比例关系,
20052,盔甲,kuījiǎ,,,名,盔和甲，古代打仗时为护身而穿戴的帽子和衣服，用金属、藤或皮革制成,
20053,轶事,yìshì,,,名,不见于正式记载、鲜为人知的事迹,奇闻 轶事
20054,电筒,diàntǒng,,,名,手电筒,
20055,尚可,shàngkě,,,动,还可以,质量 尚可
20055,尚可,shàngkě,,,动,还可以,成绩 尚可
20056,赎罪,shúzuì,,,动,用行动或钱物抵偿、弥补罪过,立功 赎罪
20057,野马,yěmǎ,,,名,哺乳动物，体形和家马相似，耳短小，鬃毛短直，尾毛长而多，体毛浅棕色，腹部为浅黄色。生活在荒漠草原地带，群居，性凶猛。产于我国甘肃、新疆、内蒙古等地，属国家保护动物,
20058,游园,yóuyuán,,,动,到公园或花园里游玩,
20059,宽慰,kuānwèi,,,动,宽解安慰,多方 宽慰
20059,宽慰,kuānwèi,,,形,宽松欣慰,看到一切都安排得很周到，心里很 宽慰 。
20061,毒案,dú'àn,,,名,有关毒品犯罪的案件,
20062,超乎,chāohū,,,动,超出于,才智 超乎 寻常
20065,赔礼,péilǐ,,,动,向人行礼表示道歉,
20067,犹太教,yóutàijiào,,,名,犹太人的民族宗教。信奉耶和华神，基督教的《旧约全书》原先就是犹太教的经典 犹太：希伯来语Yěhūdhi音译 （也说以色列教 ）,
20068,肺结核,fèijiéhé,,,名,由结核杆菌造成的肺部慢性传染病。症状是低烧、咳嗽、多痰、消瘦、盗汗、咯血等。通称肺病,
20069,欠债,qiànzhài,,,动,借别人钱财尚未归还；也比喻对人的承诺尚未兑现,钱不够用，老 欠债
20069,欠债,qiànzhài,,,动,借别人钱财尚未归还；也比喻对人的承诺尚未兑现,答应给出版社的一本书稿，至今还欠着债 。
20069,欠债,qiànzhài,,,名,指所欠的债款或尚未兑现的承诺,
20070,脊椎动物,jǐzhuī dòngwù,,,,动物界最高等的类群。体形左右对称，全身分头、躯干、尾3部分，有脊柱和发达的头骨，有较完善的感觉器官、运动器官和高度分化的神经系统。包括鱼类、两栖类、爬行类、鸟类和哺乳类5大类,
20071,却步,quèbù,,,动,不敢前进；往后退,望而 却步
20072,算计,suànji,,,动,计算数目,尾数总不对，认真 算计 一下吧!
20072,算计,suànji,,,动,考虑；计划,我 算计 过了，还是不去为好 。
20072,算计,suànji,,,动,猜测；估计,他 算计 着出线后将遇到哪些对手 。
20072,算计,suànji,,,动,暗中谋划损害别人,算计 别人，到头来自己也没好下场 。
20073,行好,xínghǎo,,,动,因同情而做好事,
20074,异口同声,yìkǒu-tóngshēng,,,,不同的人说出同样的话。形容众人的说法或意见完全一致,
20075,高危,gāowēi,,,形,危险程度高的,高危 妊娠
20076,冷藏,lěngcáng,,,动,低温贮存,冷藏 车
20076,冷藏,lěngcáng,,,动,低温贮存,冷藏 室
20077,祸害,huòhai,,,名,灾难；祸患,水利失修，酿成 祸害 。
20077,祸害,huòhai,,,名,引起祸害的人或事,这个流氓团伙，是当地居民的一大 祸害 。
20077,祸害,huòhai,,,动,严重损害,祸害 百姓
20078,研读,yándú,,,动,阅读并钻研,研读 经典著作
20081,按捺,ànnà,,,动,克制；抑制,按捺 不住满腔的义愤 。
20082,同心协力,tóngxīn-xiélì,,,,团结一致，齐心合力,
20083,脍炙人口,kuàizhì-rénkǒu,,,,切得很细、烤得很香的鱼、肉等人人爱吃。比喻美好的诗文人人赞美传诵,
20084,批次,pīcì,,,量,批量生产的产品每出产一次叫一批次,
20084,批次,pīcì,,,,量复合计量单位，表示成批的事物中，每批的数量和批数的总量,市政府信访办上月共处理人民来信1256 批次 。
