rank,cihui,pinyin,ref_hanzi,ref_pinyin,pos,definition,example
40138,宵夜,xiāoyè,,,,见“ 消夜 ” 现在一般写作“消夜”,
40226,七绝,qījué,,,,见“ 绝句 ”,
40583,画工,huàgōng,,,,见“ 画功 ” 现在一般写作“画功”,
40660,强热带风暴,qiáng rèdài fēngbào,,,,见“ 热带气旋 ”,
40666,大行星,dàxíngxīng,,,,见“ 行星 ”,
40673,扬子鳄,yángzǐ'è,,,,见“ 鼍 ”,
41209,龙灯,lóngdēng,,,,见“ 龙舞 ”,
41806,集部,jíbù,,,,见“ 四部 ”,
41878,蓝皮书,lánpíshū,,,,见“ 白皮书 ”,
41927,北极圈,běijíquān,,,,见“ 极圈 ”,
41988,南纬,nánwěi,,,,见“ 纬度 ”,
42089,库伦,kùlún,,,,见“ 圐圙（kūlüè） ”,
42167,皇皇,huánghuáng,,,,见“ 遑遑 ” 现在一般写作“遑遑”,
42201,五谷丰登,wǔgǔ-fēngdēng,,,,见“ 五谷 ”,
42242,卜辞,bǔcí,,,,见“ 甲骨文 ”,
42406,闭门羹,bìméngēng,,,,见“ 吃闭门羹 ”,
42530,自叙,zìxù,,,,见“ 自序 ” 现在一般写作“自序”,
42816,腊梅,làméi,,,,见“ 蜡梅 ” 现在一般写作“蜡梅”,
42915,化为泡影,huàwéi-pàoyǐng,,,,见“ 泡影 ”,
43160,坐席,zuòxí,,,,见“ 座席 ” 现在一般写作“座席”,
43364,如法炮制,rúfǎ-páozhì,,,,见“ 炮制 ” 用法说明 “炮”这里不读 pào,
43585,龟裂,jūnliè,,,,见“ 皲裂 ” 现在一般写作“皲裂”,
43635,兆赫,zhàohè,,,,见“ 赫兹 ”,
43672,批件,pījiàn,,,,见“ 批文 ”,
43691,警监,jǐngjiān,,,,见“ 警衔 ”,
44050,扇动,shāndòng,,,动,见“ 煽 ” 现在一般写作“煽动”,
44152,干红,gānhóng,,,,见“ 干酒 ”,
44161,数九,shǔjiǔ,,,,见“ 九 ”,
44266,夜车,yèchē,,,,见“ 开夜车 ”,
44439,史部,shǐbù,,,,见“ 四部 ”,
44561,打太极拳,dǎtàijíquán,,,,见“ 太极拳 ”,
44579,辞源,cíyuán,,,,见“ 词源 ” 现在一般写作“词源”,
44769,制伏,zhìfú,,,,见“ 制服 ” 现在一般写作“制服”,
