rank,cihui,pinyin,ref_hanzi,ref_pinyin,pos,definition,example
4122,乌拉,wùla,,,名,我国东北地区一种垫有乌拉草的皮制防寒鞋,。
4122,乌拉,wūlā,,,名,西藏民主改革以前，农奴向官府或农奴主所服的各种劳役；也指服这些劳役的人,。
4124,蓬勃,péngbó,,,形,兴旺；繁荣,朝气蓬勃
4124,蓬勃,péngbó,,,形,兴旺；繁荣,蓬勃生机
4124,蓬勃,péngbó,,,形,兴旺；繁荣,蓬蓬勃勃发展
4148,宏伟,hóngwěi,,,形,（规模、场面等）宏大壮美,规模宏伟的三峡工程
4148,宏伟,hóngwěi,,,形,（规模、场面等）宏大壮美,宏伟的计划
4155,华北,huáběi,,,名,指我国北部地区，包括北京、天津、河北、山西、内蒙古等地,。
4165,法案,fǎ'àn,,,名,提交国家立法机关审议的法律草案。法案一经通过，即成为法律,
4177,舒服,shūfu,,,形,身心感到轻松愉快,。
4187,中指,zhōngzhǐ,,,名,五指中居中的指头,。
4220,殖民,zhímín,,,动,原指强国向被其征服的地区移民；资本主义时期指资本主义国家剥夺别的国家或地区的独立主权，对当地人民施行残酷压迫和野蛮掠夺,。
4232,敦促,dūncù,,,动,催促,敦促作者早日交稿
4238,报复,bàofù,,,动,对批评自己或损害自己利益的人进行打击,伺机报复
4238,报复,bàofù,,,动,对批评自己或损害自己利益的人进行打击,警惕他进行报复
4239,融合,rónghé,,,动,若干种不同的事物互相渗透，合为一体,融合中西绘画技法。
4251,排放,páifàng,,,动,排出（废气、废水等）,。
4264,即便,jíbiàn,,,连,即使。,即便说错了也不要紧。
4268,迹象,jìxiàng,,,名,指可借以推断事物的过去或未来的痕迹和现象,从种种迹象看，他的嫌疑最大
4283,不只,bùzhǐ,,,连,不但；不仅,不只拿了第一，还破了世界纪录
4295,学历,xuélì,,,名,求学的经历，多指最终毕业或肄业于哪一级的学校,大学本科学历
4295,学历,xuélì,,,名,求学的经历，多指最终毕业或肄业于哪一级的学校,高中学历
4315,古城,gǔchéng,,,名,古老的城市,邯郸
4345,里边,lǐbian,,,名,里面,。
4348,清晨,qīngchén,,,名,一般指天亮到太阳刚出来不久的一段时间,。
4368,筹集,chóují,,,动,想方设法聚集,筹集办学基金
4382,礼物,lǐwù,,,名,为表示尊敬、庆贺等而馈赠的物品,。
4384,非典型肺炎,fēidiǎnxíng fèiyán,,,医学上将双球菌引起的肺炎称为典型肺炎，其他的统称为非典型肺炎。特指2003年在我国部分地区流行的由新型冠状病毒引起的传染性非典型肺炎，即 SARS（英语缩写，意为“严重急性呼吸系统综合征”）。简称非典,,
4391,扮演,bànyǎn,,,动,演员化装成剧中人物进行表演,他在剧中扮演焦裕禄
4391,扮演,bànyǎn,,,动,演员化装成剧中人物进行表演,他在这次事件中扮演了不光彩的角色
4406,而后,érhòu,,,连,然后（多用于连接分句，一般不单用）,先确诊，而后遵医嘱用药。
4409,被捕,bèibǔ,,,动,遭到逮捕,嫌犯已经被捕
4419,无比,wúbǐ,,,动,没有什么能够比得上,宽阔无比
4419,无比,wúbǐ,,,动,没有什么能够比得上,奇痒无比
4419,无比,wúbǐ,,,动,没有什么能够比得上,令人无比激动
4431,兴办,xīngbàn,,,动,创建；创办,兴办公益事业
4445,摧毁,cuīhuǐ,,,动,彻底破坏,将贩毒集团一举<x-key>摧毁</x-key>
4445,摧毁,cuīhuǐ,,,动,彻底破坏,用炮火<x-key>摧毁</x-key>敌人的工事<x-f>。</x-f>
4446,崭新,zhǎnxīn,,,形,非常新,崭新的服饰
4446,崭新,zhǎnxīn,,,形,非常新,崭新的高速公路
4449,当成,dàngchéng,,,动,当作,。
4455,苹果,píngguǒ,,,名,落叶乔木，叶子椭圆形。花白色带有红晕。果实也叫苹果，圆形，味甜，是常见水果。,
4465,不妨,bùfáng,,,副,没有什么妨碍，表示可以这样做,不妨先观察一段时间
4465,不妨,bùfáng,,,副,没有什么妨碍，表示可以这样做,不妨直接跟他谈谈。
4466,过度,guòdù,,,形,超过一定的限度,过度紧张
4466,过度,guòdù,,,形,超过一定的限度,操劳过度
4479,染病,rǎnbìng,,,动,染上疾病；生病,在身
4480,忍受,rěnshòu,,,动,尽力承受（痛苦、不幸等）,忍受着病痛的折磨。
4508,未必,wèibì,,,副,不一定,事情未必会这样发展。
4520,球场,qiúchǎng,,,名,供篮球、足球、网球、排球等球类运动使用的场地，其形式、大小、场地设备根据不同球类的要求而定,。
4529,啤酒,píjiǔ,,,名,一种用大麦芽加啤酒花制成的低度酒，有泡沫和特殊的香味,
4543,提案,tí'àn,,,名,提请会议讨论或处理的方案或建议。,提案交付大会表决。
4553,应急,yìngjí,,,动,应付紧急情况,先运去些粮食应急。
4607,国际化,guójìhuà,,,动,使某事务、问题、标准等成为具有国际性质的,结算方式国际化
4607,国际化,guójìhuà,,,动,使某事务、问题、标准等成为具有国际性质的,促进本地化与国际化协调发展
4610,干事,gànshi,,,名,某些部门指负责某项具体事务的人员。如体育干事、文娱干事、组织干事,。
4614,树林,shùlín,,,名,成片生长的树木群落，比森林小,。
4624,宿舍,sùshè,,,名,机关、企业、学校等提供给职工及其家属或学员居住的房屋,。
4639,建材,jiàncái,,,名,建筑材料,。
4666,亲爱,qīn'ài,,,形,关系亲密而感情深厚,亲爱的战友
4666,亲爱,qīn'ài,,,形,关系亲密而感情深厚,亲爱的妈妈
4667,可喜,kěxǐ,,,形,值得欣喜,的成就
4676,侦察,zhēnchá,,,动,对敌方兵力、工事、地形等情况进行秘密考察了解,侦察敌军火力
4716,要目,yàomù,,,名,主要的条目、篇目（多指书报）,本期《人民文学》的要目。
4742,模拟,mónǐ,,,动,模仿；比照着正式的样子做,模拟考试
4742,模拟,mónǐ,,,动,模仿；比照着正式的样子做,模拟试验
4778,阴影,yīnyǐng,,,名,阴暗的影子；比喻不愉快、不顺利的事情,透视发现肺部有阴影
4778,阴影,yīnyǐng,,,名,阴暗的影子；比喻不愉快、不顺利的事情,她自幼生活在疾病的阴影里
4843,赚钱,zhuànqián,,,动,获取利润或报酬,。
4855,园区,yuánqū,,,名,集中发展某项事业的区域。,高科技园区
4855,园区,yuánqū,,,名,集中发展某项事业的区域。,工业园区
4858,完毕,wánbì,,,动,结束；完了,报告<x-key>完毕</x-key>
4889,缓缓,huǎnhuǎn,,,形,慢慢。,缓缓的江流
4893,自在,zìzài,,,形,形容没有拘束和精神负担,自由<key>自在</key>
4893,自在,zìzai,,,形,舒心安闲；无拘无束,生活挺<key>自在</key>
4896,和尚,he shang,,,名,指出家修行的男佛教徒,。
4906,意向,yìxiàng,,,名,心意所向；意图和打算,合作意向
4906,意向,yìxiàng,,,名,心意所向；意图和打算,他有投资意向
4912,花费,huāfei,,,名,耗费的钱,旅游花费很多
4912,花费,huāfèi,,,动,消耗；用掉（金钱、时间、精力）,花费了不少钱
4912,花费,huāfèi,,,动,消耗；用掉（金钱、时间、精力）,花费了半年工夫
4912,花费,huāfèi,,,动,消耗；用掉（金钱、时间、精力）,花费精力
4928,必需,bìxū,,,动,一定得有；不可缺少,阳光为庄稼生长所必需。
4983,通往,tōngwǎng,,,动,通到（某个地方）,公路通往山区
