rank,cihui,pinyin,ref_hanzi,ref_pinyin,pos,definition,example
6,记者,jìzhě,,,名,新闻媒体采访新闻、进行报道的专职人员,。
18,企业,qǐyè,,,名,从事生产、购销、运输以及服务性活动的经营实体（跟“事业”相区别）。如工厂、农场、矿山、公司等,
84,其中,qízhōng,,,名,那里面,分配到我系5人，其中博士4人，硕士1人
84,其中,qízhōng,,,名,那里面,乐在其中
88,知道,zhīdào,,,动,对事情或道理已经了解、认识,这事儿他早就知道了
88,知道,zhīdào,,,动,对事情或道理已经了解、认识,这个道理他知道
90,提高,tígāo,,,动,往上提，使比原来高（跟“降低”相对）,提高质量
90,提高,tígāo,,,动,往上提，使比原来高（跟“降低”相对）,提高觉悟
90,提高,tígāo,,,动,往上提，使比原来高（跟“降低”相对）,提高嗓门儿
97,委员,wěiyuán,,,名,委员会的成员,。
121,提供,tígōng,,,动,供给；给予,提供情报
121,提供,tígōng,,,动,供给；给予,提供服务
127,服务,fúwù,,,动,为一定的对象工作,为人民服务
132,以来,yǐlái,,,名,指从过去某时到说话时的一段时间,立春以来
183,过去,guòqù,,,动,离开说话人所在地向另一地点移动,刚刚过去一辆班车。
183,过去,guòqù,,,动,表示曾经历过某个阶段,半年过去了，工作才走上正轨。
183,过去,guòqù,,,动,表示某个时期、某种状况已经消失,最困难的时期已经过去了吗。
183,过去,guòqù,,,动,婉词，指人死亡（后面要加“了”）,还没送到医院，人就过去了。
183,过去,guòqù,,,名,指以前的时期；也指以前的事情,忘记过去就意味着背叛。
195,获得,huòdé,,,动,得到,获得成功
196,进入,jìnrù,,,动,到达（某个时期、某种状态或某一范围）,进入新的历史时期
196,进入,jìnrù,,,动,到达（某个时期、某种状态或某一范围）,工程进入收尾阶段
196,进入,jìnrù,,,动,到达（某个时期、某种状态或某一范围）,敌人进入我军伏击圈
210,虽然,suīrán,,,连,连接分句，表示让步关系，即承认甲是事实，乙却并不因此而不成立,虽然你比我高，但是力气没我大
210,虽然,suīrán,,,连,用于前一分句（可在主语的前后），后分句常用“但是” “可是” “可” “却”等呼应,虽然你比我高，但是力气没我大
210,虽然,suīrán,,,连,用于后一分句（必须在主语前），后分句起补充说明作用（前分句不能用关联词语）,他学问功底深厚，虽然还很年轻
224,促进,cùjìn,,,动,促使并推动发展；推进,促进生产
275,完成,wánchéng,,,动,事情按预期的目标做成,主体工程按时完成。
283,的话,dehuà,,,助,用在假设复句的前一个分句的后面，引出下文,如果下雨的话，我就不来了。
289,银行,yín háng,,,名,经营存款、贷款、汇兑、储蓄和发行货币等业务的金融机构,。
298,当时,dàngshí,,,名,指事情发生的同一时间,听到噩耗，他当时就昏了过去。
298,当时,dāngshí,,,名,指过去某件事情发生的那个时候；当初,你的想法，为什么当时不说呢?
298,当时,dàngshí,,,名,指事情发生的同一时间,听到噩耗，他当时就昏了过去。
298,当时,dāngshí,,,名,指过去某件事情发生的那个时候；当初,你的想法，为什么当时不说呢?
305,保持,bǎochí,,,动,维持某种状态，使不消失或不改变,保持优良传统
305,保持,bǎochí,,,动,维持某种状态，使不消失或不改变,保持原貌
320,得了,déle,,,动,表示同意或要求停止，相当于“行了” “算了”,得了，听你的
320,得了,déle,,,动,表示同意或要求停止，相当于“行了” “算了”,得了，别去了
320,得了,déle,,,助,表示肯定语气,你放心得了，这里有我呢!
320,得了,déliǎo,,,形,表示事态严重（多用于反问句或否定式）,小小的年纪就抽烟喝酒，这还得了?
321,贸易,màoyì,,,名,指商品交换等商业活动。,国内贸易
321,贸易,màoyì,,,名,指商品交换等商业活动。,贸易市场
336,联合国,liánhéguó,,,名,第二次世界大战后建立的国际组织。1945年10月24日正式成立，总部设在美国纽约。主要机构有联合国大会、安全理事会、经济和社会理事会、托管理事会、国际法院和秘书处等。行政首长为秘书长。宗旨是维护国际和平与安全，发展国际间友好关系，促进国际合作等。,
393,按照,ànzhào,,,介,依照。,按照科学说法，这叫日食。
407,汽车,qìchē,,,名,用内燃机为动力的一种陆路交通运输工具，通常有四个或四个以上的车轮，用于运载人或各种物资,
457,应当,yīngdāng,,,动,应该,爱护集体应当表扬。
470,制定,zhìdìng,,,动,确定（方针、政策、法律、制度等）,制定方针政策
470,制定,zhìdìng,,,动,确定（方针、政策、法律、制度等）,制定城市建设规划
493,明显,míngxiǎn,,,形,清楚地显露着的,优势明显
500,成果,chéngguǒ,,,名,工作、劳动的收获。,科研成果
500,成果,chéngguǒ,,,名,工作、劳动的收获。,成果喜人
534,它们,tāmen,,,代,称两个以上的事物,。
552,更加,gèngjiā,,,副,表示程度加深（常用在双音节形容词、动词前）,市场更加繁荣
552,更加,gèngjiā,,,副,表示程度加深（常用在双音节形容词、动词前）,他比他姐姐更加喜欢读书
563,拥有,yōngyǒu,,,动,领有；具有,拥有丰富的矿产资源
563,拥有,yōngyǒu,,,动,领有；具有,拥有博士头衔
564,办公,bàngōng,,,动,处理公务,集体办公
564,办公,bàngōng,,,动,处理公务,办公厅
567,分子,fènzǐ,,,名,属于一定社会群体或具有某种特征的人,作家协会的一分子
567,分子,fènzǐ,,,名,由同种类物质原子或不同种类物质原子组成的能独立存在并保持组成物质性质的最小微粒,
583,设施,shèshī,,,名,为进行某项工程或满足某种需要而配置的设备、采取的措施等,基础设施
583,设施,shèshī,,,名,为进行某项工程或满足某种需要而配置的设备、采取的措施等,军事设施
583,设施,shèshī,,,名,为进行某项工程或满足某种需要而配置的设备、采取的措施等,设施齐备
584,设备,shèbèi,,,名,工作、生产或生活上需要的各种设施和器械用品,发电设备
584,设备,shèbèi,,,名,工作、生产或生活上需要的各种设施和器械用品,成套设备
611,冠军,guànjūn,,,名,竞技体育等比赛中的第一名。,夺取冠军
611,冠军,guànjūn,,,名,竞技体育等比赛中的第一名。,获得冠军
634,改革开放,gǎigé kāifàng,,,指我国实行改革政治和经济体制、开放国门和国内市场的政策,。,
653,当天,dàngtiān,,,名,指事情发生的同一天；（就在）这一天,他回来的当天正赶上宣传队来演出。
653,当天,dāngtiān,,,名,指过去某件事情发生的那一天,他当天就回老家去了。
676,状况,zhuàngkuàng,,,名,事物呈现出来的样子或状态,生活状况
676,状况,zhuàngkuàng,,,名,事物呈现出来的样子或状态,文化状况
678,回来,huílai,,,动,用在动词后，表示动作使人或事物从别处到原处或说话人所在地,买回来一包糖果
678,回来,huílai,,,动,用在动词后，表示动作使人或事物从别处到原处或说话人所在地,鸽子飞回来了
678,回来,huílai,,,动,从某处回到原处（说话人现在在原处）,你务必回来一趟
687,大型,dàxíng,,,区别,形体或规模大的。,大型设备
687,大型,dàxíng,,,区别,形体或规模大的。,大型演唱会
698,逐步,zhúbù,,,副,表示行为或变化有阶段性且持续不断，相当于“一步一步地”,逐步熟悉
698,逐步,zhúbù,,,副,表示行为或变化有阶段性且持续不断，相当于“一步一步地”,逐步提高
769,过来,guòlái,,,动,用在动词后,。
769,过来,guòlái,,,动,表示人或物随动作从一处到另一处,他朝我走过来。
769,过来,guòlái,,,动,表示物体随动作改变方向,把脸转过来，面对着我。
