hanzi_id,hanzi,frequency_rank,pinyin_id,pinyin,pinyin_sn,hsk_level
12472,骆驼,10002,13055,luò tuo,1,
12473,诗句,10003,13056,shī jù,1,
12474,平行,10004,13057,píng xíng,1,
12475,恐龙,10005,13058,kǒng lóng,1,
12476,政治权利,10006,13059,zhèng zhì quán lì,1,
12477,变相,10007,13060,biàn xiàng,1,
12478,千古,10009,13061,qiān gǔ,1,
12479,必不可少,10010,13062,bì bù kě shǎo,1,
12480,多极,10011,13063,duō jí,1,
12481,支行,10012,13064,zhī háng,1,
12482,起事,10013,13065,qǐ shì,1,
12483,牧场,10014,13066,mù chǎng,1,
12484,眼珠,10015,13067,yǎn zhū,1,
12485,娘子,10016,13068,niáng zǐ,1,
12486,抉择,10017,13069,jué zé,1,
12487,败坏,10018,13070,bài huài,1,
12488,音乐家,10020,13071,yīn yuè jiā,1,
12489,难民营,10021,13072,nàn mín yíng,1,
12490,解放战争,10022,13073,jiě fàng zhàn zhēng,1,
12491,体改,10025,13074,tǐ gǎi,1,
12492,低谷,10026,13075,dī gǔ,1,
12493,城堡,10028,13076,chéng bǎo,1,
12494,造价,10029,13077,zào jià,1,
12495,疯牛病,10030,13078,fēng niú bìng,1,
12496,紧要,10031,13079,jǐn yào,1,
12497,本行,10032,13080,běn háng,1,
12498,聘用,10033,13081,pìn yòng,1,
12499,怀有,10034,13082,huái yǒu,1,
12500,难说,10036,13083,nán shuō,1,
12501,单边,10037,13084,dān biān,1,
12502,好听,10038,13085,hǎo tīng,1,
12503,收缩,10039,13086,shōu suō,1,
12504,口服,10040,13087,kǒu fú,1,
12505,抚摸,10041,13088,fǔ mō,1,
12506,地名,10042,13089,dì míng,1,
12507,长老,10044,13090,zhǎng lǎo,1,
12508,紧迫感,10045,13091,jǐn pò gǎn,1,
12509,密集型,10048,13092,mì jí xíng,1,
12510,来宾,10050,13093,lái bīn,1,
12511,微妙,10051,13094,wēi miào,1,
12512,五彩,10052,13095,wǔ cǎi,1,
12513,鼓吹,10053,13096,gǔ chuī,1,
12514,转业,10054,13097,zhuǎn yè,1,
12515,认得,10055,13098,rèn de,1,
12516,发源,10056,13099,fā yuán,1,
12517,首例,10057,13100,shǒu lì,1,
12518,推理,10058,13101,tuī lǐ,1,
12519,轮胎,10059,13102,lún tāi,1,
12520,远近,10060,13103,yuǎn jìn,1,
12521,引向,10061,13104,yǐn xiàng,1,
12522,史实,10062,13105,shǐ shí,1,
12523,守卫,10063,13106,shǒu wèi,1,
12524,广为,10064,13107,guǎng wéi,1,
12525,侵占,10065,13108,qīn zhàn,1,
12526,交货,10066,13109,jiāo huò,1,
12527,经济基础,10067,13110,jīng jì jī chǔ,1,
12528,受审,10068,13111,shòu shěn,1,
12529,合于,10069,13112,hé yú,1,
12530,只因,10070,13113,zhǐ yīn,1,
12531,作坊,10071,13114,zuō fang,1,
12532,大纲,10072,13115,dà gāng,1,
12533,十佳,10073,13116,shí jiā,1,
12534,烟雾,10074,13117,yān wù,1,
12535,炮火,10075,13118,pào huǒ,1,
12536,实时,10076,13119,shí shí,1,
12537,分社,10077,13120,fēn shè,1,
12538,漫步,10078,13121,màn bù,1,
12539,演绎,10079,13122,yǎn yì,1,
12540,存储,10080,13123,cún chǔ,1,
12541,炮兵,10081,13124,pào bīng,1,
12542,戈壁,10083,13125,gē bì,1,
12543,舞剧,10084,13126,wǔ jù,1,
12544,杰作,10085,13127,jié zuò,1,
12545,摇篮,10086,13128,yáo lán,1,
12546,案犯,10087,13129,àn fàn,1,
12547,铸造,10088,13130,zhù zào,1,
12548,折扣,10090,13131,zhé kòu,1,
12549,注释,10092,13132,zhù shì,1,
12550,转眼,10094,13133,zhuǎn yǎn,1,
12551,连声,10095,13134,lián shēng,1,
12552,辜负,10096,13135,gū fù,1,
12553,终将,10097,13136,zhōng jiāng,1,
12554,手稿,10098,13137,shǒu gǎo,1,
12555,沉没,10099,13138,chén mò,1,
12556,骤然,10102,13139,zhòu rán,1,
12557,船队,10103,13140,chuán duì,1,
12558,背叛,10106,13141,bèi pàn,1,
12559,少爷,10107,13142,shào ye,1,
12560,保全,10108,13143,bǎo quán,1,
12561,礼堂,10109,13144,lǐ táng,1,
12562,发球,10110,13145,fā qiú,1,
12563,万象,10111,13146,wàn xiàng,1,
12564,折腾,10112,13147,zhē teng,1,
12565,人犯,10113,13148,rén fàn,1,
12566,遵照,10115,13149,zūn zhào,1,
12567,居于,10116,13150,jū yú,1,
12568,要命,10117,13151,yào mìng,1,
12569,罪人,10119,13152,zuì rén,1,
12570,联通,10120,13153,lián tōng,1,
12571,对家,10121,13154,duì jiā,1,
12572,理事国,10122,13155,lǐ shì guó,1,
12573,物化,10123,13156,wù huà,1,
12574,海洛因,10124,13157,hǎi luò yīn,1,
12575,伤病,10126,13158,shāng bìng,1,
12576,碎片,10127,13159,suì piàn,1,
12577,租金,10128,13160,zū jīn,1,
12578,与时俱进,10129,13161,yǔ shí jù jìn,1,
12579,深造,10130,13162,shēn zào,1,
12580,身躯,10131,13163,shēn qū,1,
12581,早点,10132,13164,zǎo diǎn,1,
12582,大洲,10133,13165,dà zhōu,1,
12583,麻木,10134,13166,má mù,1,
12584,狂风,10136,13167,kuáng fēng,1,
12585,棺材,10137,13168,guān cai,1,
12586,星期日,10138,13169,xīng qī rì,1,
