definition_id,pinyin_id,ref_hanzi,ref_pinyin,definition_sn,pos,definition_cn
1,1,,,1,名词,古代指京师
2,1,,,2,名词,古代汉民族所居住的黄河中下游地区；后专指我国所统辖的全部国土；今为中华人民共和国的简称
3,2,,,1,动词,事物由小到大、由简单到复杂、由低级到高级不断演变
4,2,,,2,动词,吸纳新成员，使组织的规模扩充
5,3,,,1,动词,〈文〉经世济民，治理国家
6,3,,,2,名词,一定历史时期社会生产关系的总和。是政治和思想意识等上层建筑的基础
7,3,,,3,名词,指国民经济；也指国民经济的某一部门
8,3,,,4,名词,指经济活动，包括生产、流通、分配和消费以及金融、保险等活动或过程
9,3,,,5,名词,指个人的收支情况
10,3,,,6,形容词,形容耗费少而收益大；价格便宜
11,4,,,1,代词,“我”的复数形式，称包括自己在内的若干人
12,4,,,2,,代指“我” 含有亲昵色彩，用于口语
13,4,,,3,,代指“我” 含委婉语气，多用于报告或论文中
14,4,,,4,,代指“你们”或“你”，含亲切意味
15,5,,,1,名词,在一定的历史阶段中由固定的土地和人民组成、有一个进行管理的组织的共同实体
16,5,,,2,名词,指一个国家所领有的整个区域
17,6,,,1,动词,“没（méi）”①
18,6,,,2,副词,“没（méi）”②。口语中多说“没（méi）”
19,7,,,1,动词,从事体力或脑力劳动
20,7,,,2,动词,泛指机器、设备等处在运转状态
21,7,,,3,名词,业务；任务
22,7,,,4,名词,职业
23,8,,,1,代词,称不包括自己和对方的若干人
24,9,,,1,名词,创造历史、推动人类社会进步的所有社会基本成员的总称
25,10,,,1,名词,要求解答的题目；论述的事项
26,10,,,2,名词,有待解决的疑难事情
27,10,,,3,名词,重要的事情；关键
28,10,,,4,名词,意外的麻烦；事故
29,10,,,5,名词,有毛病的或不好的情况
30,11,,,1,动词,行进；前进
31,11,,,2,动词,从事（某种持续性的活动）
32,12,,,1,名词,以一定的物质生产活动为基础而相互联系的人类生活共同体。人是社会的主体，劳动是社会生存和发展的前提。人们在生产中形成的一定生产关系构成社会经济基础，在这一基础上产生与之相适应的上层建筑
33,12,,,2,名词,以一定的物质生产活动为基础而相互联系起来的人群
